-599.302 -1.668773	-597.697 -2.70208	-597.6318 -2.733747	-597.5562 -2.740647	-597.4575 -2.745716	-597.347 -2.755038	-597.1922 -2.753891	-597.1038 -2.751792	-597.0285 -2.752232	-596.9406 -2.754164	-596.8396 -2.763658	-596.709 -2.754926	-596.6373 -2.753514	-596.4702 -2.755124	-596.4388 -2.754318	-596.3209 -2.752918	-596.1842 -2.752868	-596.111 -2.748586	-596.0531 -2.749625	-595.9478 -2.75149	-595.7993 -2.762619	-595.7341 -2.751544	-595.5974 -2.750754	-595.5236 -2.751607	-595.3984 -2.750946	-595.2922 -2.758003	-595.2355 -2.755932	-595.1288 -2.761164	-595.0144 -2.758979	-594.8995 -2.768194	-594.7795 -2.785868	-594.6974 -2.776126	-594.6448 -2.786441	-594.5128 -2.785456	-594.3787 -2.798223	-594.3037 -2.804251	-594.2456 -2.809531	-594.1079 -2.816358	-594.0088 -2.826345	-593.9191 -2.834009	-593.8232 -2.852474	-593.7255 -2.852643	-593.6129 -2.853461	-593.4812 -2.860819	-593.4299 -2.868042
-309.1082 6.259053	-309.1971 6.136688	-309.3359 6.13668	-309.4034 6.126485	-309.534 6.100914	-309.5714 6.086415	-309.7156 6.060681	-309.7943 6.049476	-309.8973 6.029171	-310.0101 6.004481	-310.0964 5.987748	-310.2074 5.97144	-310.2943 5.956282	-310.4362 5.938025	-310.5152 5.909639	-310.6383 5.894175	-310.6978 5.875023	-310.8326 5.855687	-310.8838 5.836464	-310.9822 5.817366	-311.1268 5.802455	-311.1911 5.784076	-311.3382 5.755987	-311.4189 5.73986	-311.5056 5.709521	-311.6094 5.688387	-311.7203 5.657731	-311.7847 5.643744	-311.9258 5.615	-312.014 5.580244	-312.1099 5.554626	-312.2266 5.531419	-312.3616 5.49989	-312.4002 5.476429	-312.5378 5.45113	-312.6929 5.41199	-312.734 5.385345	-312.812 5.358931	-312.9292 5.334676	-313.0182 5.313497	-313.1625 5.280609	-313.237 5.255694	-313.3445 5.237634	-313.4247 5.206041	-313.5466 5.189552
-308.1015 6.372957	-308.2 6.254343	-308.3297 6.254045	-308.4073 6.240802	-308.5316 6.21807	-308.5858 6.200462	-308.6943 6.180833	-308.79 6.165432	-308.8861 6.146628	-308.9863 6.121443	-309.1008 6.104078	-309.1754 6.087557	-309.2584 6.076579	-309.4136 6.052177	-309.5161 6.030085	-309.6159 6.010857	-309.6892 5.99595	-309.7894 5.974452	-309.8825 5.950609	-310.0093 5.931371	-310.1064 5.916613	-310.1622 5.897264	-310.3064 5.874756	-310.3954 5.854572	-310.5027 5.828535	-310.5918 5.804598	-310.7109 5.772418	-310.7709 5.758313	-310.9217 5.732433	-311.0364 5.698291	-311.0865 5.674616	-311.2336 5.64591	-311.3578 5.61513	-311.3981 5.591816	-311.5097 5.565696	-311.6697 5.5281	-311.7185 5.502841	-311.8289 5.47426	-311.9252 5.44942	-312.0233 5.425413	-312.1638 5.396552	-312.2319 5.36707	-312.3471 5.350808	-312.4276 5.317781	-312.5473 5.300902
-307.1043 6.482327	-307.2079 6.369853	-307.3333 6.368507	-307.3969 6.351233	-307.5474 6.332766	-307.5974 6.311944	-307.679 6.297488	-307.8046 6.279293	-307.8829 6.261922	-307.9942 6.235133	-308.0965 6.216355	-308.1793 6.201435	-308.234 6.19279	-308.4064 6.165332	-308.5023 6.148764	-308.5874 6.126128	-308.6769 6.114239	-308.7664 6.09207	-308.8544 6.064572	-308.9878 6.046256	-309.1016 6.031477	-309.1698 6.01113	-309.297 5.993977	-309.3882 5.967732	-309.5088 5.947256	-309.5612 5.919408	-309.7022 5.888971	-309.79 5.872654	-309.9438 5.849566	-310.0316 5.816815	-310.0536 5.792995	-310.231 5.760202	-310.3504 5.732685	-310.4019 5.706975	-310.4993 5.679848	-310.6507 5.646781	-310.674 5.620466	-310.8094 5.588114	-310.886 5.564445	-311.0173 5.538073	-311.137 5.513541	-311.2144 5.484158	-311.3243 5.463466	-311.3771 5.431938	-311.5181 5.412567
-306.1158 6.591568	-306.2039 6.483357	-306.3444 6.48132	-306.4121 6.461493	-306.5595 6.44578	-306.617 6.422638	-306.7068 6.412088	-306.7931 6.392553	-306.8835 6.375811	-307.0122 6.348255	-307.1177 6.327649	-307.1961 6.312866	-307.269 6.304781	-307.407 6.27621	-307.5015 6.265241	-307.5866 6.238521	-307.6865 6.227008	-307.7663 6.205488	-307.8755 6.176944	-307.9814 6.157993	-308.0727 6.142825	-308.1721 6.123368	-308.2876 6.108811	-308.3824 6.080025	-308.4849 6.065172	-308.5589 6.032623	-308.7055 6.004784	-308.7867 5.985349	-308.9061 5.967044	-309.0087 5.935328	-309.0522 5.910196	-309.2167 5.877229	-309.3153 5.848904	-309.3886 5.823137	-309.4641 5.793084	-309.6205 5.764917	-309.6746 5.737041	-309.8022 5.704841	-309.8845 5.679517	-310.0056 5.650668	-310.1316 5.627366	-310.2361 5.600455	-310.3034 5.574908	-310.3762 5.546457	-310.5029 5.524618
-305.1348 6.702199	-305.2209 6.596415	-305.3506 6.594106	-305.4316 6.571394	-305.5738 6.557271	-305.6362 6.536716	-305.7194 6.525917	-305.7885 6.505188	-305.9151 6.487648	-306.0378 6.461014	-306.1453 6.441691	-306.2148 6.424769	-306.2842 6.413391	-306.4162 6.386271	-306.5235 6.378008	-306.6107 6.350015	-306.6824 6.336947	-306.7701 6.315927	-306.8895 6.290228	-307.0071 6.268216	-307.0675 6.25477	-307.1813 6.232799	-307.3077 6.220716	-307.3866 6.189929	-307.4835 6.180069	-307.5909 6.147021	-307.714 6.11754	-307.8085 6.094458	-307.8894 6.081932	-308.0037 6.049594	-308.0699 6.02214	-308.2085 5.992471	-308.309 5.962489	-308.4012 5.938348	-308.4694 5.904071	-308.5949 5.881607	-308.692 5.85234	-308.7931 5.819179	-308.8629 5.795541	-308.9931 5.763309	-309.1203 5.741062	-309.2187 5.717047	-309.3051 5.686473	-309.3618 5.662191	-309.5049 5.637439
-304.1429 6.815098	-304.2229 6.710865	-304.3325 6.71007	-304.4268 6.684626	-304.5853 6.669839	-304.6433 6.653484	-304.7334 6.637521	-304.8084 6.619881	-304.925 6.598819	-305.0693 6.576131	-305.1399 6.555416	-305.2556 6.537507	-305.3215 6.522439	-305.4394 6.499696	-305.5151 6.487952	-305.631 6.463653	-305.6943 6.444945	-305.8061 6.424736	-305.8894 6.404522	-305.9997 6.380386	-306.0762 6.368986	-306.2023 6.343812	-306.3154 6.331711	-306.4166 6.300725	-306.5053 6.289907	-306.6155 6.260976	-306.7289 6.227803	-306.816 6.204928	-306.8915 6.193762	-306.9709 6.159759	-307.1025 6.131413	-307.1992 6.104822	-307.3174 6.074283	-307.415 6.049699	-307.496 6.014734	-307.592 5.995072	-307.6982 5.962626	-307.7852 5.931853	-307.8495 5.906543	-308.006 5.875737	-308.091 5.851921	-308.2059 5.830033	-308.3155 5.79514	-308.3704 5.776447	-308.514 5.747593
-303.1546 6.927541	-303.2293 6.820566	-303.3412 6.820531	-303.4399 6.799554	-303.5625 6.782565	-303.6326 6.770707	-303.7539 6.747909	-303.7878 6.736498	-303.9112 6.71104	-304.0681 6.693922	-304.1406 6.670798	-304.2649 6.653869	-304.3429 6.634472	-304.4336 6.61755	-304.5227 6.600133	-304.6558 6.578111	-304.6984 6.555678	-304.8302 6.536095	-304.9167 6.519573	-305.0184 6.495863	-305.0822 6.482901	-305.2278 6.454662	-305.3315 6.44201	-305.4397 6.414304	-305.5098 6.39897	-305.6208 6.37458	-305.7405 6.340082	-305.8368 6.31743	-305.8697 6.302341	-305.9888 6.268128	-306.1595 6.239872	-306.2011 6.21553	-306.33 6.18282	-306.4196 6.157367	-306.4895 6.126543	-306.5844 6.103109	-306.7122 6.069353	-306.81 6.041812	-306.9005 6.014484	-307.0009 5.988189	-307.0953 5.960174	-307.2299 5.939562	-307.3299 5.903141	-307.4174 5.884527	-307.5362 5.858799
-302.1481 7.039583	-302.2572 6.928867	-302.3587 6.930057	-302.4362 6.914493	-302.5533 6.894497	-302.626 6.884993	-302.7418 6.857203	-302.8196 6.849677	-302.9342 6.820845	-303.0493 6.809187	-303.1283 6.780888	-303.2494 6.767478	-303.3568 6.74485	-303.4391 6.733569	-303.5395 6.712032	-303.6604 6.690953	-303.7083 6.666954	-303.8163 6.648017	-303.9077 6.636146	-304.0182 6.61348	-304.1056 6.59929	-304.2103 6.569696	-304.3377 6.553804	-304.4482 6.531546	-304.5165 6.510489	-304.6168 6.48978	-304.7524 6.45511	-304.8586 6.431554	-304.8972 6.411076	-305.0133 6.378894	-305.1729 6.348573	-305.2203 6.326746	-305.3558 6.292705	-305.4304 6.26475	-305.5096 6.239555	-305.5994 6.210372	-305.7111 6.176264	-305.8335 6.148283	-305.8991 6.121943	-306.0015 6.09959	-306.0966 6.067743	-306.2074 6.048053	-306.3552 6.01248	-306.4453 5.992145	-306.5517 5.969996
-301.1548 7.152864	-301.2614 7.040332	-301.3565 7.041495	-301.441 7.030105	-301.5705 7.006412	-301.6161 6.999184	-301.7582 6.968012	-301.846 6.960075	-301.9269 6.932558	-302.0195 6.922139	-302.1305 6.889579	-302.2493 6.880892	-302.3533 6.856235	-302.412 6.847883	-302.533 6.822432	-302.6639 6.802371	-302.7449 6.778345	-302.8382 6.758351	-302.901 6.749758	-303.0247 6.727277	-303.1241 6.712378	-303.2279 6.680634	-303.3355 6.664047	-303.444 6.647378	-303.5227 6.621995	-303.6117 6.603444	-303.7444 6.570991	-303.8663 6.547762	-303.911 6.52212	-304.0209 6.492055	-304.1682 6.460627	-304.199 6.440248	-304.3735 6.404643	-304.4293 6.374695	-304.5179 6.354109	-304.59 6.319629	-304.7066 6.284983	-304.8398 6.257587	-304.9253 6.231089	-305.0154 6.211219	-305.1178 6.176936	-305.2232 6.154418	-305.3688 6.123915	-305.4775 6.098785	-305.5398 6.08032
-300.1614 7.260349	-300.2595 7.146124	-300.3949 7.147333	-300.4596 7.142433	-300.5475 7.118412	-300.6136 7.110143	-300.7511 7.078486	-300.8365 7.069387	-300.9333 7.04766	-301.0003 7.0341	-301.1274 7.002132	-301.2451 6.995468	-301.347 6.972184	-301.3885 6.963717	-301.5471 6.935352	-301.6619 6.913052	-301.7359 6.894136	-301.8219 6.872352	-301.909 6.860765	-302.0314 6.840659	-302.1191 6.822893	-302.2202 6.794376	-302.3495 6.773338	-302.4329 6.760798	-302.5232 6.732147	-302.6353 6.713734	-302.7386 6.687416	-302.8689 6.661321	-302.9233 6.632004	-303.04 6.603014	-303.1603 6.571273	-303.2165 6.550439	-303.3702 6.51483	-303.4261 6.484608	-303.5175 6.467459	-303.6056 6.428589	-303.7133 6.394892	-303.8241 6.36763	-303.9424 6.33996	-304.0031 6.324897	-304.1411 6.290061	-304.2488 6.264397	-304.3485 6.238912	-304.4483 6.207761	-304.5508 6.192972
