-599.298 -1.653801	-597.7474 -2.771311	-597.6655 -2.788265	-597.5344 -2.790715	-597.4374 -2.789397	-597.3356 -2.786986	-597.2189 -2.788252	-597.1261 -2.787803	-597.03 -2.781114	-596.8622 -2.771905	-596.8051 -2.78328	-596.7402 -2.770526	-596.6036 -2.771272	-596.5563 -2.764036	-596.4149 -2.756657	-596.3069 -2.762052	-596.2453 -2.757048	-596.1139 -2.757586	-596.0181 -2.750449	-595.9407 -2.748486	-595.8276 -2.757396	-595.7334 -2.74536	-595.6572 -2.743591	-595.5521 -2.741629	-595.4573 -2.741094	-595.3486 -2.735163	-595.2262 -2.734447	-595.134 -2.730554	-595.043 -2.728738	-594.9383 -2.73304	-594.8634 -2.738664	-594.718 -2.731726	-594.6573 -2.729044	-594.537 -2.728534	-594.4552 -2.726408	-594.3627 -2.729556	-594.2339 -2.725904	-594.1686 -2.727738	-594.0255 -2.724012	-593.9444 -2.727397	-593.8537 -2.739281	-593.7862 -2.726831	-593.6031 -2.724331	-593.5024 -2.723278	-593.3879 -2.724531
-599.0674 -1.643956	-598.3075 -2.751333	-598.2766 -2.766946	-598.2072 -2.77201	-598.1762 -2.771207	-598.0786 -2.773197	-598.0674 -2.772713	-598.0007 -2.772736	-597.9311 -2.767056	-597.8253 -2.762124	-597.8179 -2.785238	-597.7551 -2.771152	-597.6266 -2.770441	-597.5702 -2.764128	-597.4155 -2.757252	-597.31 -2.762465	-597.2357 -2.756319	-597.1388 -2.758029	-597.0328 -2.749947	-596.9325 -2.748283	-596.8062 -2.758371	-596.7206 -2.744946	-596.6375 -2.741869	-596.5444 -2.740521	-596.4524 -2.739461	-596.3339 -2.73557	-596.2275 -2.733922	-596.1272 -2.730751	-596.0504 -2.726166	-595.9205 -2.733556	-595.8601 -2.738361	-595.7003 -2.729965	-595.652 -2.727779	-595.5116 -2.727355	-595.4324 -2.727193	-595.3609 -2.728717	-595.2175 -2.725163	-595.166 -2.725454	-595.0406 -2.723936	-594.9534 -2.726735	-594.842 -2.738755	-594.769 -2.723237	-594.6128 -2.723577	-594.4964 -2.720826	-594.3818 -2.725075
-598.5869 -1.629263	-598.3793 -2.722178	-598.3812 -2.73707	-598.3954 -2.743884	-598.4001 -2.744582	-598.333 -2.748888	-598.3895 -2.747931	-598.3517 -2.748482	-598.345 -2.742871	-598.2994 -2.741769	-598.3126 -2.762857	-598.3099 -2.750515	-598.2404 -2.750032	-598.2243 -2.744445	-598.1683 -2.74128	-598.0698 -2.74646	-598.045 -2.739408	-598.0248 -2.743807	-597.9383 -2.734789	-597.8908 -2.738097	-597.8149 -2.759259	-597.7184 -2.744924	-597.6181 -2.741111	-597.5344 -2.740643	-597.4462 -2.739931	-597.3285 -2.735852	-597.233 -2.734269	-597.1274 -2.730778	-597.0504 -2.724537	-596.9264 -2.734045	-596.8642 -2.738696	-596.6971 -2.728764	-596.6404 -2.7268	-596.4927 -2.726325	-596.4415 -2.728659	-596.3522 -2.726223	-596.2296 -2.724797	-596.1442 -2.724192	-596.0502 -2.722953	-595.9562 -2.727283	-595.8538 -2.736984	-595.752 -2.721664	-595.6363 -2.722007	-595.5157 -2.717843	-595.3873 -2.726123
-597.8627 -1.610285	-597.9442 -2.685234	-597.9918 -2.702049	-598.0594 -2.70669	-598.108 -2.711317	-598.1145 -2.717169	-598.2172 -2.714822	-598.2191 -2.715508	-598.2521 -2.711993	-598.2799 -2.712842	-598.3306 -2.731919	-598.3699 -2.72186	-598.3707 -2.721384	-598.3691 -2.719388	-598.3799 -2.71679	-598.343 -2.721024	-598.3396 -2.714762	-598.3883 -2.719719	-598.3429 -2.712341	-598.3545 -2.719195	-598.3259 -2.735915	-598.3137 -2.724771	-598.2231 -2.720553	-598.1842 -2.722427	-598.1656 -2.723831	-598.093 -2.71857	-598.0327 -2.719292	-597.9865 -2.715261	-597.9626 -2.711687	-597.8918 -2.723264	-597.86 -2.739486	-597.7059 -2.728516	-597.6354 -2.726277	-597.5029 -2.726627	-597.4391 -2.729302	-597.3757 -2.727008	-597.2067 -2.72449	-597.1574 -2.722437	-597.0281 -2.722652	-596.9562 -2.727309	-596.8254 -2.73572	-596.734 -2.720933	-596.6326 -2.720717	-596.501 -2.717471	-596.4026 -2.726007
-596.8801 -1.587528	-596.9926 -2.641724	-597.0886 -2.659199	-597.2048 -2.664965	-597.3139 -2.671941	-597.3613 -2.677493	-597.5102 -2.673564	-597.5782 -2.675509	-597.6703 -2.674415	-597.7523 -2.676725	-597.8361 -2.692353	-597.9397 -2.684796	-597.981 -2.687251	-598.0071 -2.686122	-598.0946 -2.684582	-598.1129 -2.688023	-598.1473 -2.683273	-598.2408 -2.689285	-598.2526 -2.683173	-598.3237 -2.691799	-598.3276 -2.704205	-598.369 -2.69664	-598.342 -2.693697	-598.3364 -2.696406	-598.3679 -2.698049	-598.3543 -2.692732	-598.3616 -2.69501	-598.3446 -2.690615	-598.3602 -2.690859	-598.3534 -2.701477	-598.366 -2.716686	-598.2862 -2.708835	-598.2336 -2.707427	-598.1805 -2.709305	-598.1446 -2.712502	-598.1271 -2.711475	-598.0245 -2.708501	-598.0063 -2.707788	-597.949 -2.710238	-597.9283 -2.716564	-597.8318 -2.733319	-597.7206 -2.719918	-597.6331 -2.71763	-597.5053 -2.718078	-597.4106 -2.726079
-595.8988 -1.572055	-596.0037 -2.613331	-596.0778 -2.630186	-596.184 -2.636216	-596.2927 -2.642568	-596.3655 -2.647611	-596.4925 -2.642125	-596.5766 -2.643465	-596.6757 -2.645104	-596.775 -2.64461	-596.8591 -2.647513	-596.9935 -2.641806	-597.0734 -2.644498	-597.1531 -2.645166	-597.3105 -2.645296	-597.3521 -2.647629	-597.4575 -2.644285	-597.5693 -2.651536	-597.6534 -2.647361	-597.7849 -2.656553	-597.8417 -2.665722	-597.9395 -2.661381	-597.9791 -2.659471	-597.9916 -2.663885	-598.0837 -2.665281	-598.1279 -2.660883	-598.1748 -2.662821	-598.2126 -2.658571	-598.2543 -2.662785	-598.3295 -2.671992	-598.3853 -2.686281	-598.3495 -2.680339	-598.3455 -2.679999	-598.3839 -2.68395	-598.3636 -2.686866	-598.3917 -2.688408	-598.3476 -2.683783	-598.3862 -2.685703	-598.334 -2.688606	-598.3743 -2.694952	-598.3329 -2.708264	-598.2934 -2.70179	-598.2354 -2.698156	-598.1984 -2.701339	-598.1202 -2.709353
-594.9016 -1.557069	-594.9987 -2.58604	-595.0695 -2.60376	-595.1824 -2.610562	-595.2883 -2.615236	-595.3579 -2.620715	-595.4836 -2.613611	-595.5824 -2.61483	-595.6852 -2.619509	-595.7942 -2.616756	-595.8805 -2.619695	-595.9924 -2.61324	-596.0631 -2.615013	-596.1458 -2.619081	-596.2883 -2.616699	-596.3606 -2.617259	-596.467 -2.614078	-596.5655 -2.621061	-596.6539 -2.619065	-596.7823 -2.623559	-596.8537 -2.621207	-596.9966 -2.618201	-597.0997 -2.618392	-597.1593 -2.625301	-597.3068 -2.625988	-597.4006 -2.622049	-597.4666 -2.6242	-597.5579 -2.621027	-597.6535 -2.62752	-597.7808 -2.635591	-597.9037 -2.647126	-597.9138 -2.644569	-597.9606 -2.646251	-598.0665 -2.652281	-598.0643 -2.654739	-598.1459 -2.65759	-598.1554 -2.652099	-598.2773 -2.656287	-598.2418 -2.660584	-598.3339 -2.665711	-598.3171 -2.676647	-598.3495 -2.672997	-598.3242 -2.672275	-598.3442 -2.676577	-598.3284 -2.684109
-593.8999 -1.542769	-593.9905 -2.558783	-594.0833 -2.578513	-594.1911 -2.586655	-594.2788 -2.588564	-594.3737 -2.594465	-594.4573 -2.587542	-594.5867 -2.588895	-594.6964 -2.593901	-594.8159 -2.590482	-594.9004 -2.593584	-594.9927 -2.585909	-595.0544 -2.589032	-595.1689 -2.591748	-595.2948 -2.590437	-595.344 -2.589952	-595.4908 -2.585837	-595.5871 -2.595543	-595.6672 -2.592725	-595.7969 -2.593515	-595.8849 -2.594339	-595.9902 -2.589868	-596.1209 -2.591539	-596.1646 -2.598683	-596.3124 -2.595615	-596.4126 -2.593494	-596.4794 -2.595152	-596.5411 -2.593579	-596.6575 -2.597701	-596.7715 -2.603126	-596.9116 -2.602267	-596.9615 -2.602481	-597.0771 -2.606898	-597.2208 -2.613952	-597.2881 -2.616163	-597.3945 -2.61914	-597.4843 -2.61467	-597.6323 -2.621131	-597.6826 -2.624757	-597.7851 -2.630055	-597.8494 -2.638837	-597.923 -2.638434	-597.9293 -2.640258	-597.989 -2.644154	-598.0306 -2.652442
-592.9053 -1.528257	-592.9936 -2.531775	-593.1017 -2.553587	-593.1886 -2.561865	-593.2805 -2.562155	-593.3759 -2.568028	-593.4727 -2.563448	-593.5824 -2.565569	-593.7098 -2.568805	-593.8228 -2.564468	-593.9057 -2.568594	-593.973 -2.560968	-594.0828 -2.564732	-594.1846 -2.567044	-594.3 -2.564524	-594.3376 -2.564337	-594.4914 -2.558896	-594.5972 -2.570237	-594.6769 -2.567497	-594.8033 -2.566081	-594.8926 -2.568576	-595.0032 -2.564293	-595.1259 -2.567028	-595.1738 -2.57316	-595.3087 -2.569932	-595.4119 -2.566811	-595.4474 -2.569318	-595.562 -2.569588	-595.6648 -2.571407	-595.7593 -2.575763	-595.9133 -2.575395	-595.9431 -2.574824	-596.0743 -2.580812	-596.1991 -2.587276	-596.3153 -2.588338	-596.4113 -2.590287	-596.4658 -2.586994	-596.6224 -2.593737	-596.6635 -2.594656	-596.7881 -2.599798	-596.852 -2.595831	-596.9963 -2.598663	-597.0408 -2.603384	-597.1394 -2.604854	-597.2545 -2.613279
-591.8802 -1.512154	-591.9673 -2.504748	-592.0854 -2.528725	-592.2034 -2.538138	-592.2663 -2.537509	-592.367 -2.541898	-592.465 -2.539148	-592.5668 -2.54261	-592.7089 -2.543351	-592.8179 -2.539348	-592.8748 -2.542056	-592.9766 -2.536907	-593.0895 -2.542504	-593.1738 -2.541648	-593.2916 -2.539092	-593.3531 -2.540071	-593.5081 -2.534766	-593.6273 -2.545911	-593.7022 -2.543849	-593.8067 -2.540632	-593.9011 -2.542345	-594.0101 -2.540831	-594.127 -2.543588	-594.1873 -2.548345	-594.3024 -2.546387	-594.4032 -2.540619	-594.4482 -2.545722	-594.5546 -2.546362	-594.6817 -2.546772	-594.7671 -2.549732	-594.9336 -2.548736	-594.9427 -2.551351	-595.1033 -2.556677	-595.187 -2.56186	-595.3297 -2.563	-595.3983 -2.563067	-595.4812 -2.562773	-595.5966 -2.568517	-595.6844 -2.567812	-595.8001 -2.573928	-595.8536 -2.568636	-595.9909 -2.571678	-596.0351 -2.577759	-596.1337 -2.578374	-596.2455 -2.584465
-590.8667 -1.498232	-590.9713 -2.481681	-591.085 -2.505896	-591.2067 -2.514438	-591.2657 -2.514931	-591.3621 -2.518307	-591.4658 -2.516506	-591.5726 -2.520238	-591.6942 -2.520267	-591.7775 -2.515514	-591.8588 -2.51667	-591.9774 -2.513516	-592.0763 -2.520661	-592.1453 -2.516952	-592.2773 -2.514197	-592.3392 -2.514837	-592.5199 -2.511687	-592.6114 -2.523102	-592.7119 -2.519796	-592.8016 -2.516981	-592.8879 -2.517385	-593.0156 -2.5186	-593.1125 -2.520676	-593.1726 -2.523338	-593.2875 -2.52214	-593.4182 -2.515895	-593.459 -2.523373	-593.5725 -2.523021	-593.6888 -2.522955	-593.7624 -2.525022	-593.9437 -2.52416	-593.942 -2.529868	-594.1235 -2.532536	-594.1824 -2.536712	-594.3354 -2.537626	-594.4141 -2.538801	-594.4727 -2.539515	-594.6133 -2.54395	-594.6815 -2.542773	-594.7929 -2.549127	-594.8678 -2.543312	-594.9874 -2.548518	-595.0579 -2.553514	-595.1739 -2.553493	-595.2433 -2.558506
