-589.8683 -1.711799	-589.9719 -3.012818	-590.0527 -3.031733	-590.1874 -3.043024	-590.2934 -3.039361	-590.3721 -3.037092	-590.52 -3.040054	-590.6001 -3.044121	-590.6691 -3.042435	-590.7815 -3.043195	-590.8577 -3.043799	-591.0034 -3.045231	-591.0365 -3.046872	-591.1525 -3.048541	-591.2619 -3.047851	-591.3734 -3.050299	-591.4572 -3.047206	-591.6161 -3.050667	-591.6853 -3.050306	-591.8187 -3.053059	-591.8385 -3.050871	-591.9845 -3.051452	-592.0917 -3.057054	-592.1794 -3.057952	-592.2764 -3.063424	-592.3683 -3.060448	-592.4718 -3.057749	-592.6132 -3.064232	-592.7115 -3.07381	-592.7631 -3.068933	-592.897 -3.077329	-592.9951 -3.083946	-593.06 -3.091247	-593.1744 -3.101384	-593.2872 -3.114913	-593.3975 -3.119427	-593.485 -3.13249	-593.5901 -3.146372	-593.6744 -3.156765	-593.789 -3.163387	-593.8934 -3.171293	-593.9445 -3.176338	-594.0975 -3.19164	-594.1691 -3.202681	-594.2758 -3.21136
-588.8856 -1.691713	-588.9767 -2.976143	-589.0464 -2.997408	-589.1924 -3.007045	-589.2868 -3.002284	-589.3882 -3.001446	-589.5143 -3.005955	-589.6014 -3.010105	-589.6702 -3.007138	-589.7795 -3.007009	-589.8536 -3.008358	-589.9995 -3.009906	-590.0487 -3.014057	-590.1601 -3.014282	-590.2709 -3.013581	-590.376 -3.014634	-590.4858 -3.013258	-590.5983 -3.017412	-590.6972 -3.015587	-590.7941 -3.01761	-590.857 -3.015027	-590.9755 -3.015711	-591.079 -3.023977	-591.1687 -3.022441	-591.2512 -3.027627	-591.3531 -3.025121	-591.4867 -3.02384	-591.6057 -3.02986	-591.6918 -3.036753	-591.7422 -3.03322	-591.9052 -3.039693	-591.9866 -3.047691	-592.0736 -3.055643	-592.1736 -3.065465	-592.2847 -3.07799	-592.4003 -3.082406	-592.4824 -3.097973	-592.5797 -3.111143	-592.6742 -3.119753	-592.7789 -3.126868	-592.9031 -3.134575	-592.9376 -3.141429	-593.1246 -3.157465	-593.1923 -3.166385	-593.2759 -3.174843
-587.9205 -1.671951	-587.9984 -2.942132	-588.0812 -2.965835	-588.2015 -2.973651	-588.293 -2.967962	-588.4087 -2.96651	-588.5164 -2.972881	-588.5817 -2.977179	-588.6652 -2.97335	-588.7842 -2.973585	-588.8628 -2.974453	-588.9988 -2.976182	-589.0593 -2.979674	-589.1693 -2.979621	-589.2947 -2.979998	-589.3797 -2.979174	-589.4761 -2.979689	-589.592 -2.984719	-589.689 -2.981778	-589.7795 -2.982878	-589.8883 -2.980329	-589.9823 -2.982327	-590.0797 -2.990674	-590.1567 -2.988255	-590.2623 -2.99212	-590.3652 -2.991048	-590.4934 -2.991124	-590.6236 -2.996253	-590.6815 -3.000097	-590.7541 -2.99935	-590.8854 -3.003686	-590.9721 -3.014116	-591.0736 -3.022124	-591.1697 -3.031121	-591.2845 -3.043052	-591.3723 -3.047482	-591.4825 -3.065168	-591.5585 -3.077127	-591.662 -3.085421	-591.7627 -3.091581	-591.8896 -3.098726	-591.938 -3.108983	-592.1031 -3.121777	-592.1896 -3.130171	-592.2723 -3.138927
-586.9269 -1.651113	-587.0143 -2.907512	-587.0773 -2.932499	-587.2176 -2.94015	-587.3169 -2.933429	-587.4142 -2.933339	-587.5173 -2.939987	-587.6104 -2.94256	-587.6778 -2.939409	-587.8145 -2.939601	-587.9063 -2.942431	-587.9966 -2.943663	-588.0753 -2.94827	-588.2205 -2.947401	-588.3058 -2.9471	-588.3696 -2.946921	-588.4802 -2.948958	-588.5851 -2.951465	-588.7023 -2.948924	-588.7899 -2.948719	-588.8992 -2.946271	-588.9786 -2.950538	-589.098 -2.957024	-589.168 -2.954152	-589.2788 -2.957506	-589.3534 -2.956818	-589.4946 -2.958797	-589.6363 -2.962467	-589.6821 -2.964184	-589.7437 -2.963966	-589.8839 -2.969538	-589.9856 -2.982285	-590.0822 -2.988457	-590.1738 -2.99664	-590.2878 -3.00965	-590.3575 -3.014939	-590.4935 -3.032309	-590.5245 -3.042322	-590.6912 -3.052827	-590.769 -3.059129	-590.8779 -3.066065	-590.9413 -3.077554	-591.1038 -3.087383	-591.1884 -3.096008	-591.2715 -3.105516
-585.9066 -1.630934	-586.0143 -2.874985	-586.0756 -2.89962	-586.2032 -2.906393	-586.3076 -2.898875	-586.4037 -2.901507	-586.5258 -2.906234	-586.6229 -2.907729	-586.6922 -2.905833	-586.8217 -2.905514	-586.9213 -2.90979	-587.0234 -2.911887	-587.1207 -2.915129	-587.2406 -2.91378	-587.3253 -2.912539	-587.3898 -2.915066	-587.51 -2.916958	-587.6146 -2.91594	-587.7083 -2.917315	-587.7993 -2.916043	-587.8939 -2.91503	-587.9815 -2.920701	-588.1127 -2.924661	-588.1803 -2.919903	-588.296 -2.925083	-588.358 -2.925061	-588.4961 -2.927491	-588.6216 -2.929474	-588.6848 -2.932637	-588.759 -2.931875	-588.8936 -2.937789	-588.9748 -2.94988	-589.0888 -2.954058	-589.1648 -2.961775	-589.2786 -2.976816	-589.3383 -2.983689	-589.515 -2.999777	-589.5281 -3.008717	-589.713 -3.020163	-589.7817 -3.025707	-589.8884 -3.034987	-589.9611 -3.046084	-590.0876 -3.053732	-590.1782 -3.062335	-590.261 -3.073361
-584.8826 -1.612705	-585.0251 -2.844031	-585.0802 -2.868069	-585.2144 -2.875207	-585.3243 -2.86814	-585.3929 -2.871482	-585.5656 -2.873549	-585.6169 -2.874742	-585.7082 -2.873886	-585.8352 -2.873573	-585.9359 -2.877664	-586.028 -2.879193	-586.1307 -2.88158	-586.2693 -2.879009	-586.33 -2.87768	-586.394 -2.883043	-586.5088 -2.884555	-586.6469 -2.882314	-586.7089 -2.882672	-586.813 -2.882825	-586.8859 -2.884634	-586.9853 -2.888785	-587.1377 -2.892029	-587.1979 -2.885781	-587.3174 -2.892592	-587.3796 -2.893377	-587.5178 -2.895673	-587.6201 -2.895328	-587.7169 -2.900248	-587.7617 -2.899881	-587.89 -2.90806	-588.0004 -2.918663	-588.0707 -2.921958	-588.1741 -2.92959	-588.2925 -2.946487	-588.3438 -2.954037	-588.5352 -2.968338	-588.5286 -2.975966	-588.7128 -2.987683	-588.7879 -2.994263	-588.8577 -3.003921	-588.9573 -3.01386	-589.0752 -3.020105	-589.1711 -3.029773	-589.2546 -3.04263
-583.8964 -1.595025	-584.0279 -2.81195	-584.0764 -2.83616	-584.238 -2.842346	-584.3199 -2.837025	-584.3994 -2.840478	-584.5678 -2.841693	-584.6321 -2.842115	-584.7352 -2.842417	-584.8436 -2.842514	-584.939 -2.847541	-585.0222 -2.847719	-585.1312 -2.849832	-585.2742 -2.846811	-585.3262 -2.846506	-585.3942 -2.853293	-585.5174 -2.855073	-585.6647 -2.851226	-585.7212 -2.849501	-585.8148 -2.851091	-585.8687 -2.854318	-585.9852 -2.856202	-586.1425 -2.858903	-586.2228 -2.852416	-586.323 -2.861157	-586.3783 -2.861993	-586.539 -2.863618	-586.6063 -2.862113	-586.7254 -2.868319	-586.7686 -2.868577	-586.9209 -2.877882	-587.0237 -2.886035	-587.0818 -2.88937	-587.1716 -2.896917	-587.3071 -2.914484	-587.3763 -2.923094	-587.5603 -2.936274	-587.5613 -2.943759	-587.7407 -2.954603	-587.8203 -2.964604	-587.8713 -2.975107	-587.9656 -2.983652	-588.1083 -2.990346	-588.1816 -3.000014	-588.2658 -3.013468
-582.9216 -1.578702	-583.0348 -2.780018	-583.1028 -2.805196	-583.243 -2.809919	-583.3124 -2.80678	-583.4136 -2.808593	-583.5886 -2.810614	-583.6216 -2.811488	-583.7394 -2.81055	-583.8491 -2.81304	-583.9385 -2.816749	-584.0519 -2.817122	-584.139 -2.817687	-584.2487 -2.814829	-584.317 -2.81617	-584.4036 -2.823127	-584.5194 -2.823546	-584.6752 -2.819013	-584.731 -2.818045	-584.8258 -2.821149	-584.8806 -2.824838	-585.0162 -2.82599	-585.1317 -2.827095	-585.2371 -2.822263	-585.3334 -2.831948	-585.3948 -2.832094	-585.525 -2.831253	-585.5936 -2.831171	-585.7044 -2.83661	-585.7696 -2.839771	-585.9359 -2.847075	-585.9982 -2.853572	-586.0822 -2.856901	-586.1721 -2.865101	-586.3043 -2.881808	-586.3961 -2.891575	-586.5388 -2.903311	-586.5874 -2.913074	-586.7325 -2.92119	-586.8397 -2.934893	-586.8988 -2.94399	-586.999 -2.952614	-587.1171 -2.95975	-587.1924 -2.968457	-587.2787 -2.98351
-581.946 -1.561508	-582.0413 -2.749368	-582.1309 -2.773729	-582.2703 -2.779449	-582.3242 -2.777354	-582.4206 -2.778859	-582.5767 -2.78034	-582.6113 -2.780572	-582.7504 -2.779977	-582.8453 -2.784227	-582.942 -2.785262	-583.031 -2.785304	-583.1395 -2.787088	-583.2202 -2.784992	-583.3239 -2.787922	-583.4028 -2.793179	-583.5178 -2.793031	-583.6675 -2.790832	-583.731 -2.787413	-583.8383 -2.791836	-583.8914 -2.793727	-584.0331 -2.79584	-584.1238 -2.794997	-584.2527 -2.792134	-584.3422 -2.801528	-584.4095 -2.800611	-584.5449 -2.79928	-584.5953 -2.799628	-584.6983 -2.803843	-584.7844 -2.810173	-584.9543 -2.81761	-585.0024 -2.823464	-585.0695 -2.827541	-585.1804 -2.837161	-585.3209 -2.851332	-585.4095 -2.861301	-585.5269 -2.872669	-585.5839 -2.881503	-585.739 -2.8913	-585.8484 -2.906	-585.9009 -2.913159	-585.9997 -2.921776	-586.1093 -2.928299	-586.2188 -2.938438	-586.2867 -2.954003
-580.946 -1.54329	-581.0643 -2.718352	-581.15 -2.741536	-581.258 -2.749318	-581.313 -2.747251	-581.4362 -2.748254	-581.5667 -2.750223	-581.6239 -2.748822	-581.7628 -2.750648	-581.8467 -2.754893	-581.9415 -2.755088	-582.0385 -2.754662	-582.15 -2.757024	-582.1953 -2.756878	-582.3257 -2.760388	-582.4232 -2.763065	-582.5369 -2.762382	-582.652 -2.761208	-582.7415 -2.758628	-582.8553 -2.763687	-582.8996 -2.763354	-583.0244 -2.766356	-583.1133 -2.763729	-583.2646 -2.763804	-583.3587 -2.771953	-583.4131 -2.769608	-583.5259 -2.767566	-583.5994 -2.768722	-583.6702 -2.775111	-583.8038 -2.780385	-583.9849 -2.78804	-584.0109 -2.793094	-584.1023 -2.796231	-584.2017 -2.807791	-584.3353 -2.819935	-584.415 -2.830214	-584.5139 -2.84214	-584.6129 -2.851133	-584.7274 -2.862685	-584.8553 -2.877085	-584.9307 -2.884331	-585.0204 -2.892416	-585.1168 -2.89871	-585.2149 -2.910584	-585.29 -2.925105
