-104.2728 3.828416	-104.3777 3.724399	-104.4678 3.741025	-104.5365 3.753535	-104.6968 3.757225	-104.7536 3.765193	-104.8692 3.775581	-104.948 3.782896	-105.081 3.798714	-105.1848 3.805055	-105.2593 3.807631	-105.331 3.834116	-105.4528 3.828933	-105.5635 3.830071	-105.7113 3.836433	-105.7696 3.845135	-105.8547 3.848072	-105.9879 3.851378	-106.1074 3.857926	-106.1481 3.860577	-106.2455 3.868411	-106.3875 3.872653	-106.4514 3.881268	-106.5994 3.875954	-106.6237 3.890547	-106.773 3.890456	-106.8757 3.895603	-106.9595 3.897796	-107.1358 3.902296	-107.2145 3.898495	-107.3023 3.906084	-107.3805 3.916249	-107.4594 3.917598	-107.5765 3.920919	-107.6975 3.921516	-107.7819 3.930686	-107.8829 3.929988	-108.0023 3.93547	-108.0559 3.942484	-108.191 3.945261	-108.2921 3.945735	-108.4007 3.953624	-108.4795 3.954758	-108.6395 3.960649	-108.65 3.959532
-103.269 3.808534	-103.379 3.708044	-103.4649 3.723317	-103.5098 3.7341	-103.6747 3.738553	-103.7521 3.74993	-103.8624 3.75455	-103.9462 3.762592	-104.078 3.779361	-104.1632 3.785995	-104.2652 3.790299	-104.3404 3.813876	-104.4802 3.80884	-104.5441 3.811707	-104.6672 3.816641	-104.7798 3.828167	-104.8569 3.826155	-104.9842 3.832338	-105.1097 3.840063	-105.1456 3.840862	-105.2399 3.847129	-105.3918 3.85222	-105.4652 3.856635	-105.6218 3.855702	-105.6309 3.869048	-105.7757 3.872734	-105.8557 3.877289	-105.9483 3.878046	-106.0961 3.882675	-106.2135 3.879627	-106.2563 3.890729	-106.3408 3.899379	-106.4497 3.89717	-106.5793 3.901992	-106.6731 3.905265	-106.7729 3.914236	-106.8701 3.911293	-107.0047 3.916695	-107.0575 3.924378	-107.1847 3.92739	-107.3001 3.928245	-107.41 3.93658	-107.4634 3.934174	-107.6243 3.942959	-107.6431 3.939919
-102.2989 3.786852	-102.3771 3.686182	-102.4496 3.701649	-102.5203 3.712451	-102.685 3.720013	-102.7602 3.731361	-102.882 3.732841	-102.9321 3.742191	-103.0797 3.757593	-103.1578 3.764956	-103.2575 3.773528	-103.3363 3.791063	-103.465 3.788887	-103.5194 3.79258	-103.6674 3.798434	-103.7423 3.809493	-103.8562 3.804004	-103.9951 3.81224	-104.0769 3.822874	-104.1413 3.823382	-104.2341 3.82754	-104.39 3.83497	-104.464 3.835622	-104.5966 3.839119	-104.638 3.848942	-104.7633 3.856078	-104.8565 3.859127	-104.9369 3.858343	-105.0669 3.861111	-105.2109 3.861278	-105.2445 3.870275	-105.3471 3.877022	-105.4522 3.873871	-105.5919 3.879177	-105.6695 3.88523	-105.7632 3.892225	-105.8754 3.888749	-105.9833 3.896369	-106.0382 3.904109	-106.1844 3.909913	-106.254 3.910195	-106.3843 3.919353	-106.4648 3.913682	-106.596 3.925891	-106.6485 3.921498
-101.3025 3.769971	-101.3793 3.667406	-101.4706 3.684984	-101.5486 3.694168	-101.666 3.703102	-101.7612 3.713048	-101.8847 3.713601	-101.9805 3.723903	-102.0746 3.738378	-102.1872 3.745787	-102.2803 3.75405	-102.3464 3.765466	-102.469 3.764996	-102.5438 3.771016	-102.6717 3.780277	-102.7479 3.78922	-102.8725 3.78281	-102.9744 3.792266	-103.0697 3.804046	-103.1654 3.804032	-103.2482 3.808217	-103.3693 3.815088	-103.4841 3.814498	-103.572 3.820884	-103.6397 3.829618	-103.7681 3.836742	-103.8524 3.836251	-103.9185 3.838601	-104.058 3.841154	-104.1975 3.84534	-104.2432 3.850149	-104.3463 3.854698	-104.4726 3.854673	-104.5776 3.860093	-104.6489 3.867401	-104.7462 3.871722	-104.8663 3.868782	-104.9711 3.877043	-105.0364 3.882412	-105.164 3.888792	-105.2548 3.88659	-105.3659 3.897608	-105.453 3.891122	-105.5871 3.905418	-105.6574 3.901136
-100.278 3.752421	-100.3904 3.648622	-100.4879 3.668277	-100.5704 3.677414	-100.6708 3.686385	-100.793 3.693901	-100.8911 3.696189	-100.9859 3.707254	-101.1062 3.720682	-101.187 3.729497	-101.2929 3.735617	-101.376 3.745585	-101.4793 3.743676	-101.5627 3.751126	-101.6912 3.763239	-101.7637 3.769155	-101.9091 3.763888	-101.9934 3.773837	-102.0795 3.785972	-102.1595 3.78435	-102.2849 3.786063	-102.3727 3.792071	-102.4892 3.792934	-102.591 3.801028	-102.6667 3.809495	-102.7672 3.815139	-102.8653 3.814251	-102.9318 3.818039	-103.0401 3.819955	-103.1794 3.824996	-103.2485 3.828442	-103.3644 3.831973	-103.4877 3.834342	-103.5859 3.83989	-103.6514 3.848856	-103.7527 3.850745	-103.8641 3.849153	-103.9593 3.858392	-104.0452 3.86252	-104.1652 3.869085	-104.2618 3.865292	-104.3502 3.877881	-104.4546 3.871337	-104.5483 3.886249	-104.6494 3.884991
-99.27954 3.735271	-99.40875 3.630304	-99.50365 3.651271	-99.58822 3.660687	-99.68612 3.670207	-99.80232 3.674819	-99.89429 3.680008	-99.978 3.691455	-100.1022 3.704087	-100.1842 3.713873	-100.2939 3.716394	-100.3782 3.726332	-100.4929 3.722943	-100.5897 3.732702	-100.708 3.746471	-100.7883 3.748695	-100.8956 3.746795	-100.9975 3.75566	-101.0722 3.768846	-101.1802 3.767371	-101.2937 3.766852	-101.3655 3.774196	-101.4774 3.775353	-101.5679 3.784709	-101.6814 3.792476	-101.7731 3.79453	-101.8781 3.7938	-101.9454 3.798827	-102.0476 3.80229	-102.1714 3.803875	-102.2868 3.805436	-102.3743 3.809216	-102.4954 3.812651	-102.5872 3.818703	-102.6548 3.828643	-102.7547 3.828435	-102.8725 3.827896	-102.9485 3.838267	-103.0357 3.841909	-103.1619 3.849153	-103.2325 3.845084	-103.3392 3.857239	-103.4589 3.851231	-103.5435 3.864356	-103.6658 3.86817
-98.2821 3.718093	-98.41771 3.612911	-98.52049 3.634636	-98.58022 3.646004	-98.69857 3.650994	-98.80548 3.655417	-98.87921 3.662713	-99.00008 3.673476	-99.11736 3.69021	-99.1806 3.698756	-99.29022 3.697692	-99.36989 3.707687	-99.50999 3.701145	-99.5996 3.71727	-99.69455 3.729137	-99.82076 3.731002	-99.89049 3.731577	-99.9892 3.738354	-100.0753 3.750512	-100.191 3.748859	-100.3062 3.748777	-100.3615 3.757844	-100.5088 3.758656	-100.5879 3.763808	-100.6935 3.776662	-100.776 3.774581	-100.901 3.774097	-100.9548 3.77931	-101.0494 3.787263	-101.1846 3.786036	-101.3083 3.787225	-101.389 3.791432	-101.4981 3.795431	-101.5936 3.803521	-101.6627 3.810844	-101.7622 3.809385	-101.8742 3.81101	-101.9541 3.820559	-102.0613 3.822805	-102.1822 3.828833	-102.2559 3.824261	-102.3519 3.835257	-102.4643 3.829586	-102.5636 3.843847	-102.6614 3.847161
-97.2917 3.701007	-97.43264 3.594566	-97.51923 3.618347	-97.57848 3.630813	-97.71878 3.631116	-97.80861 3.635684	-97.86957 3.647435	-97.99838 3.654768	-98.12218 3.673434	-98.16779 3.681902	-98.2991 3.679215	-98.36855 3.691157	-98.50547 3.683971	-98.59266 3.701469	-98.67391 3.709152	-98.82982 3.713299	-98.87421 3.715365	-99.0315 3.72237	-99.0828 3.732236	-99.18358 3.729726	-99.3062 3.730922	-99.37686 3.740216	-99.50502 3.743907	-99.60022 3.745909	-99.71806 3.760188	-99.77898 3.754862	-99.89024 3.756098	-99.96111 3.762435	-100.0423 3.77101	-100.1847 3.765406	-100.3185 3.768649	-100.4119 3.773921	-100.4996 3.779406	-100.5932 3.78842	-100.6884 3.792314	-100.7762 3.791367	-100.8758 3.795109	-100.9522 3.802959	-101.066 3.807405	-101.1942 3.809768	-101.2373 3.807084	-101.3742 3.818514	-101.4927 3.813159	-101.5635 3.827282	-101.6884 3.827844
-96.30631 3.685683	-96.42894 3.579141	-96.51869 3.601774	-96.56903 3.615131	-96.71122 3.614409	-96.80531 3.619317	-96.90503 3.630884	-97.0185 3.639679	-97.10147 3.655785	-97.17575 3.664078	-97.32513 3.660184	-97.36161 3.675385	-97.54564 3.666155	-97.60609 3.686682	-97.67504 3.688784	-97.84384 3.695641	-97.85339 3.698469	-98.03513 3.704219	-98.08492 3.713161	-98.21625 3.710793	-98.30292 3.713658	-98.39601 3.721181	-98.50449 3.727702	-98.60697 3.729103	-98.71098 3.741321	-98.78799 3.736604	-98.89902 3.738973	-98.96429 3.745928	-99.06958 3.754298	-99.16235 3.746398	-99.30785 3.751404	-99.39586 3.757981	-99.49559 3.764335	-99.57401 3.771793	-99.7083 3.7724	-99.786 3.774926	-99.88773 3.779189	-99.95792 3.784961	-100.0457 3.792247	-100.1961 3.792061	-100.2766 3.789919	-100.3612 3.800053	-100.4946 3.798509	-100.5798 3.81036	-100.7062 3.807883
-95.34026 3.668909	-95.43133 3.561558	-95.53217 3.582891	-95.57996 3.597652	-95.72552 3.596493	-95.82271 3.602069	-95.8995 3.617155	-96.03011 3.624345	-96.11423 3.636611	-96.19675 3.646337	-96.31955 3.643686	-96.39099 3.661023	-96.55458 3.651531	-96.60808 3.672213	-96.68816 3.671623	-96.82582 3.680761	-96.88141 3.68326	-97.04546 3.688898	-97.09632 3.697085	-97.20813 3.692834	-97.32172 3.696617	-97.41348 3.702069	-97.52518 3.710721	-97.61462 3.710279	-97.71057 3.721902	-97.8045 3.718841	-97.92858 3.721442	-97.9761 3.728825	-98.09491 3.735763	-98.16195 3.72902	-98.31091 3.735568	-98.40464 3.742105	-98.50353 3.748373	-98.57646 3.753945	-98.71982 3.754223	-98.7876 3.757659	-98.90155 3.762595	-98.95895 3.768909	-99.0439 3.774123	-99.21519 3.775299	-99.30946 3.773136	-99.36273 3.781197	-99.49153 3.782872	-99.58755 3.794614	-99.68987 3.788667
