-599.23 -1.550284	-597.6917 -2.604772	-597.6006 -2.632519	-597.4833 -2.64348	-597.4281 -2.648028	-597.3489 -2.647393	-597.2271 -2.65037	-597.0974 -2.649269	-596.9944 -2.64872	-596.9343 -2.648017	-596.8029 -2.660764	-596.7508 -2.649054	-596.6212 -2.659387	-596.5173 -2.658892	-596.4069 -2.65821	-596.3172 -2.665384	-596.2602 -2.671413	-596.0934 -2.67571	-596.0271 -2.684441	-595.9343 -2.6871	-595.8226 -2.702131	-595.744 -2.702951	-595.6425 -2.71253	-595.5094 -2.720619	-595.4321 -2.728135	-595.3101 -2.731535	-595.2342 -2.738414	-595.1449 -2.739662	-595.0249 -2.745339	-594.897 -2.746575	-594.8071 -2.760522	-594.7568 -2.752586	-594.5823 -2.758008	-594.521 -2.759496	-594.3793 -2.754079	-594.3247 -2.762734	-594.2318 -2.767322	-594.0972 -2.767951	-594.0593 -2.773196	-593.941 -2.767169	-593.8344 -2.783595	-593.7153 -2.774027	-593.5842 -2.775665	-593.5274 -2.775438	-593.4231 -2.774768
-599.015 -1.541347	-598.2433 -2.587632	-598.202 -2.612879	-598.1668 -2.624221	-598.1454 -2.629932	-598.1149 -2.630069	-598.0488 -2.634539	-597.9413 -2.634407	-597.9275 -2.635555	-597.9103 -2.634838	-597.8064 -2.659968	-597.7449 -2.647867	-597.6281 -2.656565	-597.5233 -2.656869	-597.4199 -2.656737	-597.293 -2.664062	-597.2247 -2.670369	-597.1111 -2.673158	-597.0104 -2.68226	-596.9357 -2.684561	-596.8151 -2.69999	-596.7466 -2.701741	-596.6355 -2.708226	-596.5146 -2.719229	-596.4325 -2.725163	-596.3135 -2.729064	-596.2141 -2.735924	-596.1396 -2.737454	-596.0199 -2.742697	-595.8994 -2.743617	-595.804 -2.759585	-595.7404 -2.750838	-595.6129 -2.755579	-595.5457 -2.756804	-595.3748 -2.750051	-595.3253 -2.760289	-595.2382 -2.764519	-595.1007 -2.76547	-595.0443 -2.768725	-594.934 -2.762631	-594.8429 -2.781771	-594.7077 -2.770821	-594.6105 -2.772559	-594.5319 -2.771877	-594.3991 -2.772521
-598.545 -1.528333	-598.3043 -2.562685	-598.3145 -2.586591	-598.3353 -2.598813	-598.3539 -2.604228	-598.3618 -2.605024	-598.3876 -2.612018	-598.2911 -2.611831	-598.3575 -2.613715	-598.3702 -2.611848	-598.317 -2.637335	-598.3218 -2.627431	-598.2569 -2.636217	-598.193 -2.638136	-598.134 -2.638678	-598.0458 -2.648158	-598.0269 -2.654522	-597.9911 -2.659225	-597.9138 -2.667814	-597.8968 -2.671875	-597.8353 -2.698748	-597.7451 -2.699678	-597.6348 -2.705676	-597.538 -2.717935	-597.4092 -2.72382	-597.3236 -2.727846	-597.2281 -2.733766	-597.1361 -2.736583	-597.0348 -2.741138	-596.8958 -2.741264	-596.8059 -2.757835	-596.723 -2.747892	-596.6194 -2.751803	-596.544 -2.753327	-596.3686 -2.747061	-596.317 -2.758416	-596.2272 -2.761666	-596.1041 -2.763681	-596.0333 -2.765054	-595.9251 -2.760021	-595.8304 -2.780144	-595.7206 -2.766946	-595.6244 -2.769814	-595.5314 -2.767846	-595.405 -2.770676
-597.8353 -1.513305	-597.8771 -2.529918	-597.926 -2.554423	-597.9949 -2.567349	-598.0604 -2.571835	-598.1431 -2.575562	-598.1943 -2.581952	-598.1869 -2.583334	-598.2881 -2.584589	-598.3416 -2.582912	-598.3268 -2.608902	-598.387 -2.599707	-598.3536 -2.608567	-598.3406 -2.61232	-598.3622 -2.613851	-598.3237 -2.624203	-598.3456 -2.630052	-598.3783 -2.636514	-598.2986 -2.64562	-598.3738 -2.649395	-598.3528 -2.676459	-598.2989 -2.679569	-598.2496 -2.684974	-598.2219 -2.698522	-598.1285 -2.706851	-598.0745 -2.712481	-598.0635 -2.718229	-597.9972 -2.722029	-597.9262 -2.726984	-597.8728 -2.729691	-597.8165 -2.755787	-597.6879 -2.744547	-597.6285 -2.747997	-597.5511 -2.752062	-597.3842 -2.745197	-597.3257 -2.756926	-597.2203 -2.759326	-597.1151 -2.761713	-597.0286 -2.761009	-596.9156 -2.759322	-596.8269 -2.778528	-596.7075 -2.764228	-596.628 -2.767378	-596.5228 -2.764026	-596.4023 -2.768414
-596.8597 -1.493899	-596.9362 -2.492067	-597.0588 -2.516733	-597.1813 -2.528833	-597.2606 -2.534749	-597.3901 -2.539632	-597.5035 -2.545285	-597.5519 -2.548759	-597.7014 -2.549117	-597.7948 -2.548682	-597.8369 -2.573674	-597.943 -2.56713	-597.9592 -2.575209	-598.0023 -2.579971	-598.0688 -2.582646	-598.1099 -2.594426	-598.1392 -2.599639	-598.2446 -2.607197	-598.1982 -2.615165	-598.3229 -2.622096	-598.3824 -2.647436	-598.3482 -2.652393	-598.3602 -2.660266	-598.3742 -2.672466	-598.3617 -2.682193	-598.3436 -2.689624	-598.3484 -2.694293	-598.3517 -2.698627	-598.3356 -2.703918	-598.3424 -2.709033	-598.3273 -2.732145	-598.2583 -2.723175	-598.2452 -2.727543	-598.2132 -2.732704	-598.1258 -2.729278	-598.0886 -2.739738	-598.0245 -2.743298	-597.9785 -2.746413	-597.9383 -2.747195	-597.8573 -2.74908	-597.8141 -2.776608	-597.7291 -2.761727	-597.6152 -2.764514	-597.5221 -2.759979	-597.4006 -2.765449
-595.8705 -1.479564	-595.9651 -2.465766	-596.0869 -2.491467	-596.1748 -2.501775	-596.2542 -2.509715	-596.3986 -2.513344	-596.4866 -2.517109	-596.5729 -2.520793	-596.6905 -2.519177	-596.778 -2.520431	-596.859 -2.533056	-597.0151 -2.527822	-597.0793 -2.536376	-597.1749 -2.542452	-597.285 -2.546823	-597.3806 -2.558551	-597.4611 -2.562872	-597.5834 -2.571947	-597.6282 -2.579162	-597.7912 -2.589164	-597.8956 -2.611321	-597.9109 -2.619097	-597.972 -2.630005	-598.0177 -2.640229	-598.0649 -2.652111	-598.0968 -2.660097	-598.1603 -2.663574	-598.1989 -2.668889	-598.2617 -2.674129	-598.3178 -2.682174	-598.35 -2.702083	-598.323 -2.695223	-598.3633 -2.700322	-598.382 -2.706783	-598.3484 -2.70641	-598.3452 -2.716079	-598.3168 -2.718827	-598.3458 -2.721957	-598.3629 -2.725906	-598.3237 -2.729125	-598.3052 -2.752592	-598.2792 -2.741666	-598.2319 -2.743976	-598.1721 -2.741336	-598.1326 -2.750076
-594.8915 -1.466882	-594.9813 -2.441111	-595.0993 -2.466689	-595.1881 -2.477342	-595.2427 -2.486474	-595.4102 -2.490616	-595.4798 -2.491236	-595.5875 -2.494438	-595.6755 -2.493489	-595.7591 -2.49649	-595.869 -2.507754	-595.9966 -2.503274	-596.0436 -2.510095	-596.1766 -2.516806	-596.2944 -2.521808	-596.3773 -2.531432	-596.4571 -2.534097	-596.5547 -2.542336	-596.6559 -2.550857	-596.8057 -2.560771	-596.9033 -2.569336	-596.9727 -2.57993	-597.0895 -2.591838	-597.1725 -2.602933	-597.2726 -2.615433	-597.3533 -2.623312	-597.4788 -2.62694	-597.5541 -2.633061	-597.6601 -2.639794	-597.7835 -2.649637	-597.8458 -2.666019	-597.8821 -2.661837	-597.985 -2.667706	-598.0462 -2.675357	-598.0446 -2.67625	-598.1039 -2.684899	-598.1419 -2.688206	-598.1891 -2.692328	-598.2706 -2.698391	-598.2994 -2.703186	-598.3336 -2.722767	-598.3821 -2.715059	-598.3214 -2.717653	-598.3325 -2.717703	-598.3511 -2.724962
-593.8984 -1.452576	-593.9961 -2.417651	-594.1162 -2.441914	-594.1874 -2.453839	-594.2271 -2.464809	-594.4054 -2.466312	-594.4879 -2.467804	-594.5798 -2.46888	-594.6691 -2.471238	-594.7675 -2.473722	-594.8837 -2.482883	-595.0201 -2.479197	-595.0621 -2.484421	-595.1786 -2.492654	-595.2797 -2.497769	-595.3605 -2.505372	-595.4655 -2.509635	-595.5227 -2.516961	-595.6821 -2.526386	-595.7935 -2.535824	-595.9075 -2.542358	-595.9648 -2.554241	-596.0941 -2.565324	-596.1658 -2.578074	-596.287 -2.588585	-596.3435 -2.595271	-596.4531 -2.598909	-596.5623 -2.604654	-596.6699 -2.61242	-596.785 -2.620422	-596.8488 -2.623729	-596.972 -2.623706	-597.0905 -2.630678	-597.1804 -2.635794	-597.2363 -2.639449	-597.3672 -2.648067	-597.4659 -2.651439	-597.5646 -2.65674	-597.6766 -2.666164	-597.7699 -2.668849	-597.8403 -2.686998	-597.9379 -2.682204	-597.9452 -2.685438	-597.9803 -2.688366	-598.056 -2.694827
-592.9012 -1.439082	-593.0088 -2.393793	-593.0815 -2.419099	-593.1856 -2.43308	-593.2356 -2.443513	-593.4139 -2.443255	-593.4729 -2.444909	-593.5518 -2.445322	-593.6655 -2.450312	-593.7644 -2.451019	-593.8757 -2.458922	-594.0164 -2.455513	-594.0731 -2.460633	-594.1827 -2.470475	-594.2757 -2.474529	-594.344 -2.480304	-594.4638 -2.485797	-594.5319 -2.493979	-594.6891 -2.505318	-594.7906 -2.511697	-594.8873 -2.518153	-594.9813 -2.528415	-595.0901 -2.540772	-595.1784 -2.554542	-595.2793 -2.564148	-595.324 -2.569512	-595.4678 -2.573887	-595.5569 -2.579965	-595.6591 -2.589038	-595.7754 -2.594672	-595.8522 -2.597189	-595.9764 -2.597221	-596.1044 -2.604818	-596.1852 -2.609414	-596.2327 -2.612747	-596.3653 -2.620752	-596.4572 -2.624027	-596.5742 -2.629874	-596.6846 -2.638787	-596.7961 -2.639144	-596.8602 -2.645403	-596.9784 -2.642619	-597.0585 -2.64853	-597.1612 -2.653223	-597.2674 -2.65967
-591.8762 -1.427471	-591.9785 -2.370984	-592.044 -2.397741	-592.1749 -2.412048	-592.2443 -2.421886	-592.3969 -2.420526	-592.4943 -2.421474	-592.542 -2.423524	-592.6566 -2.429329	-592.7689 -2.428546	-592.8653 -2.435596	-593.0147 -2.433432	-593.0754 -2.438589	-593.1692 -2.448719	-593.2502 -2.45067	-593.354 -2.456256	-593.4725 -2.462834	-593.546 -2.473004	-593.6957 -2.483572	-593.7916 -2.48911	-593.9038 -2.495269	-593.9681 -2.503941	-594.0981 -2.516721	-594.2154 -2.532763	-594.2747 -2.539902	-594.3391 -2.545599	-594.4777 -2.550931	-594.5739 -2.557395	-594.641 -2.566632	-594.753 -2.570061	-594.8454 -2.572182	-594.9733 -2.572328	-595.111 -2.581722	-595.1656 -2.586947	-595.2348 -2.588614	-595.3517 -2.595967	-595.466 -2.599134	-595.5565 -2.606486	-595.6664 -2.614325	-595.8091 -2.614451	-595.8859 -2.620278	-595.9995 -2.61635	-596.0385 -2.62387	-596.1599 -2.627949	-596.2744 -2.630347
-590.866 -1.414527	-590.9522 -2.350113	-591.031 -2.378022	-591.1677 -2.391851	-591.2526 -2.400795	-591.3814 -2.398127	-591.4702 -2.3993	-591.5475 -2.404192	-591.6487 -2.408702	-591.7627 -2.407173	-591.8505 -2.412674	-592.0071 -2.411879	-592.0873 -2.417181	-592.1522 -2.426916	-592.2286 -2.427768	-592.3521 -2.433534	-592.4642 -2.442116	-592.5375 -2.45251	-592.6819 -2.461143	-592.7791 -2.466563	-592.9076 -2.472448	-592.9667 -2.481993	-593.1094 -2.494755	-593.2113 -2.511037	-593.2748 -2.515969	-593.3328 -2.522409	-593.47 -2.528285	-593.5799 -2.535853	-593.6455 -2.544281	-593.7507 -2.545873	-593.8493 -2.548046	-594.0082 -2.549189	-594.1079 -2.559842	-594.1722 -2.565187	-594.256 -2.565769	-594.3517 -2.573078	-594.4724 -2.576508	-594.5779 -2.583203	-594.6533 -2.591611	-594.8273 -2.589952	-594.8694 -2.59572	-594.9788 -2.592541	-595.0533 -2.6012	-595.1541 -2.603954	-595.2847 -2.606014
