Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Adsorbido 1.teq4_2col	Adsorbido 1.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col
-573.7938	-4.15948	-573.7916	-4.068083	-573.7854	-3.518273	-573.8054	-3.555629	-573.7844	-2.601546	-573.7756	-4.171741	-573.7803	-3.319711	-573.7852	-3.285123
-572.7938	-4.142355	-572.7705	-4.048318	-572.7897	-3.498128	-572.8149	-3.550006	-572.8063	-2.586706	-572.7838	-4.155046	-572.7891	-3.305197	-572.7594	-3.26641
-571.7937	-4.123762	-571.7853	-4.028662	-571.779	-3.478714	-571.8098	-3.543819	-571.795	-2.56856	-571.7918	-4.137336	-571.7859	-3.289345	-571.7684	-3.248233
-570.7819	-4.104839	-570.8042	-4.00877	-570.774	-3.460542	-570.7703	-3.538218	-570.7968	-2.551188	-570.7786	-4.11967	-570.7743	-3.272945	-570.7642	-3.229355
-569.8151	-4.086204	-569.8298	-3.989545	-569.7743	-3.442795	-569.7907	-3.533747	-569.7926	-2.534953	-569.7856	-4.10217	-569.8002	-3.258516	-569.7726	-3.211854
-568.8264	-4.06652	-568.8232	-3.969312	-568.7538	-3.424319	-568.7625	-3.526866	-568.7639	-2.51716	-568.7725	-4.08211	-568.8133	-3.241613	-568.7969	-3.192102
-567.813	-4.046041	-567.7892	-3.948061	-567.7498	-3.406306	-567.7568	-3.520223	-567.7708	-2.502338	-567.7454	-4.063184	-567.7993	-3.22431	-567.7916	-3.169969
-566.8047	-4.02527	-566.772	-3.92792	-566.7691	-3.387084	-566.7697	-3.514229	-566.7736	-2.486371	-566.7504	-4.046419	-566.7836	-3.208306	-566.8009	-3.150129
-565.7734	-4.006104	-565.7422	-3.909068	-565.7618	-3.36711	-565.7668	-3.507266	-565.7733	-2.470029	-565.7476	-4.028836	-565.7487	-3.191551	-565.7774	-3.130975
-564.7578	-3.986336	-564.7526	-3.890806	-564.7672	-3.349924	-564.7888	-3.500395	-564.7955	-2.454885	-564.7608	-4.011425	-564.7244	-3.176237	-564.7652	-3.114565
-563.757	-3.968624	-563.7768	-3.873549	-563.7849	-3.33088	-563.7892	-3.492883	-563.8056	-2.439397	-563.7949	-3.993592	-563.7279	-3.16249	-563.7502	-3.099424
-562.7689	-3.951272	-562.7896	-3.855623	-562.7835	-3.312645	-562.807	-3.483926	-562.8026	-2.424219	-562.8005	-3.973216	-562.7413	-3.149608	-562.7269	-3.083918
-561.7809	-3.931918	-561.801	-3.838259	-561.8027	-3.294576	-561.8112	-3.477868	-561.8176	-2.40824	-561.8	-3.955632	-561.7793	-3.136193	-561.7471	-3.06869
-560.7942	-3.913057	-560.7975	-3.819655	-560.7817	-3.275209	-560.7987	-3.472147	-560.8041	-2.390551	-560.785	-3.938918	-560.7891	-3.122824	-560.7761	-3.051672
-559.8079	-3.893723	-559.8201	-3.801702	-559.7794	-3.257884	-559.8083	-3.467561	-559.7821	-2.373423	-559.7708	-3.923535	-559.8035	-3.108886	-559.7701	-3.035503
-558.8215	-3.87462	-558.8289	-3.783924	-558.7585	-3.240395	-558.7987	-3.46317	-558.7844	-2.355952	-558.7701	-3.908614	-558.8045	-3.093992	-558.78	-3.019322
-557.8139	-3.855373	-557.8322	-3.764016	-557.7487	-3.221497	-557.7817	-3.456849	-557.7687	-2.33875	-557.7866	-3.891358	-557.7865	-3.077805	-557.7801	-3.000947
