Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
HQ t0	HQ t0	HQ t1	HQ t1	HQ t2	HQ t2	HQ t3	HQ t3	HQ t4	HQ t4	HQ t5	HQ t5	HQ t6	HQ t6	HQ t7	HQ t7	HQ t8	HQ t8	HQ t9	HQ t9	HQ t10	HQ t10	HQ t11	HQ t11	HQ Au	HQ Au
222.7775	0.232955	222.7973	0.132331	222.7276	0.131181	222.7444	0.166369	222.6952	0.108133	222.6678	0.104033	222.6526	0.140481	222.6443	0.099414	222.6562	0.0974	222.6712	0.095768	222.614	0.091357	202.7268	0.068273	202.7116	0.049621
223.7724	0.238543	223.7877	0.13406	223.7367	0.133983	223.7371	0.169622	223.6868	0.111605	223.6676	0.107997	223.633	0.146613	223.641	0.10002	223.6407	0.100335	223.6443	0.098553	223.616	0.093304	203.7206	0.071111	203.7251	0.062792
224.7664	0.246064	224.7678	0.135697	224.7287	0.136079	224.7145	0.171585	224.6948	0.114547	224.6555	0.110513	224.6269	0.15032	224.6526	0.101024	224.6262	0.103479	224.6183	0.100623	224.6091	0.095424	204.7079	0.07266	204.7076	0.072491
225.7962	0.254624	225.7517	0.138796	225.7452	0.138626	225.7177	0.175027	225.7023	0.11845	225.6729	0.113874	225.6447	0.156206	225.6444	0.10288	225.6262	0.106702	225.6245	0.104073	225.6235	0.098291	205.6918	0.073951	205.6873	0.081564
226.8412	0.263798	226.7704	0.144445	226.7659	0.142328	226.7334	0.18321	226.7288	0.121616	226.6953	0.11761	226.6589	0.162554	226.6701	0.106325	226.6513	0.109181	226.6469	0.106551	226.6497	0.100619	206.6844	0.075113	206.6799	0.089595
227.8249	0.270222	227.7643	0.14704	227.7677	0.144041	227.7397	0.187758	227.7445	0.123643	227.6932	0.117912	227.6707	0.162587	227.6629	0.108681	227.6705	0.108245	227.6763	0.107879	227.655	0.101163	207.7048	0.077024	207.6761	0.097345
228.8261	0.276033	228.774	0.148156	228.7654	0.147792	228.7587	0.190638	228.7195	0.125223	228.7042	0.119919	228.6555	0.166569	228.6398	0.110812	228.6924	0.107357	228.6751	0.11088	228.6526	0.102437	208.7118	0.078925	208.6747	0.104531
229.8064	0.283098	229.7605	0.146636	229.7413	0.149873	229.7574	0.193954	229.7063	0.126597	229.7031	0.120254	229.6421	0.169207	229.6557	0.113151	229.6936	0.108662	229.6428	0.113522	229.6342	0.103531	209.7032	0.0805	209.6786	0.111627
230.7881	0.289084	230.7449	0.143282	230.727	0.148501	230.7262	0.191056	230.6773	0.126641	230.6819	0.119993	230.6167	0.170353	230.6196	0.113934	230.6524	0.105878	230.5934	0.11379	230.6127	0.104518	210.7032	0.082936	210.676	0.118464
231.7896	0.295502	231.7376	0.143028	231.7081	0.149368	231.7175	0.191201	231.6519	0.128421	231.6819	0.121661	231.6295	0.174455	231.6386	0.116483	231.626	0.108197	231.5854	0.114558	231.6154	0.106243	211.6808	0.083174	211.6526	0.12508
232.7797	0.301258	232.7328	0.144625	232.7162	0.150157	232.709	0.192789	232.6743	0.132799	232.6822	0.12331	232.647	0.178454	232.6508	0.119225	232.6103	0.109781	232.5863	0.113866	232.6196	0.107199	212.6454	0.085671	212.6533	0.13262
233.7833	0.305729	233.7432	0.14727	233.7272	0.151454	233.6893	0.192638	233.6835	0.136891	233.6576	0.126365	233.6397	0.182231	233.6333	0.12104	233.6039	0.111965	233.6119	0.111577	233.6217	0.108642	213.6702	0.088547	213.6552	0.139705
234.7595	0.311725	234.742	0.150191	234.7226	0.1551	234.7073	0.195466	234.6874	0.140917	234.6646	0.129346	234.6426	0.186001	234.6372	0.122957	234.6206	0.118558	234.6246	0.111982	234.6224	0.110017	214.6578	0.089679	214.6639	0.144736
235.7739	0.318859	235.7536	0.152075	235.7216	0.158376	235.6962	0.198306	235.7034	0.144517	235.6531	0.131861	235.6071	0.192279	235.6156	0.12374	235.6313	0.121924	235.6265	0.113297	235.6021	0.111243	215.6722	0.091751	215.6791	0.150707
236.7804	0.327563	236.7598	0.154179	236.7091	0.160401	236.6884	0.203282	236.7074	0.145353	236.6497	0.134224	236.598	0.197114	236.6197	0.124757	236.6369	0.126338	236.6399	0.115313	236.5946	0.112961	216.7004	0.092611	216.6885	0.15423
237.7693	0.335425	237.7595	0.157458	237.695	0.162276	237.7082	0.20902	237.691	0.146849	237.6639	0.136855	237.5903	0.199161	237.631	0.126776	237.6248	0.127802	237.5964	0.117808	237.6015	0.114386	217.6711	0.094566	217.6676	0.156169
238.7625	0.342143	238.7742	0.160443	238.6878	0.164602	238.6944	0.21473	238.6826	0.149557	238.663	0.14045	238.5894	0.202532	238.6305	0.129426	238.6132	0.123901	238.6075	0.121183	238.5895	0.116263	218.657	0.094814	218.6567	0.159754
239.741	0.35051	239.7843	0.164829	239.7122	0.168834	239.7197	0.22022	239.6822	0.152523	239.6864	0.145104	239.6188	0.204433	239.6487	0.132649	239.6214	0.124474	239.601	0.125044	239.6184	0.11876	219.6481	0.094924	219.6355	0.16227
240.7467	0.357982	240.7677	0.165396	240.7127	0.171428	240.7378	0.220197	240.6824	0.153768	240.6834	0.147452	240.623	0.207887	240.6394	0.134463	240.6008	0.121858	240.5797	0.128301	240.6278	0.120075	220.633	0.095748	220.6263	0.165633
241.756	0.367964	241.7542	0.1649	241.7042	0.172948	241.7289	0.221749	241.679	0.154802	241.6821	0.148771	241.6432	0.214719	241.6397	0.136667	241.6213	0.121752	241.591	0.131699	241.6096	0.12177	221.6374	0.094167	221.6125	0.168894
242.7663	0.379279	242.7396	0.165217	242.716	0.173937	242.7339	0.224223	242.7063	0.155762	242.6772	0.149252	242.6643	0.220757	242.6359	0.139285	242.6354	0.125302	242.6083	0.133965	242.6292	0.123763	222.6381	0.095834	222.6177	0.172347
243.7917	0.386433	243.7207	0.163265	243.7026	0.171577	243.6916	0.225987	243.7024	0.154725	243.6629	0.149446	243.6643	0.223936	243.6118	0.141875	243.6284	0.122952	243.6025	0.133405	243.6057	0.125599	223.6455	0.098813	223.6436	0.177716
244.7668	0.394021	244.7281	0.165241	244.7029	0.171327	244.6885	0.232698	244.7008	0.157343	244.661	0.151742	244.6614	0.227598	244.6129	0.146376	244.6212	0.125185	244.6332	0.134045	244.5966	0.129003	224.6488	0.100679	224.6497	0.182847
245.7942	0.400942	245.7591	0.1672	245.7117	0.174366	245.6973	0.238119	245.7097	0.160859	245.6722	0.155213	245.6583	0.230164	245.6018	0.149613	245.6143	0.126667	245.6613	0.135862	245.6108	0.131617	225.6418	0.103294	225.6599	0.188643
246.7942	0.405914	246.7738	0.168852	246.724	0.175205	246.7007	0.24099	246.7052	0.163287	246.6656	0.158404	246.6556	0.233324	246.6217	0.150835	246.6132	0.12806	246.6382	0.136662	246.5926	0.132044	226.6669	0.105995	226.6741	0.194197
247.7767	0.414531	247.7752	0.173225	247.7166	0.177511	247.727	0.245094	247.7261	0.166309	247.665	0.161954	247.642	0.238151	247.6485	0.152438	247.5977	0.132653	247.6289	0.138909	247.5865	0.132671	227.6559	0.10677	227.6885	0.19584
