Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mv	ua	mv	ua	mv	ua	mv	ua
FcAu		FcMeso		RuAds		Mediacion	
-37.01672	-1.161798	-36.97375	0.007673	-536.8048	-3.459507	-536.7897	-3.539421
-35.99677	-1.1533	-35.97817	0.006363	-535.803	-3.44259	-535.7891	-3.523462
-34.98403	-1.145136	-34.9525	0.006321	-534.8163	-3.42519	-534.7849	-3.508201
-33.98097	-1.141995	-33.96311	0.006273	-533.8087	-3.406232	-533.7777	-3.492598
-32.9612	-1.139175	-32.95649	0.006932	-532.7984	-3.388831	-532.7866	-3.477731
-31.96469	-1.137438	-31.94535	0.007755	-531.8096	-3.370708	-531.7881	-3.461687
-30.95312	-1.134442	-30.96348	0.010123	-530.8196	-3.352837	-530.7789	-3.445108
-29.93391	-1.127204	-29.96668	0.013569	-529.8229	-3.333806	-529.8073	-3.428001
-28.95719	-1.120345	-28.96498	0.017462	-528.8251	-3.312892	-528.7977	-3.410616
-27.95563	-1.111259	-27.96394	0.022305	-527.821	-3.291624	-527.7953	-3.39584
-26.96041	-1.102155	-26.95468	0.025905	-526.8123	-3.271152	-526.8033	-3.379915
-25.97315	-1.095603	-25.95782	0.025245	-525.8196	-3.251814	-525.7698	-3.362497
-24.95277	-1.086825	-24.97121	0.025058	-524.8281	-3.235834	-524.7878	-3.347018
-23.95704	-1.079674	-23.98595	0.023073	-523.8184	-3.219064	-523.7863	-3.330582
-22.96919	-1.070356	-22.99442	0.019664	-522.8269	-3.201034	-522.7687	-3.315089
-21.97293	-1.061484	-21.97821	0.019491	-521.8203	-3.184315	-521.7881	-3.302914
-20.99272	-1.057756	-20.97474	0.019525	-520.8364	-3.165407	-520.786	-3.288942
-19.99377	-1.056302	-19.97505	0.020366	-519.8361	-3.146805	-519.7826	-3.27393
-18.98604	-1.057872	-18.9754	0.023397	-518.8281	-3.128692	-518.7833	-3.259165
-17.99036	-1.056981	-17.98628	0.027671	-517.8257	-3.107303	-517.7599	-3.242643
-16.95789	-1.051304	-16.97353	0.033129	-516.8005	-3.085921	-516.7557	-3.227674
-15.94853	-1.042948	-15.95458	0.036951	-515.7921	-3.064462	-515.7472	-3.212214
-14.95216	-1.035106	-14.93604	0.03863	-514.7648	-3.045017	-514.7529	-3.197048
-13.93242	-1.027152	-13.91169	0.03852	-513.7628	-3.027894	-513.7885	-3.180737
-12.9673	-1.024267	-12.92935	0.035533	-512.7435	-3.0127	-512.7673	-3.163646
-11.97639	-1.019324	-11.93269	0.034793	-511.7706	-2.997828	-511.7642	-3.149226
-10.95693	-1.008628	-10.94694	0.035718	-510.7967	-2.981369	-510.772	-3.134078
-9.970504	-0.999306	-9.977398	0.035677	-509.7901	-2.962837	-509.7474	-3.119808
-8.975755	-0.991751	-8.954068	0.037565	-508.8279	-2.944324	-508.7603	-3.10669
-7.95131	-0.986893	-7.961052	0.039714	-507.8103	-2.924817	-507.7733	-3.091651
-6.965617	-0.987999	-6.953986	0.041306	-506.7993	-2.904367	-506.7844	-3.077389
-5.947271	-0.989727	-5.932736	0.044726	-505.7996	-2.88611	-505.794	-3.063008
-4.904796	-0.983911	-4.939308	0.047426	-504.7901	-2.866172	-504.8142	-3.047973
-3.936054	-0.982358	-3.95884	0.047238	-503.7731	-2.846282	-503.8093	-3.032825
-2.961164	-0.980602	-2.980963	0.048127	-502.7717	-2.827121	-502.7932	-3.017639
-1.995812	-0.977433	-2.008503	0.048849	-501.774	-2.808244	-501.793	-3.00298
-1.031408	-0.975343	-1.057258	0.049308	-500.7751	-2.789703	-500.7758	-2.987259
-0.054839	-0.970484	-0.075106	0.049798	-499.8116	-2.772511	-499.7896	-2.973148
0.93529	-0.960767	0.910745	0.049378	-498.8263	-2.755724	-498.8075	-2.958515
1.939129	-0.948722	1.919925	0.050256	-497.8495	-2.737633	-497.8029	-2.94225
2.932947	-0.944202	2.917514	0.050178	-496.8443	-2.718297	-496.8123	-2.927528
3.944629	-0.938062	3.909243	0.052	-495.8242	-2.698831	-495.8063	-2.912043
4.959602	-0.93533	4.899468	0.05498	-494.827	-2.67922	-494.8125	-2.896363
5.925419	-0.937636	5.86866	0.054572	-493.8093	-2.657797	-493.81	-2.881659
6.905777	-0.934491	6.880878	0.055148	-492.8265	-2.638695	-492.8361	-2.86606
7.896354	-0.93006	7.861891	0.057046	-491.8234	-2.619129	-491.8263	-2.849824
8.887945	-0.925603	8.865969	0.058543	-490.8033	-2.597963	-490.8044	-2.83411
9.913088	-0.918693	9.869006	0.061128	-489.7985	-2.578906	-489.8046	-2.818683
10.91289	-0.910865	10.86321	0.063825	-488.7925	-2.558215	-488.7874	-2.807099
11.91139	-0.900956	11.88433	0.065968	-487.796	-2.537412	-487.8111	-2.792746
12.90729	-0.893938	12.88755	0.065615	-486.8156	-2.516776	-486.8336	-2.779091
13.88554	-0.886703	13.8712	0.065394	-485.8177	-2.495353	-485.8423	-2.763761
14.8968	-0.879665	14.86604	0.066343	-484.8055	-2.473682	-484.8633	-2.746966
15.89351	-0.878027	15.86485	0.065839	-483.8083	-2.451785	-483.8565	-2.733307
16.90071	-0.876548	16.84238	0.065617	-482.8192	-2.432671	-482.8556	-2.719289
17.91149	-0.873181	17.84842	0.067052	-481.8423	-2.414183	-481.87	-2.705176
18.90504	-0.87134	18.84104	0.067005	-480.8728	-2.395158	-480.8443	-2.68847
