WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
		-302.2407	-12.07261	-302.1577	-19.19153	501.3923	17.08517
		-303.2221	-12.02931	-303.1718	-19.27218	502.3992	17.14238
		-304.2133	-11.98651	-304.1797	-19.33747	503.3972	17.19893
		-305.2077	-11.94341	-305.1708	-19.40557	504.3867	17.24774
		-306.202	-11.90843	-306.1459	-19.46851	505.3893	17.29488
		-307.2002	-11.86974	-307.1307	-19.52253	506.3843	17.33553
		-308.1842	-11.82979	-308.119	-19.58038	507.39	17.37017
		-309.1862	-11.79477	-309.1085	-19.63399	508.3908	17.40344
		-310.2103	-11.75871	-310.116	-19.69676	509.3949	17.43204
		-311.2309	-11.72377	-311.1039	-19.76408	510.3884	17.45732
		-312.2425	-11.6814	-312.118	-19.82964	511.3817	17.47528
		-313.2472	-11.63146	-313.149	-19.89678	512.3732	17.49294
		-314.2233	-11.57348	-314.1658	-19.94093	513.3695	17.5233
		-315.1996	-11.51863	-315.1828	-19.97897	514.3824	17.54784
		-316.2066	-11.46275	-316.1908	-20.02755	515.3724	17.56987
		-317.2228	-11.41338	-317.1729	-20.0665	516.3784	17.59587
		-318.2495	-11.36411	-318.1739	-20.10916	517.3655	17.61313
		-319.2872	-11.31193	-319.1799	-20.14348	518.3459	17.6405
		-320.294	-11.25371	-320.1752	-20.16181	519.3601	17.67533
		-321.261	-11.1831	-321.1815	-20.17963	520.3643	17.7042
		-322.2279	-11.10845	-322.1795	-20.20445	521.3658	17.73681
		-323.1935	-11.03261	-323.1794	-20.2307	522.3843	17.77253
		-324.1795	-10.96366	-324.1886	-20.25094	523.3732	17.81161
		-325.1769	-10.89942	-325.2025	-20.27142	524.3648	17.85311
		-326.1773	-10.83977	-326.202	-20.28182	525.3697	17.89382
		-327.2039	-10.7826	-327.2068	-20.287	526.3694	17.94123
		-328.2081	-10.72391	-328.2094	-20.28751	527.3782	17.99004
		-329.2272	-10.66513	-329.2076	-20.28261	528.3784	18.05054
		-330.2536	-10.60044	-330.2163	-20.27436	529.3882	18.11523
		-331.2397	-10.52921	-331.2133	-20.26352	530.3829	18.17422
		-332.2437	-10.44967	-332.2064	-20.25406	531.3899	18.23918
		-333.2433	-10.36347	-333.199	-20.23021	532.3981	18.31109
		-334.2101	-10.28122	-334.179	-20.19721	533.3855	18.38197
		-335.2047	-10.20239	-335.1892	-20.17791	534.3987	18.4571
		-336.1796	-10.12873	-336.1947	-20.15588	535.3877	18.53041
		-337.185	-10.06723	-337.1826	-20.12225	536.3668	18.59816
		-338.2062	-10.00327	-338.1903	-20.11982	537.3726	18.67753
		-339.208	-9.93432	-339.1759	-20.08574	538.3557	18.76199
		-340.2312	-9.86133	-340.1824	-20.04805	539.3593	18.84946
		-341.2245	-9.779625	-341.2014	-20.02158	540.3582	18.93357
		-342.2161	-9.694962	-342.2183	-19.96659	541.3361	19.01681
		-343.2097	-9.61282	-343.2152	-19.91674	542.3367	19.1057
		-344.2027	-9.534573	-344.2131	-19.85491	543.338	19.19538
		-345.2085	-9.457319	-345.2128	-19.8004	544.3298	19.28953
		-346.202	-9.382509	-346.1954	-19.73162	545.3329	19.38657
		-347.1967	-9.312956	-347.2037	-19.66686	546.3417	19.48051
		-348.1978	-9.244962	-348.2086	-19.61629	547.3204	19.5777
		-349.2069	-9.173442	-349.2068	-19.55107	548.3238	19.67781
		-350.2227	-9.102457	-350.2185	-19.48873	549.3044	19.76881
		-351.2344	-9.024181	-351.2063	-19.42045	550.2708	19.86223
		-352.2183	-8.935743	-352.1952	-19.33103	551.2792	19.95513
		-353.1891	-8.850555	-353.1811	-19.23983	552.2885	20.05471
		-354.1655	-8.766242	-354.1725	-19.14376	553.3165	20.15662
		-355.1662	-8.684418	-355.1801	-19.04625	554.3365	20.2515
		-356.1633	-8.609407	-356.1909	-18.94926	555.3336	20.34674
		-357.158	-8.539907	-357.1836	-18.84975	556.3552	20.43865
		-358.1719	-8.468256	-358.1775	-18.74619	557.3596	20.53693
		-359.1582	-8.392226	-359.157	-18.63233	558.3959	20.6389
		-360.1494	-8.317867	-360.1215	-18.51586	559.416	20.7341
		-361.1735	-8.239763	-361.1359	-18.40367	560.4005	20.82366
		-362.1808	-8.161636	-362.1387	-18.29442	561.3923	20.91603
		-363.1826	-8.089378	-363.1479	-18.18169	562.3627	21.00305
		-364.2052	-8.019276	-364.1831	-18.07273	563.3501	21.09425
		-365.1952	-7.947638	-365.1801	-17.95185	564.3455	21.18304
		-366.19	-7.879908	-366.1822	-17.82158	565.3399	21.26287
		-367.1987	-7.818509	-367.2021	-17.69777	566.3303	21.3493
		-368.2065	-7.751082	-368.1881	-17.56445	567.3279	21.43393
		-369.1958	-7.684406	-369.1907	-17.42888	568.3063	21.51795
		-370.2202	-7.617913	-370.1836	-17.29166	569.3123	21.59962
		-371.2232	-7.542928	-371.1771	-17.14311	570.3126	21.67953
		-372.2102	-7.468191	-372.1763	-16.99361	571.3239	21.76139
		-373.2125	-7.396869	-373.176	-16.8465	572.3585	21.84082
		-374.1762	-7.325452	-374.1894	-16.70213	573.3721	21.91699
		-375.1787	-7.256953	-375.1933	-16.55633	574.3861	21.99241
		-376.1689	-7.192212	-376.1876	-16.40947	575.3604	22.05655
		-377.1664	-7.130115	-377.2007	-16.25842	576.3432	22.12249
		-378.19	-7.065846	-378.2029	-16.09579	577.3407	22.19606
		-379.1909	-7.0019	-379.1804	-15.93449	578.3329	22.25535
		-380.202	-6.938642	-380.188	-15.77614	579.3467	22.31909
		-381.2192	-6.872767	-381.1669	-15.61043	580.3293	22.38052
		-382.227	-6.809358	-382.1557	-15.45081	581.3228	22.43364
		-383.2174	-6.748402	-383.1542	-15.28713	582.3013	22.4913
		-384.2041	-6.688815	-384.1376	-15.11225	583.3192	22.54637
		-385.1816	-6.630861	-385.148	-14.94131	584.3539	22.59901
		-386.1675	-6.57492	-386.146	-14.77294	585.3515	22.64879
		-387.1661	-6.521186	-387.1573	-14.61042	586.3677	22.69576
		-388.1877	-6.468771	-388.1442	-14.44316	587.351	22.74186
		-389.2054	-6.415812	-389.1571	-14.28395	588.3348	22.77953
		-390.1987	-6.36264	-390.1548	-14.11881	589.3285	22.81708
		-391.2153	-6.306741	-391.1606	-13.94699	590.3348	22.85715
		-392.2123	-6.24795	-392.1701	-13.783	591.3409	22.89289
		-393.2233	-6.190917	-393.1335	-13.6082	592.3362	22.9292
		-394.1958	-6.136561	-394.1262	-13.43632	593.3403	22.96117
		-395.175	-6.082129	-395.1028	-13.26581	594.3472	22.98585
		-396.1738	-6.037994	-396.0892	-13.09489	595.3339	23.01292
		-397.1577	-5.986633	-397.1089	-12.92457	596.3397	23.04081
		-398.1634	-5.935816	-398.095	-12.75136	597.3514	23.0631
		-399.1668	-5.888234	-399.1114	-12.58884	598.3551	23.08411
		-400.1566	-5.836092	-400.1351	-12.42386	599.3417	23.0989
		-401.1531	-5.793472	-401.1272	-12.26238	600.3308	23.11329
		-402.1606	-5.749666	-402.1321	-12.10006	601.3224	23.12925
		-403.1364	-5.704928	-403.1262	-11.93386	602.3083	23.1424
		-404.1259	-5.661773	-404.1196	-11.7719	603.3426	23.15287
		-405.1044	-5.617609	-405.1011	-11.6095	604.3617	23.15724
		-406.1004	-5.575995	-406.1175	-11.45286	605.3566	23.16072
		-407.1082	-5.535523	-407.123	-11.29248	606.3727	23.16437
		-408.1077	-5.496029	-408.1089	-11.13108	607.3713	23.16268
		-409.1389	-5.457276	-409.1089	-10.97493	608.3748	23.16099
		-410.142	-5.417841	-410.0893	-10.81614	609.382	23.15871
		-411.1397	-5.380345	-411.0585	-10.66403	610.3866	23.15186
		-412.1511	-5.341024	-412.0517	-10.51498	611.3706	23.14265
		-413.1245	-5.300308	-413.0557	-10.36977	612.3707	23.13272
		-414.1145	-5.263242	-414.0688	-10.23135	613.3735	23.11532
		-415.135	-5.225216	-415.0952	-10.09179	614.3453	23.09841
		-416.1218	-5.189765	-416.1062	-9.951674	615.3322	23.08571
		-417.1202	-5.158544	-417.1228	-9.807369	616.314	23.06732
		-418.1474	-5.125411	-418.1385	-9.667199	617.3035	23.05052
		-419.1353	-5.094563	-419.1492	-9.530827	618.3051	23.02836
		-420.1569	-5.063638	-420.1567	-9.395602	619.3116	23.00654
		-421.1854	-5.033303	-421.1429	-9.264424	620.3118	22.98545
		-422.1749	-5.002746	-422.1291	-9.127904	621.316	22.96033
		-423.1641	-4.970923	-423.1186	-8.995852	622.3304	22.93979
		-424.141	-4.940194	-424.1074	-8.868635	623.3369	22.91237
		-425.1267	-4.909365	-425.1443	-8.744817	624.3291	22.88093
		-426.1164	-4.880471	-426.16	-8.623569	625.3156	22.85282
		-427.1344	-4.854774	-427.1568	-8.500091	626.3103	22.81806
		-428.1758	-4.831239	-428.1779	-8.382441	627.2958	22.78549
		-429.1857	-4.805875	-429.1642	-8.263935	628.2913	22.75504
		-430.2073	-4.783071	-430.137	-8.150867	629.2938	22.72011
		-431.2136	-4.757516	-431.1402	-8.039418	630.2991	22.69037
		-432.1692	-4.72831	-432.1328	-7.926019	631.3077	22.65585
		-433.1487	-4.702346	-433.1228	-7.819249	632.324	22.61645
		-434.125	-4.67616	-434.1274	-7.713286	633.3408	22.58192
		-435.099	-4.652907	-435.1268	-7.609773	634.3182	22.54132
		-436.1025	-4.63191	-436.1262	-7.506559	635.3168	22.50586
		-437.1106	-4.613353	-437.107	-7.403675	636.3034	22.46819
		-438.1192	-4.593711	-438.1022	-7.304195	637.2747	22.42491
		-439.1647	-4.574656	-439.0974	-7.211785	638.2699	22.38419
		-440.1813	-4.557567	-440.0995	-7.118137	639.2605	22.33932
		-441.1786	-4.538446	-441.1263	-7.031109	640.2827	22.30321
		-442.1863	-4.519232	-442.1521	-6.940639	641.3104	22.26363
		-443.1298	-4.499455	-443.1418	-6.852198	642.3188	22.22076
		-444.1317	-4.479608	-444.1369	-6.771646	643.3298	22.178
		-445.1304	-4.460151	-445.1251	-6.68609	644.3097	22.13498
		-446.1361	-4.443589	-446.1255	-6.605136	645.2892	22.08825
		-447.1566	-4.428251	-447.1465	-6.526051	646.2974	22.04378
		-448.1627	-4.413673	-448.14	-6.447225	647.2977	21.99937
		-449.1657	-4.400063	-449.1465	-6.371973	648.3181	21.95184
		-450.1561	-4.384669	-450.1277	-6.302564	649.3072	21.91106
		-451.1938	-4.367853	-451.1278	-6.230191	650.3094	21.86751
		-452.1754	-4.349761	-452.1451	-6.162374	651.3192	21.82189
		-453.1774	-4.333775	-453.1484	-6.097376	652.2988	21.77405
		-454.2029	-4.324148	-454.15	-6.032937	653.2969	21.72585
		-455.1921	-4.313243	-455.141	-5.970557	654.3007	21.68386
		-456.2133	-4.303309	-456.1316	-5.907706	655.2966	21.63964
		-457.2177	-4.291234	-457.1368	-5.848691	656.2907	21.59211
		-458.1918	-4.277366	-458.1279	-5.790372	657.3074	21.54769
		-459.1571	-4.26497	-459.1232	-5.736948	658.3124	21.49969
		-460.1445	-4.252271	-460.1204	-5.684488	659.3091	21.45556
		-461.1161	-4.239913	-461.0993	-5.627816	660.3349	21.41603
		-462.1127	-4.226558	-462.0856	-5.57949	661.3412	21.36704
		-463.1313	-4.220785	-463.1062	-5.532608	662.3292	21.31944
		-464.1435	-4.214685	-464.1193	-5.488081	663.3458	21.27104
		-465.1815	-4.207788	-465.1385	-5.447888	664.3571	21.22562
		-466.2195	-4.203845	-466.1889	-5.403213	665.36	21.18397
		-467.2302	-4.193468	-467.1817	-5.362502	666.367	21.13722
		-468.2395	-4.183911	-468.1773	-5.322516	667.3432	21.09305
		-469.225	-4.176771	-469.1769	-5.28559	668.3342	21.04597
		-470.2195	-4.169663	-470.1602	-5.251792	669.3329	20.99925
		-471.221	-4.163007	-471.1606	-5.215396	670.3145	20.95488
		-472.2231	-4.154629	-472.1822	-5.18401	671.3093	20.90949
		-473.2283	-4.147681	-473.1872	-5.152023	672.2812	20.86428
		-474.1943	-4.133165	-474.1708	-5.120939	673.2891	20.8248
		-475.1918	-4.123728	-475.1586	-5.092385	674.3133	20.7835
		-476.1544	-4.117598	-476.136	-5.065329	675.3364	20.74231
		-477.166	-4.109877	-477.1343	-5.041509	676.3636	20.69941
		-478.1792	-4.106804	-478.1467	-5.019144	677.3381	20.65111
		-479.168	-4.099754	-479.173	-4.998419	678.3093	20.61002
		-480.1757	-4.092667	-480.1612	-4.973899	679.3018	20.56703
		-481.1553	-4.085858	-481.1524	-4.953244	680.2916	20.52353
		-482.1379	-4.079612	-482.1539	-4.935256	681.309	20.48103
		-483.1668	-4.077325	-483.1356	-4.918233	682.322	20.43764
		-484.2077	-4.074082	-484.1568	-4.905123	683.3108	20.39724
		-485.2117	-4.070571	-485.1515	-4.887553	684.3087	20.35811
		-486.2278	-4.066474	-486.1432	-4.872567	685.3012	20.31948
		-487.1927	-4.05837	-487.144	-4.85867	686.3017	20.28006
		-488.1441	-4.048823	-488.1251	-4.846838	687.3107	20.23969
		-489.1372	-4.041945	-489.1196	-4.835678	688.2993	20.20303
		-490.1215	-4.035697	-490.1166	-4.828953	689.3041	20.16685
		-491.1125	-4.031653	-491.1231	-4.820871	690.2935	20.12489
		-492.1181	-4.030703	-492.1254	-4.813128	691.277	20.0852
		-493.1327	-4.028204	-493.1349	-4.810097	692.2829	20.04589
		-494.1412	-4.026463	-494.1378	-4.800635	693.2867	20.00464
		-495.1613	-4.023623	-495.1368	-4.795252	694.3093	19.96901
		-496.1705	-4.021009	-496.1355	-4.7919	695.3153	19.92991
		-497.1756	-4.017848	-497.1254	-4.787487	696.3078	19.89007
		-498.1812	-4.010844	-498.1351	-4.785252	697.296	19.8565
		-499.1669	-4.004099	-499.1382	-4.781608	698.2624	19.82284
		-500.1621	-3.996569	-500.1328	-4.776743	699.2983	19.79177
		-501.1375	-3.989587	-501.1323	-4.773083	700.3158	19.75396
		-502.1201	-3.986134	-502.1109	-4.771129	701.3256	19.71684
		-503.1536	-3.984336	-503.1041	-4.768974	702.3468	19.68245
		-504.1727	-3.983017	-504.1264	-4.767249	703.3207	19.64672
		-505.1854	-3.979789	-505.1529	-4.765376	704.311	19.61508
		-506.2001	-3.975397	-506.1555	-4.760638	705.3162	19.58219
		-507.1715	-3.967069	-507.1364	-4.756413	706.3107	19.54586
		-508.1409	-3.959424	-508.1219	-4.751892	707.3047	19.51417
		-509.1192	-3.954814	-509.1024	-4.746305	708.3221	19.48314
		-510.1071	-3.951639	-510.1163	-4.74177	709.3311	19.44872
		-511.0833	-3.950966	-511.1433	-4.735472	710.3517	19.41859
		-512.0572	-3.949056	-512.1306	-4.728195	711.3684	19.38565
		-513.0753	-3.948194	-513.1044	-4.721854	712.3702	19.35658
		-514.0779	-3.945387	-514.0989	-4.714373	713.3556	19.32708
		-515.1073	-3.94281	-515.0708	-4.707199	714.3531	19.29385
		-516.1477	-3.940703	-516.0812	-4.698876	715.3324	19.26161
		-517.1583	-3.936096	-517.1011	-4.690006	716.3287	19.22826
		-518.147	-3.930228	-518.0925	-4.680326	717.3343	19.19916
		-519.1262	-3.923048	-519.1179	-4.66924	718.3187	19.16959
		-520.1134	-3.917399	-520.1289	-4.658087	719.3245	19.13905
		-521.0883	-3.910852	-521.1445	-4.644589	720.324	19.11127
		-522.0973	-3.906817	-522.1537	-4.628153	721.3235	19.08393
		-523.1167	-3.905981	-523.1448	-4.61236	722.3179	19.05742
		-524.1223	-3.901905	-524.1458	-4.595488	723.3258	19.03538
		-525.1253	-3.896055	-525.1354	-4.573898	724.3263	19.00863
		-526.1332	-3.889281	-526.1325	-4.5573	725.3254	18.97958
		-527.138	-3.879144	-527.1358	-4.537006	726.3533	18.95771
		-528.1505	-3.872794	-528.1178	-4.516839	727.3412	18.92732
		-529.1752	-3.870143	-529.1569	-4.498695	728.3328	18.90523
		-530.1894	-3.86977	-530.1767	-4.475031	729.3179	18.87913
		-531.1859	-3.86965	-531.1937	-4.452869	730.2903	18.85242
		-532.171	-3.866623	-532.2155	-4.427512	731.3115	18.83185
		-533.1813	-3.865978	-533.1862	-4.401795	732.3043	18.80779
		-534.1777	-3.861482	-534.184	-4.375066	733.3118	18.78752
		-535.191	-3.857464	-535.1686	-4.347656	734.3196	18.76332
		-536.2036	-3.854126	-536.1552	-4.32055	735.301	18.74138
		-537.1918	-3.846848	-537.1542	-4.293334	736.3055	18.72166
		-538.1716	-3.838197	-538.1409	-4.265484	737.3237	18.70477
		-539.1493	-3.830908	-539.1243	-4.238988	738.3494	18.68505
		-540.1246	-3.82431	-540.1321	-4.211313	739.3325	18.66492
		-541.1039	-3.817216	-541.1323	-4.183771	740.3115	18.64212
		-542.102	-3.81488	-542.1277	-4.159466	741.2863	18.61977
		-543.118	-3.811217	-543.1488	-4.132848	742.2593	18.60104
		-544.1398	-3.805091	-544.1456	-4.106371	743.2908	18.5794
		-545.1564	-3.798741	-545.1414	-4.078013	744.3166	18.55884
		-546.1592	-3.791269	-546.1459	-4.049539	745.3148	18.54043
		-547.1531	-3.784688	-547.1561	-4.021938	746.3158	18.52352
		-548.1532	-3.7807	-548.1675	-3.996119	747.2938	18.5082
		-549.1418	-3.779236	-549.1647	-3.970515	748.2803	18.4926
		-550.1439	-3.778281	-550.1587	-3.946217	749.2877	18.47459
		-551.1382	-3.775536	-551.1321	-3.921088	750.2854	18.45995
		-552.1171	-3.772222	-552.1202	-3.895862	751.3099	18.44712
		-553.1248	-3.77014	-553.1104	-3.872657	752.3055	18.43335
		-554.1415	-3.765759	-554.0953	-3.846501	753.2977	18.41966
		-555.1498	-3.762281	-555.0933	-3.824018	754.3016	18.40325
		-556.1653	-3.758326	-556.0929	-3.801568	755.2781	18.38873
		-557.1918	-3.75153	-557.1064	-3.780482	756.3	18.37702
		-558.1866	-3.74318	-558.1308	-3.75989	757.3055	18.3649
		-559.1677	-3.735939	-559.1206	-3.738003	758.2982	18.35168
		-560.1788	-3.728636	-560.1068	-3.718998	759.3074	18.33945
		-561.1374	-3.721412	-561.1018	-3.699993	760.2975	18.32568
		-562.1193	-3.717798	-562.1066	-3.682088	761.3016	18.31479
		-563.1188	-3.711104	-563.108	-3.662954	762.3312	18.30728
		-564.132	-3.704349	-564.1054	-3.643459	763.3467	18.29793
		-565.1329	-3.697889	-565.0815	-3.627375	764.3333	18.28916
		-566.1431	-3.693518	-566.0638	-3.612254	765.3289	18.27732
		-567.1549	-3.691263	-567.0904	-3.599498	766.3253	18.26735
		-568.1201	-3.689979	-568.1187	-3.584071	767.3203	18.25572
		-569.1398	-3.69034	-569.139	-3.568597	768.3344	18.24536
		-570.1393	-3.687211	-570.1392	-3.553539	769.3495	18.23973
		-571.1204	-3.684528	-571.1315	-3.539649	770.3004	18.22959
		-572.1333	-3.680728	-572.1269	-3.527477	771.2789	18.22192
		-573.129	-3.677696	-573.1453	-3.513388	772.2698	18.21486
		-574.1289	-3.674869	-574.1541	-3.500028	773.2578	18.20624
		-575.1606	-3.670313	-575.1636	-3.48839	774.2741	18.19854
		-576.1592	-3.666595	-576.1602	-3.476202	775.2776	18.19324
		-577.1577	-3.660452	-577.1395	-3.466099	776.2866	18.18594
		-578.1622	-3.653093	-578.1386	-3.454621	777.2667	18.18077
		-579.1309	-3.647162	-579.1107	-3.442102	778.2842	18.17616
		-580.1397	-3.641561	-580.0962	-3.433481	779.3001	18.16929
		-581.1033	-3.635835	-581.1038	-3.42287	780.2797	18.16501
		-582.0996	-3.63254	-582.1057	-3.414109	781.2858	18.15881
		-583.1128	-3.627297	-583.1113	-3.403232	782.2858	18.15377
		-584.0889	-3.620946	-584.1117	-3.393605	783.2733	18.14843
		-585.1353	-3.615754	-585.093	-3.384721	784.2933	18.14343
		-586.1485	-3.61198	-587.6154	-3.360513	785.3	18.1398
		-587.1743	-3.610921	-588.5942	-3.351469	786.2902	18.13553
		-588.1832	-3.609364	-589.5969	-3.340939	787.287	18.13355
		-589.1576	-3.607987	-590.5563	-3.335104	788.3032	18.1319
		-590.1288	-3.605067	-591.4739	-3.333382	789.3081	18.12578
		-591.1003	-3.601224	-592.6133	-3.32246	790.3191	18.12174
		-592.0865	-3.598067	-593.5556	-3.318181	791.3325	18.11626
		-593.1041	-3.597497	-594.6381	-3.304768	792.3051	18.10748
		-594.1285	-3.595056	-595.5921	-3.297873	793.3131	18.10617
		-595.1669	-3.593184	-596.5742	-3.298787	794.3015	18.10352
		-596.1954	-3.590598	-597.6169	-3.290322	795.3054	18.1027
		-597.1765	-3.584496	-598.6192	-3.285835	796.3156	18.09984
		-598.1502	-3.57868	-599.6094	-3.270194	797.2963	18.09513
		-598.9845	-3.553382	-599.9683	-3.166573	797.9843	18.02894
		-599.3309	-3.522357	-599.0421	-3.084983	798.1589	17.92294
		-599.21	-3.485576	-598.0345	-3.018971	797.8458	17.78285
		-598.5884	-3.447392	-597.0452	-2.950949	797.0406	17.61151
		-597.5977	-3.42294	-595.9913	-2.911085	796.0481	17.47229
		-596.6085	-3.401604	-595.0129	-2.864494	795.0505	17.34219
		-595.6199	-3.38091	-594.0693	-2.818725	794.0359	17.2282
		-594.626	-3.358828	-593.0485	-2.77281	793.0507	17.11892
		-593.61	-3.335893	-591.9734	-2.724997	792.0605	17.01854
		-592.6051	-3.318716	-591.0893	-2.69027	791.0471	16.92138
		-591.5982	-3.299364	-590.0176	-2.659113	790.0591	16.8266
		-590.5992	-3.28123	-589.0595	-2.617346	789.0532	16.73932
		-589.6023	-3.264672	-588.0792	-2.5835	788.0469	16.65072
		-588.6165	-3.245275	-586.998	-2.535752	787.0521	16.57052
		-587.6218	-3.228117	-586.0948	-2.507973	786.0676	16.49081
		-586.6232	-3.212901	-585.1333	-2.475426	785.0745	16.4129
		-585.6307	-3.199097	-584.0783	-2.443784	784.0623	16.34206
		-584.6116	-3.182681	-583.1177	-2.407228	783.0665	16.27095
		-583.6187	-3.167897			782.0656	16.20343
		-582.6166	-3.152112			781.0394	16.13666
		-581.6108	-3.133539			780.0674	16.07155
		-580.6171	-3.114628			779.0826	16.01015
		-579.5909	-3.099001			778.0736	15.9521
		-578.5908	-3.081352			777.0875	15.89402
		-577.5884	-3.067846			776.0569	15.83675
		-576.6154	-3.056699			775.0472	15.78071
		-575.6394	-3.041588			774.0439	15.72535
		-574.6566	-3.029552			773.0442	15.67632
		-573.6676	-3.016763			772.0577	15.62497
		-572.647	-3.00396			771.0549	15.57505
		-571.6196	-2.993053			770.053	15.52544
		-570.5935	-2.980844			769.0487	15.47706
		-569.5821	-2.967552			768.0588	15.43282
		-568.5466	-2.953678			767.0844	15.38813
		-567.5446	-2.940525			766.1099	15.34581
		-566.5428	-2.927754			765.1293	15.30259
		-565.5446	-2.915589			764.1186	15.25943
		-564.5917	-2.903672			763.1016	15.21988
		-563.6034	-2.88661			762.0781	15.1788
		-562.6138	-2.872842			761.0705	15.13661
		-561.6082	-2.859359			760.0724	15.09801
		-560.593	-2.847123			759.0559	15.0601
		-559.6102	-2.838724			758.0626	15.02301
		-558.6226	-2.827707			757.0558	14.98552
		-557.6305	-2.818091			756.0563	14.94696
		-556.6376	-2.806002			755.0498	14.90855
		-555.6262	-2.794101			754.0582	14.87456
		-554.6166	-2.781755			753.0605	14.84064
		-553.629	-2.76686			752.0524	14.80495
		-552.6094	-2.751871			751.0588	14.77035
		-551.6018	-2.737799			750.0324	14.73625
		-550.6049	-2.723633			749.0406	14.70329
		-549.5845	-2.711301			748.0391	14.67248
		-548.5804	-2.701316			747.0451	14.64123
		-547.5925	-2.69015			746.0629	14.607
		-546.605	-2.680879			745.0499	14.57677
		-545.6139	-2.670772			744.0587	14.54725
		-544.6379	-2.659949			743.0696	14.51677
		-543.65	-2.647474			742.0676	14.48621
		-542.6065	-2.632497			741.0922	14.45454
		-541.5822	-2.618002			740.094	14.42382
		-540.5775	-2.603445			739.1006	14.39273
		-539.5622	-2.590663			738.0941	14.36338
		-538.5903	-2.579811			737.0593	14.33236
		-537.6187	-2.565266			736.0479	14.30255
		-536.6284	-2.550769			735.042	14.27466
		-535.6351	-2.538631			734.0361	14.24599
		-534.6492	-2.526126			733.0472	14.22045
		-533.6721	-2.517606			732.0359	14.19068
		-532.672	-2.507455			731.0327	14.16374
		-531.646	-2.495311			730.0227	14.13714
		-530.6478	-2.482124			729.0488	14.10862
		-529.6106	-2.467724			728.0639	14.08437
		-528.5995	-2.456546			727.0681	14.05462
		-527.6201	-2.445413			726.087	14.02798
		-526.6062	-2.432962			725.071	14.00006
		-525.6303	-2.418385			724.0729	13.97137
		-524.6426	-2.402481			723.0663	13.94624
		-523.6299	-2.385983			722.0558	13.91877
		-522.603	-2.375196			721.0621	13.89095
		-521.5778	-2.366607			720.043	13.8658
		-520.5609	-2.357199			719.045	13.83913
		-519.557	-2.347429			718.0557	13.81294
		-518.5743	-2.333592			717.0648	13.79021
		-517.593	-2.321004			716.1129	13.76225
		-516.5962	-2.307043			715.1326	13.73573
		-515.6073	-2.294847			714.1425	13.70842
		-514.6083	-2.281546			713.1212	13.67682
		-513.6042	-2.263586			712.0897	13.65236
		-512.5974	-2.249568			711.0603	13.62803
		-511.593	-2.236065			710.0363	13.60405
		-510.5943	-2.224139			709.0126	13.5849
		-509.582	-2.215803			708.0078	13.5591
		-508.5735	-2.206893			706.9952	13.53218
		-507.5845	-2.194236			705.9901	13.50634
		-506.6135	-2.18118			704.9917	13.47847
		-505.6312	-2.167463			703.9867	13.45401
		-504.6451	-2.151956			702.9982	13.43011
		-503.6419	-2.136221			702.027	13.40597
		-502.6125	-2.119145			701.0369	13.38191
		-501.5891	-2.10364			700.0496	13.35699
		-500.595	-2.0876			699.04	13.3309
		-499.5752	-2.073872			698.0232	13.30371
		-498.5584	-2.062044			697.0157	13.27619
		-497.5743	-2.048192			696.0182	13.24821
		-496.5662	-2.035671			695.0337	13.22068
		-495.5964	-2.023419			694.0284	13.19358
		-494.6257	-2.009773			693.0417	13.16831
		-493.6267	-1.995829			692.05	13.14008
		-492.627	-1.980215			691.066	13.11408
		-491.6136	-1.963406			690.0831	13.08838
		-490.588	-1.946976			689.0938	13.06013
		-489.5763	-1.932175			688.0657	13.03512
		-488.5729	-1.917485			687.0489	13.0098
		-487.5626	-1.901287			686.0491	12.98424
		-486.5853	-1.885033			685.0334	12.9578
		-485.6033	-1.870256			684.0447	12.93371
		-484.6311	-1.857126			683.0383	12.90167
		-483.6574	-1.845972			682.0281	12.87509
		-482.6579	-1.835752			681.0286	12.8471
		-481.6605	-1.822569			680.0275	12.81825
		-480.6519	-1.808079			679.0332	12.79605
		-479.6352	-1.79329			678.0352	12.76619
		-478.6213	-1.778905			677.0517	12.74158
		-477.6132	-1.765509			676.0469	12.71143
		-476.5957	-1.750668			675.0176	12.68222
		-475.609	-1.733817			674.0067	12.65676
		-474.6185	-1.715796			672.99	12.62685
		-473.629	-1.698374			672.006	12.60129
		-472.6368	-1.684597			671.0203	12.57491
		-471.6423	-1.673673			670.0228	12.5445
		-470.6436	-1.662665			669.0269	12.5157
		-469.6311	-1.650569			668.0005	12.4852
		-468.6348	-1.637596			666.992	12.45498
		-467.6348	-1.625105			665.9921	12.42608
		-466.6488	-1.61188			664.9989	12.39907
		-465.6742	-1.598997			664.0384	12.3733
