WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
-542.8907	-4.030164	-542.8529	-3.755933	-542.907	-1.197258	-542.8616	-5.447979
-541.873	-4.013256	-541.8536	-3.747945	-541.8931	-1.171985	-541.8572	-5.432723
-540.8725	-4.000617	-540.8531	-3.742131	-540.8737	-1.149404	-540.8619	-5.41788
-539.8522	-3.982081	-539.8672	-3.736055	-539.8682	-1.12519	-539.8572	-5.40178
-538.8557	-3.963391	-538.8662	-3.730877	-538.8741	-1.101631	-538.8476	-5.382127
-537.8749	-3.949173	-537.8779	-3.727553	-537.9084	-1.079366	-537.8618	-5.36917
-536.8765	-3.933257	-536.8889	-3.721856	-536.9343	-1.056619	-536.8659	-5.354796
-535.8931	-3.920158	-535.8872	-3.716972	-535.9462	-1.032503	-535.8591	-5.340441
-534.901	-3.905441	-534.9097	-3.710913	-534.9615	-1.008687	-534.8621	-5.326359
-533.8738	-3.891137	-533.9034	-3.704972	-533.9455	-0.985806	-533.8704	-5.310087
-532.8644	-3.875627	-532.888	-3.700174	-532.9256	-0.961551	-532.8798	-5.294959
-531.8651	-3.862042	-531.8815	-3.694564	-531.9245	-0.938455	-531.9043	-5.280025
-530.8776	-3.847832	-530.8726	-3.688167	-530.9164	-0.914991	-530.9187	-5.266965
-529.8945	-3.829358	-529.8793	-3.679988	-529.9213	-0.88999	-529.9119	-5.250141
-528.8878	-3.812847	-528.8679	-3.671169	-528.9245	-0.862353	-528.8951	-5.233862
-527.8901	-3.794461	-527.867	-3.663198	-527.9163	-0.837863	-527.8756	-5.218859
-526.8717	-3.778538	-526.8499	-3.658332	-526.9133	-0.814079	-526.8583	-5.203114
-525.8812	-3.763463	-525.8444	-3.654855	-525.9224	-0.789337	-525.8461	-5.185732
-524.8983	-3.750322	-524.8552	-3.651994	-524.9399	-0.7694	-524.8558	-5.168756
-523.8817	-3.735466	-523.8304	-3.648336	-523.9509	-0.745781	-523.8677	-5.154181
-522.8956	-3.719141	-522.8336	-3.64199	-522.9365	-0.720327	-522.8743	-5.136818
-521.8958	-3.704342	-521.8443	-3.637528	-521.9279	-0.697891	-521.8822	-5.123862
-520.903	-3.686278	-520.8478	-3.631828	-520.8966	-0.672955	-520.8859	-5.107959
-519.8969	-3.669421	-519.8802	-3.62609	-519.8901	-0.649187	-519.8618	-5.090949
-518.8943	-3.653425	-518.8871	-3.620579	-518.8865	-0.626717	-518.8543	-5.075864
-517.8734	-3.637134	-517.864	-3.611693	-517.8915	-0.602345	-517.8453	-5.059493
-516.8503	-3.620899	-516.8351	-3.60557	-516.9121	-0.57867	-516.8218	-5.044039
-515.8463	-3.605424	-515.7968	-3.599099	-515.9102	-0.553131	-515.8234	-5.025773
-514.8414	-3.58943	-514.7805	-3.594477	-514.91	-0.530214	-514.8401	-5.010983
-513.8523	-3.573001	-513.795	-3.591426	-513.8926	-0.508114	-513.8428	-4.994456
-512.8438	-3.55711	-512.8083	-3.587238	-512.8721	-0.486493	-512.8524	-4.9789
-511.8665	-3.540387	-511.8335	-3.583558	-511.8839	-0.468168	-511.8541	-4.963552
-510.8803	-3.522874	-510.8584	-3.577852	-510.8879	-0.447377	-510.8519	-4.94586
-509.8784	-3.50729	-509.8557	-3.571889	-509.8716	-0.425829	-509.8387	-4.927497
-508.9051	-3.491765	-508.8572	-3.565826	-508.8881	-0.406472	-508.856	-4.912053
-507.9145	-3.475319	-507.8538	-3.558922	-507.871	-0.386887	-507.8746	-4.897726
-506.8941	-3.459117	-506.8487	-3.551975	-506.8667	-0.367051	-506.8711	-4.882217
-505.8943	-3.442531	-505.8458	-3.545748	-505.8945	-0.349777	-505.8929	-4.86821
-504.8938	-3.425291	-504.8616	-3.538651	-504.8927	-0.329861	-504.8906	-4.850841
-503.8789	-3.408875	-503.8604	-3.53266	-503.9052	-0.308241	-503.8799	-4.83553
-502.8752	-3.39254	-502.8608	-3.527705	-502.9223	-0.290269	-502.8855	-4.818404
-501.8877	-3.374929	-501.8529	-3.522023	-501.9139	-0.269705	-501.869	-4.803677
-500.8829	-3.355314	-500.8694	-3.517699	-500.9063	-0.251842	-500.8616	-4.788716
-499.8922	-3.33917	-499.8826	-3.513467	-499.8986	-0.235535	-499.8665	-4.769031
-498.9169	-3.322343	-498.8759	-3.508586	-498.9083	-0.217474	-498.8734	-4.752176
-497.9146	-3.305104	-497.8929	-3.503773	-497.932	-0.201161	-497.8873	-4.735291
-496.9063	-3.286738	-496.8655	-3.497116	-496.921	-0.184265	-496.8946	-4.718251
-495.8816	-3.267446	-495.8593	-3.49067	-495.9256	-0.168286	-495.8868	-4.704935
-494.8655	-3.24988	-494.8687	-3.484122	-494.9149	-0.148547	-494.875	-4.688337
-493.8631	-3.231481	-493.8573	-3.476971	-493.891	-0.131202	-493.8683	-4.6691
-492.8715	-3.217375	-492.8683	-3.472076	-492.908	-0.114699	-492.8535	-4.652196
-491.8935	-3.199876	-491.8773	-3.464416	-491.9021	-0.098876	-491.8557	-4.632927
-490.8911	-3.18394	-490.8854	-3.457649	-490.8909	-0.084595	-490.844	-4.618754
-489.9123	-3.169397	-489.8734	-3.453113	-489.8971	-0.067891	-489.8441	-4.604366
-488.922	-3.152879	-488.8795	-3.448409	-488.9018	-0.053421	-488.8624	-4.589778
-487.915	-3.137931	-487.8658	-3.445274	-487.9178	-0.038902	-487.882	-4.573772
-486.9286	-3.120969	-486.8557	-3.442506	-486.9313	-0.027244	-486.8968	-4.555272
