Vf	Im
V vs. Ref.	A
-2.45709E-001	-1.12850E-006
-2.43713E-001	-1.09111E-006
-2.41681E-001	-1.05295E-006
-2.39689E-001	-1.01340E-006
-2.37696E-001	-9.68583E-007
-2.35699E-001	-9.24734E-007
-2.33696E-001	-8.78319E-007
-2.31690E-001	-8.32459E-007
-2.29670E-001	-7.78412E-007
-2.27687E-001	-7.21659E-007
-2.25680E-001	-6.68514E-007
-2.23690E-001	-6.10443E-007
-2.21692E-001	-5.56466E-007
-2.19683E-001	-4.95481E-007
-2.17663E-001	-4.33177E-007
-2.15676E-001	-3.70250E-007
-2.13675E-001	-3.05380E-007
-2.11684E-001	-2.36555E-007
-2.09685E-001	-1.66203E-007
-2.07682E-001	-8.71103E-008
-2.05689E-001	-1.86323E-008
-2.03656E-001	6.60112E-008
-2.01676E-001	1.32408E-007
-1.99679E-001	2.08310E-007
-1.97687E-001	2.96908E-007
-1.95686E-001	3.78915E-007
-1.93689E-001	4.52041E-007
-1.91663E-001	5.31967E-007
-1.89675E-001	6.15639E-007
-1.87683E-001	6.97993E-007
-1.85677E-001	7.75560E-007
-1.83677E-001	8.52433E-007
-1.81665E-001	9.34301E-007
-1.79678E-001	1.00542E-006
-1.77666E-001	1.07854E-006
-1.75668E-001	1.15292E-006
-1.73667E-001	1.22743E-006
-1.71664E-001	1.29445E-006
-1.69664E-001	1.36050E-006
-1.67662E-001	1.42343E-006
-1.65657E-001	1.48053E-006
-1.63678E-001	1.53173E-006
-1.61661E-001	1.59390E-006
-1.59666E-001	1.64225E-006
-1.57670E-001	1.68985E-006
-1.55651E-001	1.73321E-006
-1.53650E-001	1.77283E-006
-1.51648E-001	1.81189E-006
-1.49656E-001	1.84519E-006
-1.47651E-001	1.87697E-006
-1.45656E-001	1.90291E-006
-1.43652E-001	1.92838E-006
-1.41657E-001	1.94954E-006
-1.39645E-001	1.97292E-006
-1.37652E-001	1.98839E-006
-1.35650E-001	2.00560E-006
-1.33654E-001	2.01573E-006
-1.31653E-001	2.02572E-006
-1.29645E-001	2.03085E-006
-1.27631E-001	2.03786E-006
-1.25634E-001	2.04244E-006
-1.23640E-001	2.04424E-006
-1.21650E-001	2.04514E-006
-1.19647E-001	2.04473E-006
-1.17652E-001	2.04702E-006
-1.15642E-001	2.04674E-006
-1.13632E-001	2.04528E-006
-1.11637E-001	2.03689E-006
-1.09639E-001	2.03821E-006
-1.07635E-001	2.02967E-006
-1.05644E-001	2.02391E-006
-1.03620E-001	2.01462E-006
-1.01619E-001	2.00629E-006
-9.96249E-002	2.00012E-006
-9.76337E-002	1.99110E-006
-9.56312E-002	1.98131E-006
-9.36433E-002	1.97479E-006
-9.16370E-002	1.95814E-006
-8.96399E-002	1.95134E-006
-8.76134E-002	1.94420E-006
-8.56277E-002	1.93497E-006
-8.36317E-002	1.92983E-006
-8.16286E-002	1.91964E-006
-7.96300E-002	1.91478E-006
-7.76162E-002	1.90430E-006
-7.56122E-002	1.89383E-006
-7.36129E-002	1.88009E-006
-7.16291E-002	1.86933E-006
-6.96170E-002	1.86996E-006
-6.76040E-002	1.86226E-006
-6.56167E-002	1.85470E-006
-6.36055E-002	1.84588E-006
-6.16048E-002	1.84457E-006
-5.96054E-002	1.83374E-006
-5.76083E-002	1.82070E-006
-5.56204E-002	1.81536E-006
-5.36179E-002	1.81279E-006
-5.15962E-002	1.80335E-006
-4.96006E-002	1.79884E-006
-4.75926E-002	1.79149E-006
-4.55943E-002	1.79475E-006
-4.36047E-002	1.78490E-006
-4.16055E-002	1.78428E-006
-3.96057E-002	1.77650E-006
-3.75986E-002	1.76950E-006
-3.55871E-002	1.76304E-006
-3.35925E-002	1.76096E-006
-3.15925E-002	1.75652E-006
-2.95906E-002	1.75562E-006
-2.76031E-002	1.75257E-006
-2.55924E-002	1.74445E-006
-2.35770E-002	1.74549E-006
-2.15857E-002	1.74133E-006
-1.95720E-002	1.73939E-006
-1.75855E-002	1.73626E-006
-1.55832E-002	1.73404E-006
-1.35938E-002	1.73404E-006
-1.15675E-002	1.73404E-006
-9.58502E-003	1.72738E-006
-7.56978E-003	1.72905E-006
-5.57456E-003	1.72669E-006
-3.58185E-003	1.72371E-006
-1.55701E-003	1.71788E-006
4.59904E-004	1.72024E-006
2.44845E-003	1.72579E-006
4.44408E-003	1.72676E-006
6.43826E-003	1.72176E-006
8.43848E-003	1.71829E-006
1.04366E-002	1.72412E-006
1.24335E-002	1.72287E-006
1.44454E-002	1.72475E-006
1.64463E-002	1.72489E-006
1.84421E-002	1.71753E-006
2.04507E-002	1.71857E-006
2.24588E-002	1.72093E-006
2.44584E-002	1.71996E-006
2.64559E-002	1.72239E-006
2.84607E-002	1.72412E-006
3.04545E-002	1.72378E-006
3.24506E-002	1.72058E-006
3.44531E-002	1.71920E-006
3.64487E-002	1.72391E-006
3.84792E-002	1.72995E-006
4.04604E-002	1.72891E-006
4.24492E-002	1.73224E-006
4.44559E-002	1.73307E-006
4.64594E-002	1.73710E-006
4.84784E-002	1.73973E-006
5.04732E-002	1.74084E-006
5.24778E-002	1.74376E-006
5.44785E-002	1.74764E-006
5.64879E-002	1.75076E-006
5.84679E-002	1.74653E-006
6.04608E-002	1.74813E-006
6.24758E-002	1.75590E-006
6.44911E-002	1.75736E-006
6.64850E-002	1.75958E-006
6.84832E-002	1.76395E-006
7.04953E-002	1.77054E-006
7.24655E-002	1.76644E-006
7.44872E-002	1.77435E-006
7.64797E-002	1.77657E-006
7.84933E-002	1.77748E-006
8.04945E-002	1.78240E-006
8.24791E-002	1.78185E-006
8.44839E-002	1.78282E-006
8.64931E-002	1.79413E-006
8.84806E-002	1.79198E-006
9.04938E-002	1.79878E-006
9.24969E-002	1.80294E-006
9.44936E-002	1.80752E-006
9.65009E-002	1.81057E-006
9.85024E-002	1.80904E-006
1.00503E-001	1.80877E-006
9.85059E-002	1.67417E-006
9.65030E-002	1.58071E-006
9.44988E-002	1.50689E-006
9.24867E-002	1.44709E-006
9.04971E-002	1.39734E-006
8.84865E-002	1.34677E-006
8.64827E-002	1.29466E-006
8.44839E-002	1.25858E-006
8.24889E-002	1.21980E-006
8.04993E-002	1.18705E-006
7.84920E-002	1.15333E-006
7.64828E-002	1.11864E-006
7.44807E-002	1.09297E-006
7.24724E-002	1.06141E-006
7.04890E-002	1.02873E-006
6.84784E-002	1.00500E-006
6.64825E-002	9.85365E-007
6.44904E-002	9.65383E-007
6.24656E-002	9.44916E-007
6.04643E-002	9.11198E-007
5.84768E-002	8.97460E-007
5.64766E-002	8.70749E-007
5.44760E-002	8.57081E-007
5.24845E-002	8.38071E-007
5.04726E-002	8.16286E-007
4.84774E-002	7.94015E-007
4.64565E-002	7.76948E-007
4.44563E-002	7.56481E-007
4.24517E-002	7.37470E-007
4.04588E-002	7.23178E-007
3.84692E-002	7.05972E-007
3.64464E-002	6.89251E-007
3.44564E-002	6.72600E-007
3.24593E-002	6.58516E-007
3.04522E-002	6.43807E-007
2.84599E-002	6.30764E-007
2.64589E-002	6.10297E-007
2.44582E-002	6.02110E-007
2.24524E-002	5.89760E-007
2.04421E-002	5.71930E-007
1.84365E-002	5.60274E-007
1.64385E-002	5.50977E-007
1.44481E-002	5.32175E-007
1.24366E-002	5.23850E-007
1.04299E-002	5.17258E-007
8.43556E-003	4.99220E-007
6.43805E-003	4.92212E-007
4.44575E-003	4.77434E-007
2.43885E-003	4.62309E-007
4.53646E-004	4.56135E-007
-1.55909E-003	4.40594E-007
-3.58018E-003	4.29076E-007
-5.58374E-003	4.22277E-007
-7.57625E-003	4.08748E-007
-9.58169E-003	3.92236E-007
-1.15654E-002	3.81343E-007
-1.35886E-002	3.77805E-007
-1.55774E-002	3.65178E-007
-1.75890E-002	3.54424E-007
-1.95826E-002	3.42698E-007
-2.15910E-002	3.32083E-007
-2.35841E-002	3.23272E-007
-2.55820E-002	3.17305E-007
-2.76060E-002	3.00793E-007
-2.96002E-002	2.90525E-007
-3.15925E-002	2.83864E-007
-3.35923E-002	2.77898E-007
-3.55919E-002	2.61455E-007
-3.75882E-002	2.52019E-007
-3.96097E-002	2.39322E-007
-4.16091E-002	2.28013E-007
-4.35991E-002	2.10668E-007
-4.56024E-002	1.98458E-007
-4.75847E-002	1.87634E-007
-4.95933E-002	1.72301E-007
-5.15881E-002	1.63629E-007
-5.36206E-002	1.49475E-007
-5.56165E-002	1.40942E-007
-5.76069E-002	1.27759E-007
-5.96050E-002	1.16936E-007
-6.16030E-002	1.00909E-007
-6.36030E-002	9.02942E-008
-6.56222E-002	7.07291E-008
-6.76172E-002	6.30279E-008
