Vf	Im
V vs. Ref.	A
-2.45698E-001	-7.13056E-007
-2.43696E-001	-6.98278E-007
-2.41679E-001	-6.88843E-007
-2.39689E-001	-6.80378E-007
-2.37694E-001	-6.57622E-007
-2.35692E-001	-6.46382E-007
-2.33685E-001	-6.32853E-007
-2.31683E-001	-6.19324E-007
-2.29667E-001	-6.07321E-007
-2.27682E-001	-5.90947E-007
-2.25670E-001	-5.75476E-007
-2.23680E-001	-5.55286E-007
-2.21670E-001	-5.33848E-007
-2.19686E-001	-5.27326E-007
-2.17660E-001	-5.11299E-007
-2.15667E-001	-4.93261E-007
-2.13680E-001	-4.80425E-007
-2.11679E-001	-4.66688E-007
-2.09672E-001	-4.55518E-007
-2.07670E-001	-4.40185E-007
-2.05672E-001	-4.26864E-007
-2.03663E-001	-4.12086E-007
-2.01670E-001	-3.93700E-007
-1.99665E-001	-3.77049E-007
-1.97680E-001	-3.61577E-007
-1.95679E-001	-3.44163E-007
-1.93684E-001	-3.30703E-007
-1.91655E-001	-3.24182E-007
-1.89665E-001	-3.06212E-007
-1.87664E-001	-2.86231E-007
-1.85664E-001	-2.70828E-007
-1.83673E-001	-2.57161E-007
-1.81665E-001	-2.48349E-007
-1.79671E-001	-2.33086E-007
-1.77663E-001	-2.18030E-007
-1.75662E-001	-2.07415E-007
-1.73663E-001	-1.91458E-007
-1.71655E-001	-1.77443E-007
-1.69663E-001	-1.72309E-007
-1.67663E-001	-1.58225E-007
-1.65652E-001	-1.49275E-007
-1.63656E-001	-1.30195E-007
-1.61652E-001	-1.23812E-007
-1.59658E-001	-1.11185E-007
-1.57653E-001	-1.01819E-007
-1.55640E-001	-8.98855E-008
-1.53647E-001	-8.75959E-008
-1.51633E-001	-7.21242E-008
-1.49632E-001	-6.36599E-008
-1.47642E-001	-5.92195E-008
-1.45641E-001	-4.88820E-008
-1.43652E-001	-4.28459E-008
-1.41641E-001	-2.91087E-008
-1.39636E-001	-2.77211E-008
-1.37629E-001	-1.51633E-008
-1.35641E-001	-1.07230E-008
-1.33638E-001	-3.16055E-009
-1.31645E-001	4.67938E-009
-1.29631E-001	7.80148E-009
-1.27621E-001	1.56414E-008
-1.25617E-001	2.48690E-008
-1.23624E-001	2.32732E-008
-1.21633E-001	2.91705E-008
-1.19635E-001	3.45128E-008
-1.17633E-001	4.47116E-008
-1.15634E-001	5.28985E-008
-1.13626E-001	5.33841E-008
-1.11630E-001	5.70613E-008
-1.09633E-001	5.60899E-008
-1.07630E-001	5.77550E-008
-1.05632E-001	6.62194E-008
-1.03613E-001	7.40593E-008
-1.01604E-001	7.39206E-008
-9.96179E-002	7.53775E-008
-9.76114E-002	7.82221E-008
-9.56116E-002	7.91935E-008
-9.36255E-002	8.48132E-008
-9.16341E-002	7.89853E-008
-8.96253E-002	8.90454E-008
-8.76023E-002	8.56458E-008
-8.56111E-002	9.00167E-008
-8.36169E-002	8.91148E-008
-8.16148E-002	9.60528E-008
-7.96112E-002	1.04240E-007
-7.76077E-002	1.00354E-007
-7.56081E-002	9.90361E-008
-7.36101E-002	9.88280E-008
-7.16057E-002	9.86892E-008
-6.95988E-002	1.01603E-007
-6.76034E-002	1.03823E-007
-6.56047E-002	1.09651E-007
-6.35957E-002	1.08333E-007
-6.15998E-002	1.12981E-007
-5.95981E-002	1.16104E-007
-5.75812E-002	1.15965E-007
-5.56044E-002	1.13606E-007
-5.36102E-002	1.14161E-007
-5.15856E-002	1.18601E-007
-4.95830E-002	1.20613E-007
-4.75732E-002	1.16659E-007
-4.55880E-002	1.20752E-007
-4.35867E-002	1.21862E-007
-4.15984E-002	1.24984E-007
-3.95934E-002	1.27621E-007
-3.75775E-002	1.29355E-007
-3.55854E-002	1.21099E-007
-3.35821E-002	1.25331E-007
-3.15804E-002	1.22903E-007
-2.95777E-002	1.18254E-007
-2.75931E-002	1.33240E-007
-2.55785E-002	1.31575E-007
-2.35724E-002	1.23319E-007
-2.15736E-002	1.28245E-007
-1.95724E-002	1.28523E-007
-1.75665E-002	1.31922E-007
-1.55655E-002	1.37542E-007
-1.35817E-002	1.29494E-007
-1.15583E-002	1.35044E-007
-9.56208E-003	1.32338E-007
-7.56665E-003	1.39346E-007
-5.56810E-003	1.28314E-007
-3.56370E-003	1.33518E-007
-1.54533E-003	1.40317E-007
4.64701E-004	1.41497E-007
2.46659E-003	1.41982E-007
4.44429E-003	1.37473E-007
6.43993E-003	1.40803E-007
8.44933E-003	1.32824E-007
1.04466E-002	1.39138E-007
1.24433E-002	1.45243E-007
1.44581E-002	1.40456E-007
1.64490E-002	1.40803E-007
1.84540E-002	1.49267E-007
2.04588E-002	1.46561E-007
2.24647E-002	1.45174E-007
2.44707E-002	1.47810E-007
2.64745E-002	1.51140E-007
2.84708E-002	1.52597E-007
3.04708E-002	1.57801E-007
3.24760E-002	1.51557E-007
3.44575E-002	1.57454E-007
3.64533E-002	1.67653E-007
3.84746E-002	1.62588E-007
4.04740E-002	1.65571E-007
4.24682E-002	1.59189E-007
4.44648E-002	1.61062E-007
4.64690E-002	1.63629E-007
4.84845E-002	1.66820E-007
5.04791E-002	1.70983E-007
5.24897E-002	1.72926E-007
5.44845E-002	1.68208E-007
5.64916E-002	1.73620E-007
5.84912E-002	1.85206E-007
6.04785E-002	1.75701E-007
6.24760E-002	1.75840E-007
6.44940E-002	1.77158E-007
6.65030E-002	1.85830E-007
6.84921E-002	1.73342E-007
7.04955E-002	1.85206E-007
7.24788E-002	1.88328E-007
7.44891E-002	1.98943E-007
7.64949E-002	2.02829E-007
7.85127E-002	2.05257E-007
8.04977E-002	2.08934E-007
8.24852E-002	2.14137E-007
8.44925E-002	2.17537E-007
8.65027E-002	2.30858E-007
8.84888E-002	2.30858E-007
9.05015E-002	2.29609E-007
9.25007E-002	2.38143E-007
9.45067E-002	2.45220E-007
9.65009E-002	2.49660E-007
9.85126E-002	2.52366E-007
1.00522E-001	2.63189E-007
9.85168E-002	1.96862E-007
9.65055E-002	1.50516E-007
9.45076E-002	1.23874E-007
9.25080E-002	9.40408E-008
9.05023E-002	6.69132E-008
8.84915E-002	5.20659E-008
8.65013E-002	3.39577E-008
8.44958E-002	1.66821E-008
8.24962E-002	2.80613E-009
8.05081E-002	-8.22529E-009
