Vf	Im
V vs. Ref.	A
-2.45715E-001	-1.11102E-006
-2.43723E-001	-1.06953E-006
-2.41691E-001	-1.02686E-006
-2.39692E-001	-9.90298E-007
-2.37706E-001	-9.45202E-007
-2.35701E-001	-9.01353E-007
-2.33700E-001	-8.55909E-007
-2.31694E-001	-8.04707E-007
-2.29683E-001	-7.57182E-007
-2.27694E-001	-6.99250E-007
-2.25690E-001	-6.51863E-007
-2.23694E-001	-6.00244E-007
-2.21693E-001	-5.37317E-007
-2.19695E-001	-4.82090E-007
-2.17675E-001	-4.18816E-007
-2.15680E-001	-3.56166E-007
-2.13689E-001	-2.93377E-007
-2.11688E-001	-2.26217E-007
-2.09687E-001	-1.61347E-007
-2.07688E-001	-9.18975E-008
-2.05683E-001	-2.27951E-008
-2.03663E-001	5.13721E-008
-2.01673E-001	1.25747E-007
-1.99675E-001	1.99498E-007
-1.97687E-001	2.83101E-007
-1.95679E-001	3.61778E-007
-1.93687E-001	4.34141E-007
-1.91673E-001	5.13443E-007
-1.89682E-001	5.83169E-007
-1.87680E-001	6.62956E-007
-1.85681E-001	7.36499E-007
-1.83680E-001	8.05948E-007
-1.81671E-001	8.79422E-007
-1.79682E-001	9.48663E-007
-1.77671E-001	1.01326E-006
-1.75674E-001	1.07875E-006
-1.73673E-001	1.14605E-006
-1.71667E-001	1.20648E-006
-1.69670E-001	1.27017E-006
-1.67668E-001	1.33677E-006
-1.65657E-001	1.38409E-006
-1.63669E-001	1.43529E-006
-1.61658E-001	1.48726E-006
-1.59670E-001	1.52868E-006
-1.57668E-001	1.57926E-006
-1.55646E-001	1.61839E-006
-1.53652E-001	1.64933E-006
-1.51651E-001	1.69096E-006
-1.49655E-001	1.72385E-006
-1.47648E-001	1.74820E-006
-1.45660E-001	1.77727E-006
-1.43660E-001	1.80592E-006
-1.41657E-001	1.83326E-006
-1.39642E-001	1.85657E-006
-1.37643E-001	1.87551E-006
-1.35648E-001	1.88592E-006
-1.33649E-001	1.90000E-006
-1.31655E-001	1.91832E-006
-1.29644E-001	1.92144E-006
-1.27633E-001	1.92643E-006
-1.25634E-001	1.92970E-006
-1.23637E-001	1.93636E-006
-1.21642E-001	1.93865E-006
-1.19650E-001	1.94982E-006
-1.17648E-001	1.94891E-006
-1.15651E-001	1.95197E-006
-1.13640E-001	1.95127E-006
-1.11646E-001	1.94871E-006
-1.09643E-001	1.95100E-006
-1.07648E-001	1.94954E-006
-1.05646E-001	1.94968E-006
-1.03626E-001	1.94947E-006
-1.01616E-001	1.94968E-006
-9.96277E-002	1.94475E-006
-9.76249E-002	1.93816E-006
-9.56264E-002	1.93268E-006
-9.36234E-002	1.93982E-006
-9.16362E-002	1.93358E-006
-8.96491E-002	1.92928E-006
-8.76121E-002	1.92491E-006
-8.56221E-002	1.92449E-006
-8.36296E-002	1.92199E-006
-8.16223E-002	1.92005E-006
-7.96308E-002	1.91450E-006
-7.76254E-002	1.90888E-006
-7.56154E-002	1.90708E-006
-7.36072E-002	1.90167E-006
-7.16222E-002	1.89979E-006
-6.96137E-002	1.90243E-006
-6.76088E-002	1.90125E-006
-6.56157E-002	1.89827E-006
-6.36071E-002	1.89688E-006
-6.16111E-002	1.89279E-006
-5.96006E-002	1.90278E-006
-5.76029E-002	1.90375E-006
-5.56200E-002	1.89882E-006
-5.36275E-002	1.89195E-006
-5.15939E-002	1.88779E-006
-4.95999E-002	1.88939E-006
-4.75935E-002	1.88890E-006
-4.55997E-002	1.89612E-006
-4.36045E-002	1.89265E-006
-4.16124E-002	1.88945E-006
-3.96017E-002	1.89445E-006
-3.75900E-002	1.89251E-006
-3.55886E-002	1.89667E-006
-3.35894E-002	1.89417E-006
-3.15852E-002	1.89986E-006
-2.95989E-002	1.89438E-006
-2.76050E-002	1.89667E-006
-2.55847E-002	1.89556E-006
-2.35803E-002	1.89625E-006
-2.15824E-002	1.90333E-006
-1.95866E-002	1.90389E-006
-1.75909E-002	1.90756E-006
-1.55844E-002	1.90930E-006
-1.35924E-002	1.91783E-006
-1.15717E-002	1.91124E-006
-9.58127E-003	1.91589E-006
-7.57917E-003	1.92227E-006
-5.57707E-003	1.92303E-006
-3.57830E-003	1.92352E-006
-1.55409E-003	1.92942E-006
4.55106E-004	1.92789E-006
2.43238E-003	1.92657E-006
4.44992E-003	1.93289E-006
6.43367E-003	1.93490E-006
8.42409E-003	1.93927E-006
1.04320E-002	1.94225E-006
1.24389E-002	1.94815E-006
1.44377E-002	1.94163E-006
1.64410E-002	1.95613E-006
1.84365E-002	1.95474E-006
2.04302E-002	1.95821E-006
2.24557E-002	1.96688E-006
2.44488E-002	1.97250E-006
2.64586E-002	1.97896E-006
2.84562E-002	1.98936E-006
3.04553E-002	1.99921E-006
3.24675E-002	2.00650E-006
3.44543E-002	2.01122E-006
3.64362E-002	2.01073E-006
3.84646E-002	2.02211E-006
4.04577E-002	2.03335E-006
4.24494E-002	2.03349E-006
4.44504E-002	2.04056E-006
4.64507E-002	2.05146E-006
4.84728E-002	2.05395E-006
5.04724E-002	2.06332E-006
5.24791E-002	2.06721E-006
5.44649E-002	2.06901E-006
5.64587E-002	2.07636E-006
5.84804E-002	2.09246E-006
6.04616E-002	2.09642E-006
6.24706E-002	2.10134E-006
6.44777E-002	2.10412E-006
6.64684E-002	2.11355E-006
6.84686E-002	2.12021E-006
7.04815E-002	2.13194E-006
7.24653E-002	2.14075E-006
7.44801E-002	2.15331E-006
7.64753E-002	2.15456E-006
7.84956E-002	2.16364E-006
8.04889E-002	2.16559E-006
8.24779E-002	2.17558E-006
8.44806E-002	2.18252E-006
8.64808E-002	2.18494E-006
8.84838E-002	2.19292E-006
9.04944E-002	2.19674E-006
9.25009E-002	2.20555E-006
9.44946E-002	2.20957E-006
9.64922E-002	2.21499E-006
9.85026E-002	2.22234E-006
1.00508E-001	2.22997E-006
9.85026E-002	2.05749E-006
9.64982E-002	1.94239E-006
9.44823E-002	1.85164E-006
9.24975E-002	1.77373E-006
9.04929E-002	1.70574E-006
8.84902E-002	1.64350E-006
8.64833E-002	1.58481E-006
