Vf	Im
V vs. Ref.	A
-5.97876E-001	-3.83460E-006
-5.95862E-001	-3.78631E-006
-5.93877E-001	-3.74947E-006
-5.91863E-001	-3.71582E-006
-5.89861E-001	-3.67822E-006
-5.87856E-001	-3.65393E-006
-5.85870E-001	-3.64040E-006
-5.83866E-001	-3.61009E-006
-5.81868E-001	-3.58830E-006
-5.79861E-001	-3.56207E-006
-5.77869E-001	-3.54549E-006
-5.75850E-001	-3.52232E-006
-5.73865E-001	-3.49880E-006
-5.71858E-001	-3.48062E-006
-5.69876E-001	-3.46772E-006
-5.67871E-001	-3.44350E-006
-5.65846E-001	-3.42567E-006
-5.63848E-001	-3.40326E-006
-5.61846E-001	-3.39189E-006
-5.59853E-001	-3.37371E-006
-5.57849E-001	-3.35921E-006
-5.55867E-001	-3.34283E-006
-5.53851E-001	-3.32563E-006
-5.51862E-001	-3.31411E-006
-5.49839E-001	-3.29878E-006
-5.47843E-001	-3.28351E-006
-5.45849E-001	-3.27255E-006
-5.43842E-001	-3.25597E-006
-5.41857E-001	-3.24182E-006
-5.39844E-001	-3.23009E-006
-5.37832E-001	-3.20907E-006
-5.35832E-001	-3.20477E-006
-5.33834E-001	-3.18985E-006
-5.31843E-001	-3.17722E-006
-5.29846E-001	-3.16272E-006
-5.27847E-001	-3.15322E-006
-5.25846E-001	-3.14302E-006
-5.23818E-001	-3.12658E-006
-5.21820E-001	-3.11894E-006
-5.19834E-001	-3.10292E-006
-5.17825E-001	-3.08953E-006
-5.15834E-001	-3.07635E-006
-5.13811E-001	-3.06448E-006
-5.11815E-001	-3.05276E-006
-5.09813E-001	-3.03784E-006
-5.07822E-001	-3.03375E-006
-5.05825E-001	-3.02695E-006
-5.03830E-001	-3.01820E-006
-5.01832E-001	-3.00259E-006
-4.99830E-001	-2.98775E-006
-4.97808E-001	-2.97103E-006
-4.95812E-001	-2.95736E-006
-4.93822E-001	-2.95521E-006
-4.91822E-001	-2.95021E-006
-4.89821E-001	-2.93009E-006
-4.87810E-001	-2.92642E-006
-4.85789E-001	-2.90706E-006
-4.83815E-001	-2.89506E-006
-4.81811E-001	-2.88597E-006
-4.79820E-001	-2.88132E-006
-4.77808E-001	-2.86238E-006
-4.75814E-001	-2.85169E-006
-4.73809E-001	-2.84170E-006
-4.71805E-001	-2.83803E-006
-4.69811E-001	-2.82387E-006
-4.67822E-001	-2.81346E-006
-4.65811E-001	-2.80410E-006
-4.63809E-001	-2.79293E-006
-4.61799E-001	-2.78655E-006
-4.59795E-001	-2.77746E-006
-4.57790E-001	-2.76941E-006
-4.55800E-001	-2.76143E-006
-4.53804E-001	-2.74859E-006
-4.51798E-001	-2.73042E-006
-4.49810E-001	-2.73014E-006
-4.47780E-001	-2.71911E-006
-4.45791E-001	-2.71383E-006
-4.43803E-001	-2.69906E-006
-4.41798E-001	-2.69087E-006
-4.39799E-001	-2.68220E-006
-4.37787E-001	-2.67221E-006
-4.35792E-001	-2.66333E-006
-4.33780E-001	-2.64980E-006
-4.31785E-001	-2.63918E-006
-4.29785E-001	-2.62905E-006
-4.27782E-001	-2.62364E-006
-4.25794E-001	-2.61199E-006
-4.23786E-001	-2.60380E-006
-4.21770E-001	-2.59402E-006
-4.19769E-001	-2.58729E-006
-4.17776E-001	-2.57861E-006
-4.15770E-001	-2.56848E-006
-4.13788E-001	-2.55759E-006
-4.11782E-001	-2.54184E-006
-4.09771E-001	-2.53407E-006
-4.07775E-001	-2.52443E-006
-4.05776E-001	-2.51360E-006
-4.03780E-001	-2.50868E-006
-4.01780E-001	-2.49848E-006
-3.99788E-001	-2.47989E-006
-3.97798E-001	-2.47323E-006
-3.95773E-001	-2.47406E-006
-3.93764E-001	-2.46358E-006
-3.91779E-001	-2.45574E-006
-3.89781E-001	-2.44464E-006
-3.87784E-001	-2.43181E-006
-3.85776E-001	-2.42140E-006
-3.83758E-001	-2.41238E-006
-3.81762E-001	-2.40204E-006
-3.79778E-001	-2.39413E-006
-3.77768E-001	-2.38477E-006
-3.75767E-001	-2.37457E-006
-3.73765E-001	-2.35542E-006
-3.71775E-001	-2.34605E-006
-3.69757E-001	-2.34002E-006
-3.67763E-001	-2.33259E-006
-3.65770E-001	-2.32010E-006
-3.63776E-001	-2.30984E-006
-3.61763E-001	-2.29527E-006
-3.59760E-001	-2.29062E-006
-3.57740E-001	-2.28014E-006
-3.55753E-001	-2.27008E-006
-3.53750E-001	-2.25912E-006
-3.51757E-001	-2.24927E-006
-3.49762E-001	-2.23713E-006
-3.47760E-001	-2.22998E-006
-3.45732E-001	-2.21860E-006
-3.43753E-001	-2.20847E-006
-3.41756E-001	-2.19758E-006
-3.39757E-001	-2.18807E-006
-3.37751E-001	-2.17635E-006
-3.35747E-001	-2.15949E-006
-3.33757E-001	-2.14894E-006
-3.31733E-001	-2.13153E-006
-3.29753E-001	-2.12549E-006
-3.27752E-001	-2.11245E-006
-3.25745E-001	-2.09878E-006
-3.23750E-001	-2.08942E-006
-3.21741E-001	-2.07096E-006
-3.19728E-001	-2.06409E-006
-3.17728E-001	-2.05826E-006
-3.15725E-001	-2.04009E-006
-3.13729E-001	-2.03141E-006
-3.11749E-001	-2.01671E-006
-3.09722E-001	-2.00852E-006
-3.07716E-001	-1.99700E-006
-3.05710E-001	-1.98424E-006
-3.03722E-001	-1.97105E-006
-3.01720E-001	-1.95454E-006
-2.99722E-001	-1.94171E-006
-2.97735E-001	-1.92540E-006
-2.95723E-001	-1.90112E-006
-2.93719E-001	-1.88780E-006
-2.91721E-001	-1.87156E-006
-2.89721E-001	-1.85234E-006
-2.87716E-001	-1.83660E-006
-2.85732E-001	-1.82334E-006
-2.83722E-001	-1.80648E-006
-2.81704E-001	-1.78213E-006
-2.79709E-001	-1.76333E-006
-2.77717E-001	-1.75008E-006
-2.75707E-001	-1.72156E-006
-2.73713E-001	-1.70734E-006
-2.71715E-001	-1.68666E-006
-2.69715E-001	-1.66391E-006
-2.67702E-001	-1.63713E-006
-2.65701E-001	-1.61860E-006
-2.63712E-001	-1.59432E-006
-2.61710E-001	-1.57025E-006
-2.59714E-001	-1.54152E-006
-2.57703E-001	-1.50975E-006
-2.55697E-001	-1.48678E-006
-2.53697E-001	-1.44848E-006
-2.51690E-001	-1.40935E-006
-2.49697E-001	-1.37952E-006
-2.47695E-001	-1.34983E-006
-2.45706E-001	-1.30931E-006
-2.43702E-001	-1.27163E-006
-2.41680E-001	-1.23243E-006
-2.39691E-001	-1.19393E-006
-2.37688E-001	-1.15202E-006
-2.35703E-001	-1.10727E-006
-2.33694E-001	-1.05760E-006
-2.31690E-001	-1.00889E-006
-2.29670E-001	-9.55817E-007
-2.27689E-001	-9.00313E-007
-2.25670E-001	-8.41617E-007
-2.23679E-001	-7.82297E-007
-2.21681E-001	-7.23671E-007
-2.19691E-001	-6.69069E-007
-2.17666E-001	-6.01701E-007
-2.15675E-001	-5.34958E-007
-2.13689E-001	-4.77581E-007
-2.11680E-001	-4.01193E-007
-2.09674E-001	-3.31883E-007
-2.07676E-001	-2.58895E-007
-2.05678E-001	-1.85560E-007
-2.03661E-001	-1.10353E-007
-2.01668E-001	-3.66711E-008
-1.99670E-001	4.26996E-008
-1.97686E-001	1.18532E-007
-1.95685E-001	2.05465E-007
-1.93686E-001	2.94271E-007
-1.91662E-001	3.78221E-007
-1.89665E-001	4.53568E-007
-1.87678E-001	5.30718E-007
-1.85677E-001	6.07730E-007
-1.83668E-001	6.97438E-007
-1.81663E-001	7.73964E-007
-1.79668E-001	8.50490E-007
-1.77667E-001	9.24311E-007
-1.75669E-001	9.99657E-007
-1.73666E-001	1.06814E-006
-1.71661E-001	1.13668E-006
-1.69664E-001	1.20662E-006
-1.67664E-001	1.27107E-006
-1.65652E-001	1.33018E-006
-1.63665E-001	1.38395E-006
-1.61659E-001	1.43821E-006
-1.59657E-001	1.48629E-006
-1.57654E-001	1.54027E-006
-1.55644E-001	1.58481E-006
-1.53639E-001	1.63088E-006
-1.51642E-001	1.66723E-006
-1.49647E-001	1.70470E-006
-1.47642E-001	1.73987E-006
-1.45647E-001	1.76492E-006
-1.43653E-001	1.79496E-006
-1.41657E-001	1.81390E-006
-1.39639E-001	1.83236E-006
-1.37644E-001	1.84956E-006
-1.35648E-001	1.86531E-006
-1.33641E-001	1.88293E-006
-1.31655E-001	1.89612E-006
-1.29639E-001	1.90770E-006
-1.27630E-001	1.90860E-006
-1.25633E-001	1.91249E-006
-1.23637E-001	1.91804E-006
-1.21629E-001	1.92130E-006
-1.19647E-001	1.91728E-006
-1.17638E-001	1.91686E-006
-1.15645E-001	1.91568E-006
-1.13642E-001	1.91027E-006
-1.11630E-001	1.90826E-006
-1.09634E-001	1.90368E-006
-1.07641E-001	1.89938E-006
-1.05642E-001	1.88980E-006
-1.03623E-001	1.88446E-006
-1.01611E-001	1.87773E-006
-9.96249E-002	1.86705E-006
-9.76253E-002	1.86816E-006
-9.56182E-002	1.85796E-006
-9.36293E-002	1.84991E-006
-9.16357E-002	1.83499E-006
-8.96359E-002	1.82757E-006
-8.76084E-002	1.81903E-006
-8.56161E-002	1.81480E-006
-8.36175E-002	1.80662E-006
-8.16256E-002	1.79697E-006
-7.96288E-002	1.78448E-006
-7.76106E-002	1.77914E-006
-7.56097E-002	1.76700E-006
-7.36168E-002	1.75937E-006
-7.16108E-002	1.75604E-006
