Vf	Im
V vs. Ref.	A
-5.97880E-001	-1.36162E-006
-5.95881E-001	-1.34483E-006
-5.93879E-001	-1.33220E-006
-5.91861E-001	-1.31777E-006
-5.89883E-001	-1.31375E-006
-5.87873E-001	-1.30792E-006
-5.85876E-001	-1.29765E-006
-5.83869E-001	-1.29710E-006
-5.81875E-001	-1.28579E-006
-5.79870E-001	-1.27198E-006
-5.77874E-001	-1.27566E-006
-5.75848E-001	-1.25845E-006
-5.73873E-001	-1.25346E-006
-5.71862E-001	-1.24097E-006
-5.69880E-001	-1.23452E-006
-5.67873E-001	-1.23424E-006
-5.65851E-001	-1.23195E-006
-5.63863E-001	-1.22029E-006
-5.61858E-001	-1.21370E-006
-5.59855E-001	-1.21100E-006
-5.57858E-001	-1.20184E-006
-5.55870E-001	-1.19573E-006
-5.53862E-001	-1.19323E-006
-5.51878E-001	-1.18803E-006
-5.49851E-001	-1.18560E-006
-5.47861E-001	-1.18609E-006
-5.45859E-001	-1.17644E-006
-5.43858E-001	-1.16812E-006
-5.41864E-001	-1.16805E-006
-5.39852E-001	-1.16271E-006
-5.37844E-001	-1.15945E-006
-5.35833E-001	-1.15813E-006
-5.33847E-001	-1.15369E-006
-5.31851E-001	-1.14467E-006
-5.29852E-001	-1.14522E-006
-5.27853E-001	-1.13287E-006
-5.25854E-001	-1.12850E-006
-5.23835E-001	-1.12545E-006
-5.21831E-001	-1.12420E-006
-5.19835E-001	-1.11137E-006
-5.17843E-001	-1.11546E-006
-5.15851E-001	-1.11581E-006
-5.13822E-001	-1.09950E-006
-5.11824E-001	-1.08868E-006
-5.09823E-001	-1.08833E-006
-5.07831E-001	-1.09236E-006
-5.05830E-001	-1.07654E-006
-5.03838E-001	-1.07154E-006
-5.01835E-001	-1.08098E-006
-4.99841E-001	-1.08174E-006
-4.97818E-001	-1.07668E-006
-4.95824E-001	-1.07640E-006
-4.93833E-001	-1.06946E-006
-4.91834E-001	-1.06634E-006
-4.89834E-001	-1.05794E-006
-4.87822E-001	-1.05878E-006
-4.85812E-001	-1.05114E-006
-4.83819E-001	-1.04351E-006
-4.81817E-001	-1.04053E-006
-4.79820E-001	-1.02860E-006
-4.77827E-001	-1.02166E-006
-4.75817E-001	-1.01021E-006
-4.73814E-001	-1.00882E-006
-4.71819E-001	-1.01867E-006
-4.69829E-001	-1.02853E-006
-4.67830E-001	-1.02055E-006
-4.65822E-001	-1.01874E-006
-4.63822E-001	-1.00459E-006
-4.61803E-001	-9.90229E-007
-4.59804E-001	-9.82250E-007
-4.57799E-001	-9.76353E-007
-4.55810E-001	-9.94392E-007
-4.53814E-001	-1.00286E-006
-4.51815E-001	-9.92865E-007
-4.49806E-001	-9.83777E-007
-4.47791E-001	-9.63032E-007
-4.45797E-001	-9.57898E-007
-4.43805E-001	-9.44577E-007
-4.41807E-001	-9.41663E-007
-4.39800E-001	-9.42773E-007
-4.37804E-001	-9.38749E-007
-4.35811E-001	-9.41247E-007
-4.33794E-001	-9.35835E-007
-4.31800E-001	-9.27163E-007
-4.29793E-001	-9.22584E-007
