Vf	Im
V vs. Ref.	A
-5.97881E-001	-3.48451E-006
-5.95887E-001	-3.44017E-006
-5.93878E-001	-3.40819E-006
-5.91869E-001	-3.37447E-006
-5.89885E-001	-3.34498E-006
-5.87874E-001	-3.32590E-006
-5.85872E-001	-3.29628E-006
-5.83867E-001	-3.28226E-006
-5.81865E-001	-3.25729E-006
-5.79877E-001	-3.23890E-006
-5.77874E-001	-3.22218E-006
-5.75858E-001	-3.20622E-006
-5.73877E-001	-3.18298E-006
-5.71862E-001	-3.16557E-006
-5.69869E-001	-3.14566E-006
-5.67871E-001	-3.13553E-006
-5.65845E-001	-3.11437E-006
-5.63857E-001	-3.09855E-006
-5.61849E-001	-3.09209E-006
-5.59851E-001	-3.07579E-006
-5.57856E-001	-3.06171E-006
-5.55868E-001	-3.04485E-006
-5.53851E-001	-3.02153E-006
-5.51866E-001	-3.00558E-006
-5.49853E-001	-2.99219E-006
-5.47865E-001	-2.98240E-006
-5.45853E-001	-2.96992E-006
-5.43851E-001	-2.95465E-006
-5.41867E-001	-2.94473E-006
-5.39851E-001	-2.92877E-006
-5.37838E-001	-2.91795E-006
-5.35837E-001	-2.90491E-006
-5.33843E-001	-2.89519E-006
-5.31856E-001	-2.88069E-006
-5.29852E-001	-2.86252E-006
-5.27852E-001	-2.85336E-006
-5.25849E-001	-2.83830E-006
-5.23825E-001	-2.83150E-006
-5.21830E-001	-2.81992E-006
-5.19837E-001	-2.80673E-006
-5.17838E-001	-2.79439E-006
-5.15836E-001	-2.78495E-006
-5.13812E-001	-2.77378E-006
-5.11824E-001	-2.76580E-006
-5.09814E-001	-2.75442E-006
-5.07827E-001	-2.74145E-006
-5.05818E-001	-2.73201E-006
-5.03841E-001	-2.72528E-006
-5.01837E-001	-2.71210E-006
-4.99841E-001	-2.70391E-006
-4.97811E-001	-2.69115E-006
-4.95816E-001	-2.67977E-006
-4.93827E-001	-2.67290E-006
-4.91824E-001	-2.66263E-006
-4.89833E-001	-2.65132E-006
-4.87817E-001	-2.64001E-006
-4.85805E-001	-2.62801E-006
-4.83820E-001	-2.61878E-006
-4.81805E-001	-2.61254E-006
-4.79813E-001	-2.59936E-006
-4.77820E-001	-2.59228E-006
-4.75828E-001	-2.58382E-006
-4.73807E-001	-2.57605E-006
-4.71810E-001	-2.56037E-006
-4.69818E-001	-2.55454E-006
-4.67823E-001	-2.54739E-006
-4.65811E-001	-2.53692E-006
-4.63821E-001	-2.52998E-006
-4.61807E-001	-2.52096E-006
-4.59803E-001	-2.51055E-006
-4.57787E-001	-2.49959E-006
-4.55809E-001	-2.49897E-006
-4.53814E-001	-2.48793E-006
-4.51811E-001	-2.47961E-006
-4.49815E-001	-2.46351E-006
-4.47786E-001	-2.45748E-006
-4.45792E-001	-2.44790E-006
-4.43795E-001	-2.44076E-006
-4.41807E-001	-2.43437E-006
-4.39799E-001	-2.42771E-006
-4.37806E-001	-2.42265E-006
-4.35793E-001	-2.40967E-006
-4.33789E-001	-2.39899E-006
-4.31798E-001	-2.39490E-006
-4.29794E-001	-2.38331E-006
-4.27787E-001	-2.36985E-006
-4.25787E-001	-2.36166E-006
-4.23796E-001	-2.36076E-006
-4.21775E-001	-2.35493E-006
-4.19771E-001	-2.33939E-006
-4.17781E-001	-2.33051E-006
-4.15782E-001	-2.32704E-006
-4.13802E-001	-2.31594E-006
-4.11794E-001	-2.30616E-006
-4.09781E-001	-2.29860E-006
-4.07781E-001	-2.28604E-006
-4.05771E-001	-2.27875E-006
-4.03796E-001	-2.26980E-006
-4.01788E-001	-2.26418E-006
-3.99785E-001	-2.25849E-006
-3.97794E-001	-2.24961E-006
-3.95780E-001	-2.24115E-006
-3.93766E-001	-2.22693E-006
-3.91788E-001	-2.22776E-006
-3.89783E-001	-2.21361E-006
-3.87789E-001	-2.20209E-006
-3.85788E-001	-2.19133E-006
-3.83754E-001	-2.18592E-006
-3.81783E-001	-2.18329E-006
-3.79787E-001	-2.17038E-006
-3.77772E-001	-2.16171E-006
-3.75772E-001	-2.14554E-006
-3.73776E-001	-2.14041E-006
-3.71782E-001	-2.12799E-006
-3.69767E-001	-2.12015E-006
-3.67774E-001	-2.11307E-006
-3.65788E-001	-2.10627E-006
-3.63782E-001	-2.09462E-006
-3.61772E-001	-2.08449E-006
-3.59757E-001	-2.07471E-006
-3.57742E-001	-2.06791E-006
-3.55762E-001	-2.05882E-006
-3.53755E-001	-2.05237E-006
-3.51768E-001	-2.04245E-006
-3.49759E-001	-2.03155E-006
-3.47770E-001	-2.02059E-006
-3.45751E-001	-2.01573E-006
-3.43753E-001	-2.00075E-006
-3.41763E-001	-1.99839E-006
-3.39761E-001	-1.98528E-006
-3.37759E-001	-1.97431E-006
-3.35759E-001	-1.96536E-006
-3.33754E-001	-1.95697E-006
-3.31744E-001	-1.94240E-006
-3.29750E-001	-1.93248E-006
-3.27749E-001	-1.92346E-006
-3.25744E-001	-1.90972E-006
-3.23756E-001	-1.89612E-006
-3.21752E-001	-1.88738E-006
-3.19733E-001	-1.87413E-006
-3.17729E-001	-1.85998E-006
-3.15744E-001	-1.84825E-006
-3.13737E-001	-1.83514E-006
-3.11759E-001	-1.82438E-006
-3.09732E-001	-1.80884E-006
-3.07727E-001	-1.80059E-006
-3.05718E-001	-1.78192E-006
-3.03716E-001	-1.76895E-006
-3.01730E-001	-1.75715E-006
-2.99735E-001	-1.74259E-006
-2.97745E-001	-1.72892E-006
-2.95736E-001	-1.71289E-006
-2.93721E-001	-1.70006E-006
-2.91716E-001	-1.68091E-006
-2.89725E-001	-1.67244E-006
-2.87726E-001	-1.65073E-006
-2.85738E-001	-1.63845E-006
-2.83734E-001	-1.61909E-006
-2.81720E-001	-1.60188E-006
-2.79715E-001	-1.57802E-006
-2.77724E-001	-1.56525E-006
