Vf	Im
V vs. Ref.	A
-5.97887E-001	-1.39249E-006
-5.95883E-001	-1.37390E-006
-5.93884E-001	-1.36856E-006
-5.91873E-001	-1.36335E-006
-5.89886E-001	-1.35073E-006
-5.87868E-001	-1.34407E-006
-5.85875E-001	-1.33227E-006
-5.83871E-001	-1.32436E-006
-5.81869E-001	-1.32353E-006
-5.79878E-001	-1.32075E-006
-5.77867E-001	-1.31097E-006
-5.75857E-001	-1.30397E-006
-5.73866E-001	-1.29647E-006
-5.71859E-001	-1.28988E-006
-5.69883E-001	-1.28822E-006
-5.67882E-001	-1.28308E-006
-5.65856E-001	-1.27954E-006
-5.63855E-001	-1.27344E-006
-5.61852E-001	-1.26449E-006
-5.59858E-001	-1.26331E-006
-5.57860E-001	-1.25457E-006
-5.55875E-001	-1.25297E-006
-5.53864E-001	-1.24853E-006
-5.51873E-001	-1.24367E-006
-5.49849E-001	-1.24173E-006
-5.47854E-001	-1.23681E-006
-5.45849E-001	-1.23549E-006
-5.43852E-001	-1.23202E-006
-5.41862E-001	-1.22619E-006
-5.39853E-001	-1.22480E-006
-5.37841E-001	-1.22272E-006
-5.35831E-001	-1.21932E-006
-5.33849E-001	-1.21995E-006
-5.31851E-001	-1.21266E-006
-5.29850E-001	-1.20794E-006
-5.27859E-001	-1.20406E-006
-5.25851E-001	-1.19698E-006
-5.23832E-001	-1.19469E-006
-5.21827E-001	-1.18588E-006
-5.19846E-001	-1.18699E-006
-5.17840E-001	-1.18741E-006
-5.15834E-001	-1.18109E-006
-5.13826E-001	-1.18456E-006
-5.11820E-001	-1.17464E-006
-5.09830E-001	-1.17318E-006
-5.07821E-001	-1.16486E-006
-5.05831E-001	-1.16895E-006
-5.03839E-001	-1.16389E-006
-5.01837E-001	-1.15986E-006
-4.99833E-001	-1.15445E-006
-4.97812E-001	-1.15091E-006
-4.95822E-001	-1.14737E-006
-4.93831E-001	-1.14148E-006
-4.91818E-001	-1.13891E-006
-4.89829E-001	-1.14134E-006
-4.87820E-001	-1.13371E-006
-4.85796E-001	-1.12954E-006
-4.83824E-001	-1.13065E-006
-4.81812E-001	-1.12746E-006
-4.79817E-001	-1.12281E-006
-4.77828E-001	-1.12115E-006
-4.75824E-001	-1.11567E-006
-4.73814E-001	-1.11359E-006
-4.71810E-001	-1.10901E-006
-4.69816E-001	-1.10575E-006
-4.67820E-001	-1.10540E-006
-4.65814E-001	-1.09721E-006
-4.63814E-001	-1.10124E-006
-4.61795E-001	-1.09430E-006
-4.59795E-001	-1.09527E-006
-4.57788E-001	-1.09492E-006
-4.55803E-001	-1.08854E-006
-4.53801E-001	-1.08348E-006
-4.51808E-001	-1.08472E-006
-4.49815E-001	-1.08084E-006
-4.47787E-001	-1.07404E-006
-4.45797E-001	-1.07015E-006
-4.43805E-001	-1.07147E-006
-4.41801E-001	-1.06682E-006
-4.39799E-001	-1.05732E-006
-4.37801E-001	-1.05586E-006
-4.35805E-001	-1.05642E-006
-4.33794E-001	-1.05454E-006
-4.31800E-001	-1.04913E-006
-4.29796E-001	-1.04629E-006
-4.27786E-001	-1.04566E-006
-4.25793E-001	-1.04379E-006
-4.23797E-001	-1.03810E-006
-4.21784E-001	-1.03422E-006
-4.19785E-001	-1.03220E-006
-4.17782E-001	-1.02464E-006
-4.15785E-001	-1.02270E-006
-4.13798E-001	-1.02166E-006
-4.11801E-001	-1.02332E-006
-4.09777E-001	-1.01555E-006
-4.07774E-001	-1.01097E-006
-4.05776E-001	-1.01167E-006
-4.03791E-001	-1.00362E-006
-4.01785E-001	-1.00098E-006
-3.99789E-001	-9.96959E-007
-3.97790E-001	-9.91339E-007
-3.95777E-001	-9.90368E-007
-3.93777E-001	-9.87593E-007
-3.91781E-001	-9.83360E-007
-3.89786E-001	-9.76908E-007
-3.87790E-001	-9.72953E-007
-3.85778E-001	-9.73578E-007
-3.83768E-001	-9.64142E-007
-3.81777E-001	-9.59910E-007
-3.79784E-001	-9.57621E-007
