Vf	Im
V vs. Ref.	A
-5.97876E-001	-3.81059E-006
-5.95877E-001	-3.76341E-006
-5.93875E-001	-3.72706E-006
-5.91858E-001	-3.69334E-006
-5.89874E-001	-3.66788E-006
-5.87864E-001	-3.64124E-006
-5.85874E-001	-3.61224E-006
-5.83870E-001	-3.59087E-006
-5.81865E-001	-3.56318E-006
-5.79869E-001	-3.54424E-006
-5.77860E-001	-3.52856E-006
-5.75845E-001	-3.50414E-006
-5.73859E-001	-3.48125E-006
-5.71853E-001	-3.46071E-006
-5.69863E-001	-3.44337E-006
-5.67868E-001	-3.42061E-006
-5.65845E-001	-3.40417E-006
-5.63851E-001	-3.38856E-006
-5.61848E-001	-3.37329E-006
-5.59849E-001	-3.35338E-006
-5.57851E-001	-3.33034E-006
-5.55864E-001	-3.31342E-006
-5.53859E-001	-3.29975E-006
-5.51869E-001	-3.28608E-006
-5.49839E-001	-3.27165E-006
-5.47850E-001	-3.25923E-006
-5.45845E-001	-3.24189E-006
-5.43850E-001	-3.23398E-006
-5.41855E-001	-3.22128E-006
-5.39853E-001	-3.20171E-006
-5.37832E-001	-3.18624E-006
-5.35833E-001	-3.17362E-006
-5.33830E-001	-3.15863E-006
-5.31842E-001	-3.15169E-006
-5.29851E-001	-3.13282E-006
-5.27849E-001	-3.12359E-006
-5.25846E-001	-3.11020E-006
-5.23823E-001	-3.10208E-006
-5.21830E-001	-3.09008E-006
-5.19843E-001	-3.07170E-006
-5.17839E-001	-3.06011E-006
-5.15839E-001	-3.04707E-006
-5.13824E-001	-3.03493E-006
-5.11819E-001	-3.02382E-006
-5.09820E-001	-3.01106E-006
-5.07821E-001	-3.00100E-006
-5.05816E-001	-2.98476E-006
-5.03835E-001	-2.97762E-006
-5.01848E-001	-2.96603E-006
-4.99837E-001	-2.95854E-006
-4.97816E-001	-2.94272E-006
-4.95818E-001	-2.93155E-006
-4.93826E-001	-2.92038E-006
-4.91828E-001	-2.90907E-006
-4.89831E-001	-2.90026E-006
-4.87821E-001	-2.88375E-006
-4.85805E-001	-2.87369E-006
-4.83818E-001	-2.86064E-006
-4.81810E-001	-2.84580E-006
