Vf	Im
V vs. Ref.	A
-5.97883E-001	-3.35747E-006
-5.95888E-001	-3.31841E-006
-5.93882E-001	-3.28428E-006
-5.91872E-001	-3.24834E-006
-5.89877E-001	-3.22315E-006
-5.87867E-001	-3.19831E-006
-5.85875E-001	-3.17112E-006
-5.83871E-001	-3.15072E-006
-5.81868E-001	-3.12803E-006
-5.79870E-001	-3.11360E-006
-5.77874E-001	-3.09390E-006
-5.75863E-001	-3.07079E-006
-5.73865E-001	-3.05283E-006
-5.71863E-001	-3.03576E-006
-5.69882E-001	-3.02133E-006
-5.67878E-001	-3.00259E-006
-5.65855E-001	-2.99233E-006
-5.63861E-001	-2.97332E-006
-5.61857E-001	-2.95757E-006
-5.59858E-001	-2.94397E-006
-5.57855E-001	-2.93023E-006
-5.55867E-001	-2.91358E-006
-5.53864E-001	-2.89915E-006
-5.51877E-001	-2.88590E-006
-5.49846E-001	-2.86932E-006
-5.47859E-001	-2.85856E-006
-5.45846E-001	-2.84059E-006
-5.43863E-001	-2.83650E-006
-5.41865E-001	-2.81929E-006
-5.39853E-001	-2.80458E-006
-5.37841E-001	-2.79758E-006
-5.35842E-001	-2.78460E-006
-5.33846E-001	-2.77433E-006
-5.31855E-001	-2.76282E-006
-5.29857E-001	-2.75068E-006
-5.27857E-001	-2.73194E-006
-5.25850E-001	-2.72216E-006
-5.23828E-001	-2.70891E-006
-5.21836E-001	-2.70232E-006
-5.19845E-001	-2.68907E-006
-5.17848E-001	-2.68123E-006
-5.15842E-001	-2.66235E-006
-5.13823E-001	-2.65306E-006
-5.11817E-001	-2.63738E-006
-5.09821E-001	-2.63238E-006
-5.07821E-001	-2.62350E-006
-5.05829E-001	-2.61421E-006
-5.03842E-001	-2.60720E-006
-5.01849E-001	-2.59970E-006
-4.99843E-001	-2.58819E-006
-4.97822E-001	-2.57841E-006
-4.95833E-001	-2.56779E-006
-4.93835E-001	-2.55613E-006
-4.91831E-001	-2.54316E-006
-4.89841E-001	-2.53324E-006
-4.87832E-001	-2.52533E-006
-4.85805E-001	-2.51014E-006
-4.83820E-001	-2.50528E-006
-4.81813E-001	-2.49813E-006
-4.79818E-001	-2.48821E-006
-4.77820E-001	-2.47891E-006
-4.75829E-001	-2.47198E-006
-4.73820E-001	-2.46095E-006
-4.71811E-001	-2.45359E-006
-4.69812E-001	-2.44984E-006
-4.67823E-001	-2.43396E-006
-4.65810E-001	-2.42771E-006
-4.63813E-001	-2.41710E-006
-4.61808E-001	-2.41280E-006
-4.59799E-001	-2.39878E-006
-4.57798E-001	-2.39517E-006
-4.55800E-001	-2.38338E-006
-4.53816E-001	-2.37609E-006
-4.51813E-001	-2.36860E-006
-4.49815E-001	-2.36361E-006
-4.47794E-001	-2.35826E-006
-4.45807E-001	-2.34695E-006
-4.43809E-001	-2.33904E-006
-4.41813E-001	-2.32246E-006
-4.39806E-001	-2.31899E-006
-4.37805E-001	-2.30553E-006
-4.35799E-001	-2.29735E-006
-4.33795E-001	-2.28951E-006
-4.31802E-001	-2.28215E-006
-4.29801E-001	-2.27279E-006
-4.27799E-001	-2.26481E-006
-4.25793E-001	-2.25197E-006
-4.23799E-001	-2.24760E-006
-4.21784E-001	-2.24094E-006
-4.19781E-001	-2.22970E-006
-4.17788E-001	-2.22422E-006
-4.15780E-001	-2.22131E-006
-4.13791E-001	-2.20230E-006
-4.11801E-001	-2.19168E-006
-4.09783E-001	-2.18481E-006
-4.07777E-001	-2.17704E-006
-4.05779E-001	-2.16532E-006
-4.03791E-001	-2.16393E-006
-4.01789E-001	-2.15436E-006
-3.99790E-001	-2.14790E-006
-3.97797E-001	-2.13632E-006
-3.95774E-001	-2.12723E-006
-3.93788E-001	-2.11738E-006
-3.91787E-001	-2.10343E-006
-3.89788E-001	-2.09753E-006
-3.87779E-001	-2.09101E-006
-3.85783E-001	-2.08109E-006
-3.83771E-001	-2.07485E-006
-3.81774E-001	-2.06492E-006
-3.79783E-001	-2.05819E-006
-3.77784E-001	-2.04536E-006
-3.75784E-001	-2.04092E-006
-3.73780E-001	-2.02496E-006
-3.71797E-001	-2.01712E-006
-3.69767E-001	-2.01039E-006
-3.67776E-001	-2.00366E-006
-3.65786E-001	-1.99256E-006
-3.63782E-001	-1.98819E-006
-3.61764E-001	-1.97300E-006
-3.59760E-001	-1.96987E-006
-3.57749E-001	-1.95614E-006
-3.55761E-001	-1.94608E-006
-3.53751E-001	-1.93671E-006
-3.51770E-001	-1.92741E-006
-3.49770E-001	-1.91375E-006
-3.47765E-001	-1.90362E-006
-3.45744E-001	-1.89460E-006
-3.43748E-001	-1.87926E-006
-3.41763E-001	-1.87517E-006
-3.39763E-001	-1.86053E-006
-3.37752E-001	-1.85692E-006
-3.35762E-001	-1.83951E-006
-3.33760E-001	-1.83500E-006
-3.31748E-001	-1.82293E-006
-3.29756E-001	-1.81273E-006
-3.27747E-001	-1.79809E-006
-3.25749E-001	-1.78643E-006
-3.23754E-001	-1.77582E-006
-3.21754E-001	-1.76763E-006
-3.19730E-001	-1.75112E-006
-3.17743E-001	-1.74092E-006
-3.15742E-001	-1.72656E-006
-3.13738E-001	-1.71733E-006
-3.11755E-001	-1.70803E-006
-3.09735E-001	-1.69548E-006
-3.07730E-001	-1.67654E-006
-3.05724E-001	-1.66537E-006
-3.03725E-001	-1.65225E-006
-3.01730E-001	-1.63588E-006
-2.99734E-001	-1.62471E-006
-2.97744E-001	-1.61049E-006
-2.95742E-001	-1.59827E-006
-2.93731E-001	-1.57850E-006
-2.91729E-001	-1.56400E-006
-2.89732E-001	-1.54624E-006
-2.87731E-001	-1.53223E-006
-2.85736E-001	-1.51322E-006
-2.83726E-001	-1.49303E-006
-2.81723E-001	-1.47970E-006
-2.79724E-001	-1.46090E-006
-2.77720E-001	-1.44481E-006
-2.75726E-001	-1.42566E-006
-2.73725E-001	-1.40540E-006
-2.71714E-001	-1.38403E-006
-2.69732E-001	-1.36065E-006
-2.67722E-001	-1.33526E-006
-2.65718E-001	-1.31035E-006
-2.63721E-001	-1.28516E-006
-2.61716E-001	-1.25880E-006
-2.59724E-001	-1.23979E-006
-2.57711E-001	-1.21107E-006
-2.55696E-001	-1.18401E-006
-2.53709E-001	-1.14814E-006
-2.51693E-001	-1.11393E-006
-2.49720E-001	-1.08466E-006
-2.47701E-001	-1.04559E-006
-2.45713E-001	-1.01659E-006
-2.43711E-001	-9.81557E-007
-2.41692E-001	-9.44716E-007
-2.39689E-001	-8.98439E-007
-2.37701E-001	-8.61321E-007
-2.35697E-001	-8.12963E-007
-2.33711E-001	-7.66479E-007
-2.31693E-001	-7.23116E-007
-2.29686E-001	-6.75938E-007
-2.27700E-001	-6.23487E-007
-2.25692E-001	-5.69023E-007
-2.23698E-001	-5.09773E-007
-2.21694E-001	-4.50314E-007
-2.19697E-001	-3.93839E-007
-2.17674E-001	-3.41527E-007
-2.15687E-001	-2.79848E-007
-2.13692E-001	-2.09358E-007
-2.11688E-001	-1.47610E-007
-2.09687E-001	-8.35719E-008
-2.07688E-001	-1.07923E-008
-2.05675E-001	6.11547E-008
-2.03664E-001	1.28869E-007
-2.01672E-001	2.08171E-007
-1.99673E-001	2.89345E-007
-1.97690E-001	3.57754E-007
-1.95692E-001	4.37125E-007
-1.93691E-001	5.14414E-007
-1.91669E-001	5.84349E-007
-1.89683E-001	6.58030E-007
-1.87686E-001	7.33863E-007
-1.85685E-001	8.08099E-007
-1.83680E-001	8.83446E-007
-1.81673E-001	9.49634E-007
-1.79692E-001	1.02207E-006
-1.77679E-001	1.09041E-006
-1.75669E-001	1.16138E-006
-1.73679E-001	1.21973E-006
-1.71677E-001	1.28862E-006
-1.69671E-001	1.34940E-006
-1.67667E-001	1.40164E-006
-1.65663E-001	1.46207E-006
-1.63684E-001	1.51571E-006
-1.61669E-001	1.56268E-006
-1.59675E-001	1.61006E-006
-1.57675E-001	1.65481E-006
-1.55657E-001	1.69387E-006
-1.53667E-001	1.73536E-006
-1.51659E-001	1.76957E-006
-1.49658E-001	1.80183E-006
-1.47650E-001	1.83777E-006
-1.45656E-001	1.86413E-006
-1.43669E-001	1.88439E-006
-1.41664E-001	1.91180E-006
-1.39650E-001	1.92734E-006
-1.37653E-001	1.94399E-006
-1.35654E-001	1.96328E-006
-1.33652E-001	1.97285E-006
-1.31661E-001	1.99179E-006
-1.29656E-001	1.99158E-006
-1.27642E-001	2.00352E-006
-1.25635E-001	2.00893E-006
-1.23642E-001	2.02287E-006
-1.21643E-001	2.02197E-006
-1.19652E-001	2.02509E-006
-1.17660E-001	2.03057E-006
-1.15648E-001	2.03148E-006
-1.13640E-001	2.03161E-006
-1.11649E-001	2.02842E-006
-1.09645E-001	2.02953E-006
-1.07647E-001	2.02343E-006
-1.05643E-001	2.02502E-006
-1.03633E-001	2.01926E-006
-1.01617E-001	2.01822E-006
-9.96358E-002	2.01212E-006
-9.76218E-002	2.01219E-006
-9.56268E-002	2.01212E-006
-9.36437E-002	2.00393E-006
-9.16462E-002	1.99769E-006
-8.96422E-002	1.99554E-006
-8.76105E-002	1.99242E-006
-8.56246E-002	1.98749E-006
-8.36363E-002	1.98402E-006
-8.16275E-002	1.98430E-006
-7.96323E-002	1.97764E-006
-7.76202E-002	1.97819E-006
-7.56158E-002	1.97340E-006
-7.36153E-002	1.97181E-006
-7.16218E-002	1.96848E-006
-6.96176E-002	1.96883E-006
-6.76166E-002	1.96314E-006
-6.56188E-002	1.96758E-006
-6.36151E-002	1.96348E-006
-6.16138E-002	1.96154E-006
-5.96096E-002	1.95467E-006
-5.76165E-002	1.95530E-006
-5.56144E-002	1.94954E-006
-5.36233E-002	1.95016E-006
-5.15970E-002	1.95100E-006
-4.95937E-002	1.95155E-006
-4.75907E-002	1.94669E-006
-4.56080E-002	1.94565E-006
-4.36089E-002	1.94225E-006
-4.16178E-002	1.94794E-006
-3.96007E-002	1.94274E-006
-3.75969E-002	1.94211E-006
-3.55925E-002	1.94038E-006
-3.35967E-002	1.93615E-006
-3.15879E-002	1.93976E-006
-2.95912E-002	1.93927E-006
-2.76035E-002	1.93587E-006
-2.55960E-002	1.93733E-006
-2.35789E-002	1.93143E-006
-2.15876E-002	1.93663E-006
-1.95937E-002	1.93941E-006
-1.75916E-002	1.94211E-006
-1.55801E-002	1.94662E-006
-1.36005E-002	1.94218E-006
-1.15679E-002	1.95176E-006
-9.57397E-003	1.95044E-006
-7.57500E-003	1.94919E-006
-5.58416E-003	1.95342E-006
-3.58956E-003	1.95315E-006
-1.55889E-003	1.96154E-006
4.56566E-004	1.96050E-006
2.44281E-003	1.96924E-006
4.43845E-003	1.97139E-006
6.41740E-003	1.97091E-006
8.41741E-003	1.97313E-006
1.04324E-002	1.97680E-006
1.24377E-002	1.99373E-006
1.44448E-002	1.98624E-006
1.64294E-002	1.98582E-006
1.84325E-002	1.98895E-006
2.04419E-002	1.99852E-006
2.24455E-002	2.00442E-006
2.44490E-002	2.00046E-006
2.64568E-002	2.00941E-006
2.84578E-002	2.01677E-006
3.04545E-002	2.01573E-006
3.24610E-002	2.02246E-006
3.44458E-002	2.02586E-006
3.64420E-002	2.03855E-006
3.84704E-002	2.04334E-006
4.04602E-002	2.05042E-006
4.24508E-002	2.05236E-006
4.44448E-002	2.05652E-006
4.64582E-002	2.06644E-006
4.84759E-002	2.07421E-006
5.04607E-002	2.07595E-006
5.24776E-002	2.08504E-006
5.44726E-002	2.09683E-006
5.64733E-002	2.10183E-006
5.84652E-002	2.10356E-006
6.04556E-002	2.11543E-006
6.24710E-002	2.12243E-006
6.44863E-002	2.12771E-006
6.64811E-002	2.13291E-006
6.84815E-002	2.14200E-006
7.04774E-002	2.14574E-006
7.24621E-002	2.15102E-006
7.44768E-002	2.15740E-006
7.64741E-002	2.16462E-006
7.84851E-002	2.16448E-006
8.04924E-002	2.17599E-006
8.24758E-002	2.18009E-006
8.44779E-002	2.18397E-006
8.64827E-002	2.18987E-006
8.84735E-002	2.19709E-006
9.05009E-002	2.19889E-006
9.24921E-002	2.20423E-006
9.44867E-002	2.21443E-006
9.64903E-002	2.22213E-006
9.84978E-002	2.22380E-006
1.00506E-001	2.23518E-006
9.85039E-002	2.07234E-006
9.64857E-002	1.96092E-006
9.44830E-002	1.87766E-006
9.24892E-002	1.80127E-006
9.04996E-002	1.73876E-006
8.84767E-002	1.67792E-006
8.64841E-002	1.63351E-006
8.44775E-002	1.57648E-006
8.24729E-002	1.52930E-006
8.04906E-002	1.49128E-006
7.84870E-002	1.44764E-006
7.64768E-002	1.41198E-006
7.44816E-002	1.37500E-006
7.24651E-002	1.33865E-006
7.04786E-002	1.30493E-006
6.84790E-002	1.27232E-006
6.64873E-002	1.23721E-006
6.44817E-002	1.21071E-006
6.24608E-002	1.18136E-006
6.04558E-002	1.15521E-006
5.84672E-002	1.13051E-006
5.64664E-002	1.10352E-006
5.44699E-002	1.08111E-006
5.24768E-002	1.05474E-006
5.04611E-002	1.03261E-006
4.84720E-002	1.01145E-006
4.64569E-002	9.87308E-007
4.44540E-002	9.71142E-007
4.24536E-002	9.50051E-007
4.04556E-002	9.22507E-007
3.84688E-002	9.08076E-007
3.64435E-002	8.86429E-007
3.44474E-002	8.65893E-007
3.24451E-002	8.46952E-007
3.04505E-002	8.35227E-007
2.84532E-002	8.09487E-007
