Vf	Im
V vs. Ref.	A
-5.97882E-001	-3.44808E-006
-5.95879E-001	-3.40521E-006
-5.93880E-001	-3.37593E-006
-5.91862E-001	-3.34915E-006
-5.89881E-001	-3.32375E-006
-5.87864E-001	-3.29607E-006
-5.85873E-001	-3.27692E-006
-5.83872E-001	-3.25444E-006
-5.81869E-001	-3.23002E-006
-5.79876E-001	-3.21226E-006
-5.77872E-001	-3.19727E-006
-5.75854E-001	-3.17930E-006
-5.73875E-001	-3.16598E-006
-5.71854E-001	-3.14024E-006
-5.69876E-001	-3.12998E-006
-5.67867E-001	-3.11138E-006
-5.65847E-001	-3.09563E-006
-5.63861E-001	-3.07669E-006
-5.61851E-001	-3.06483E-006
-5.59845E-001	-3.04360E-006
-5.57860E-001	-3.03617E-006
-5.55869E-001	-3.02292E-006
-5.53864E-001	-3.01314E-006
-5.51875E-001	-2.99649E-006
-5.49844E-001	-2.98143E-006
-5.47855E-001	-2.96943E-006
-5.45853E-001	-2.95410E-006
-5.43851E-001	-2.94036E-006
-5.41862E-001	-2.92600E-006
-5.39852E-001	-2.91753E-006
-5.37840E-001	-2.90664E-006
-5.35826E-001	-2.88826E-006
-5.33842E-001	-2.88139E-006
-5.31849E-001	-2.86307E-006
-5.29847E-001	-2.85384E-006
-5.27855E-001	-2.84489E-006
-5.25863E-001	-2.82998E-006
-5.23833E-001	-2.81957E-006
-5.21825E-001	-2.80833E-006
-5.19842E-001	-2.79494E-006
-5.17851E-001	-2.78391E-006
-5.15843E-001	-2.77843E-006
-5.13824E-001	-2.76726E-006
-5.11820E-001	-2.75768E-006
-5.09817E-001	-2.74311E-006
-5.07830E-001	-2.73437E-006
-5.05829E-001	-2.72251E-006
-5.03838E-001	-2.71619E-006
-5.01841E-001	-2.70454E-006
-4.99838E-001	-2.69718E-006
-4.97801E-001	-2.68352E-006
-4.95820E-001	-2.67443E-006
-4.93834E-001	-2.66992E-006
-4.91826E-001	-2.65653E-006
-4.89819E-001	-2.63904E-006
-4.87824E-001	-2.63668E-006
-4.85811E-001	-2.62607E-006
-4.83826E-001	-2.61427E-006
-4.81813E-001	-2.59936E-006
-4.79818E-001	-2.59367E-006
-4.77821E-001	-2.58736E-006
-4.75820E-001	-2.57993E-006
-4.73819E-001	-2.56987E-006
-4.71807E-001	-2.56314E-006
-4.69820E-001	-2.55114E-006
-4.67825E-001	-2.54483E-006
-4.65815E-001	-2.53192E-006
-4.63823E-001	-2.52436E-006
-4.61797E-001	-2.51097E-006
-4.59793E-001	-2.50798E-006
-4.57788E-001	-2.49439E-006
-4.55804E-001	-2.48821E-006
-4.53808E-001	-2.47996E-006
-4.51806E-001	-2.47253E-006
-4.49813E-001	-2.46844E-006
-4.47789E-001	-2.45824E-006
-4.45797E-001	-2.44977E-006
-4.43809E-001	-2.44561E-006
-4.41795E-001	-2.43514E-006
-4.39799E-001	-2.42369E-006
-4.37802E-001	-2.42327E-006
-4.35806E-001	-2.41467E-006
-4.33788E-001	-2.40801E-006
-4.31800E-001	-2.39594E-006
-4.29796E-001	-2.38719E-006
-4.27791E-001	-2.38123E-006
-4.25799E-001	-2.37332E-006
-4.23792E-001	-2.36805E-006
-4.21778E-001	-2.35264E-006
-4.19782E-001	-2.34515E-006
-4.17785E-001	-2.33821E-006
-4.15776E-001	-2.33065E-006
-4.13792E-001	-2.31677E-006
-4.11799E-001	-2.31060E-006
-4.09776E-001	-2.30859E-006
-4.07777E-001	-2.29492E-006
-4.05785E-001	-2.29131E-006
-4.03796E-001	-2.28666E-006
-4.01788E-001	-2.26980E-006
-3.99786E-001	-2.25849E-006
-3.97802E-001	-2.25544E-006
-3.95769E-001	-2.24989E-006
-3.93772E-001	-2.23740E-006
-3.91793E-001	-2.22984E-006
-3.89786E-001	-2.21700E-006
-3.87786E-001	-2.21028E-006
-3.85784E-001	-2.19917E-006
-3.83766E-001	-2.19071E-006
-3.81777E-001	-2.18169E-006
-3.79780E-001	-2.17781E-006
-3.77770E-001	-2.16414E-006
-3.75777E-001	-2.16074E-006
-3.73778E-001	-2.14665E-006
-3.71788E-001	-2.13965E-006
-3.69763E-001	-2.12716E-006
-3.67773E-001	-2.12619E-006
-3.65780E-001	-2.10843E-006
-3.63774E-001	-2.10516E-006
-3.61762E-001	-2.09191E-006
-3.59761E-001	-2.08491E-006
-3.57746E-001	-2.07075E-006
-3.55766E-001	-2.06028E-006
-3.53759E-001	-2.05403E-006
-3.51774E-001	-2.04494E-006
-3.49766E-001	-2.03467E-006
-3.47764E-001	-2.02559E-006
-3.45756E-001	-2.01629E-006
-3.43760E-001	-2.00720E-006
-3.41763E-001	-2.00047E-006
-3.39768E-001	-1.99208E-006
-3.37757E-001	-1.97806E-006
-3.35760E-001	-1.96960E-006
-3.33759E-001	-1.96023E-006
-3.31746E-001	-1.94628E-006
-3.29747E-001	-1.93928E-006
-3.27753E-001	-1.93088E-006
-3.25743E-001	-1.91895E-006
-3.23758E-001	-1.90292E-006
-3.21749E-001	-1.89168E-006
-3.19733E-001	-1.88419E-006
-3.17733E-001	-1.87017E-006
-3.15733E-001	-1.85907E-006
-3.13738E-001	-1.85082E-006
-3.11744E-001	-1.83167E-006
-3.09731E-001	-1.82785E-006
-3.07724E-001	-1.81245E-006
-3.05717E-001	-1.80218E-006
-3.03719E-001	-1.78865E-006
-3.01729E-001	-1.76916E-006
-2.99735E-001	-1.75195E-006
-2.97736E-001	-1.74335E-006
-2.95732E-001	-1.72580E-006
-2.93723E-001	-1.70921E-006
-2.91726E-001	-1.69673E-006
-2.89724E-001	-1.67973E-006
-2.87724E-001	-1.66099E-006
-2.85731E-001	-1.65211E-006
-2.83723E-001	-1.63206E-006
-2.81710E-001	-1.61083E-006
-2.79709E-001	-1.58995E-006
-2.77720E-001	-1.57323E-006
-2.75720E-001	-1.56005E-006
-2.73718E-001	-1.53542E-006
-2.71712E-001	-1.51724E-006
-2.69733E-001	-1.49656E-006
-2.67716E-001	-1.46770E-006
-2.65711E-001	-1.44293E-006
-2.63723E-001	-1.42170E-006
-2.61716E-001	-1.39596E-006
-2.59715E-001	-1.36856E-006
-2.57702E-001	-1.34122E-006
-2.55695E-001	-1.30820E-006
-2.53694E-001	-1.27947E-006
-2.51699E-001	-1.25061E-006
-2.49706E-001	-1.21911E-006
-2.47700E-001	-1.18741E-006
-2.45706E-001	-1.15369E-006
-2.43714E-001	-1.11560E-006
-2.41692E-001	-1.07404E-006
-2.39693E-001	-1.03207E-006
-2.37701E-001	-9.92449E-007
-2.35711E-001	-9.52833E-007
-2.33699E-001	-9.05239E-007
-2.31692E-001	-8.60142E-007
-2.29677E-001	-8.08245E-007
-2.27700E-001	-7.60165E-007
-2.25686E-001	-7.06951E-007
-2.23694E-001	-6.49920E-007
-2.21690E-001	-5.89976E-007
-2.19695E-001	-5.30448E-007
-2.17682E-001	-4.74805E-007
-2.15693E-001	-4.14792E-007
-2.13694E-001	-3.52697E-007
-2.11693E-001	-2.82831E-007
-2.09679E-001	-2.09843E-007
-2.07689E-001	-1.44071E-007
-2.05680E-001	-7.67033E-008
-2.03666E-001	-6.00511E-009
-2.01677E-001	6.91333E-008
-1.99669E-001	1.41844E-007
-1.97684E-001	2.22741E-007
-1.95695E-001	2.97532E-007
-1.93693E-001	3.71352E-007
-1.91662E-001	4.47601E-007
-1.89680E-001	5.25515E-007
-1.87680E-001	6.01486E-007
-1.85682E-001	6.80718E-007
-1.83679E-001	7.66124E-007
-1.81675E-001	8.33562E-007
-1.79679E-001	9.02942E-007
-1.77671E-001	9.67118E-007
-1.75674E-001	1.03816E-006
-1.73672E-001	1.10498E-006
-1.71666E-001	1.16721E-006
-1.69669E-001	1.22979E-006
-1.67668E-001	1.28765E-006
-1.65659E-001	1.34226E-006
-1.63669E-001	1.39714E-006
-1.61660E-001	1.44938E-006
-1.59668E-001	1.49545E-006
-1.57670E-001	1.54450E-006
-1.55649E-001	1.58113E-006
-1.53644E-001	1.62137E-006
-1.51646E-001	1.66272E-006
-1.49658E-001	1.69172E-006
-1.47654E-001	1.72537E-006
-1.45658E-001	1.75271E-006
