r ads	dstrAds	rdes	distrdes
0.6363726931	-0.0278474144	0.6363726931	-0.0745616315
0.6144348338	-0.0263576381	0.6144348338	-0.0742685907
0.5926467892	-0.0260826224	0.5926467892	-0.0743988663
0.5709670192	-0.0272920373	0.5709670192	-0.0749227587
0.5493502254	-0.0288521474	0.5493502254	-0.0747330688
0.5277465103	-0.030713407	0.5277465103	-0.070945372
0.506100282	-0.0328098232	0.506100282	-0.0649744483
0.4843487869	-0.0338207217	0.4843487869	-0.0596913219
0.4624200863	-0.0333821202	0.4624200863	-0.0549771726
0.4402301774	-0.0317421559	0.4402301774	-0.0506909516
0.4176787497	-0.0303101242	0.4176787497	-0.0472801847
0.394642668	-0.0289273	0.394642668	-0.0465980367
0.3709654724	-0.0274176491	0.3709654724	-0.0417617146
0.3464394375	-0.026153024	0.3464394375	-0.0363672851
0.3207725515	-0.0256616234	0.3207725515	-0.030967213
0.2935214833	-0.0139325271	0.2935214833	-0.0252733735
0.2639354291	-0.0009797977	0.2639354291	-0.018953085
0.2305066412	0.0091473936	0.2305066412	-0.0161654905
0.1890614995	0.0185266528	0.1890614995	-0.0138385857
0.1840319	0.0269225259	0.1840319	-0.0114560881
0.1787233615	0.0238036023	0.1787233615	-0.0093829337
0.1730733087	0.0190740837	0.1730733087	-0.0080719364
0.1669931865	0.0166300228	0.1669931865	-0.0072403567
0.1603509553	0.0141946773	0.1603509553	-0.0063569492
0.1529352274	0.0117540844	0.1529352274	-0.005412082
0.1443708355	0.0093149446	0.1443708355	-0.0044390743	
0.1338725238	0.0068758048	0.1338725238	-0.0034660666
