Scopus-127166-Analyze-Year

"Your query : (TITLE-ABS-KEY(nanotechnology))"


Number of results : 127166

"YEAR",
"2016","10346"
"2015","10836"
"2014","10125"
"2013","11476"
"2012","11215"
"2011","10389"
"2010","9318"
"2009","8212"
"2008","9240"
"2007","7356"
"2006","6764"
"2005","6216"
"2004","5470"
"2003","4177"
"2002","2633"
"2001","1072"
"2000","671"
"1999","413"
"1998","323"
"1997","266"
"1996","278"
"1995","232"
"1994","61"
"1993","31"
"1992","13"
"1991","22"
"1990","11"
