r_ads	pob_ads	r_des	pob_des
0.338588135	-0.066642259	0.338588135	-0.085170964
0.315836099	-0.062974718	0.315836099	-0.073331776
0.292031745	-0.056009492	0.292031745	-0.060842324
0.266773089	-0.026862756	0.266773089	-0.048729417
0.239381504	-0.003430285	0.239381504	-0.036665428
0.208497629	0.014705797	0.208497629	-0.025301554
0.170365174	0.030622388	0.170365174	-0.01751026
0.165753756	0.044141309	0.165753756	-0.013987303
0.160891098	0.033649941	0.160891098	-0.011173057
0.155720941	0.026952038	0.155720941	-0.009508343
0.150163665	0.02350323	0.150163665	-0.008494336
0.144100558	0.020065458	0.144100558	-0.007428329
0.137341572	0.016618696	0.137341572	-0.00629972
0.129549413	0.01317326	0.129549413	-0.005142702
0.120018109	0.009727825	0.120018109	-0.003985683
