R_ads	pob_:ads	R_Des	pob_des
0.444267063	0.07508987	0.444267063	-0.010738125
0.418098041	0.065107095	0.418098041	-0.01190836
0.390989547	0.053949117	0.390989547	-0.005970227
0.362611322	0.051809928	0.362611322	-0.001240779
0.332459846	0.058903762	0.332459846	0.002683097
0.299679244	0.060024809	0.299679244	0.00625937
0.262545756	0.059454563	0.262545756	0.010015466
0.216278247	0.060338868	0.216278247	0.004478155
0.21063989	0.052844817	0.21063989	0.001167296
0.20468227	0.037974937	0.20468227	-0.000400246
0.198333621	0.030845665	0.198333621	-0.000817249
0.191492377	0.027035504	0.191492377	-0.000896419
0.184007099	0.023200607	0.184007099	-0.000925983
0.175635335	0.019315979	0.175635335	-0.000901787
0.165946782	0.01541364	0.165946782	-0.000851696
0.154040772	0.011511302	0.154040772	-0.000801605
