R_Ads	pob_ads	R_Des	pob_des
0.297547959	0.083476984	0.297547959	0.075612569
0.267631568	0.115214971	0.267631568	0.06744347
0.23381969	0.133452692	0.23381969	0.060341085
0.191875885	0.152293842	0.191875885	0.044950314
0.186783336	0.171352876	0.186783336	0.029651461
0.181407679	0.166344833	0.181407679	0.020294502
0.175685386	0.135457913	0.175685386	0.016085328
0.169526559	0.118888899	0.169526559	0.013958603
0.162797152	0.10216615	0.162797152	0.011857177
0.155282564	0.0851761	0.155282564	0.00977051
0.146601926	0.068084693	0.146601926	0.007694375
0.13595805	0.050993286	0.13595805	0.005618239
