Ciclo	Eano	Ecat	icat	iano
1	-104.3911	-399.1845	-0.2617795	0.08468217
2	-100.4745	-399.09	-0.2651917	0.08882885
3	-100.6236	-399.9896	-0.2747825	0.08807451
4	-105.6345	-399.9272	-0.282887	0.08984499
5	-100.8191	-399.7852	-0.2880233	0.09117757
6	-109.9232	-399.7087	-0.2943738	0.08948585
7	-107.0135	-399.5979	-0.304149	0.09315502
8	-101.1279	-399.5129	-0.3083394	0.09272285
9	-103.1815	-399.4171	-0.3170303	0.09612049
10	-196.357	-399.2919	-0.3309343	0.09903036
11	-199.3752	-399.1839	-0.3284621	0.1030024
12	-208.4796	-399.1367	-0.3424015	0.106662
13	-211.5997	-399.9853	-0.3499901	0.1141852
14	-214.6856	-399.8561	-0.3590328	0.120086
15	-221.8658	-399.7908	-0.3707196	0.1294172
16	-229.9202	-399.7193	-0.3812701	0.1399931
17	-225.0379	-399.5587	-0.3900947	0.1470408
18	-223.1285	-399.4433	-0.4018714	0.1568729
19	-231.1919	-399.3761	-0.4154662	0.1701717
20	-239.3051	-399.3057	-0.4333653	0.1823103
21	-245.4223	-399.1514	-0.4394423	0.196092
22	-244.5333	-399.1031	-0.4534517	0.2107766
23	-242.6416	-399.9912	-0.4713176	0.2238562
24	-247.7368	-399.8722	-0.48775	0.2397387
25	-244.791	-399.8039	-0.5056022	0.2615635
26	-250.9149	-399.7107	-0.5235525	0.2794514
27	-257.9884	-399.6068	-0.5446712	0.2993783
28	-257.0735	-399.4722	-0.5679169	0.3210686
29	-254.1614	-399.3876	-0.5850838	0.3433469
30	-259.2686	-398.2924	-0.617142	0.3715798
31	-259.3771	-398.1828	-0.6351473	0.3972465
32	-258.4816	-395.0837	-0.6616507	0.4239851
33	-258.6028	-337.0577	-0.6988394	0.4538864
34	-258.6675	-330.9402	-0.7319702	0.4888329
35	-258.79	-330.8609	-0.7747078	0.5209322
36	-259.8348	-339.7365	-0.8142625	0.559307
37	-266.9619	-341.6419	-0.8536441	0.5913685
38	-262.0986	-336.5069	-0.8977517	0.6315944
39	-266.1888	-334.4653	-0.9423966	0.6722931
40	-269.2761	-331.33	-0.995427	0.7166108
41	-266.4133	-331.239	-1.033234	0.7622165
42	-266.4957	-332.191	-1.079977	0.8084732
43	-269.6015	-337.0094	-1.127983	0.8608407
44	-269.6828	-330.9348	-1.177278	0.9074247
45	-271.7944	-337.7968	-1.227918	0.9654866
46	-272.4011	-337.2368	-1.399693	1.124855
47	-269.4884	-331.1559	-1.448679	1.212611
48	-271.5947	-332.0233	-1.499972	1.277893
49	-271.7365	-337.9439	-1.550405	1.343082
50	-272.82	-333.7958	-1.600318	1.408956
51	-275.9256	-333.7224	-1.654684	1.481484
52	-271.9714	-337.6631	-1.714182	1.557649
53	-276.1048	-328.5869	-1.766476	1.633258
54	-276.2357	-331.442	-1.831245	1.715703
55	-277.3127	-334.3163	-1.897215	1.792748
56	-282.3514	-331.2789	-1.952927	1.885508
57	-276.5179	-337.1578	-2.010367	1.973586
58	-277.6512	-337.0032	-2.085786	2.074001
59	-278.7301	-331.9216	-2.152091	2.1731
60	-277.8294	-333.8192	-2.222903	2.275616
61	-284.8537	-336.7326	-2.297071	2.377289
62	-284.9879	-337.6646	-2.372995	2.488925
63	-279.1046	-336.5639	-2.447168	2.601439
64	-283.1782	-337.4347	-2.528516	2.721273
65	-282.3048	-337.3482	-2.613636	2.838877
66	-282.3951	-332.2616	-2.686144	2.960996
67	-282.4926	-337.1229	-2.767988	3.091392
68	-282.6179	-337.0386	-2.854432	3.217299
69	-285.7153	-331.9405	-2.936922	3.335352
70	-282.7896	-338.8461	-3.025393	3.47497
71	-282.8834	-336.7284	-3.108683	3.604383
72	-285.0249	-338.6452	-3.196663	3.740172
73	-284.0973	-338.5757	-3.286193	3.863896
74	-283.2117	-337.4373	-3.365125	4.00346
75	-285.2986	-337.3533	-3.466434	4.134315
76	-283.3464	-337.217	-3.543512	4.267953
77	-283.5131	-338.162	-3.621962	4.396783
78	-283.5941	-338.0693	-3.713702	4.524755
79	-285.7087	-337.9499	-3.791336	4.660008
80	-283.7609	-341.8274	-3.874801	4.784848
81	-285.9218	-337.7353	-3.94831	4.900036
82	-285.0073	-341.6772	-4.032196	5.036425
83	-285.1088	-341.5375	-4.111946	5.153422
84	-285.2068	-338.4463	-4.18472	5.272057
85	-285.3195	-341.3503	-4.271534	5.401972
86	-285.3885	-339.2579	-4.335549	5.506808
87	-285.474	-338.1641	-4.399165	5.618678
88	-285.6213	-344.0486	-4.472008	5.73641
89	-284.7278	-341.9491	-4.539194	5.828968
90	-284.819	-339.823	-4.6085	5.954049
91	-285.3808	-342.2903	-4.617709	6.247692
92	-285.4926	-342.1576	-4.733161	6.225881
93	-288.6165	-344.0258	-4.823422	6.341259
94	-285.7126	-340.9153	-4.904985	6.451427
95	-285.7662	-341.878	-4.976274	6.553417
96	-288.8919	-343.7657	-5.043318	6.65648
97	-286.0004	-343.6704	-5.115993	6.767939
98	-285.1261	-342.5502	-5.179536	6.85359
99	-285.202	-342.4777	-5.234104	6.948798
100	-288.2864	-344.3527	-5.306047	7.045216
101	-285.4172	-342.263	-5.358667	7.129465
102	-288.4962	-342.1839	-5.409792	7.221166
103	-288.601	-345.0491	-5.468937	7.309216
104	-285.6961	-341.9407	-5.518708	7.384004
105	-288.7966	-344.8281	-5.574504	7.471416
106	-288.9135	-344.7163	-5.625626	7.543566
107	-291.0016	-342.6737	-5.682547	7.62558
108	-289.107	-350.5092	-5.728631	7.706525
109	-290.2072	-345.4575	-5.78201	7.769814
110	-290.3074	-350.3753	-5.843341	7.84588
111	-290.4027	-348.272	-5.883446	7.91828
112	-290.4973	-345.1472	-5.934375	7.99639
113	-290.6067	-344.0276	-5.983982	8.053493
114	-290.7571	-349.9705	-6.026505	8.114513
115	-290.865	-349.8547	-6.065934	8.185442
116	-285.9095	-349.767	-6.111674	8.198986
117	-284.0174	-350.6754	-6.151957	8.190606
118	-302.112	-350.5638	-6.186146	8.168587
119	-303.2162	-348.408	-6.216308	8.186869
120	-281.2908	-348.3294	-6.267686	8.195332
