E(t)	k=0, D=1e-4	k=0, D=1e-6	k=0, D=1e-8	k=0, D=1e-10	k=1000, D=1e-4	k=1000, D=1e-6	k=1000, D=1e-8	k=1000, D=1e-10
-0.4656	-40.2327	-40.2302	-32.5213	-3.0184	-40.2331	-40.2290	-34.1521	-6.7147
-0.4680	-39.8272	-39.8253	-32.1636	-2.7540	-39.8276	-39.8230	-33.7513	-6.4579
-0.4704	-39.4462	-39.4459	-31.8299	-2.5131	-39.4466	-39.4417	-33.3751	-6.2079
-0.4728	-39.0876	-39.0857	-31.5182	-2.2935	-39.0880	-39.0823	-33.0214	-5.9784
-0.4752	-38.7495	-38.7492	-31.2266	-2.0934	-38.7500	-38.7439	-32.6884	-5.7627
-0.4776	-38.4301	-38.4286	-30.9532	-1.9111	-38.4306	-38.4244	-32.3743	-5.5287
-0.4800	-38.1280	-38.1314	-30.6967	-1.7450	-38.1285	-38.1215	-32.0775	-5.3388
-0.4824	-37.8416	-37.8412	-30.4554	-1.5936	-37.8421	-37.8350	-31.7965	-5.1677
-0.4848	-37.5696	-37.5680	-30.2281	-1.4557	-37.5701	-37.5626	-31.5301	-5.0515
-0.4872	-37.3108	-37.3138	-30.0136	-1.3301	-37.3114	-37.3033	-31.2770	-4.8920
-0.4896	-37.0642	-37.0606	-29.8109	-1.2156	-37.0647	-37.0564	-31.0361	-4.7630
-0.4920	-36.8286	-36.8294	-29.6188	-1.1113	-36.8292	-36.8203	-30.8064	-4.6620
-0.4944	-36.6033	-36.6025	-29.4366	-1.0163	-36.6039	-36.5947	-30.5871	-4.5601
-0.4968	-36.3874	-36.3871	-29.2633	-0.9297	-36.3879	-36.3785	-30.3772	-4.4225
-0.4992	-36.1800	-36.1820	-29.0983	-0.8509	-36.1806	-36.1706	-30.1761	-4.3337
-0.5016	-35.9806	-35.9789	-28.9407	-0.7790	-35.9812	-35.9708	-29.9829	-4.2355
-0.5040	-35.7885	-35.7909	-28.7901	-0.7136	-35.7890	-35.7786	-29.7971	-4.1870
-0.5064	-35.6030	-35.6007	-28.6458	-0.6539	-35.6036	-35.5927	-29.6182	-4.1212
-0.5088	-35.4238	-35.4245	-28.5073	-0.5996	-35.4244	-35.4131	-29.4454	-4.0296
-0.5112	-35.2502	-35.2488	-28.3741	-0.5501	-35.2508	-35.2391	-29.2785	-3.9819
-0.5136	-35.0819	-35.0822	-28.2459	-0.5050	-35.0825	-35.0705	-29.1169	-3.9302
-0.5160	-34.9185	-34.9189	-28.1221	-0.4640	-34.9191	-34.9068	-28.9602	-3.8400
-0.5184	-34.7595	-34.7583	-28.0025	-0.4266	-34.7601	-34.7475	-28.8081	-3.7932
-0.5208	-34.6047	-34.6066	-27.8866	-0.3925	-34.6053	-34.5923	-28.6602	-3.7343
-0.5232	-34.4538	-34.4525	-27.7743	-0.3614	-34.4544	-34.4413	-28.5163	-3.7201
-0.5256	-34.3064	-34.3070	-27.6652	-0.3331	-34.3070	-34.2935	-28.3760	-3.6863
-0.5280	-34.1624	-34.1603	-27.5591	-0.3074	-34.1629	-34.1492	-28.2390	-3.6247
-0.5304	-34.0214	-34.0219	-27.4557	-0.2839	-34.0219	-34.0080	-28.1053	-3.6037
-0.5328	-33.8833	-33.8829	-27.3549	-0.2625	-33.8838	-33.8695	-27.9744	-3.5764
-0.5352	-33.7479	-33.7467	-27.2564	-0.2430	-33.7484	-33.7338	-27.8463	-3.5093
-0.5376	-33.6150	-33.6167	-27.1601	-0.2253	-33.6155	-33.6005	-27.7208	-3.4829
-0.5400	-33.4844	-33.4828	-27.0658	-0.2091	-33.4849	-33.4697	-27.5976	-3.4432
-0.5424	-33.3560	-33.3571	-26.9734	-0.1944	-33.3565	-33.3412	-27.4767	-3.4106
-0.5448	-33.2297	-33.2286	-26.8828	-0.1809	-33.2302	-33.2144	-27.3579	-3.4235
-0.5472	-33.1053	-33.1062	-26.7938	-0.1687	-33.1058	-33.0899	-27.2411	-3.3789
-0.5496	-32.9827	-32.9816	-26.7063	-0.1576	-32.9832	-32.9671	-27.1262	-3.3561
-0.5520	-32.8618	-32.8627	-26.6202	-0.1474	-32.8624	-32.8459	-27.0130	-3.3539
-0.5544	-32.7426	-32.7402	-26.5354	-0.1382	-32.7431	-32.7264	-26.9015	-3.3352
-0.5568	-32.6249	-32.6258	-26.4519	-0.1297	-32.6254	-32.6084	-26.7915	-3.2786
-0.5592	-32.5086	-32.5062	-26.3695	-0.1220	-32.5091	-32.4919	-26.6831	-3.2522
-0.5616	-32.3937	-32.3946	-26.2882	-0.1150	-32.3942	-32.3768	-26.5761	-3.2292
-0.5640	-32.2802	-32.2780	-26.2079	-0.1087	-32.2806	-32.2629	-26.4704	-3.2499
-0.5664	-32.1678	-32.1686	-26.1287	-0.1028	-32.1683	-32.1503	-26.3660	-3.2130
-0.5688	-32.0567	-32.0551	-26.0503	-0.0975	-32.0572	-32.0392	-26.2628	-3.1969
-0.5712	-31.9467	-31.9475	-25.9728	-0.0927	-31.9472	-31.9288	-26.1608	-3.2008
-0.5736	-31.8378	-31.8360	-25.8961	-0.0883	-31.8383	-31.8197	-26.0600	-3.1877
-0.5760	-31.7299	-31.7304	-25.8202	-0.0843	-31.7304	-31.7117	-25.9602	-3.1365
-0.5784	-31.6231	-31.6226	-25.7450	-0.0806	-31.6235	-31.6045	-25.8614	-3.1151
-0.5808	-31.5172	-31.5158	-25.6706	-0.0773	-31.5176	-31.4985	-25.7637	-3.0965
-0.5832	-31.4122	-31.4146	-25.5968	-0.0742	-31.4127	-31.3932	-25.6669	-3.1211
-0.5856	-31.3082	-31.3059	-25.5236	-0.0715	-31.3086	-31.2890	-25.5710	-3.0879
-0.5880	-31.2050	-31.2064	-25.4511	-0.0689	-31.2054	-31.1857	-25.4760	-3.0753
-0.5904	-31.1026	-31.1014	-25.3792	-0.0666	-31.1031	-31.0830	-25.3819	-3.0823
-0.5928	-31.0011	-31.0022	-25.3078	-0.0645	-31.0015	-30.9814	-25.2887	-3.0723
-0.5952	-30.9004	-30.8992	-25.2370	-0.0626	-30.9008	-30.8805	-25.1962	-3.0238
-0.5976	-30.8004	-30.8014	-25.1667	-0.0608	-30.8008	-30.7803	-25.1046	-3.0053

