E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.1092	10.64559	13.75371	12.37637	2.73886	-0.07527	-0.14275
0.112	10.36866	13.4964	12.56731	2.87881	-0.03049	-0.12686
0.1148	10.10982	13.23758	12.7205	3.00777	0.01126	-0.1126
0.1176	9.86771	12.97907	12.83767	3.12529	0.04976	-0.09981
0.1204	9.63974	12.72274	12.92016	3.23143	0.08503	-0.08835
0.1232	9.42475	12.46945	12.96937	3.32625	0.11716	-0.07808
0.126	9.22207	12.21952	12.9891	3.41002	0.14631	-0.06886
0.1288	9.03089	11.97418	12.98297	3.48333	0.17251	-0.06062
0.1316	8.8502	11.73397	12.95437	3.54637	0.19604	-0.05324
0.1344	8.67924	11.49985	12.90064	3.59994	0.21702	-0.04663
0.1372	8.51746	11.27186	12.82708	3.64471	0.23562	-0.04071
0.14	8.36443	11.05006	12.73602	3.68108	0.25209	-0.03541
0.1428	8.21965	10.83479	12.62956	3.70996	0.26651	-0.0307
0.1456	8.08278	10.62634	12.50994	3.73193	0.27913	-0.02646
0.1484	7.95283	10.42455	12.37873	3.7476	0.29009	-0.02267
0.1512	7.82821	10.22941	12.23709	3.75761	0.29953	-0.01929
0.154	7.70859	10.04091	12.08578	3.76249	0.30759	-0.01628
0.1568	7.59297	9.85902	11.92756	3.76272	0.31443	-0.01358
0.1596	7.4813	9.68372	11.76573	3.75886	0.32016	-0.01117
0.1624	7.37527	9.51473	11.60012	3.75162	0.3249	-0.00903
0.1652	7.27396	9.3518	11.43182	3.74122	0.32876	-0.00712
0.168	7.17774	9.19487	11.2619	3.72792	0.33182	-0.00542
0.1708	7.08647	9.04374	11.09188	3.71195	0.33417	-0.0039
0.1736	6.99766	8.89805	10.92228	3.69349	0.3359	-0.00255
0.1764	6.91212	8.75761	10.75379	3.67383	0.33707	-0.00135
0.1792	6.82934	8.62217	10.58693	3.65265	0.33775	-2.88E-04
0.182	6.74893	8.49156	10.42249	3.63018	0.33799	6.60E-04
0.1848	6.67197	8.36559	10.26074	3.60658	0.33786	0.0015
0.1876	6.59764	8.24408	10.10191	3.582	0.33739	0.00224
