Funcionalizado APTES 10mM	Funcionalizado APTES 10mM
mV	uA
Terceros 45	Terceros 45
-599.7315	-3.550048
-599.4963	-3.536215
-599.0214	-3.516232
-598.3231	-3.491002
-597.3529	-3.461226
-596.3949	-3.442231
-595.3918	-3.42468
-594.3602	-3.407995
-593.348	-3.39114
-592.3015	-3.373027
-591.3207	-3.356402
-590.3315	-3.340222
-589.3322	-3.32397
-588.3546	-3.309412
-587.348	-3.293583
-586.3499	-3.277826
-585.3721	-3.263135
-584.376	-3.247662
-583.3798	-3.233087
-582.3936	-3.219077
-581.3962	-3.204568
-580.3881	-3.190201
-579.3785	-3.175268
-578.3774	-3.16112
-577.3574	-3.146467
-576.3761	-3.132348
-575.3874	-3.119097
-574.39	-3.105033
-573.3863	-3.091264
-572.3774	-3.07792
-571.3803	-3.064692
-570.3712	-3.051751
-569.386	-3.039713
-568.3835	-3.026577
-567.3711	-3.013059
-566.3594	-2.999161
-565.3477	-2.985232
-564.3587	-2.972835
-563.3668	-2.959807
-562.3643	-2.94731
-561.3866	-2.93519
-560.3699	-2.920912
-559.3678	-2.909118
-558.3922	-2.898159
-557.39	-2.88563
-556.3942	-2.874952
-555.4075	-2.862182
-554.3881	-2.848314
-553.368	-2.836538
-552.3606	-2.824506
-551.3542	-2.812921
-550.3838	-2.801765
-549.3978	-2.789885
-548.4095	-2.776994
-547.4025	-2.765783
-546.3903	-2.754367
-545.3908	-2.743002
-544.3921	-2.732775
-543.4	-2.721084
-542.3845	-2.709817
-541.381	-2.697521
-540.3747	-2.686861
-539.36	-2.67536
-538.3806	-2.663383
-537.3796	-2.653629
-536.3813	-2.641912
-535.3837	-2.63071
-534.3804	-2.620849
-533.3884	-2.61047
-532.4059	-2.60116
-531.4105	-2.591671
-530.4158	-2.580848
-529.4167	-2.570026
-528.4003	-2.557483
-527.4074	-2.546817
-526.3885	-2.536218
-525.3852	-2.525501
-524.3958	-2.515471
-523.385	-2.50492
-522.3755	-2.494625
-521.3679	-2.485202
-520.3627	-2.476313
-519.3647	-2.466945
-518.3781	-2.458022
-517.3725	-2.447914
-516.3619	-2.437742
-515.338	-2.427514
-514.3242	-2.417868
-513.3218	-2.40808
-512.3223	-2.398562
-511.3435	-2.389457
-510.3418	-2.380178
-509.3417	-2.371174
-508.3614	-2.363106
-507.3695	-2.354398
-506.3808	-2.344727
-505.394	-2.336035
-504.3849	-2.326487
-503.3898	-2.316927
-502.3939	-2.308141
-501.3917	-2.29857
-500.3725	-2.289395
-499.3785	-2.280441
-498.3747	-2.27145
-497.3757	-2.262011
-496.3949	-2.252369
-495.3741	-2.243844
-494.3782	-2.234746
-493.3765	-2.226132
-492.3825	-2.218077
-491.3848	-2.208381
-490.3636	-2.198895
-489.373	-2.189747
-488.363	-2.18021
-487.3712	-2.170975
-486.4029	-2.161693
-485.4026	-2.152185
-484.3965	-2.142437
-483.4072	-2.132976
-482.4023	-2.125047
-481.407	-2.116153
-480.417	-2.10679
-479.4139	-2.097842
-478.4051	-2.087229
-477.3767	-2.077231
-476.3775	-2.067631
-475.3783	-2.058116
-474.3881	-2.047737
-473.4081	-2.037227
-472.3969	-2.026497
-471.3842	-2.015282
-470.3762	-2.005431
-469.3486	-1.995254
-468.3324	-1.984683
-467.3156	-1.974026
-466.3076	-1.962806
-465.3358	-1.951271
-464.3439	-1.939019
-463.3616	-1.928321
-462.3682	-1.9162
-461.3504	-1.903674
-460.3621	-1.892516
-459.3632	-1.879079
-458.3658	-1.865721
-457.376	-1.85413
-456.372	-1.8408
-455.3811	-1.827705
-454.3832	-1.815084
-453.3958	-1.800291
-452.4157	-1.785297
-451.3877	-1.769386
-450.3687	-1.75429
-449.3599	-1.738956
-448.3571	-1.724092
-447.366	-1.709782
-446.385	-1.693749
-445.3891	-1.676578
-444.3795	-1.660857
-443.4016	-1.643462
-442.3958	-1.625777
-441.3931	-1.609163
-440.3835	-1.590404
-439.3659	-1.571057
-438.374	-1.552261
-437.374	-1.533288
-436.3803	-1.51406
-435.3897	-1.494309
-434.3879	-1.473833
-433.3803	-1.452974
-432.3843	-1.430542
-431.3838	-1.409454
-430.3885	-1.387649
-429.3849	-1.363189
-428.3984	-1.340897
-427.3886	-1.316009
-426.3723	-1.289757
-425.3732	-1.266108
-424.3667	-1.240211
-423.3633	-1.21377
-422.3673	-1.188361
-421.3701	-1.160455
-420.3674	-1.132003
-419.3749	-1.103044
-418.3749	-1.073883
-417.3669	-1.044258
-416.3478	-1.012812
-415.3574	-0.9818384
-414.3502	-0.948669
-413.3337	-0.912824
-412.3409	-0.8806483
-411.315	-0.847247
-410.3044	-0.8132458
-409.3209	-0.7817752
-408.328	-0.7462232
-407.3495	-0.7101617
-406.3746	-0.6737517
-405.3752	-0.635523
-404.3693	-0.5974778
-403.364	-0.5580153
-402.3641	-0.5175186
-401.3759	-0.4750661
-400.3661	-0.4294663
-399.3686	-0.3868037
-398.3757	-0.3438175
-397.3588	-0.2983426
-396.3727	-0.25762
-395.3592	-0.2116268
-394.3524	-0.163195
-393.363	-0.1184455
-392.364	-0.06809195
-391.3721	-0.01719943
-390.3641	0.03197823
-389.3724	0.0859994
-388.3641	0.1394569
-387.3527	0.1931266
-386.3652	0.2463263
-385.3591	0.2996145
-384.3917	0.3537036
-383.4243	0.4061991
-382.436	0.4632574
-381.4545	0.5240012
-380.4432	0.5800519
-379.4432	0.6406238
-378.4389	0.7017016
-377.4334	0.7574941
-376.4389	0.8214776
-375.4185	0.8865135
-374.4122	0.951202
-373.3982	1.019614
-372.3914	1.085145
-371.403	1.148969
-370.4032	1.214274
-369.4269	1.280092
-368.4295	1.351228
-367.424	1.419825
-366.4295	1.488414
-365.4023	1.562888
-364.4005	1.630361
-363.4048	1.704849
-362.3892	1.784701
-361.4036	1.856938
-360.3931	1.93188
-359.3901	2.005715
-358.3949	2.072438
-357.3957	2.144413
-356.4026	2.217537
-355.4122	2.293058
-354.4141	2.368435
-353.4232	2.444559
-352.4339	2.523672
-351.4341	2.598899
-350.4324	2.680284
-349.4203	2.766871
-348.4174	2.843868
-347.4111	2.923557
-346.4064	3.00141
-345.4127	3.070428
-344.4169	3.149045
-343.4405	3.229921
-342.4551	3.308738
-341.4518	3.392333
-340.45	3.472802
-339.4325	3.551563
-338.4166	3.632283
-337.4259	3.712537
-336.4159	3.798132
-335.4119	3.876691
-334.4325	3.952961
-333.4208	4.032799
-332.4411	4.100823
-331.4445	4.176248
-330.453	4.258001
-329.4701	4.330752
-328.4668	4.409381
-327.459	4.486232
-326.4641	4.556298
-325.4649	4.634092
-324.4492	4.712498
-323.4598	4.793949
-322.423	4.870256
-321.418	4.939719
-320.4331	5.009331
-319.4376	5.070775
-318.4533	5.137768
-317.4449	5.215108
-316.4417	5.281257
-315.4238	5.349843
-314.4092	5.420431
-313.4098	5.477796
-312.3861	5.542811
-311.3868	5.611477
-310.398	5.673852
-309.3912	5.736339
-308.3931	5.792006
-307.4008	5.84251
-306.4073	5.890323
-305.4167	5.939365
-304.4205	5.994607
-303.432	6.041245
-302.4298	6.085771
-301.4348	6.135648
-300.4576	6.172194
-299.4384	6.217129
-298.4351	6.269516
-297.4313	6.309361
-296.4056	6.352922
-295.4104	6.390918
-294.4106	6.417125
-293.4129	6.44825
-292.4323	6.477438
-291.4421	6.50673
-290.4612	6.534599
-289.4555	6.555431
-288.4598	6.581038
-287.4529	6.601677
-286.4406	6.624729
-285.4256	6.655734
-284.414	6.668125
-283.4085	6.677485
-282.4068	6.683792
-281.4179	6.673897
-280.4214	6.677309
-279.4442	6.683035
-278.4466	6.682741
-277.459	6.688435
-276.4691	6.685402
-275.4617	6.678126
-274.4793	6.672031
-273.467	6.662397
-272.4517	6.659651
-271.4487	6.644841
-270.4257	6.625536
-269.4396	6.608493
-268.44	6.573451
-267.42	6.550252
-266.4179	6.531224
-265.4102	6.498229
-264.4029	6.472374
-263.4125	6.440426
-262.4193	6.398585
-261.4221	6.364058
-260.413	6.328531
-259.4043	6.291996
-258.3861	6.249037
-257.3829	6.198623
-256.39	6.145878
-255.4018	6.085139
-254.4136	6.030969
-253.4002	5.983318
-252.42	5.921427
-251.4269	5.863336
-250.4493	5.80582
-249.4659	5.735316
-248.4666	5.67835
-247.4486	5.622201
-246.4428	5.559563
-245.4406	5.49772
-244.4242	5.428093
-243.4386	5.353631
-242.4406	5.277921
-241.4506	5.204572
-240.4455	5.137627
-239.4397	5.063501
-238.4228	4.991323
-237.4151	4.923724
-236.4302	4.844291
-235.4377	4.773756
-234.4262	4.706494
-233.4224	4.624613
-232.425	4.548915
-231.4315	4.469961
-230.4475	4.384258
-229.4612	4.308598
-228.471	4.234749
-227.4616	4.162659
-226.4657	4.090741
-225.4685	4.015304
-224.4655	3.943254
-223.4644	3.867394
-222.4481	3.795542
-221.4192	3.731074
-220.3987	3.656375
-219.3939	3.584897
-218.3914	3.515413
-217.4079	3.438017
-216.4209	3.371052
-215.4279	3.307362
-214.441	3.240656
-213.4308	3.178682
-212.4088	3.114005
-211.4005	3.049269
-210.3847	2.987467
-209.3835	2.927098
-208.3793	2.871805
-207.3769	2.811326
-206.3764	2.750398
-205.3718	2.691898
-204.375	2.629176
-203.376	2.573931
-202.3963	2.522885
-201.4213	2.466792
-200.4299	2.417335
-199.4321	2.36728
-198.4202	2.316645
-197.4025	2.272263
-196.4073	2.226544
-195.4066	2.183195
-194.3939	2.13833
-193.4076	2.091047
-192.4188	2.04813
-191.4242	2.003262
-190.4449	1.962604
-189.4181	1.92746
-188.42	1.887754
-187.4256	1.850973
-186.4044	1.81649
-185.4214	1.776624
-184.4137	1.743279
-183.4037	1.710999
-182.4325	1.676003
-181.436	1.643288
-180.4422	1.609349
-179.4488	1.57564
-178.4497	1.544855
-177.4732	1.5151
-176.4554	1.488963
-175.4683	1.460418
-174.47	1.433336
-173.4348	1.408335
-172.4589	1.379959
-171.4437	1.35635
-170.4291	1.333489
-169.4552	1.307754
-168.447	1.284865
-167.4597	1.261031
-166.4625	1.235906
-165.4414	1.214185
-164.4489	1.193716
-163.4363	1.173563
-162.4267	1.152991
-161.4461	1.132914
-160.4404	1.113841
-159.4457	1.094548
-158.4628	1.07757
-157.4346	1.062313
-156.4287	1.042468
-155.4285	1.024614
-154.4146	1.006716
-153.436	0.9861156
-152.4359	0.9710148
-151.4339	0.9555578
-150.4355	0.9405117
-149.4269	0.9274043
-148.431	0.9128088
-147.4318	0.8987529
-146.4467	0.8851451
-145.4553	0.8718199
-144.4507	0.8601155
-143.4567	0.8472298
-142.4624	0.8339841
