Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
	-595.1851	-2.544852
	-595.0981	-2.593083
	-594.9916	-2.634137
	-594.915	-2.663812
	-594.7768	-2.686054
	-594.666	-2.714707
	-594.5627	-2.742771
	-594.4529	-2.761853
	-594.355	-2.787032
	-594.2917	-2.820625
	-594.1873	-2.831706
	-594.0939	-2.855341
	-593.9798	-2.876573
	-593.9111	-2.893232
	-593.7738	-2.914458
	-593.6665	-2.932866
	-593.5917	-2.947599
	-593.4743	-2.973743
	-593.382	-2.991908
	-593.2324	-3.018643
	-593.1878	-3.028197
	-593.0431	-3.043578
	-592.9266	-3.063807
	-592.8931	-3.080429
	-592.7535	-3.094114
	-592.6766	-3.112896
	-592.5865	-3.124277
	-592.4735	-3.141209
	-592.3569	-3.153808
	-592.2371	-3.179627
	-592.1201	-3.185295
	-592.085	-3.204528
	-591.9933	-3.223707
	-591.876	-3.243929
mV	uA
	-596.1822	-2.539862
	-596.103	-2.586717
	-595.9973	-2.627809
	-595.9136	-2.658416
	-595.7897	-2.678264
	-595.6538	-2.70844
	-595.5723	-2.736945
	-595.4581	-2.756436
	-595.3683	-2.78191
	-595.3042	-2.816002
	-595.1583	-2.826355
	-595.1113	-2.848741
	-594.9975	-2.871085
	-594.9182	-2.885637
	-594.7787	-2.909654
	-594.66	-2.926432
	-594.6061	-2.941844
	-594.4827	-2.968584
	-594.376	-2.987484
	-594.2325	-3.011579
	-594.1911	-3.023759
	-594.059	-3.040494
	-593.9266	-3.05835
	-593.8701	-3.075622
	-593.7682	-3.089796
	-593.6783	-3.107282
	-593.6166	-3.120518
	-593.4798	-3.137388
	-593.3808	-3.149945
	-593.2462	-3.175517
	-593.1581	-3.183195
	-593.0921	-3.201221
	-593.0129	-3.220303
	-592.8854	-3.241335
Terceros 45	Terceros 45
	-597.188	-2.53438
	-597.1137	-2.579933
	-596.9819	-2.621401
	-596.8808	-2.651925
	-596.7832	-2.673151
	-596.6504	-2.702127
	-596.5836	-2.731495
	-596.4717	-2.751706
	-596.3685	-2.776242
	-596.3334	-2.810496
	-596.1576	-2.820032
	-596.0938	-2.842216
	-595.9897	-2.86523
	-595.9142	-2.878801
	-595.7966	-2.904181
	-595.6536	-2.920867
	-595.5856	-2.935988
	-595.4882	-2.963102
	-595.3747	-2.981824
	-595.2566	-3.004942
	-595.1926	-3.017946
	-595.0543	-3.036745
	-594.9241	-3.052889
	-594.8661	-3.069382
	-594.7766	-3.085653
	-594.6654	-3.10152
	-594.6179	-3.116083
	-594.4811	-3.133004
	-594.3977	-3.143755
	-594.2731	-3.170878
	-594.1901	-3.180111
	-594.0975	-3.197083
	-594.0036	-3.214827
	-593.882	-3.237834
-599.7695	-1.703417
	-598.2051	-2.529486
	-598.1315	-2.575727
	-597.9813	-2.616368
	-597.8641	-2.645276
	-597.8042	-2.668379
	-597.6567	-2.696095
	-597.597	-2.726131
	-597.4752	-2.745862
	-597.3875	-2.771284
	-597.3221	-2.806239
	-597.1428	-2.814568
	-597.0963	-2.8364
	-596.9858	-2.859779
	-596.9203	-2.873304
	-596.8088	-2.899729
	-596.6514	-2.914649
	-596.5701	-2.930887
	-596.4788	-2.956464
	-596.3683	-2.97551
	-596.2546	-2.999149
	-596.1775	-3.012094
	-596.0511	-3.03196
	-595.9229	-3.046223
	-595.8675	-3.063806
	-595.7646	-3.080558
	-595.6799	-3.095575
	-595.6176	-3.111431
	-595.4749	-3.129616
	-595.4214	-3.136586
	-595.2804	-3.166512
	-595.2	-3.175248
	-595.1057	-3.190838
	-595.0031	-3.209939
	-594.8845	-3.233493
-599.53	-1.690775
	-598.7667	-2.498697
	-598.729	-2.546547
	-598.6458	-2.585732
	-598.593	-2.616041
	-598.5729	-2.643149
	-598.4731	-2.669602
	-598.4566	-2.702041
	-598.3953	-2.724853
	-598.3627	-2.75223
	-598.3327	-2.800497
	-598.1585	-2.81037
	-598.1149	-2.830629
	-597.9869	-2.853149
	-597.9256	-2.868908
	-597.8138	-2.893834
	-597.6404	-2.909306
	-597.5839	-2.925831
	-597.4761	-2.949999
	-597.3633	-2.969963
	-597.2629	-2.994105
	-597.1692	-3.005413
	-597.0449	-3.026421
	-596.9429	-3.040018
	-596.8682	-3.059304
	-596.7725	-3.075018
	-596.7009	-3.090351
	-596.5986	-3.106719
	-596.4663	-3.124644
	-596.4225	-3.130364
	-596.2995	-3.161206
	-596.1879	-3.170973
	-596.0939	-3.184499
	-595.9977	-3.204749
	-595.864	-3.228636
-599.0443	-1.671824
	-598.8346	-2.456938
	-598.8216	-2.506835
	-598.8206	-2.543745
	-598.7744	-2.574828
	-598.8221	-2.606259
	-598.8069	-2.631206
	-598.7996	-2.662411
	-598.8159	-2.686417
	-598.8271	-2.713863
