Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
Primeros 45	Primeros 45
-338.3713	-2.404243
-337.3777	-2.339371
-336.3701	-2.271711
-335.3865	-2.20554
-334.4039	-2.140012
-333.4131	-2.072783
-332.4271	-2.006583
-331.4365	-1.936969
-330.4168	-1.864507
-329.4177	-1.7927
-328.4148	-1.719738
-327.4329	-1.646819
-326.4461	-1.574123
-325.4376	-1.499065
-324.4325	-1.421184
-323.4031	-1.340585
-322.3867	-1.261077
-321.4012	-1.182797
-320.4186	-1.104336
-319.4381	-1.026607
-318.4522	-0.9451406
-317.4413	-0.8609959
-316.431	-0.7792946
-315.3994	-0.6961269
-314.3904	-0.6117887
-313.3877	-0.5287737
-312.3894	-0.4398968
-311.3949	-0.3485312
-310.3736	-0.2595108
-309.3602	-0.1686357
-308.353	-0.08142653
-307.3697	0.002337877
-306.3896	0.08830804
-305.4003	0.1741066
-304.397	0.2644738
-303.3728	0.3549353
-302.387	0.4456775
-301.3824	0.5405762
-300.3967	0.6288816
-299.4099	0.721968
-298.3902	0.8168008
-297.3899	0.9086119
-296.3846	1.004865
-295.386	1.097722
-294.4065	1.187822
-293.4253	1.280817
-292.4286	1.372541
-291.428	1.467973
-290.4207	1.563469
-289.4147	1.656951
-288.4067	1.752824
-287.3955	1.846874
-286.3997	1.942722
-285.3874	2.042055
-284.3979	2.136501
-283.4198	2.228601
-282.413	2.322533
-281.4236	2.409053
-280.4205	2.500045
-279.4043	2.594158
-278.41	2.684619
-277.4066	2.780263
-276.4035	2.873528
-275.4201	2.966035
-274.413	3.05814
-273.4114	3.148597
-272.4126	3.24126
-271.4091	3.327951
-270.4338	3.413941
-269.438	3.500231
-268.4533	3.580067
-267.4574	3.66592
-266.4277	3.755578
-265.4271	3.840009
-264.4045	3.927631
-263.3826	4.011471
-262.386	4.090224
-261.383	4.1725
-260.3759	4.252504
-259.3793	4.33303
-258.3834	4.408527
-257.3875	4.480845
-256.3896	4.55389
-255.4102	4.622085
-254.4014	4.694179
-253.3938	4.767691
-252.4065	4.833346
-251.3911	4.897823
-250.4155	4.962638
-249.4177	5.022394
-248.4257	5.087269
-247.4269	5.154307
-246.4225	5.216878
-245.4413	5.278098
-244.4335	5.33393
-243.4538	5.386716
-242.4368	5.436544
-241.4178	5.485145
-240.4337	5.53676
-239.4271	5.584562
-238.4233	5.631489
-237.4298	5.682609
-236.4202	5.727078
-235.4048	5.773321
-234.4019	5.821157
-233.3908	5.85822
-232.3813	5.89376
-231.3887	5.925584
-230.4034	5.951933
-229.4223	5.981406
-228.4481	6.011543
-227.4576	6.042753
-226.4618	6.072896
-225.4605	6.099338
-224.4482	6.125478
-223.4381	6.147537
-222.4174	6.167312
-221.4046	6.189632
-220.3927	6.205549
-219.3993	6.219074
-218.4049	6.233703
-217.4131	6.242607
-216.4225	6.254807
-215.4161	6.268147
-214.4132	6.277456
-213.3886	6.285918
-212.3947	6.289478
-211.3897	6.292315
-210.3881	6.294484
-209.3926	6.294384
-208.3785	6.296752
-207.3583	6.293373
-206.3728	6.287618
-205.3847	6.282367
-204.3788	6.27091
-203.4013	6.260967
-202.3838	6.25115
-201.3841	6.236752
-200.3967	6.22415
-199.3996	6.210443
-198.4212	6.195295
