Funcionalizado APTES 1mM	Funcionalizado APTES 1mM	-595.173	-1.154187	-595.0344	-1.165162	-594.9946	-1.189982	-594.8741	-1.214375	-594.7818	-1.237483	-594.6741	-1.268587	-594.5189	-1.30091	-594.4904	-1.326006	-594.4071	-1.3588	-594.2775	-1.401265	-594.1421	-1.423994	-594.0779	-1.462	-593.9428	-1.498253	-593.8801	-1.531927	-593.7554	-1.571641	-593.6862	-1.611131	-593.5752	-1.650138	-593.4727	-1.6879	-593.36	-1.732884	-593.2515	-1.778413	-593.1459	-1.811677	-593.0941	-1.847995	-592.9455	-1.887466	-592.8826	-1.930589	-592.7545	-1.962181	-592.687	-2.005748	-592.5413	-2.041381	-592.4681	-2.076972	-592.3472	-2.113276	-592.2488	-2.160852	-592.2074	-2.181455	-592.0854	-2.218542	-591.9761	-2.25147	-591.8607	-2.281117	-591.7618	-2.314543	-591.6877	-2.348532	-591.5251	-2.37449	-591.4325	-2.40827	-591.3892	-2.436431	-591.2596	-2.469588	-591.1981	-2.489766	-591.0439	-2.519606	-590.9513	-2.542159	-590.8732	-2.565251
mV	uA	-596.1749	-1.154413	-596.0677	-1.164749	-595.9746	-1.189546	-595.8682	-1.214096	-595.7621	-1.239169	-595.6735	-1.268627	-595.5076	-1.301486	-595.4836	-1.326987	-595.3823	-1.358697	-595.2894	-1.401929	-595.1466	-1.424332	-595.0607	-1.462216	-594.9551	-1.498851	-594.8664	-1.531645	-594.7666	-1.570963	-594.6838	-1.611238	-594.6065	-1.649556	-594.4892	-1.687937	-594.3761	-1.732473	-594.264	-1.776474	-594.1593	-1.810881	-594.0922	-1.847834	-593.9305	-1.887096	-593.8898	-1.928185	-593.7624	-1.962595	-593.6687	-2.005265	-593.5456	-2.038285	-593.4722	-2.075058	-593.3652	-2.110906	-593.2618	-2.158254	-593.2183	-2.179919	-593.0821	-2.216686	-592.9857	-2.248254	-592.8542	-2.281384	-592.77	-2.312157	-592.6852	-2.343408	-592.5437	-2.372235	-592.4458	-2.403955	-592.3588	-2.432191	-592.2499	-2.466856	-592.1953	-2.485997	-592.0388	-2.514486	-591.9492	-2.538641	-591.8739	-2.56066
Segndos 45	Segndos 45	-597.1359	-1.155107	-597.0967	-1.165445	-596.963	-1.189518	-596.8679	-1.215343	-596.779	-1.241092	-596.6809	-1.268304	-596.4938	-1.302219	-596.4953	-1.328776	-596.363	-1.358709	-596.2793	-1.401472	-596.1473	-1.424574	-596.0754	-1.461433	-595.9542	-1.499417	-595.8602	-1.532324	-595.783	-1.57064	-595.6846	-1.611188	-595.6084	-1.648401	-595.4813	-1.688028	-595.3641	-1.731606	-595.2797	-1.775179	-595.1644	-1.809935	-595.087	-1.847691	-594.9388	-1.884797	-594.8948	-1.925941	-594.7726	-1.96207	-594.6756	-2.002796	-594.5319	-2.036244	-594.4638	-2.07385	-594.3643	-2.107922	-594.2675	-2.154286	-594.2274	-2.179264	-594.07	-2.213313	-594.0081	-2.245555	-593.8698	-2.280329	-593.7722	-2.308119	-593.7025	-2.339567	-593.5616	-2.369331	-593.4563	-2.399029	-593.3705	-2.427386	-593.2501	-2.465499	-593.1896	-2.482602	-593.0556	-2.510233	-592.9748	-2.535418	-592.8732	-2.556609
-599.754	-1.049255	-598.1394	-1.155343	-598.1042	-1.168845	-597.9734	-1.189712	-597.896	-1.21552	-597.778	-1.242565	-597.6696	-1.269138	-597.4963	-1.302667	-597.4878	-1.329987	-597.3423	-1.358709	-597.2616	-1.401408	-597.1644	-1.426404	-597.0549	-1.462228	-596.9403	-1.499885	-596.8536	-1.533144	-596.7625	-1.570687	-596.6834	-1.611066	-596.6184	-1.648451	-596.4788	-1.686893	-596.363	-1.731837	-596.2757	-1.772784	-596.1654	-1.809476	-596.071	-1.846294	-595.9412	-1.882606	-595.8732	-1.923442	-595.7625	-1.960221	-595.6774	-1.999671	-595.5203	-2.033923	-595.4443	-2.072727	-595.3829	-2.105491	-595.2643	-2.151683	-595.2098	-2.177328	-595.0748	-2.208796	-595.0176	-2.243576	-594.8845	-2.278322	-594.7712	-2.303594	-594.7111	-2.335576	-594.5837	-2.366317	-594.4614	-2.394824	-594.3722	-2.424503	-594.2617	-2.461736	-594.1715	-2.476944	-594.08	-2.505566	-593.9821	-2.530897	-593.8761	-2.553293
-599.516	-1.042204	-598.7175	-1.138661	-598.72	-1.154912	-598.6485	-1.174073	-598.5975	-1.19982	-598.5671	-1.230023	-598.4749	-1.253814	-598.3901	-1.289654	-598.3847	-1.317841	-598.2786	-1.349213	-598.2306	-1.402117	-598.1869	-1.427955	-598.0899	-1.462359	-597.9331	-1.500377	-597.8811	-1.533872	-597.7738	-1.570638	-597.6865	-1.610411	-597.6176	-1.647987	-597.4543	-1.686664	-597.3691	-1.731539	-597.283	-1.774112	-597.17	-1.808412	-597.0677	-1.844979	-596.9481	-1.879732	-596.8767	-1.922196	-596.781	-1.958424	-596.6667	-1.996874	-596.5332	-2.032822	-596.4578	-2.071221	-596.3901	-2.103622	-596.272	-2.148583	-596.1962	-2.175644	-596.0632	-2.205222	-596.0159	-2.241598	-595.8859	-2.27572	-595.7539	-2.300953	-595.689	-2.331665	-595.5884	-2.363217	-595.4663	-2.390986	-595.3638	-2.420829	-595.2577	-2.458241	-595.1725	-2.470373	-595.0751	-2.501569	-594.98	-2.527072	-594.8719	-2.54917
-599.0316	-1.033263	-598.7794	-1.120022	-598.8257	-1.137642	-598.8184	-1.153897	-598.8231	-1.181073	-598.8278	-1.211771	-598.7875	-1.234584	-598.7969	-1.269724	-598.806	-1.29949	-598.746	-1.330457	-598.7317	-1.380892	-598.7434	-1.409642	-598.7021	-1.444233	-598.6146	-1.482388	-598.5946	-1.518003	-598.5298	-1.553443	-598.502	-1.593724	-598.4656	-1.63429	-598.3591	-1.671964	-598.3198	-1.719845	-598.2868	-1.774957	-598.1645	-1.80723	-598.0811	-1.843735	-597.9427	-1.878638	-597.8755	-1.921473	-597.7879	-1.957245	-597.6721	-1.994255	-597.5286	-2.031399	-597.4703	-2.070134	-597.3917	-2.102248	-597.2847	-2.146955	-597.1849	-2.173171	-597.0649	-2.202232	-597.0204	-2.239628	-596.8761	-2.272641	-596.744	-2.298398	-596.6998	-2.328418	-596.5884	-2.359768	-596.4655	-2.387472	-596.3614	-2.416709	-596.2684	-2.454246	-596.1812	-2.465281	-596.0829	-2.4976	-595.9747	-2.522891	-595.8756	-2.54441
-598.2844	-1.022675	-598.3448	-1.097926	-598.4116	-1.115896	-598.4818	-1.132035	-598.5314	-1.158049	-598.58	-1.190127	-598.6017	-1.21265	-598.6453	-1.24625	-598.7034	-1.276709	-598.7057	-1.307095	-598.7574	-1.356555	-598.8076	-1.386931	-598.8123	-1.42185	-598.7938	-1.458887	-598.8256	-1.496239	-598.7951	-1.530527	-598.8386	-1.571342	-598.836	-1.613384	-598.7871	-1.648363	-598.7949	-1.697613	-598.7913	-1.754112	-598.7194	-1.785701	-598.6938	-1.8222	-598.5946	-1.858497	-598.608	-1.901835	-598.5461	-1.937931	-598.4896	-1.976548	-598.3977	-2.013177	-598.4001	-2.05321	-598.35	-2.090264	-598.3098	-2.14535	-598.1754	-2.170257	-598.0709	-2.200577	-598.0021	-2.236734	-597.8677	-2.269949	-597.7507	-2.296488	-597.6927	-2.324867	-597.5854	-2.35663	-597.469	-2.383842	-597.3764	-2.413495	-597.2889	-2.449166	-597.169	-2.460566	-597.0897	-2.493219	-596.9689	-2.517126	-596.8815	-2.540875
-597.314	-1.011618	-597.4091	-1.073917	-597.5279	-1.091345	-597.6163	-1.107316	-597.7264	-1.133845	-597.8282	-1.165419	-597.9176	-1.187574	-598.0081	-1.220194	-598.1222	-1.250318	-598.1834	-1.28125	-598.3019	-1.328585	-598.3536	-1.35963	-598.4178	-1.393972	-598.4657	-1.430738	-598.5502	-1.469508	-598.5657	-1.502231	-598.6486	-1.543357	-598.6837	-1.586398	-598.6986	-1.620972	-598.7451	-1.669169	-598.8218	-1.725403	-598.8048	-1.755936	-598.8152	-1.795492	-598.7454	-1.832413	-598.8384	-1.873781	-598.8105	-1.911378	-598.803	-1.950618	-598.7715	-1.985713	-598.8262	-2.026482	-598.8016	-2.064952	-598.8235	-2.11675	-598.7532	-2.143657	-598.6793	-2.175766	-598.665	-2.211223	-598.5709	-2.24511	-598.5414	-2.274877	-598.5065	-2.303319	-598.4401	-2.335554	-598.3953	-2.364522	-598.3575	-2.396056	-598.2826	-2.444874	-598.1948	-2.458305	-598.0762	-2.488967	-597.9709	-2.512734	-597.8851	-2.536173
-596.3227	-1.006931	-596.4108	-1.064189	-596.5109	-1.080929	-596.6198	-1.096874	-596.7502	-1.122455	-596.8162	-1.15219	-596.9178	-1.175133	-596.9908	-1.205223	-597.1228	-1.23501	-597.1982	-1.263307	-597.345	-1.296817	-597.4086	-1.329373	-597.4918	-1.363017	-597.6428	-1.399799	-597.7415	-1.439814	-597.8347	-1.471283	-597.9677	-1.512819	-598.039	-1.554733	-598.1234	-1.589959	-598.2201	-1.636983	-598.3342	-1.689621	-598.3583	-1.7222	-598.4402	-1.763112	-598.4188	-1.801088	-598.5441	-1.839061	-598.5646	-1.879117	-598.6127	-1.918081	-598.6167	-1.950198	-598.728	-1.991908	-598.7748	-2.032013	-598.8381	-2.080328	-598.8271	-2.109672	-598.8076	-2.143866	-598.8295	-2.17617	-598.7811	-2.211567	-598.8008	-2.242675	-598.8217	-2.269525	-598.7949	-2.30325	-598.8141	-2.332697	-598.8284	-2.363958	-598.7794	-2.41075	-598.7545	-2.43049	-598.6876	-2.458735	-598.6294	-2.482963	-598.6024	-2.508839
-595.334	-1.00342	-595.3965	-1.055859	-595.5118	-1.072199	-595.6207	-1.089454	-595.7385	-1.112679	-595.8209	-1.140961	-595.9222	-1.165764	-595.9791	-1.193759	-596.1161	-1.223243	-596.21	-1.252093	-596.3554	-1.282958	-596.4255	-1.315739	-596.5092	-1.348203	-596.6055	-1.383763	-596.7394	-1.423481	-596.835	-1.453098	-596.9498	-1.494804	-597.0345	-1.533673	-597.1061	-1.568853	-597.1951	-1.611353	-597.3332	-1.649672	-597.4312	-1.684902	-597.5473	-1.726179	-597.5813	-1.763611	-597.7533	-1.800051	-597.8401	-1.840549	-597.9271	-1.879793	-597.9956	-1.909949	-598.134	-1.953327	-598.2315	-1.992582	-598.3372	-2.036911	-598.3903	-2.06994	-598.43	-2.104443	-598.4725	-2.134943	-598.4968	-2.170601	-598.5812	-2.203322	-598.6316	-2.229164	-598.6779	-2.263042	-598.7284	-2.29245	-598.7988	-2.324641	-598.7785	-2.367936	-598.8162	-2.392587	-598.7904	-2.419935	-598.809	-2.443573	-598.8058	-2.471155
