Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Primeros 45	Primeros 45
-599.7379	-0.4304289
-599.5259	-0.422429
-599.0427	-0.4123961
-598.3145	-0.4020742
-597.3179	-0.3907523
-596.3049	-0.3876452
-595.2979	-0.3844209
-594.3098	-0.3819321
-593.3159	-0.379846
-592.3033	-0.3772851
-591.3231	-0.3770482
-590.3376	-0.3758546
-589.3448	-0.3741472
-588.3616	-0.3729092
-587.3487	-0.371399
-586.3259	-0.3698439
-585.3401	-0.3690584
-584.3489	-0.3673311
-583.3675	-0.3651353
-582.3628	-0.3635817
-581.3458	-0.3617434
-580.3384	-0.3607839
-579.3262	-0.3602736
-578.3331	-0.3589209
-577.3422	-0.358454
-576.3646	-0.3573394
-575.3705	-0.356115
-574.3876	-0.3552268
-573.3923	-0.3531458
-572.3638	-0.3519009
-571.374	-0.3503575
-570.3585	-0.349023
-569.3404	-0.3481334
-568.3468	-0.3472036
-567.3167	-0.3459927
-566.2982	-0.3450612
-565.3029	-0.3442656
-564.287	-0.3436764
-563.3066	-0.3429714
-562.3158	-0.3417026
-561.3319	-0.3404061
-560.3342	-0.3385581
-559.3289	-0.3377172
-558.3383	-0.3367974
-557.3314	-0.3354086
-556.3542	-0.3345843
-555.3542	-0.3331793
-554.3425	-0.3316886
-553.3491	-0.3314541
-552.3353	-0.3301817
-551.3295	-0.3289751
-550.3445	-0.3286473
-549.3518	-0.3271294
-548.3558	-0.326186
-547.3671	-0.3253438
-546.3535	-0.3239959
-545.3627	-0.3226185
-544.3636	-0.321053
-543.3571	-0.3199912
-542.3644	-0.3186296
-541.3185	-0.3177026
-540.3059	-0.3172244
-539.2972	-0.3158028
-538.296	-0.315032
-537.3143	-0.3147547
-536.3356	-0.3136323
-535.3752	-0.312797
-534.3823	-0.3120261
-533.3861	-0.310486
-532.3673	-0.3089363
-531.3585	-0.3078991
-530.356	-0.3069051
-529.3752	-0.3056718
-528.3511	-0.3050925
-527.3236	-0.3042175
-526.3218	-0.302622
-525.2971	-0.3011777
-524.3322	-0.3002651
-523.3544	-0.2987365
-522.3459	-0.2969303
-521.353	-0.2956556
-520.3445	-0.2938022
-519.3282	-0.2925695
-518.3422	-0.2922584
-517.3285	-0.2917156
-516.3408	-0.2911108
-515.325	-0.2903072
-514.3167	-0.2892307
-513.3181	-0.2880002
-512.3143	-0.2864941
-511.3268	-0.2849969
-510.3377	-0.28347
-509.3347	-0.2816162
-508.3275	-0.2807701
-507.3403	-0.2791513
-506.3453	-0.2771571
-505.3573	-0.2763344
-504.3637	-0.2747837
