Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
	-595.1967	-4.59104
	-595.0461	-4.562466
	-594.9312	-4.541891
	-594.8714	-4.525072
	-594.7767	-4.515004
	-594.68	-4.503378
	-594.532	-4.496097
	-594.4486	-4.493098
	-594.3516	-4.485372
	-594.2521	-4.494439
	-594.1688	-4.481076
	-594.1043	-4.474417
	-593.9518	-4.474586
	-593.894	-4.472025
	-593.7628	-4.467809
	-593.6643	-4.467461
	-593.5889	-4.467776
	-593.4781	-4.464039
	-593.3943	-4.463258
	-593.2792	-4.470432
	-593.1555	-4.457961
	-593.0353	-4.459532
	-592.9451	-4.458111
	-592.8348	-4.457788
	-592.7666	-4.456051
	-592.6304	-4.454071
	-592.5189	-4.456125
	-592.4582	-4.456661
	-592.291	-4.454501
	-592.2106	-4.462287
	-592.1499	-4.454758
	-592.0616	-4.450126
	-591.9597	-4.446921
	-591.8636	-4.444026
	-591.7695	-4.441949
	-591.624	-4.442806
	-591.511	-4.437648
	-591.4206	-4.437687
	-591.3255	-4.433242
	-591.2471	-4.441586
	-591.0873	-4.426953
	-591.0237	-4.427339
	-590.9526	-4.428135
	-590.8375	-4.424431
mV	uA
	-596.1853	-4.576403
	-596.0323	-4.550724
	-595.931	-4.529731
	-595.8713	-4.511464
	-595.7979	-4.503485
	-595.6725	-4.489475
	-595.5262	-4.484524
	-595.4484	-4.480751
	-595.3516	-4.472954
	-595.2746	-4.481454
	-595.1609	-4.469421
	-595.0942	-4.463497
	-594.9599	-4.46311
	-594.8994	-4.460127
	-594.7619	-4.45419
	-594.6654	-4.454562
	-594.5728	-4.457132
	-594.4781	-4.452555
	-594.3796	-4.451709
	-594.2864	-4.457808
	-594.1707	-4.447896
	-594.04	-4.446752
	-593.9545	-4.447019
	-593.8274	-4.445642
	-593.7769	-4.443729
	-593.611	-4.443201
	-593.5234	-4.443923
	-593.4572	-4.444112
	-593.3206	-4.444869
	-593.2417	-4.450705
	-593.1719	-4.443445
	-593.0657	-4.441432
	-592.9574	-4.436235
	-592.8518	-4.43231
	-592.7709	-4.432833
	-592.64	-4.43165
	-592.5054	-4.427024
	-592.4199	-4.426336
	-592.3384	-4.421916
	-592.2732	-4.431179
	-592.0948	-4.416718
	-592.0074	-4.415253
	-591.9486	-4.417047
	-591.8161	-4.414397
Segundos 45	Segundos 45
	-597.1727	-4.563975
	-597.0335	-4.536734
	-596.9423	-4.517245
	-596.853	-4.498948
	-596.8013	-4.491705
	-596.6736	-4.478045
	-596.5222	-4.473183
	-596.4515	-4.46938
	-596.3459	-4.461271
	-596.2678	-4.470211
	-596.1426	-4.457255
	-596.0805	-4.450881
	-595.9669	-4.452125
	-595.8875	-4.448539
	-595.7543	-4.44115
	-595.6801	-4.443097
	-595.5338	-4.44496
	-595.4847	-4.441243
	-595.3749	-4.440587
	-595.277	-4.445491
	-595.1701	-4.434364
	-595.0364	-4.435545
	-594.9578	-4.437254
	-594.8182	-4.432557
	-594.7761	-4.43335
	-594.6295	-4.431851
	-594.5332	-4.433504
	-594.4562	-4.432718
	-594.3331	-4.434604
	-594.2332	-4.438245
	-594.1888	-4.431085
	-594.0686	-4.431372
	-593.9615	-4.423612
	-593.8625	-4.421236
	-593.7472	-4.421873
	-593.6523	-4.418239
	-593.5383	-4.417087
	-593.4303	-4.416038
	-593.358	-4.411047
	-593.2981	-4.420407
	-593.1076	-4.407499
	-593.026	-4.404524
	-592.9413	-4.406347
	-592.8362	-4.403895
-599.8038	-3.462871
	-598.1558	-4.551724
	-598.0411	-4.523973
	-597.9518	-4.507042
	-597.8636	-4.488365
	-597.7828	-4.480563
	-597.6627	-4.467058
	-597.5294	-4.461752
	-597.4655	-4.458753
	-597.3351	-4.449825
	-597.2801	-4.459155
	-597.1525	-4.444228
	-597.071	-4.438884
	-596.9453	-4.440019
	-596.8572	-4.437387
	-596.7469	-4.429459
	-596.6812	-4.43061
	-596.5434	-4.432257
	-596.4894	-4.43035
	-596.3679	-4.429917
	-596.2762	-4.436357
	-596.1612	-4.423493
	-596.0438	-4.423659
	-595.9716	-4.425786
	-595.8418	-4.419844
	-595.7656	-4.423797
	-595.6431	-4.420688
	-595.5626	-4.421882
	-595.4518	-4.422125
	-595.3323	-4.422936
	-595.2325	-4.425968
	-595.1747	-4.419484
	-595.0511	-4.420146
	-594.9448	-4.413348
	-594.8663	-4.410482
	-594.729	-4.410395
	-594.6826	-4.406378
	-594.5574	-4.406983
	-594.4573	-4.405853
	-594.3572	-4.39977
	-594.2969	-4.408547
	-594.1249	-4.397825
	-594.0396	-4.393136
	-593.9595	-4.394811
	-593.8545	-4.391173
-599.568	-3.447315
	-598.7062	-4.510277
	-598.6603	-4.483465
	-598.6221	-4.465938
	-598.5683	-4.452183
	-598.5355	-4.443869
	-598.4799	-4.435839
	-598.4158	-4.431174
	-598.4111	-4.430022
	-598.3061	-4.426091
	-598.2739	-4.447423
	-598.1566	-4.432535
	-598.0963	-4.430176
	-597.949	-4.427756
	-597.8722	-4.425331
	-597.7421	-4.419149
	-597.675	-4.420524
	-597.5292	-4.421567
	-597.4637	-4.421113
	-597.3611	-4.421441
	-597.2769	-4.424195
	-597.1574	-4.415043
	-597.0532	-4.412635
	-596.9821	-4.41463
	-596.8376	-4.40995
	-596.7872	-4.413418
	-596.65	-4.409749
	-596.5702	-4.412353
	-596.4395	-4.412229
	-596.3514	-4.41245
	-596.2333	-4.414621
	-596.1731	-4.408172
	-596.0467	-4.409015
	-595.9514	-4.403454
	-595.8823	-4.399737
	-595.7343	-4.399822
	-595.6877	-4.395497
	-595.5712	-4.394805
	-595.4526	-4.393707
	-595.3326	-4.389911
	-595.2903	-4.397421
	-595.1332	-4.386959
	-595.038	-4.381552
	-594.9448	-4.383899
	-594.8581	-4.38112
-599.0781	-3.423833
	-598.7662	-4.457399
	-598.7905	-4.429902
	-598.7864	-4.413931
	-598.7954	-4.401661
	-598.7886	-4.393649
	-598.8033	-4.389309
	-598.7888	-4.382831
	-598.8124	-4.384391
	-598.7791	-4.383718
	-598.7744	-4.40167
	-598.7216	-4.38827
	-598.7175	-4.388432
	-598.6092	-4.388132
	-598.5654	-4.387774
	-598.4827	-4.385659
	-598.4843	-4.387005
	-598.4105	-4.388937
	-598.4046	-4.392242
	-598.3389	-4.395959
	-598.2934	-4.413771
	-598.181	-4.403747
	-598.0672	-4.402967
	-597.9813	-4.404315
	-597.8462	-4.399014
	-597.7781	-4.40294
	-597.6733	-4.39976
	-597.5842	-4.403088
	-597.4535	-4.402487
	-597.3401	-4.401356
	-597.2422	-4.4046
	-597.1768	-4.397629
	-597.06	-4.399478
	-596.9385	-4.392991
	-596.8871	-4.389822
	-596.7104	-4.390515
	-596.6816	-4.385555
	-596.5744	-4.38402
	-596.4309	-4.383089
	-596.3289	-4.381046
	-596.2647	-4.385546
	-596.1376	-4.376289
	-596.0369	-4.372732
	-595.946	-4.372561
	-595.865	-4.369918
-598.3293	-3.393072
	-598.3567	-4.393104
	-598.4016	-4.368399
	-598.4591	-4.352942
	-598.5269	-4.340262
	-598.5585	-4.333403
	-598.6042	-4.331564
	-598.6633	-4.324565
	-598.7039	-4.327673
	-598.7338	-4.328067
	-598.7951	-4.344118
	-598.7959	-4.33415
	-598.8304	-4.337941
	-598.7756	-4.33539
	-598.7756	-4.336385
	-598.7355	-4.337968
	-598.7924	-4.336471
	-598.8001	-4.340586
	-598.7925	-4.347056
	-598.8208	-4.350546
	-598.8127	-4.369671
	-598.745	-4.362472
	-598.6938	-4.360713
	-598.6515	-4.365573
	-598.5767	-4.36366
	-598.5359	-4.366296
	-598.473	-4.366461
	-598.4451	-4.370582
	-598.3661	-4.373812
	-598.2936	-4.376754
	-598.2481	-4.395612
	-598.1766	-4.387941
	-598.0713	-4.389189
	-597.9563	-4.383533
	-597.8961	-4.380224
	-597.729	-4.380912
	-597.6716	-4.378075
	-597.5488	-4.373872
	-597.4252	-4.371646
	-597.3226	-4.371523
	-597.2358	-4.374725
	-597.1275	-4.367182
	-597.032	-4.363649
	-596.9544	-4.362261
	-596.8639	-4.359811
-597.3303	-3.354463
	-597.4291	-4.321099
	-597.5068	-4.298271
	-597.6312	-4.281029
	-597.7416	-4.270336
	-597.8408	-4.263656
	-597.9201	-4.264947
	-598.0463	-4.257333
	-598.1089	-4.260432
	-598.2189	-4.262098
	-598.2958	-4.276004
	-598.3477	-4.270452
	-598.4194	-4.277677
	-598.4484	-4.273186
	-598.5137	-4.274293
	-598.5122	-4.278604
	-598.6061	-4.277341
	-598.6517	-4.281173
	-598.7002	-4.289896
	-598.7737	-4.293666
	-598.8344	-4.310919
	-598.806	-4.309395
	-598.7937	-4.30547
	-598.8123	-4.31217
	-598.7766	-4.314884
	-598.7817	-4.313116
	-598.7946	-4.318497
	-598.7946	-4.322949
	-598.78	-4.325116
	-598.7642	-4.332465
	-598.756	-4.350891
	-598.761	-4.345383
	-598.6936	-4.347475
	-598.6443	-4.345058
	-598.6136	-4.342045
	-598.522	-4.345402
	-598.4876	-4.345084
	-598.4139	-4.341036
	-598.3339	-4.340787
	-598.2816	-4.348261
	-598.2275	-4.365044
	-598.1218	-4.357615
	-598.0544	-4.35443
	-597.9652	-4.352314
	-597.8498	-4.350711
-596.3211	-3.326453
	-596.4297	-4.272215
	-596.5194	-4.247378
	-596.619	-4.228897
	-596.7562	-4.216997
	-596.8391	-4.210329
	-596.9071	-4.209166
	-597.027	-4.201107
	-597.0823	-4.201557
	-597.2187	-4.199856
	-597.3077	-4.200889
	-597.3932	-4.198047
	-597.5082	-4.204151
	-597.6041	-4.202002
	-597.7142	-4.203447
	-597.7692	-4.208221
	-597.9103	-4.207435
	-598.0226	-4.212077
	-598.1245	-4.222135
	-598.2455	-4.223597
	-598.3481	-4.243058
	-598.3636	-4.242354
	-598.4055	-4.240481
	-598.4356	-4.247855
	-598.4995	-4.251202
	-598.5458	-4.251709
	-598.5992	-4.257641
	-598.6646	-4.262512
	-598.6879	-4.264933
	-598.7437	-4.274887
	-598.7695	-4.292178
	-598.8076	-4.288197
	-598.827	-4.292455
	-598.8043	-4.291474
	-598.8071	-4.288926
	-598.8041	-4.295322
	-598.7999	-4.295986
	-598.7738	-4.292621
	-598.7472	-4.293851
	-598.7497	-4.301993
	-598.716	-4.317859
	-598.7015	-4.313897
	-598.686	-4.31487
	-598.6285	-4.310621
	-598.5532	-4.311485
-595.3196	-3.299698
	-595.4316	-4.226883
	-595.5054	-4.198951
	-595.6309	-4.182268
	-595.7393	-4.171184
	-595.8452	-4.163095
	-595.9023	-4.16103
	-596.0177	-4.154788
	-596.0862	-4.152108
	-596.2035	-4.148028
	-596.3184	-4.152076
	-596.4059	-4.148993
	-596.5098	-4.151276
	-596.6241	-4.149672
	-596.7132	-4.14889
	-596.7832	-4.153556
	-596.8795	-4.152141
	-597.0034	-4.154507
	-597.1115	-4.163117
	-597.2366	-4.160525
	-597.3383	-4.16539
	-597.3994	-4.16724
	-597.5069	-4.165521
	-597.5896	-4.173225
	-597.6962	-4.178972
	-597.7938	-4.180387
	-597.8891	-4.185526
	-598.0189	-4.19084
	-598.097	-4.195535
	-598.2462	-4.206639
	-598.2698	-4.222985
	-598.3596	-4.222518
	-598.4126	-4.225042
	-598.4761	-4.226409
	-598.5222	-4.224788
	-598.5734	-4.232141
	-598.6035	-4.234091
	-598.6573	-4.232181
	-598.6735	-4.234082
	-598.7023	-4.243137
	-598.7085	-4.258069
	-598.7776	-4.258908
	-598.8034	-4.259059
	-598.8054	-4.256964
	-598.7929	-4.259191
-594.3248	-3.274222
	-594.3972	-4.184289
	-594.5004	-4.153985
	-594.6158	-4.137425
	-594.7239	-4.12739
	-594.8403	-4.116975
	-594.9037	-4.115204
	-595.0194	-4.110249
	-595.1038	-4.104574
	-595.2014	-4.100699
	-595.3513	-4.105479
	-595.3959	-4.101336
	-595.5009	-4.101575
	-595.6309	-4.102411
	-595.7195	-4.099546
	-595.812	-4.103456
	-595.8951	-4.104647
	-596.0112	-4.103645
	-596.134	-4.111382
	-596.2209	-4.108869
	-596.3312	-4.111654
	-596.3951	-4.114007
	-596.4985	-4.11273
	-596.5607	-4.117541
	-596.6835	-4.123397
	-596.8071	-4.125178
	-596.8854	-4.127882
	-597.0217	-4.131803
	-597.0955	-4.135233
	-597.2567	-4.142234
	-597.2805	-4.142752
	-597.4192	-4.145784
	-597.5133	-4.148191
	-597.6229	-4.15144
	-597.7111	-4.150312
	-597.8452	-4.159118
	-597.9092	-4.161351
	-598.0347	-4.160531
	-598.1097	-4.164328
	-598.1736	-4.173162
	-598.2496	-4.188419
	-598.3441	-4.190032
	-598.4183	-4.192098
	-598.4625	-4.190419
	-598.4979	-4.194109
-593.3242	-3.250853
	-593.4095	-4.142623
	-593.5209	-4.110868
	-593.6183	-4.094048
	-593.7175	-4.084204
	-593.8232	-4.074383
	-593.898	-4.070439
	-594.0018	-4.066495
	-594.0953	-4.060951
	-594.189	-4.056599
	-594.3574	-4.062737
	-594.4031	-4.055021
	-594.5038	-4.053914
	-594.6376	-4.057432
	-594.7301	-4.052824
	-594.8063	-4.056495
	-594.8987	-4.058567
	-595.0121	-4.056613
	-595.1252	-4.062753
	-595.2149	-4.06106
	-595.322	-4.063857
	-595.4012	-4.06376
	-595.509	-4.065807
	-595.5569	-4.067994
	-595.6797	-4.07237
	-595.8262	-4.077014
	-595.8702	-4.075861
	-596.022	-4.079454
	-596.084	-4.084924
	-596.2401	-4.088057
	-596.2891	-4.090888
	-596.4075	-4.093049
	-596.5159	-4.093844
	-596.5966	-4.094337
	-596.7059	-4.095951
	-596.8287	-4.101091
	-596.8966	-4.103083
	-597.0392	-4.102152
	-597.1182	-4.102839
	-597.1865	-4.107332
	-597.2621	-4.107984
	-597.3955	-4.110596
	-597.5033	-4.114478
	-597.6053	-4.115458
	-597.7062	-4.118785
-592.322	-3.225521
	-592.4002	-4.100546
	-592.5162	-4.070117
	-592.6257	-4.052525
	-592.6962	-4.042836
	-592.8207	-4.033114
	-592.8832	-4.02784
	-592.9971	-4.024239
	-593.1162	-4.018982
	-593.2021	-4.014141
	-593.3583	-4.019215
	-593.4217	-4.01146
	-593.525	-4.009141
