Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Segndos 45	Segndos 45
-355.3832	0.0617232
-354.3765	0.07671565
-353.3641	0.08998213
-352.3626	0.103142
-351.3556	0.1155782
-350.3547	0.129245
-349.3475	0.1453739
-348.3441	0.1616412
-347.3408	0.1785252
-346.316	0.1945104
-345.3297	0.2077701
-344.3321	0.2220079
-343.34	0.2369339
-342.3735	0.2515235
-341.3653	0.2674791
-340.3848	0.2830833
-339.3996	0.2987401
-338.3862	0.3157216
-337.4115	0.3339475
-336.3772	0.3535643
-335.3576	0.370325
-334.3773	0.3868127
-333.3511	0.4033709
-332.3732	0.4154623
-331.3962	0.4311989
-330.3668	0.4484865
-329.3723	0.4636185
-328.3713	0.4823231
-327.3622	0.501474
-326.3757	0.5184405
-325.3969	0.537847
-324.3634	0.5560122
-323.3526	0.5741122
-322.3508	0.590939
-321.3719	0.6062887
-320.3838	0.6225787
-319.3855	0.6364761
-318.4015	0.652625
-317.3648	0.673034
-316.3905	0.6902055
-315.3903	0.7088093
-314.3536	0.7279399
-313.3504	0.7414426
-312.3379	0.7582043
-311.3435	0.7762485
-310.3402	0.7931346
-309.3276	0.8089071
-308.3094	0.8223813
-307.2939	0.8344669
-306.2926	0.8460384
-305.303	0.8596945
-304.3022	0.8761107
-303.3032	0.8897587
-302.3228	0.9018551
-301.3382	0.9160222
-300.3503	0.9258412
-299.3613	0.9392375
-298.3547	0.9568312
-297.3544	0.9695606
-296.3583	0.9826241
-295.3496	0.9931269
-294.3606	0.9989583
-293.345	1.008423
-292.366	1.016546
-291.3799	1.026154
-290.3897	1.035472
-289.3984	1.042596
-288.3946	1.053035
-287.3799	1.062167
-286.3719	1.071758
-285.3674	1.083503
-284.3529	1.088419
-283.3651	1.092479
-282.3529	1.094969
-281.3801	1.093349
-280.3894	1.097879
-279.3987	1.102247
-278.425	1.106103
-277.4067	1.113145
-276.4115	1.115916
-275.4	1.118419
-274.3925	1.121077
-273.399	1.121074
-272.4011	1.124855
-271.3951	1.12308
-270.4	1.121739
-269.3917	1.121064
-268.395	1.115257
-267.4253	1.116473
-266.4136	1.117422
-265.4065	1.114162
-264.3868	1.113921
-263.3635	1.109576
-262.3585	1.102721
-261.3708	1.100934
-260.3799	1.098109
-259.386	1.095346
-258.3785	1.090951
-257.3712	1.084087
-256.3636	1.076274
-255.3669	1.066941
-254.3767	1.06057
-253.3757	1.05508
-252.387	1.045032
-251.3943	1.037559
-250.4058	1.031806
-249.4081	1.021412
-248.4088	1.018491
-247.4066	1.014117
-246.3961	1.005088
-245.4047	0.9971528
-244.408	0.9857529
