Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
-346.2625	-0.3541479
-345.2836	-0.3505798
-344.2848	-0.3462452
-343.3083	-0.3433072
-342.318	-0.3407138
-341.3212	-0.3371123
-340.3333	-0.3337215
-339.3502	-0.3298422
-338.3437	-0.3256156
-337.351	-0.3218927
-336.351	-0.3175797
-335.3421	-0.3139799
-334.3409	-0.3106406
-333.3228	-0.3076881
-332.327	-0.3052525
-331.3272	-0.3015914
-330.3309	-0.2980697
-329.3399	-0.2947901
-328.3363	-0.2907104
-327.3489	-0.287212
-326.3514	-0.2835033
-325.3669	-0.2793627
-324.3698	-0.2762099
-323.3553	-0.2726592
-322.3422	-0.2686442
-321.34	-0.2640579
-320.3404	-0.2603189
-319.3269	-0.2578858
-318.3339	-0.2549512
-317.3157	-0.2518918
-316.3042	-0.2494397
-315.3005	-0.2453688
-314.2794	-0.2423673
-313.2806	-0.2406575
-312.2887	-0.2370222
-311.2701	-0.2341182
-310.2805	-0.2314046
-309.28	-0.2269941
-308.2665	-0.2236539
-307.2907	-0.2211547
-306.3057	-0.2187196
-305.3008	-0.2172281
-304.3094	-0.2143957
-303.3164	-0.2116559
-302.315	-0.2086116
-301.3255	-0.2053351
-300.3473	-0.2033493
-299.355	-0.2002667
-298.3401	-0.1967318
-297.3376	-0.1943488
-296.3246	-0.1905005
-295.3054	-0.187779
-294.343	-0.1857547
-293.3401	-0.1830932
-292.3404	-0.1806986
-291.3553	-0.1772569
-290.3486	-0.1742765
-289.3697	-0.171313
-288.3623	-0.1686664
-287.3541	-0.1663515
-286.3448	-0.1636925
-285.3147	-0.1607395
-284.3197	-0.1584687
-283.3233	-0.1553504
-282.3233	-0.1522734
-281.3526	-0.1503786
-280.3732	-0.1483424
-279.3716	-0.1466926
-278.3698	-0.1449361
-277.3653	-0.1414152
-276.3441	-0.1380728
-275.3451	-0.1350408
-274.3458	-0.1315473
-273.3521	-0.1297615
-272.3436	-0.1260884
-271.3401	-0.1228468
-270.3484	-0.1206113
-269.3652	-0.1173253
-268.3827	-0.11631
-267.3959	-0.114727
-266.3769	-0.1123173
-265.3483	-0.1103491
-264.3524	-0.1077728
-263.3401	-0.1049311
-262.3449	-0.1030508
-261.3444	-0.1003014
-260.3198	-0.09772736
-259.3227	-0.09390016
-258.3368	-0.09002429
-257.3213	-0.08869873
-256.3245	-0.08698716
-255.3386	-0.08632278
-254.3434	-0.08501206
-253.3606	-0.08236156
-252.3654	-0.08001015
-251.3672	-0.0778089
-250.3593	-0.07515094
-249.3685	-0.07283909
-248.3917	-0.06974514
-247.3669	-0.0670163
-246.371	-0.06455257
-245.3727	-0.06194058
-244.3557	-0.06023439
-243.3604	-0.05874662
-242.3382	-0.05780665
-241.3294	-0.0557055
-240.32	-0.05287144
-239.3135	-0.05015953
-238.3281	-0.04656801
-237.3173	-0.04249358
-236.3151	-0.03990727
-235.3138	-0.03639695
-234.3141	-0.03327342
-233.3162	-0.03229207
-232.332	-0.029784
-231.3538	-0.02859091
-230.3555	-0.02736025
-229.3576	-0.02435245
-228.362	-0.02228132
-227.3533	-0.01949002
-226.3518	-0.01675876
-225.374	-0.01333666
-224.3549	-0.01091542
-223.3469	-0.008084751
-222.3444	-0.006217123
-221.3288	-0.003837352
-220.3499	-0.00132356
-219.3477	0.0026394
-218.3387	0.00581558
-217.3372	0.005703244
-216.3242	0.008525156
-215.3376	0.009400764
-214.3251	0.01210461
-213.3342	0.0159005
-212.3371	0.01813185
-211.327	0.02080352
-210.328	0.023161
-209.2827	0.02702255
-208.2652	0.03153791
-207.2704	0.0331682
-206.2749	0.03574818
-205.3008	0.03707755
-204.315	0.03689322
-203.3125	0.0395988
-202.3063	0.04158041
-201.3294	0.04376613
-200.3305	0.04660149
-199.3434	0.04894067
-198.3729	0.05142488
-197.3607	0.05411919
-196.3564	0.05713601
-195.3309	0.05896946
-194.3088	0.06043017
-193.3029	0.0615301
-192.3221	0.06257182
-191.3452	0.06472745
-190.3484	0.06697614
-189.3589	0.07040605
-188.3538	0.07304996
-187.3651	0.07613055
-186.3755	0.07945966
-185.3675	0.08046973
-184.3756	0.08239252
-183.3592	0.08522372
-182.3487	0.08622225
-181.3562	0.08909239
-180.3453	0.08990033
-179.3382	0.08921444
-178.3538	0.09212995
-177.3406	0.09428739
-176.3446	0.09723864
-175.3389	0.1006349
-174.337	0.101568
-173.3474	0.10266
-172.3543	0.1041056
-171.3828	0.1070404
-170.3819	0.1098869
-169.3755	0.1112689
-168.3542	0.1129047
-167.3467	0.1124231
-166.3589	0.111846
-165.3763	0.1134071
-164.4006	0.1148131
-163.3829	0.1161299
-162.3746	0.1182231
-161.3841	0.119382
-160.3599	0.1208181
-159.362	0.1231734
-158.3485	0.1257425
-157.3119	0.1272518
-156.3255	0.1274171
-155.325	0.1271945
-154.3286	0.1264134
-153.3481	0.1265461
-152.3585	0.1283774
-151.3753	0.1292502
-150.3719	0.1302556
-149.3669	0.131282
-148.3372	0.1319971
-147.3419	0.1335853
-146.3464	0.1353284
-145.3437	0.1364366
-144.3704	0.1381015
-143.3655	0.1384788
-142.3868	0.1379569
-141.3927	0.138416
-140.3908	0.1377886
-139.3948	0.1384481
-138.3669	0.1404173
-137.3609	0.1415274
-136.3511	0.1424593
-135.3612	0.1429946
-134.377	0.1428733
-133.3833	0.1430596
-132.3743	0.1441069
-131.3347	0.1452214
-130.3325	0.1445189
-129.3264	0.1452408
-128.3327	0.1458079
-127.3568	0.1458675
-126.3588	0.1478138
-125.3622	0.1491124
-124.3634	0.1489727
-123.356	0.1491183
-122.3438	0.149721
-121.352	0.1503329
-120.3527	0.1521217
-119.3521	0.1535116
-118.3596	0.1532332
-117.3399	0.1521782
-116.3336	0.1512555
-115.3451	0.1508386
-114.3312	0.1516005
-113.3473	0.1518734
-112.3342	0.1528154
-111.3137	0.1532673
-110.3255	0.1536418
-109.3075	0.1554781
-108.3255	0.1558484
-107.3324	0.1568753
-106.3246	0.1563853
-105.3372	0.1548456
-104.3233	0.1544689
-103.3196	0.1527223
-102.3379	0.152668
-101.347	0.1536854
-100.3529	0.1538862
-99.35639	0.1552477
-98.33759	0.1569139
-97.31889	0.1573104
-96.32036	0.1581126
-95.32541	0.1584815
-94.31554	0.1576005
-93.31181	0.1574728
-92.32613	0.1564971
-91.32391	0.1568854
-90.34899	0.1571499
-89.36012	0.1569701
-88.34476	0.157986
-87.33913	0.1584107
-86.32231	0.1589767
-85.31799	0.1596352
-84.31692	0.160196
-83.32167	0.1606918
-82.33861	0.1615961
-81.34541	0.1610472
-80.32835	0.1609918
-79.34984	0.1603353
-78.35379	0.1592478
-77.34386	0.1612312
-76.39491	0.1611836
-75.39207	0.1612418
-74.36615	0.1627907
-73.37634	0.1611273
-72.34414	0.1610796
-71.33777	0.1618802
-70.35659	0.1615546
-69.35487	0.1624356
-68.35463	0.1635094
-67.35212	0.1633531
-66.35048	0.1632803
-65.36026	0.164309
-64.3761	0.1642411
-63.38818	0.1642128
-62.38673	0.1644083
-61.36391	0.1655442
-60.33613	0.165399
-59.31865	0.1660156
-58.3132	0.1664537
-57.31903	0.1651714
-56.35592	0.1658625
-55.34268	0.1659026
-54.32945	0.1653805
-53.3329	0.1655221
-52.3059	0.1644857
-51.2946	0.1646472
-50.3105	0.1651659
-49.3133	0.1654965
-48.31401	0.1673359
-47.34745	0.1672805
-46.3468	0.1676118
-45.34148	0.1677817
-44.36637	0.1665706
-43.36054	0.1670274
-42.36503	0.167059
-41.35858	0.1661797
-40.35263	0.1669294
-39.33914	0.1668269
-38.33535	0.1678333
-37.33133	0.1699093
-36.31758	0.1706103
-35.3344	0.1719226
-34.31893	0.1721521
-33.33176	0.1718522
-32.33959	0.1721122
-31.33356	0.1717927
-30.33259	0.1709729
-29.32257	0.1719283
-28.31094	0.1713934
-27.29635	0.1710077
-26.31087	0.17248
-25.31877	0.1721241
-24.32036	0.1734989
-23.32764	0.1742778
-22.32244	0.1738122
-21.33557	0.1750828
-20.35929	0.1761839
-19.35271	0.1770235
-18.36182	0.1772683
-17.34097	0.1758811
-16.31006	0.175232
-15.30627	0.1749512
-14.29251	0.1750255
-13.28794	0.1751367
-12.2852	0.1740117
-11.30085	0.1742881
-10.30655	0.1747745
-9.313995	0.1748361
-8.317086	0.1765793
-7.2954	0.1766137
-6.284765	0.175467
-5.286809	0.1754281
-4.270024	0.1741351
-3.290398	0.1717955
-2.315508	0.1715253
-1.340235	0.1718477
-0.3951077	0.1721983
0.5922626	0.1736059
1.591465	0.1753367
2.589022	0.1755714
3.593692	0.1759721
4.582425	0.1765778
5.572404	0.1765847
6.573833	0.1761769
7.571241	0.1769887
8.586115	0.1780454
9.58633	0.1798485
10.58419	0.1816607
11.57214	0.1829709
12.54392	0.1847158
13.52449	0.1852832
14.50035	0.1866463
15.52631	0.1874802
16.53399	0.1882033
17.52933	0.1885152
18.54116	0.1883462
19.52104	0.1861587
20.50863	0.1841994
21.53393	0.1832527
22.54271	0.1804761
23.54784	0.1799096
24.54507	0.1792055
25.50655	0.178632
26.48536	0.1781043
27.47934	0.1791101
28.51022	0.180531
29.53797	0.1803742
30.53648	0.1824973
31.53584	0.1825903
32.52584	0.1819232
33.51752	0.182654
34.54194	0.1837417
35.53754	0.1837605
36.53541	0.1840322
37.53913	0.1841492
38.53137	0.1825441
39.53473	0.181992
40.52337	0.1826705
41.50751	0.1819008
42.50658	0.1816119
43.49173	0.1810239
44.48802	0.1800595
45.52117	0.1818186
46.52368	0.1845207
47.55231	0.188527
48.56293	0.1915124
49.54349	0.1944957
50.53481	0.1985606
51.51502	0.2011022
52.52639	0.2041707
53.53224	0.2059117
54.53654	0.2039902
55.53822	0.2017106
56.51921	0.1972389
57.50704	0.1927519
58.50758	0.1905501
59.51755	0.188346
60.53583	0.1882121
61.54048	0.1874733
62.5389	0.1865558
63.52712	0.1857277
64.50563	0.1866077
65.51073	0.1881567
66.51208	0.1909305
67.49461	0.1937394
68.49387	0.1944888
69.49873	0.1944701
70.50826	0.1923969
71.52522	0.1916266
72.54958	0.1906912
73.53954	0.189326
74.52921	0.1892055
75.52807	0.1870351
76.5097	0.1876626
77.48917	0.18919
78.47152	0.1922379
79.4825	0.1980821
80.46918	0.2005925
81.47404	0.2039244
82.47665	0.2071982
83.47574	0.2069133
84.488	0.2076536
85.50465	0.2080565
86.50289	0.205887
87.49936	0.2052557
88.49648	0.2064492
89.47256	0.2109156
90.48341	0.2166955
91.4726	0.2212234
92.46979	0.222348
93.47948	0.2177067
94.46973	0.2126966
95.48547	0.2082914
96.49339	0.2033486
97.51793	0.2007157
98.56195	0.1993469
99.08858	0.1640022
99.1284	0.1241683
98.66643	0.08179849
97.66861	0.03716898
96.66724	0.02604389
95.66698	0.02013133
94.64858	0.01400174
