Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mv	uA
Primeros 45	Primeros 45
176.1192	0.2329541
177.1241	0.2340364
178.1187	0.2363405
179.103	0.2368058
180.1207	0.2401502
181.1245	0.2435222
182.1242	0.2454704
183.1209	0.2498932
184.1104	0.2526346
185.1002	0.2544304
186.1006	0.2573932
187.1212	0.2592832
188.1469	0.2614445
189.1486	0.2631921
190.158	0.2649846
191.142	0.2673807
192.1194	0.2692955
193.131	0.2734213
194.1603	0.2782778
195.1609	0.2804148
196.1681	0.283198
197.1713	0.2859896
198.1426	0.2866125
199.1572	0.2900429
200.163	0.2937548
201.182	0.2950061
202.1892	0.2981352
203.1911	0.2993577
204.1851	0.3017196
205.1505	0.3044731
206.121	0.3070693
207.1075	0.3109933
208.0985	0.3118242
209.0966	0.3144637
210.13	0.3172353
211.123	0.3181832
212.1272	0.3221848
213.1443	0.3254058
214.124	0.3274617
215.1345	0.3303893
216.1313	0.3332129
217.103	0.3348306
218.1168	0.337615
219.1095	0.3397633
220.1028	0.3417501
221.1067	0.3443134
222.0844	0.3457912
223.078	0.3487774
224.0963	0.3502608
225.1173	0.35152
226.1417	0.3546166
227.1587	0.3548009
228.1385	0.3559698
229.117	0.357222
230.0825	0.3564468
231.0769	0.3592035
232.0683	0.3614432
233.0851	0.3640499
234.0916	0.3673598
235.0815	0.3682028
236.1102	0.3689417
237.1145	0.3696605
238.1421	0.3698404
239.1399	0.3713127
240.1315	0.3715521
241.1255	0.3715756
242.0986	0.3731441
243.0962	0.3729236
244.0868	0.3757589
245.0946	0.3787516
246.1079	0.378843
247.0988	0.3808685
248.1034	0.3803524
249.0939	0.3791625
250.0944	0.380051
251.1075	0.3805738
252.1267	0.3815776
253.1394	0.3821292
254.1389	0.3823868
255.1385	0.3828265
256.0993	0.3825429
257.0971	0.3832598
258.1036	0.3845438
259.0974	0.3839756
260.1057	0.3840434
261.1061	0.3844356
262.0877	0.3826133
263.1028	0.3831649
264.13	0.3841556
265.1269	0.3841795
266.134	0.3849659
267.1411	0.3844435
268.1299	0.3836517
269.1189	0.3823517
270.1217	0.3824658
271.1178	0.3843513
272.1152	0.3839748
273.1202	0.3849902
274.1185	0.3853346
275.1099	0.3828562
276.1117	0.3830404
277.1067	0.383502
278.1206	0.3816206
279.1303	0.3813367
280.127	0.3805453
281.1147	0.3785483
282.095	0.3794224
283.0898	0.3807541
284.0887	0.3813865
285.0952	0.3813868
286.1013	0.3801693
287.088	0.3792741
288.0842	0.3779304
289.0995	0.3776244
290.1138	0.3786307
291.1396	0.3776439
292.1422	0.3775446
293.1357	0.3781929
294.1312	0.3772359
295.1115	0.3781024
296.1133	0.3787853
297.1109	0.37816
298.1088	0.377386
299.1064	0.3761369
300.0969	0.3750353
301.0894	0.3747563
302.0887	0.3748038
303.1264	0.3764946
304.1474	0.3763389
305.1677	0.3762082
306.1867	0.3769664
307.1644	0.3750231
308.1591	0.3753975
309.1538	0.3760535
310.1128	0.3748187
311.0886	0.3749943
312.0737	0.3743435
313.0663	0.3731561
314.07	0.3735388
315.0814	0.3738519
316.0794	0.3743411
317.0753	0.3745371
318.074	0.3738497
319.0709	0.3734391
320.0715	0.3733286
321.088	0.3741676
322.1023	0.3760836
323.1126	0.375676
324.1232	0.3753791
325.1039	0.3746096
326.0978	0.3726622
327.102	0.3732929
328.0932	0.3734522
329.1094	0.3730647
330.1298	0.3734526
331.125	0.3731626
332.1099	0.3734313
333.1042	0.3747442
334.0936	0.3753978
335.0905	0.3760161
336.083	0.3752776
337.0739	0.3738829
338.0606	0.3736865
339.046	0.3726318
340.054	0.3731974
341.0516	0.3744404
342.0411	0.3741813
343.0679	0.3754534
344.0855	0.375695
345.0859	0.3752368
346.1022	0.3757177
347.0974	0.3757111
348.1104	0.3755736
349.1172	0.3753202
350.1193	0.3750534
351.0988	0.3751678
352.0818	0.3755506
353.0806	0.3767847
354.0995	0.3784736
355.1016	0.3785511
356.1108	0.3783132
357.1261	0.3788833
358.1069	0.3769989
359.1118	0.377967
360.1081	0.3790132
361.0921	0.3783162
362.0901	0.379607
363.08	0.3789869
364.077	0.3787055
365.0721	0.3799561
366.0676	0.3808941
367.0937	0.3828055
368.0907	0.3831456
369.0934	0.3825513
370.1135	0.3833936
371.1112	0.3822187
372.1159	0.3836516
373.1278	0.3851212
374.1204	0.3840747
375.1264	0.384575
376.1348	0.3843723
377.1319	0.3838153
378.1182	0.3851156
379.1127	0.385344
380.1228	0.3859902
381.1119	0.3862215
382.1238	0.3864804
383.1337	0.3885009
384.1126	0.3891169
385.1299	0.3900506
386.13	0.3907688
387.1268	0.3896742
388.1104	0.3897646
389.0956	0.3897617
390.0854	0.3893093
391.0873	0.3905786
392.1251	0.3916108
393.1317	0.3928747
394.137	0.3948439
395.1206	0.3953602
396.1057	0.395992
397.1014	0.396543
398.1007	0.3963593
399.1176	0.39697
400.131	0.3969035
401.1396	0.3971422
402.1663	0.3985609
403.1767	0.3988028
404.1656	0.4004215
405.1879	0.4023097
406.1855	0.402545
407.1749	0.4037081
408.1809	0.4040399
409.1673	0.4038799
410.1655	0.4046829
411.1581	0.4053034
412.1411	0.405762
413.1235	0.4061971
414.1093	0.4067582
415.1168	0.4081982
416.1276	0.409011
417.1353	0.4104587
418.1428	0.4122436
419.1321	0.4119915
420.1139	0.4132134
421.1147	0.4147019
422.1035	0.4143787
423.0922	0.4158087
424.1193	0.416757
425.0947	0.4165317
426.1013	0.4177275
427.1189	0.4189239
428.1057	0.4194641
429.1274	0.4203928
430.114	0.4214326
431.1099	0.422486
432.1257	0.4233666
433.1121	0.4250473
434.1273	0.4262906
435.1202	0.4261808
436.1107	0.4270358
437.1315	0.4278411
438.1119	0.427712
439.0959	0.4288862
440.0804	0.4298294
441.0693	0.4302252
442.0652	0.4321152
443.0894	0.4339803
444.1177	0.4362952
445.1192	0.4380309
446.1411	0.4388672
447.1239	0.4399652
448.1017	0.4396878
449.0908	0.4400531
450.0938	0.44187
451.0947	0.4418784
452.0808	0.4433428
453.0933	0.4456343
454.0768	0.4462969
455.0977	0.4490782
456.1353	0.4514423
457.1384	0.4524245
458.1599	0.453554
459.1631	0.4542669
460.1255	0.4544742
461.1176	0.4550017
462.103	0.4558325
463.0835	0.4577004
464.0793	0.4588096
465.0795	0.4603289
466.0782	0.4628537
467.0681	0.4631571
468.0771	0.4647836
469.0673	0.4671831
470.0602	0.4684364
471.0593	0.4706719
472.0677	0.4723252
473.0752	0.4730128
474.0886	0.4743453
475.0862	0.4754523
476.0878	0.4773347
477.0887	0.4786731
478.0704	0.4793516
479.0947	0.4806923
480.0847	0.4814619
481.0618	0.4834763
482.0722	0.4871113
483.0664	0.4890407
484.0629	0.4908542
485.0922	0.4921314
486.1012	0.4914697
487.0874	0.4927025
488.0857	0.4943018
489.0893	0.4953767
490.0681	0.4977721
491.0745	0.4992313
492.0857	0.5008053
493.0765	0.5035008
494.0909	0.5058044
495.0924	0.5092102
496.0928	0.5106828
497.076	0.5116189
498.0842	0.512696
498.6265	0.4741363
498.6661	0.4277741
498.2404	0.3747549
497.2494	0.3144926
496.2513	0.2891028
495.2445	0.2690439
494.2126	0.2513131
493.2239	0.2369781
492.21	0.223888
491.2173	0.2112379
490.2134	0.2000804
489.2156	0.1895554
488.2166	0.1802542
487.1978	0.1724656
486.2353	0.1648438
485.2432	0.1572823
484.255	0.1482776
483.2653	0.139948
482.2295	0.1324304
481.2158	0.1248764
480.2025	0.1186925
479.2177	0.1125524
478.2126	0.1064726
477.2065	0.1018912
476.2074	0.09672289
475.2041	0.09232826
474.2228	0.08794934
473.2334	0.08367793
472.2471	0.08049163
471.2285	0.07599653
470.2326	0.07205134
469.2241	0.06877654
468.2009	0.06413649
467.2138	0.06095283
466.2241	0.05768352
465.229	0.05280443
464.2469	0.04986255
463.2572	0.04631762
462.2345	0.04248711
461.2422	0.04025143
460.2764	0.03821246
459.2843	0.03563643
458.3092	0.03328563
457.3078	0.03014617
456.2855	0.02705549
455.2734	0.02330565
454.2656	0.02073749
453.2728	0.01916659
452.2623	0.01599854
451.2541	0.01485979
450.2502	0.01337376
449.2251	0.01040062
448.2224	0.009262379
447.2446	0.007212413
446.2449	0.004240995
445.2637	0.001821445
444.2559	-0.001365056
443.2523	-0.00383491
442.2401	-0.005752564
441.2456	-0.00702919
440.2576	-0.007082206
439.2463	-0.008621219
438.2495	-0.009884831
437.2391	-0.01045316
436.2299	-0.01306814
435.2358	-0.01466496
434.2585	-0.01568449
433.2711	-0.01832434
432.2782	-0.01905276
431.2648	-0.01971113
430.2416	-0.02154672
429.2396	-0.02284567
428.26	-0.02517136
427.2654	-0.0272085
426.2693	-0.02934027
425.267	-0.03172538
424.2377	-0.03295907
423.2356	-0.03422622
422.249	-0.03490966
421.2531	-0.03456965
420.262	-0.03578306
419.2778	-0.0367254
418.2663	-0.03756836
417.2673	-0.03897277
416.2785	-0.0395973
415.2725	-0.04090368
414.2789	-0.04189668
413.2776	-0.04255826
412.2695	-0.04364808
411.2717	-0.04392549
410.2913	-0.04528223
409.3112	-0.0468959
408.3381	-0.04787288
407.3401	-0.05042372
406.3271	-0.05197179
405.3008	-0.05335012
404.2713	-0.05567543
403.274	-0.05613364
402.2719	-0.05650111
401.2734	-0.05801545
400.2767	-0.0577378
399.2823	-0.05806106
398.2709	-0.05903022
397.2811	-0.05871597
396.3019	-0.05975743
395.281	-0.06059073
394.2744	-0.0615021
393.2742	-0.06261128
392.2657	-0.06332077
391.2711	-0.06488223
390.2816	-0.06568448
389.2684	-0.06618267
388.2482	-0.06782171
387.2401	-0.06848935
386.2365	-0.06922101
385.2431	-0.071134
384.256	-0.07121831
383.2469	-0.07172281
382.2449	-0.07316064
381.2537	-0.07339586
380.253	-0.0744538
379.2702	-0.07526994
378.2693	-0.07560299
377.265	-0.07640678
376.2507	-0.07700404
375.2527	-0.07788417
374.2462	-0.07861447
373.2365	-0.07887153
372.2478	-0.07990666
371.238	-0.08042631
370.2601	-0.08043664
