mV	uA	mV1	uA1	mV2	uA2	mV3	uA3	mV4	uA4	mV6	uA6	mV7	uA7	mV8	uA8	mV9	uA9	mV10	uA10	mV11	uA11
3 mV/seg	3 mV/seg	5 mV/seg	5 mV/seg	10 mV/seg	10 mV/seg	20 mV/seg	20 mV/seg	30 mV/seg	30 mV/seg	50 mV/seg	50 mV/seg	100 mV/seg	100 mV/seg	200 mV/seg	200 mV/seg	300 mV/seg	300 mV/seg	500 mV/seg	500 mV/seg	1000 mV/seg	1000 mV/seg
-377.1627	-2.548801	-378.587	-1.58596	-378.5814	-1.019032	-378.6027	-0.088647	-379.1174	0.685014	-378.5985	2.408276	-378.6816	6.756538	-378.7835	15.08426	-378.6851	24.95476	-379.1205	34.05852	-378.7779	45.03806
-376.1575	-2.533856	-377.6033	-1.575537	-377.5923	-1.005097	-377.6246	-0.063789	-378.1076	0.722063	-377.6125	2.463604	-377.7025	6.827743	-377.7977	15.13562	-377.6555	24.93278	-378.188	34.49354	-377.8761	45.49908
-375.137	-2.510669	-376.6052	-1.55848	-376.5953	-0.98627	-376.6245	-0.028744	-377.1252	0.787528	-376.6078	2.531158	-376.7224	6.917034	-376.7985	15.20204	-376.7425	24.99515	-377.2441	34.90132	-376.8099	46.02235
-374.1252	-2.491474	-375.5957	-1.541185	-375.5865	-0.963068	-375.6019	0.008668	-376.1068	0.817428	-375.5993	2.599552	-375.6935	7.012829	-375.7826	15.27648	-375.6974	25.20371	-376.2296	35.25034	-375.8397	46.57362
-373.1248	-2.477856	-374.5919	-1.527057	-374.5777	-0.943311	-374.5779	0.04417	-375.0913	0.867134	-374.6086	2.668268	-374.6744	7.105213	-374.7606	15.34876	-374.7464	25.48825	-375.2234	35.51563	-374.7989	47.16495
-372.119	-2.459944	-373.5814	-1.5118	-373.5725	-0.919466	-373.5527	0.083774	-374.1064	0.938238	-373.5993	2.744048	-373.6642	7.201694	-373.7675	15.43366	-373.6524	25.73966	-374.1851	35.69607	-373.7072	47.77704
-371.1283	-2.443587	-372.5734	-1.499228	-372.5717	-0.898836	-372.5502	0.116514	-373.1124	0.96675	-372.6177	2.817454	-372.622	7.30295	-372.8002	15.51136	-372.5703	25.86353	-373.1508	35.84137	-372.7404	48.3908
-370.1226	-2.425529	-371.5728	-1.486803	-371.5838	-0.879505	-371.5605	0.1517	-372.1146	1.017555	-371.6198	2.889879	-371.59	7.397122	-371.7944	15.6001	-371.6012	25.86013	-372.1364	36.00352	-371.7901	49.01382
-369.0989	-2.403766	-370.5848	-1.473645	-370.5936	-0.856814	-370.5869	0.186285	-371.1341	1.08373	-370.651	2.960751	-370.6111	7.505679	-370.8228	15.6864	-370.5964	25.85052	-371.1485	36.22541	-370.8665	49.63171
-368.098	-2.384101	-369.5959	-1.458707	-369.595	-0.833904	-369.6027	0.22674	-370.1402	1.113628	-369.6667	3.039238	-369.5948	7.613943	-369.8174	15.78194	-369.7223	25.9416	-370.2065	36.53633	-369.9657	50.26455
-367.0869	-2.364713	-368.5865	-1.439701	-368.5927	-0.80548	-368.602	0.272131	-369.1262	1.179917	-368.6498	3.127202	-368.6082	7.736854	-368.7729	15.89713	-368.7588	26.16412	-369.2643	36.92065	-368.9212	50.90411
-366.0783	-2.346031	-367.5876	-1.424082	-367.5769	-0.781212	-367.6253	0.31807	-368.1254	1.256813	-367.6443	3.213647	-367.663	7.862335	-367.7687	16.0091	-367.7731	26.4438	-368.2705	37.34142	-367.8286	51.51423
-365.0836	-2.32752	-366.578	-1.408065	-366.5703	-0.756619	-366.6171	0.358555	-367.129	1.295445	-366.6054	3.301584	-366.6642	7.985451	-366.7656	16.12902	-366.7191	26.64174	-367.2823	37.72461	-366.7745	52.10239
-364.072	-2.305188	-365.5664	-1.388505	-365.5533	-0.724387	-365.6159	0.413681	-366.1166	1.373598	-365.5696	3.397053	-365.6933	8.128436	-365.7888	16.26095	-365.6449	26.72562	-366.2043	38.04322	-365.773	52.671
-363.0615	-2.28573	-364.5798	-1.375495	-364.5469	-0.701206	-364.624	0.453024	-365.1144	1.448112	-364.5815	3.486066	-364.6716	8.261312	-364.8313	16.3877	-364.5981	26.71066	-365.1344	38.27469	-364.7348	53.18774
-362.0484	-2.264494	-363.5699	-1.352674	-363.5428	-0.667425	-363.6098	0.507372	-364.1245	1.490914	-363.5681	3.588143	-363.6657	8.400563	-363.8188	16.53337	-363.5074	26.75092	-364.1274	38.42613	-363.7409	53.71689
-361.0321	-2.241173	-362.5545	-1.326064	-362.5244	-0.629829	-362.5992	0.563812	-363.106	1.578258	-362.5746	3.700784	-362.649	8.568902	-362.8148	16.69589	-362.535	26.90845	-363.1158	38.56048	-362.8173	54.233
-360.0242	-2.225713	-361.552	-1.305783	-361.5264	-0.603885	-361.601	0.613457	-362.0953	1.657002	-361.5954	3.798274	-361.6372	8.711344	-361.788	16.84667	-361.5536	27.16661	-362.1706	38.70265	-361.7917	54.72878
-359.0218	-2.20729	-360.5434	-1.283152	-360.5248	-0.570835	-360.5992	0.66475	-361.0951	1.707092	-360.5778	3.90818	-360.6718	8.871981	-360.7587	17.00939	-360.5326	27.4368	-361.166	38.90899	-360.881	55.23068
-358.0294	-2.186028	-359.5444	-1.266982	-359.5384	-0.543755	-359.5973	0.717946	-360.0889	1.794481	-359.5909	4.003618	-359.6627	9.031443	-359.7999	17.17711	-359.618	27.5922	-360.1689	39.18708	-359.9033	55.7179
-357.0382	-2.169378	-358.5568	-1.254315	-358.5639	-0.521318	-358.6092	0.758335	-359.0959	1.867845	-358.6066	4.101596	-358.6683	9.177181	-358.8183	17.34347	-358.6171	27.63786	-359.1707	39.51524	-358.9849	56.20749
-356.0342	-2.144258	-357.5634	-1.233588	-357.5736	-0.488389	-357.5963	0.816218	-358.1212	1.918263	-357.6066	4.210325	-357.6784	9.345261	-357.8053	17.5229	-357.6535	27.64698	-358.1702	39.88099	-357.9692	56.72277
-355.0432	-2.121839	-356.5653	-1.212704	-356.5871	-0.456777	-356.6046	0.86801	-357.1271	2.01152	-356.6215	4.314487	-356.6754	9.515353	-356.8026	17.7087	-356.6012	27.74472	-357.1817	40.21838	-356.9845	57.27287
-354.0379	-2.103448	-355.5742	-1.189943	-355.572	-0.419745	-355.6057	0.930721	-356.1215	2.094623	-355.625	4.436085	-355.6974	9.693784	-355.7588	17.92275	-355.5729	27.97595	-356.1472	40.49338	-356.0494	57.86123
-353.0319	-2.079054	-354.5839	-1.168359	-354.5684	-0.387829	-354.6077	0.98784	-355.1145	2.157657	-354.6001	4.555186	-354.7253	9.88083	-354.7323	18.13704	-354.5988	28.29375	-355.1393	40.69048	-354.9977	58.4896
-352.0338	-2.058957	-353.5928	-1.149294	-353.5784	-0.357383	-353.6267	1.047138	-354.1106	2.256081	-353.6087	4.675902	-353.7319	10.05756	-353.7595	18.34586	-353.5504	28.56668	-354.1113	40.80819	-353.9863	59.12592
-351.021	-2.035825	-352.6002	-1.125396	-352.5716	-0.320131	-352.6265	1.109676	-353.1021	2.33932	-352.6114	4.79835	-352.7205	10.26027	-352.7833	18.57402	-352.644	28.74492	-353.1266	40.89886	-352.9679	59.77564
-350.0126	-2.008735	-351.6074	-1.103874	-351.5938	-0.286557	-351.6361	1.17108	-352.1103	2.403244	-351.6187	4.916261	-351.7016	10.45078	-351.8	18.8021	-351.6437	28.80842	-352.1711	41.01138	-351.9155	60.4165
-349.0013	-1.987389	-350.6113	-1.081809	-350.5877	-0.238973	-350.6484	1.236067	-351.1249	2.505457	-350.6511	5.040156	-350.6869	10.65706	-350.8389	19.04345	-350.5313	28.90083	-351.1732	41.20019	-350.8945	61.06128
-347.9885	-1.96403	-349.5996	-1.050818	-349.5765	-0.184199	-349.6265	1.319963	-350.1196	2.599323	-349.6405	5.183184	-349.6583	10.88612	-349.8288	19.32478	-349.5559	29.12141	-350.1761	41.47611	-349.9442	61.72548
-346.9799	-1.945147	-348.597	-1.02791	-348.5825	-0.145486	-348.6126	1.381846	-349.1123	2.680372	-348.6407	5.32057	-348.6841	11.0943	-348.7988	19.59268	-348.52	29.43851	-349.1743	41.81398	-348.9704	62.36615
-345.9699	-1.927596	-347.5899	-1.0013	-347.5759	-0.104865	-347.6081	1.452516	-348.1247	2.793617	-347.6326	5.462663	-347.7039	11.30926	-347.7961	19.86834	-347.5218	29.81632	-348.1731	42.17814	-348.1115	62.99581
-344.9692	-1.90204	-346.5804	-0.970791	-346.5819	-0.066792	-346.5934	1.522856	-347.1247	2.887513	-346.6227	5.602676	-346.7034	11.53289	-346.7781	20.15559	-346.6084	30.12497	-347.1886	42.51892	-347.048	63.5952
-343.9646	-1.87951	-345.5896	-0.95253	-345.5955	-0.038374	-345.6077	1.577112	-346.1454	2.965905	-345.6393	5.72679	-345.7313	11.73968	-345.7811	20.42808	-345.5765	30.30962	-346.1582	42.78862	-345.949	64.13666
-342.9614	-1.854519	-344.5898	-0.926814	-344.5991	0.004433	-344.6204	1.648809	-345.1806	3.077505	-344.6617	5.869828	-344.7109	11.97094	-344.8511	20.7183	-344.576	30.47277	-345.1508	42.98755	-344.8194	64.66972
-341.961	-1.827291	-343.5902	-0.899057	-343.5901	0.052958	-343.6104	1.728437	-344.1741	3.171991	-343.6729	6.021505	-343.6911	12.21099	-343.845	21.0292	-343.5316	30.68353	-344.1783	43.13569	-343.6808	65.1909
-340.9605	-1.807789	-342.5914	-0.874343	-342.5808	0.096573	-342.6201	1.799655	-343.1633	3.266748	-342.6637	6.171377	-342.6883	12.45784	-342.8733	21.34034	-342.5162	30.9763	-343.2076	43.24562	-342.708	65.68153
-339.9541	-1.781333	-341.5885	-0.843943	-341.5702	0.145225	-341.6322	1.880668	-342.1675	3.391244	-341.6614	6.334076	-341.6871	12.70399	-341.8618	21.66077	-341.5209	31.41554	-342.2591	43.3967	-341.8211	66.18226
-338.9496	-1.755646	-340.5943	-0.818599	-340.5662	0.189223	-340.6421	1.955155	-341.1633	3.490466	-340.6346	6.484158	-340.7153	12.95941	-340.8127	21.99099	-340.5917	31.81424	-341.239	43.63058	-340.9196	66.66335
-337.9466	-1.73086	-339.6003	-0.793942	-339.574	0.230403	-339.6612	2.027891	-340.1753	3.589447	-339.6282	6.639228	-339.7382	13.20928	-339.8337	22.33162	-339.6493	32.15662	-340.2348	43.93339	-339.962	67.14077
-336.9202	-1.697729	-338.5997	-0.765824	-338.5867	0.275027	-338.6569	2.108032	-339.1917	3.713462	-338.6362	6.801995	-338.7422	13.46466	-338.799	22.69011	-338.6772	32.4249	-339.2062	44.31463	-339.0236	67.63758
-335.9185	-1.676214	-337.6038	-0.735388	-337.5794	0.323025	-337.6481	2.189203	-338.1801	3.81404	-337.6245	6.960876	-337.7471	13.7365	-337.8178	23.04746	-337.744	32.64582	-338.1674	44.73796	-337.9672	68.15494
-334.9165	-1.654992	-336.5884	-0.701609	-336.5673	0.37822	-336.6314	2.283246	-337.155	3.926267	-336.6342	7.139822	-336.7349	14.01529	-336.8499	23.43081	-336.618	32.99414	-337.2454	45.14658	-336.9951	68.71162
-333.908	-1.629941	-335.5827	-0.679257	-335.5538	0.424404	-335.6144	2.362506	-336.1246	4.059608	-335.6407	7.298938	-335.7091	14.28818	-335.844	23.81045	-335.5736	33.42316	-336.2279	45.50404	-335.9976	69.27725
-332.9232	-1.615973	-334.5843	-0.658991	-334.5526	0.465955	-334.6247	2.43671	-335.1303	4.153414	-334.6509	7.457322	-334.7124	14.55872	-334.8448	24.18425	-334.5324	33.93742	-335.2158	45.78815	-334.9799	69.8662
-331.9166	-1.589636	-333.5806	-0.628492	-333.5625	0.513969	-333.6311	2.519266	-334.1336	4.261779	-333.647	7.630966	-333.6606	14.82639	-333.8294	24.56861	-333.521	34.4395	-334.1997	46.02016	-333.976	70.467
-330.906	-1.561305	-332.597	-0.606553	-332.5729	0.54655	-332.6424	2.580788	-333.1566	4.380532	-332.6469	7.774405	-332.6732	15.09035	-332.8118	24.93601	-332.5829	34.79874	-333.1526	46.2142	-332.9824	71.04649
-329.9014	-1.540006	-331.6028	-0.570966	-331.5972	0.592507	-331.6608	2.657805	-332.2019	4.470898	-331.6584	7.94086	-331.69	15.3565	-331.8217	25.32171	-331.6926	35.10263	-332.1528	46.44077	-332.0195	71.64114
-328.891	-1.509867	-330.6048	-0.529578	-330.6015	0.649944	-330.6533	2.749966	-331.1861	4.592738	-330.6542	8.120087	-330.6992	15.66292	-330.8428	25.73443	-330.8344	35.44266	-331.1899	46.77536	-330.9573	72.25778
-327.8898	-1.486594	-329.611	-0.506762	-329.606	0.691481	-329.6436	2.82386	-330.1823	4.722413	-329.6801	8.27923	-329.7347	15.9409	-329.8724	26.14109	-329.8072	35.83621	-330.2493	47.18033	-330.0172	72.85072
-326.8867	-1.466387	-328.6161	-0.475431	-328.6108	0.743436	-328.6499	2.91631	-329.1787	4.824059	-328.6927	8.46228	-328.7255	16.22834	-328.8956	26.56602	-328.8393	36.39582	-329.2584	47.65438	-328.9357	73.45709
-325.8839	-1.433236	-327.6175	-0.443512	-327.6016	0.795037	-327.64	3.004334	-328.161	4.953599	-327.6794	8.643488	-327.709	16.52466	-327.8843	27.00776	-327.7922	36.99142	-328.2514	48.19082	-327.8457	74.0408
-324.8677	-1.404767	-326.6208	-0.419605	-326.6057	0.837065	-326.6474	3.085064	-327.1613	5.086421	-326.6862	8.812107	-326.7073	16.8113	-326.8633	27.43045	-326.6808	37.48446	-327.2428	48.69342	-326.8386	74.5825
-323.8416	-1.371453	-325.6223	-0.3834	-325.6108	0.895423	-325.6567	3.180268	-326.1514	5.195178	-325.6747	8.998	-325.7002	17.1193	-325.8924	27.87356	-325.7142	37.93607	-326.1858	49.15666	-325.7971	75.10728
-322.83	-1.342449	-324.6196	-0.349176	-324.6157	0.948249	-324.6508	3.274865	-325.1577	5.334595	-324.6631	9.187156	-324.6865	17.44321	-324.8649	28.3301	-324.7075	38.30865	-325.212	49.58335	-324.8517	75.61362
-321.8165	-1.322846	-323.6085	-0.312666	-323.6123	1.003853	-323.647	3.372783	-324.1486	5.476262	-323.6725	9.383793	-323.6983	17.76285	-323.8878	28.79926	-323.6844	38.76209	-324.1847	49.95465	-323.7931	76.13014
-320.8105	-1.299735	-322.6055	-0.279992	-322.6027	1.057397	-322.6401	3.465711	-323.1476	5.588892	-322.6818	9.571706	-322.6916	18.07758	-322.8692	29.27604	-322.674	39.31365	-323.1617	50.31121	-322.8701	76.61405
-319.8248	-1.283205	-321.6019	-0.253964	-321.606	1.100744	-321.6426	3.545687	-322.1498	5.719049	-321.6801	9.750931	-321.7112	18.37932	-321.8336	29.74087	-321.7372	39.94894	-322.2294	50.70167	-321.9158	77.0996
-318.8256	-1.257931	-320.6001	-0.224684	-320.6014	1.154244	-320.6517	3.63534	-321.1393	5.843951	-320.6704	9.930243	-320.6982	18.69159	-320.8441	30.21212	-320.6991	40.59563	-321.2048	51.16455	-320.9533	77.57283
-317.8155	-1.223018	-319.6143	-0.208895	-319.6058	1.205621	-319.6587	3.708817	-320.1416	5.942088	-319.6716	10.10237	-319.7127	19.00119	-319.8295	30.68189	-319.7071	41.13231	-320.3199	51.69249	-320.004	78.02495
-316.8156	-1.201547	-318.6201	-0.178924	-318.6117	1.262546	-318.6631	3.801322	-319.1445	6.069175	-318.6717	10.28684	-318.7139	19.31602	-318.8523	31.15752	-318.7455	41.6023	-319.3211	52.29021	-318.9493	78.50738
-315.8029	-1.175323	-317.6135	-0.125894	-317.59	1.337643	-317.6504	3.909737	-318.1468	6.208776	-317.66	10.50011	-317.6984	19.66879	-317.8445	31.65841	-317.7094	42.07789	-318.2844	52.95245	-317.9653	79.03073
-314.7908	-1.144224	-316.6071	-0.096021	-316.584	1.388511	-316.6405	3.999125	-317.1413	6.326959	-316.6527	10.69293	-316.7234	19.99886	-316.8426	32.15361	-316.6312	42.60754	-317.2817	53.59377	-316.9261	79.568
-313.7874	-1.128477	-315.6014	-0.054316	-315.5935	1.441144	-315.6355	4.090872	-316.138	6.464921	-315.6415	10.89126	-315.7065	20.32059	-315.8162	32.66204	-315.6763	43.25293	-316.1975	54.19172	-315.9213	80.14996
-312.7727	-1.094183	-314.586	-0.012899	-314.5857	1.498988	-314.6252	4.195021	-315.1194	6.601415	-314.6327	11.0994	-314.696	20.67468	-314.7852	33.17674	-314.6952	43.99175	-315.1357	54.74504	-314.9521	80.78545
-311.7517	-1.060514	-313.5944	0.003256	-313.6006	1.536895	-313.6385	4.265606	-314.1096	6.709508	-313.6618	11.27241	-313.6982	20.97114	-313.7879	33.67004	-313.6366	44.64995	-314.1565	55.23699	-313.8212	81.4167
-310.73	-1.037481	-312.5852	0.04405	-312.5967	1.601381	-312.6284	4.36735	-313.1058	6.848287	-312.6705	11.46954	-312.6743	21.31102	-312.7756	34.1967	-312.7889	45.25099	-313.2337	55.71225	-312.7979	82.07253
-309.7111	-1.007242	-311.5725	0.086282	-311.5728	1.666673	-311.6211	4.472476	-312.0959	6.990397	-311.6638	11.6721	-311.6781	21.65749	-311.7988	34.7345	-311.7643	45.79105	-312.2632	56.24648	-311.7878	82.74305
-308.7036	-0.990183	-310.5664	0.118581	-310.5677	1.722871	-310.6086	4.569163	-311.0975	7.115406	-310.6351	11.87162	-310.6758	21.98812	-310.8301	35.27	-310.6994	46.34655	-311.2919	56.86713	-310.6964	83.40501
-307.703	-0.978983	-309.5511	0.152883	-309.5515	1.781618	-309.5872	4.670202	-310.0883	7.266494	-309.6067	12.07829	-309.651	22.34635	-309.8071	35.81454	-309.7054	46.97808	-310.2955	57.544	-309.7896	84.07659
-306.7133	-0.954532	-308.5581	0.177115	-308.5553	1.823411	-308.5867	4.754159	-309.0787	7.392073	-308.5929	12.25883	-308.6826	22.66652	-308.8029	36.33451	-308.6428	47.69936	-309.203	58.27969	-308.8017	84.75317
-305.7219	-0.9319	-307.5661	0.200531	-307.5678	1.863674	-307.5942	4.82725	-308.0925	7.494686	-307.5936	12.42822	-307.6837	22.98767	-307.7792	36.84722	-307.6295	48.43417	-308.2024	59.03621	-307.8467	85.41116
-304.7219	-0.898272	-306.582	0.224955	-306.571	1.904696	-306.6189	4.903219	-307.1166	7.618757	-306.6195	12.59208	-306.6909	23.30883	-306.7663	37.36073	-306.6811	49.08692	-307.2278	59.75322	-306.9423	86.05673
-303.7273	-0.867884	-305.5935	0.255358	-305.5846	1.953676	-305.6455	4.978819	-306.1265	7.724609	-305.6306	12.76537	-305.7097	23.6103	-305.7644	37.88373	-305.6142	49.69444	-306.1935	60.44347	-305.9424	86.68562
-302.726	-0.84366	-304.5948	0.291805	-304.5772	2.017918	-304.6508	5.079309	-305.1433	7.843309	-304.6487	12.96732	-304.6885	23.97255	-304.7755	38.42538	-304.6259	50.25889	-305.2571	61.09049	-304.8848	87.31227
-301.7216	-0.811735	-303.5994	0.318887	-303.5779	2.06932	-303.6533	5.163552	-304.1336	7.984003	-303.6552	13.14899	-303.6657	24.28445	-303.8024	38.96588	-303.5963	50.87263	-304.2351	61.69953	-303.8631	87.92756
-300.7174	-0.791477	-302.6005	0.356706	-302.5803	2.124018	-302.6556	5.250056	-303.1255	8.100845	-302.6433	13.33093	-302.6451	24.6193	-302.8141	39.50644	-302.5852	51.56779	-303.2857	62.2854	-302.8368	88.5343
-299.7133	-0.760488	-301.5992	0.403657	-301.5782	2.188714	-301.6433	5.355637	-302.1281	8.226105	-301.6514	13.52787	-301.679	24.96559	-301.8272	40.05455	-301.6259	52.3595	-302.3212	62.9141	-301.8508	89.17325
-298.6946	-0.719127	-300.6076	0.432785	-300.587	2.230011	-300.6539	5.434108	-301.1244	8.361572	-300.6597	13.6978	-300.6673	25.26998	-300.8287	40.58806	-300.5937	53.11698	-301.2986	63.61895	-300.9282	89.8022
-297.6891	-0.697212	-299.604	0.477686	-299.5911	2.290789	-299.653	5.532187	-300.131	8.475958	-299.6678	13.8955	-299.6881	25.6192	-299.8162	41.14159	-299.58	53.82178	-300.3256	64.36931	-299.8897	90.45211
-296.6817	-0.668629	-298.5978	0.523953	-298.5892	2.362344	-298.6446	5.648012	-299.1425	8.606995	-298.6655	14.10054	-298.7125	25.96316	-298.8177	41.71626	-298.6003	54.46521	-299.3417	65.20938	-298.8997	91.14953
-295.6743	-0.643552	-297.5943	0.550208	-297.5863	2.412651	-297.6429	5.737307	-298.1375	8.752981	-297.6484	14.28075	-297.6917	26.29762	-297.8095	42.26665	-297.6278	55.07178	-298.3293	66.08401	-297.9048	91.84486
-294.6776	-0.632047	-296.5895	0.589796	-296.5946	2.47525	-296.6396	5.835908	-297.1507	8.869905	-296.6362	14.47373	-296.7096	26.64974	-296.8222	42.82929	-296.6517	55.75878	-297.304	66.92146	-296.8435	92.58006
-293.6674	-0.600055	-295.5955	0.623116	-295.5934	2.532167	-295.6575	5.932121	-296.1473	8.996244	-295.633	14.66287	-295.6938	26.96825	-295.8461	43.39993	-295.7489	56.52682	-296.2789	67.73701	-295.8909	93.35469
-292.6593	-0.569415	-294.6051	0.644539	-294.6107	2.571729	-294.6563	6.004122	-295.1403	9.128542	-294.6516	14.83525	-294.6884	27.29914	-294.8729	43.9408	-294.719	57.3456	-295.2483	68.48253	-294.8649	94.14823
-291.6509	-0.542269	-293.6167	0.683148	-293.6213	2.621483	-293.6686	6.093791	-294.1585	9.233782	-293.6532	15.01569	-293.6956	27.61276	-293.8745	44.49027	-293.7739	58.12831	-294.2265	69.1722	-293.8885	94.97373
-290.6468	-0.507004	-292.6174	0.720947	-292.623	2.671454	-292.681	6.193675	-293.1479	9.357909	-292.6832	15.19788	-292.6851	27.94421	-292.8784	45.05683	-292.8104	58.83581	-293.2395	69.85306	-292.9709	95.81419
-289.6472	-0.483224	-291.62	0.7611	-291.6281	2.727076	-291.6804	6.296885	-292.1575	9.498686	-291.6962	15.38821	-291.7027	28.28834	-291.8604	45.62084	-291.7375	59.48916	-292.2571	70.57614	-292.0572	96.67052
-288.642	-0.455097	-290.6187	0.798391	-290.6213	2.784913	-290.6869	6.396304	-291.1636	9.613533	-290.6961	15.58112	-290.717	28.60774	-290.8792	46.18621	-290.6842	60.15936	-291.3205	71.37952	-291.1006	97.5403
-287.6414	-0.42148	-289.6248	0.823605	-289.6244	2.844302	-289.6841	6.488184	-290.1564	9.737581	-289.7009	15.76643	-289.735	28.94596	-289.9228	46.74966	-289.6421	60.88413	-290.3997	72.22254	-290.1037	98.42398
-286.637	-0.391889	-288.6292	0.85983	-288.6229	2.922492	-288.6852	6.574184	-289.164	9.87408	-288.7024	15.9538	-288.7308	29.27026	-288.9138	47.315	-288.6313	61.72516	-289.4086	73.13396	-289.1738	99.33684
-285.6163	-0.351591	-287.6281	0.894384	-287.6168	2.984861	-287.6788	6.646441	-288.1581	9.985118	-287.7018	16.11925	-287.7449	29.58503	-287.9172	47.87238	-287.6829	62.55175	-288.4088	74.07663	-288.0538	100.2402
-284.6105	-0.329863	-286.623	0.942581	-286.6127	3.053658	-286.6771	6.740304	-287.1506	10.11276	-286.6903	16.30754	-286.746	29.93357	-286.8668	48.44457	-286.7141	63.34132	-287.3796	74.9839	-287.0958	101.138
-283.6092	-0.311084	-285.602	1.008833	-285.601	3.140472	-285.6487	6.863551	-286.1392	10.2644	-285.6637	16.52628	-285.7274	30.26814	-285.8522	49.04576	-285.7449	64.07975	-286.2962	75.89401	-285.9758	102.0304
-282.5995	-0.28248	-284.5961	1.041378	-284.5933	3.182182	-284.635	6.953615	-285.1353	10.3877	-284.6493	16.70677	-284.7471	30.60895	-284.8582	49.61406	-284.7051	64.7333	-285.2681	76.75067	-284.8068	102.8936
-281.6081	-0.270556	-283.59	1.074129	-283.605	3.230094	-283.6263	7.048333	-284.1342	10.50938	-283.6329	16.88461	-283.7632	30.91451	-283.8373	50.1823	-283.6904	65.46863	-284.3146	77.52734	-283.9589	103.7521
-280.6133	-0.238239	-282.588	1.104046	-282.6005	3.283905	-282.6198	7.132612	-283.139	10.63668	-282.6291	17.05128	-282.73	31.22891	-282.8706	50.75237	-282.7503	66.25156	-283.3229	78.28667	-282.9643	104.6081
-279.6004	-0.195331	-281.6077	1.113482	-281.6134	3.305684	-281.6506	7.186405	-282.1578	10.72272	-281.6723	17.18226	-281.75	31.51535	-281.8945	51.27132	-281.6999	67.07813	-282.3577	79.06149	-282.0615	105.4538
-278.5979	-0.175609	-280.6193	1.156045	-280.6152	3.362636	-280.6529	7.271544	-281.1775	10.82339	-280.6851	17.35046	-280.7602	31.79896	-280.9082	51.81383	-280.6882	67.91	-281.3486	79.89116	-281.1818	106.3132
-277.59	-0.134977	-279.6242	1.203406	-279.61	3.428316	-279.652	7.3708	-280.1829	10.94889	-279.6772	17.53297	-279.7444	32.13037	-279.9438	52.36895	-279.6945	68.66463	-280.3073	80.79147	-280.0862	107.1945
-276.5854	-0.105258	-278.6376	1.240944	-278.6286	3.482143	-278.6704	7.454904	-279.1806	11.055	-278.6917	17.69579	-278.7703	32.4268	-278.9218	52.91713	-278.7161	69.34972	-279.2628	81.761	-279.0302	108.0797
-275.5868	-0.084211	-277.6323	1.289685	-277.6276	3.552604	-277.6661	7.555085	-278.1841	11.18319	-277.6848	17.87165	-277.7369	32.73975	-277.9155	53.47433	-277.7708	70.04934	-278.2416	82.75626	-278.0267	108.9987
-274.5821	-0.039893	-276.6317	1.32575	-276.6425	3.610973	-276.6749	7.637109	-277.1793	11.31234	-276.6844	18.04063	-276.7089	33.06197	-276.8914	54.02396	-276.797	70.79683	-277.3364	83.71846	-277.0113	109.952
-273.5807	-0.006021	-275.6335	1.360752	-275.6421	3.668567	-275.6798	7.727436	-276.1857	11.41506	-275.6959	18.20754	-275.6958	33.33801	-275.9072	54.57713	-275.8417	71.62616	-276.324	84.65358	-275.9579	110.9415
-272.5586	0.034364	-274.6309	1.402956	-274.6328	3.731762	-274.6625	7.818028	-275.2054	11.54105	-274.7041	18.38082	-274.6915	33.65981	-274.9144	55.12457	-274.7074	72.49484	-275.3116	85.53743	-274.934	111.9758
-271.5471	0.070946	-273.6327	1.437322	-273.6306	3.794747	-273.6541	7.915894	-274.2041	11.66608	-273.7101	18.5474	-273.7305	33.94984	-273.9081	55.67368	-273.7102	73.31731	-274.3708	86.36477	-273.9123	113.035
-270.548	0.094641	-272.6144	1.495862	-272.6099	3.882484	-272.6427	8.036391	-273.1933	11.78946	-272.6905	18.73796	-272.7232	34.27421	-272.9063	56.25591	-272.7133	74.09966	-273.3726	87.20358	-272.8708	114.117
-269.5432	0.124758	-271.6109	1.541567	-271.6083	3.942683	-271.6411	8.130936	-272.1738	11.9348	-271.6751	18.91345	-271.7404	34.59051	-271.8938	56.81262	-271.7105	74.79099	-272.3993	88.08047	-271.8633	115.186
-268.5548	0.149458	-270.6103	1.58202	-270.6212	3.997679	-270.6523	8.21675	-271.1484	12.05476	-270.6646	19.08029	-270.7599	34.86762	-270.9223	57.35727	-270.7403	75.5334	-271.4467	89.00273	-270.8612	116.2505
-267.5505	0.186662	-269.6034	1.641582	-269.6156	4.06617	-269.6521	8.318074	-270.1449	12.16338	-269.6554	19.25891	-269.7449	35.18668	-269.8889	57.91382	-269.7249	76.32088	-270.4258	89.9697	-269.8646	117.3437
-266.5353	0.237596	-268.622	1.664344	-268.6234	4.096766	-268.6577	8.373819	-269.1533	12.27793	-268.6644	19.38789	-268.774	35.44318	-268.9193	58.42756	-268.8208	77.15049	-269.3878	90.97344	-268.8809	118.4193
-265.5231	0.269722	-267.6229	1.705226	-267.626	4.158992	-267.6692	8.464741	-268.1672	12.37396	-267.6803	19.53868	-267.7814	35.71519	-267.8879	58.95382	-267.7668	78.00793	-268.4262	91.98091	-267.9966	119.5056
