mV	uA	mV1	uA1	mV2	uA2	mV3	uA3	mV4	uA4	mV6	uA6	mV7	uA7	mV8	uA8	mV9	uA9	mV10	uA10	mV11	uA11
3 mV/seg	3 mV/seg	5 mV/seg	5 mV/seg	10 mV/seg	10 mV/seg	20 mV/seg	20 mV/seg	30 mV/seg	30 mV/seg	50 mV/seg	50 mV/seg	100 mV/seg	100 mV/seg	200 mV/seg	200 mV/seg	300 mV/seg	300 mV/seg	500 mV/seg	500 mV/seg	1000 mV/seg	1000 mV/seg
-579.3229	-7.781173	-579.5176	-3.52937	-579.5007	-3.804178	-579.5007	-4.225751	-580.0212	-4.687051	-579.5371	-4.927871	-579.5784	-4.647553	-579.7686	-4.394667	-579.401	-3.948545	-580.0465	-3.538981	-579.7163	-2.647592
-578.3054	-7.659636	-578.5114	-3.50815	-578.5024	-3.772925	-578.4913	-4.187243	-579.0117	-4.640337	-578.5355	-4.871568	-578.5692	-4.574908	-578.7404	-4.312044	-578.454	-3.823025	-579.0582	-3.416312	-578.7654	-2.666649
-577.3019	-7.548599	-577.5139	-3.486297	-577.5086	-3.742442	-577.5053	-4.143644	-578.0314	-4.616647	-577.5464	-4.815619	-577.5836	-4.510494	-577.7205	-4.234695	-577.4689	-3.854228	-578.0642	-3.200087	-577.8021	-2.65764
-576.3051	-7.445724	-576.5118	-3.464418	-576.5075	-3.710969	-576.5068	-4.106826	-577.0306	-4.544249	-576.5437	-4.759995	-576.5914	-4.439278	-576.692	-4.154307	-576.5107	-3.946621	-577.0522	-2.941667	-576.7158	-2.624809
-575.3011	-7.342093	-575.5234	-3.443991	-575.5112	-3.683955	-575.5272	-4.064517	-576.0462	-4.503933	-575.5297	-4.707734	-575.619	-4.371622	-575.6625	-4.076972	-575.5402	-3.966372	-576.0679	-2.712526	-575.6393	-2.560101
-574.3015	-7.243298	-574.5305	-3.422844	-574.5058	-3.654244	-574.5305	-4.027423	-575.0538	-4.479807	-574.5518	-4.653993	-574.6088	-4.303916	-574.6625	-3.996663	-574.5691	-3.816978	-575.0895	-2.561495	-574.642	-2.453517
-573.2896	-7.153745	-573.5195	-3.400276	-573.4879	-3.624266	-573.5174	-3.981685	-574.035	-4.406999	-573.5811	-4.598335	-573.5688	-4.231471	-573.687	-3.91045	-573.4923	-3.556774	-574.0459	-2.519577	-573.5696	-2.303933
-572.2848	-7.064604	-572.5314	-3.379237	-572.4938	-3.596962	-572.5065	-3.94667	-573.0335	-4.370802	-572.5879	-4.54589	-572.5964	-4.168006	-572.6902	-3.831622	-572.4941	-3.321899	-573.0496	-2.571084	-572.497	-2.15887
-571.2786	-6.975711	-571.5252	-3.358505	-571.4918	-3.567113	-571.5009	-3.90654	-572.0275	-4.343913	-571.5868	-4.492033	-571.5862	-4.100814	-571.6852	-3.755118	-571.5801	-3.239241	-571.9981	-2.65952	-571.5338	-1.97675
-570.2714	-6.895368	-570.5143	-3.337664	-570.4915	-3.539132	-570.5076	-3.872887	-571.0186	-4.270454	-570.5757	-4.438515	-570.5904	-4.031703	-570.6804	-3.678507	-570.524	-3.30045	-570.9596	-2.708879	-570.4838	-1.771466
