Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA
Au	Control	CNEA	Calcinado	SOlucion	Fe
107.3019	-5.674027	107.2983	-6.040756	107.2496	-0.937463
106.2967	-5.681004	106.3191	-6.037126	106.2648	-0.944476
105.2726	-5.688504	105.332	-6.033273	105.2808	-0.950299
104.3114	-5.689666	104.3365	-6.029178	104.2989	-0.954164
103.3131	-5.690795	103.3348	-6.023932	103.3149	-0.95907
102.3201	-5.68979	102.3298	-6.017372	102.3219	-0.961943
101.3446	-5.687117	101.3201	-6.010296	101.3062	-0.966318
100.3362	-5.690678	100.3298	-6.004924	100.2969	-0.97313
99.3509	-5.694633	99.33167	-5.995624	99.30085	-0.978633
98.35213	-5.698553	98.34142	-5.985482	98.28058	-0.985344
97.33257	-5.70212	97.34016	-5.975921	97.29823	-0.99113
96.31073	-5.70059	96.3448	-5.96158	96.2952	-0.996683
95.29387	-5.697464	95.34048	-5.947368	95.27702	-1.002345
94.27563	-5.69147	94.32117	-5.934975	94.27812	-1.007201
93.27077	-5.683883	93.32376	-5.922032	93.26149	-1.011117
92.26872	-5.677339	92.30399	-5.908135	92.25089	-1.013947
91.26816	-5.668869	91.29693	-5.8942	91.24955	-1.018343
90.25912	-5.661248	90.28577	-5.877601	90.24509	-1.02412
89.25713	-5.655856	89.29909	-5.856685	89.25941	-1.030715
88.25468	-5.647351	88.28961	-5.835432	88.28304	-1.037236
87.23077	-5.642373	87.28744	-5.814789	87.29746	-1.042472
86.22583	-5.635568	86.31109	-5.793661	86.29829	-1.047803
85.21805	-5.625115	85.29311	-5.773112	85.28053	-1.051047
84.21791	-5.615273	84.29108	-5.755189	84.26989	-1.05598
83.21936	-5.603336	83.28754	-5.734562	83.26489	-1.060796
82.24573	-5.590563	82.27506	-5.712321	82.26186	-1.065514
81.24744	-5.579532	81.26649	-5.69198	81.28789	-1.071651
80.26916	-5.568871	80.26903	-5.668478	80.26006	-1.076716
79.27904	-5.555183	79.28759	-5.644173	79.2545	-1.081328
78.25954	-5.543237	78.30577	-5.619493	78.26691	-1.085158
77.26871	-5.529634	77.32635	-5.592349	77.24963	-1.090204
76.27686	-5.514012	76.33264	-5.563925	76.28101	-1.093911
75.28189	-5.499046	75.32081	-5.537255	75.29954	-1.097778
74.29196	-5.484179	74.31042	-5.512507	74.29398	-1.101813
73.25834	-5.470109	73.29733	-5.488994	73.28047	-1.104386
72.24109	-5.455364	72.29844	-5.465206	72.2831	-1.108907
71.25459	-5.44097	71.30502	-5.441352	71.26687	-1.114528
70.26009	-5.424238	70.30311	-5.414477	70.28525	-1.120159
69.295	-5.405768	69.31507	-5.383375	69.31947	-1.125953
68.29058	-5.390388	68.31579	-5.354455	68.3175	-1.131582
67.27617	-5.373768	67.30668	-5.325785	67.32495	-1.134921
66.27573	-5.3538	66.30061	-5.297557	66.2995	-1.138568
65.26623	-5.335441	65.29501	-5.273679	65.27707	-1.142822
64.28061	-5.315597	64.29872	-5.247308	64.26821	-1.147354
63.27951	-5.295842	63.30542	-5.219495	63.25601	-1.152965
62.27212	-5.2813	62.32153	-5.191986	62.27252	-1.15846
61.27624	-5.265586	61.32147	-5.163023	61.27523	-1.162708
60.26949	-5.249944	60.30217	-5.134811	60.28313	-1.166881
59.28897	-5.233505	59.3105	-5.103889	59.30469	-1.171567
58.30585	-5.216376	58.30012	-5.073433	58.31033	-1.175258
57.31843	-5.198847	57.32634	-5.042296	57.30858	-1.179293
56.32877	-5.178935	56.34062	-5.009763	56.29932	-1.182905
55.31456	-5.161055	55.34171	-4.981863	55.28272	-1.185131
54.28151	-5.141577	54.32977	-4.955393	54.28048	-1.188844
53.28968	-5.119308	53.30843	-4.928388	53.29565	-1.193214
52.2909	-5.10048	52.30884	-4.901928	52.29894	-1.198661
51.29214	-5.077353	51.30088	-4.872744	51.30668	-1.205218
50.31709	-5.05366	50.32927	-4.836679	50.33434	-1.210879
49.32515	-5.034516	49.31834	-4.80414	49.34678	-1.216343
48.31772	-5.012189	48.32651	-4.774501	48.34898	-1.219546
47.3413	-4.993454	47.34024	-4.74799	47.34936	-1.222404
46.34605	-4.975677	46.33267	-4.727782	46.31298	-1.226436
45.32644	-4.956124	45.34218	-4.704623	45.2991	-1.230517
44.33042	-4.937528	44.33294	-4.678967	44.29912	-1.235514
43.29543	-4.91808	43.33548	-4.652364	43.2958	-1.240392
42.28536	-4.899073	42.33547	-4.624653	42.26449	-1.243842
41.26908	-4.879396	41.32811	-4.596626	41.26738	-1.247993
40.27305	-4.858232	40.32724	-4.568491	40.26382	-1.251566
39.27923	-4.837696	39.29038	-4.537436	39.26607	-1.25509
38.28883	-4.816746	38.28917	-4.509295	38.29701	-1.258629
37.31158	-4.795821	37.30429	-4.480254	37.30072	-1.261651
36.28621	-4.778121	36.31493	-4.452513	36.29935	-1.264066
35.31333	-4.758517	35.32754	-4.427476	35.2884	-1.268331
34.29962	-4.737983	34.31762	-4.399536	34.28918	-1.273266
33.27687	-4.71771	33.29314	-4.372367	33.26818	-1.277386
32.30624	-4.693993	32.28242	-4.344705	32.28019	-1.283509
31.27945	-4.670603	31.2945	-4.314123	31.30397	-1.287416
30.30034	-4.648646	30.30115	-4.283791	30.32026	-1.290377
29.33399	-4.62617	29.30642	-4.256732	29.33194	-1.293017
28.32638	-4.606928	28.29869	-4.229718	28.329	-1.294953
27.33301	-4.587708	27.30795	-4.205601	27.33714	-1.297948
26.3195	-4.568091	26.31233	-4.183807	26.32747	-1.30214
25.30268	-4.550114	25.32815	-4.155959	25.3475	-1.306423
24.31039	-4.53031	24.34098	-4.12895	24.36511	-1.31008
23.31273	-4.512517	23.32751	-4.101511	23.36551	-1.314121
22.32656	-4.493904	22.32714	-4.073105	22.35167	-1.317137
21.34489	-4.473414	21.33365	-4.048193	21.34534	-1.320409
20.34647	-4.453884	20.33683	-4.023864	20.32601	-1.324268
19.35815	-4.433017	19.33879	-3.99809	19.32122	-1.326082
18.35436	-4.41182	18.3595	-3.970191	18.34514	-1.328974
17.33896	-4.393989	17.35388	-3.943846	17.34025	-1.332822
16.32388	-4.375228	16.37159	-3.916986	16.34288	-1.336583
15.31406	-4.355876	15.37359	-3.890539	15.32767	-1.341167
14.32443	-4.337495	14.35055	-3.867247	14.32988	-1.346477
13.3361	-4.315921	13.37071	-3.842067	13.33211	-1.350752
12.32578	-4.292715	12.37945	-3.815681	12.34412	-1.35479
11.34235	-4.271754	11.38785	-3.793953	11.37061	-1.357734
10.32754	-4.251161	10.40224	-3.770144	10.37547	-1.359171
9.33068	-4.233284	9.378507	-3.748964	9.38743	-1.360833
8.362903	-4.216624	8.36144	-3.729271	8.393496	-1.362408
7.343974	-4.199042	7.347597	-3.706956	7.387496	-1.365108
6.33068	-4.181619	6.350821	-3.68431	6.386333	-1.368433
5.317103	-4.159828	5.375199	-3.658609	5.386865	-1.372096
4.306368	-4.142576	4.388527	-3.633744	4.377276	-1.377467
3.308794	-4.123434	3.402868	-3.609816	3.377659	-1.381976
2.336313	-4.102567	2.422444	-3.58766	2.384688	-1.386104
1.349242	-4.085657	1.418738	-3.568769	1.381547	-1.389242
0.370031	-4.064435	0.407671	-3.54669	0.408286	-1.391319
-0.597979	-4.045764	-0.570593	-3.523488	-0.58314	-1.394875
-1.565042	-4.024339	-1.553327	-3.498038	-1.546663	-1.397398
-2.561088	-4.006133	-2.523747	-3.474585	-2.514242	-1.401403
-3.534731	-3.987379	-3.484861	-3.453252	-3.494051	-1.40591
-4.528832	-3.968161	-4.465402	-3.432377	-4.475356	-1.409889
-5.527652	-3.953881	-5.479078	-3.411995	-5.477516	-1.414561
-6.514042	-3.936115	-6.482684	-3.388944	-6.467462	-1.418233
-7.500648	-3.916939	-7.469174	-3.366963	-7.458273	-1.419858
-8.490611	-3.899091	-8.479344	-3.346105	-8.468344	-1.422667
-9.494367	-3.880915	-9.4942	-3.326915	-9.473694	-1.425164
-10.46944	-3.861213	-10.48865	-3.306881	-10.48862	-1.427544
-11.4934	-3.845863	-11.50005	-3.288126	-11.50655	-1.430741
-12.49171	-3.82919	-12.50017	-3.268125	-12.4823	-1.433408
-13.48476	-3.811937	-13.46063	-3.246898	-13.47732	-1.437693
-14.50986	-3.797358	-14.459	-3.229209	-14.47717	-1.442306
-15.50839	-3.780849	-15.48111	-3.210567	-15.47909	-1.446604
-16.52117	-3.764204	-16.48878	-3.191079	-16.50907	-1.449412
-17.53448	-3.745881	-17.50987	-3.172151	-17.49221	-1.450454
