Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au CNEA Calcinado Ciclo 0 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM
-85.82605	0.436733	-85.7113	0.551845
-84.80737	0.436202	-84.73981	0.552976
-83.80768	0.435578	-83.75753	0.552714
-82.78904	0.43391	-82.76375	0.553979
-81.7891	0.432349	-81.76971	0.555172
-80.77795	0.430991	-80.74773	0.558483
-79.77385	0.427354	-79.73531	0.560098
-78.7966	0.426041	-78.73712	0.561958
-77.77213	0.426581	-77.73663	0.566523
-76.79015	0.425339	-76.76152	0.567819
-75.79826	0.426305	-75.76943	0.57075
-74.79161	0.427589	-74.76395	0.574989
-73.79786	0.425931	-73.7728	0.573815
-72.80675	0.425127	-72.77142	0.576272
-71.7948	0.425849	-71.78327	0.577978
-70.80588	0.424701	-70.79807	0.578526
-69.82776	0.424758	-69.79386	0.582765
-68.82904	0.424702	-68.77884	0.584914
-67.82806	0.423779	-67.75473	0.588877
-66.82102	0.422161	-66.7391	0.592627
-65.80663	0.420905	-65.74181	0.595635
-64.80186	0.420656	-64.74677	0.5992
-63.80323	0.419065	-63.77174	0.600235
-62.79519	0.418803	-62.77391	0.603956
-61.78556	0.419378	-61.75886	0.61009
-60.76891	0.417965	-60.75055	0.611513
-59.7659	0.419893	-59.7318	0.614004
-58.77154	0.422241	-58.72291	0.61615
-57.76708	0.422072	-57.71693	0.614792
-56.77004	0.422775	-56.71989	0.618151
-55.76677	0.420541	-55.71733	0.623411
-54.74721	0.418336	-54.71505	0.626625
-53.7564	0.417602	-53.70898	0.629571
-52.76642	0.416091	-52.71063	0.631759
-51.78207	0.415601	-51.71625	0.63273
-50.79005	0.415002	-50.72429	0.635362
-49.78106	0.414177	-49.75156	0.6411
-48.76974	0.416095	-48.74086	0.648254
-47.76549	0.416017	-47.72213	0.651522
-46.7782	0.41666	-46.72942	0.653691
-45.78275	0.417291	-45.7224	0.655116
-44.78515	0.41588	-44.74305	0.654267
-43.77805	0.415542	-43.75023	0.657108
-42.74819	0.414111	-42.75123	0.661052
-41.74797	0.412675	-41.74585	0.663247
-40.75992	0.412382	-40.74615	0.666885
-39.78349	0.412276	-39.7674	0.670602
-38.80447	0.412647	-38.77476	0.674153
-37.82021	0.41419	-37.77616	0.679359
-36.79625	0.415654	-36.77556	0.684263
-35.77114	0.41619	-35.76288	0.688785
-34.77632	0.416571	-34.74867	0.691514
-33.75887	0.416012	-33.74109	0.693016
-32.77627	0.414808	-32.72481	0.696226
