Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
-176.5644	-2.062758	-176.5315	-1.542231	-176.4804	-1.929366	-223.7954	-0.180834	-223.7941	0.371355	-223.7692	0.513456
-177.5781	-2.060963	-177.5136	-1.541201	-177.4829	-1.932235	-222.8111	-0.164964	-222.7952	0.432531	-222.777	0.575477
-178.5537	-2.059224	-178.49	-1.539088	-178.5033	-1.93471	-221.7753	-0.147757	-221.7796	0.499266	-221.7738	0.645504
-179.5545	-2.057057	-179.4845	-1.536374	-179.5099	-1.938566	-220.7549	-0.130813	-220.7604	0.557683	-220.779	0.705599
-180.538	-2.053174	-180.4461	-1.534549	-180.5072	-1.942622	-219.7769	-0.113784	-219.7553	0.622645	-219.7638	0.765276
-181.5308	-2.050013	-181.4518	-1.533793	-181.502	-1.945624	-218.7467	-0.095757	-218.7454	0.6893	-218.7403	0.828094
-182.5246	-2.04703	-182.4552	-1.532687	-182.4989	-1.948791	-217.7541	-0.079615	-217.746	0.750438	-217.7596	0.882593
-183.5273	-2.043128	-183.4491	-1.531707	-183.4987	-1.951079	-216.7496	-0.063267	-216.7534	0.82333	-216.7582	0.948199
-184.5522	-2.040979	-184.4675	-1.530521	-184.4953	-1.952806	-215.7479	-0.045799	-215.7663	0.894892	-215.7536	1.015556
-185.5356	-2.037606	-185.4762	-1.5284	-185.4791	-1.955515	-214.7598	-0.028561	-214.7622	0.963609	-214.7547	1.082185
-186.5374	-2.032948	-186.465	-1.526413	-186.4652	-1.958591	-213.7683	-0.009882	-213.7677	1.038424	-213.7144	1.150888
-187.5361	-2.029802	-187.4699	-1.526648	-187.4662	-1.962375	-212.7751	0.009888	-212.7677	1.107895	-212.714	1.219507
-188.5157	-2.026664	-188.4685	-1.524999	-188.4746	-1.966233	-211.7637	0.028237	-211.7338	1.175859	-211.7288	1.287528
-189.5345	-2.022925	-189.4768	-1.523402	-189.4961	-1.969331	-210.7716	0.046546	-210.726	1.248453	-210.724	1.35903
-190.536	-2.020406	-190.5014	-1.52151	-190.5082	-1.972092	-209.7506	0.063929	-209.7217	1.322047	-209.7313	1.43226
-191.533	-2.016389	-191.5226	-1.518074	-191.5064	-1.974195	-208.749	0.08146	-208.7007	1.401538	-208.7172	1.508698
-192.5362	-2.012233	-192.5294	-1.516792	-192.5079	-1.976475	-207.7419	0.099157	-207.7203	1.477699	-207.7177	1.579483
-193.5381	-2.008846	-193.5051	-1.517571	-193.5007	-1.977334	-206.7298	0.116585	-206.7324	1.554561	-206.7296	1.64503
-194.5576	-2.006725	-194.4907	-1.52005	-194.4968	-1.980167	-205.7604	0.134661	-205.7325	1.633297	-205.7108	1.717396
-195.5563	-2.005556	-195.468	-1.522732	-195.4974	-1.982709	-204.7651	0.15232	-204.7375	1.701936	-204.7247	1.779289
-196.5469	-2.004388	-196.4541	-1.524408	-196.4861	-1.98474	-203.7603	0.170773	-203.7374	1.778642	-203.7336	1.856701
-197.5659	-2.004245	-197.4682	-1.524979	-197.4711	-1.988396	-202.77	0.190003	-202.7421	1.851715	-202.7395	1.937862
-198.5671	-2.002329	-198.4552	-1.525668	-198.4799	-1.990316	-201.7657	0.209844	-201.7487	1.920381	-201.76	2.010843
-199.1373	-1.964996	-199.0226	-1.500354	-199.0337	-1.987629	-200.753	0.229514	-200.7616	1.996461	-200.7545	2.089172
-199.2059	-1.915309	-199.1047	-1.467552	-199.1116	-1.980995	-199.7571	0.248522	-199.7857	2.073328	-199.7415	2.160243
-198.7403	-1.856421	-198.6605	-1.427197	-198.6796	-1.971521	-198.7579	0.267553	-198.7768	2.150304	-198.7516	2.227515
-197.7879	-1.791345	-197.7429	-1.377986	-197.7443	-1.959377	-197.752	0.286183	-197.7934	2.234487	-197.7892	2.302842
-196.7872	-1.75506	-196.7369	-1.348858	-196.7471	-1.950094	-196.7699	0.304501	-196.7923	2.31851	-196.7887	2.38081
-195.7835	-1.725162	-195.7323	-1.319214	-195.7338	-1.942991	-195.7802	0.323515	-195.7778	2.403645	-195.7884	2.461899
-194.7882	-1.697901	-194.7215	-1.292117	-194.7341	-1.936201	-194.7813	0.342567	-194.7766	2.486802	-194.7755	2.543023
-193.7988	-1.669792	-193.7252	-1.268465	-193.7315	-1.928762	-193.7958	0.361572	-193.7641	2.565308	-193.747	2.617943
-192.8165	-1.644968	-192.7392	-1.246394	-192.7364	-1.920394	-192.7984	0.381314	-192.766	2.644107	-192.7534	2.692001
-191.8098	-1.622136	-191.7309	-1.228106	-191.7572	-1.911679	-191.7992	0.401968	-191.7657	2.71566	-191.76	2.762084
-190.8043	-1.602407	-190.7471	-1.209093	-190.7685	-1.903021	-190.8277	0.422596	-190.7932	2.793332	-190.7682	2.835289
-189.7776	-1.584741	-189.7365	-1.191096	-189.764	-1.894808	-189.7951	0.443428	-189.7953	2.876407	-189.7784	2.915504
-188.7485	-1.569442	-188.7412	-1.173762	-188.7612	-1.887188	-188.7977	0.463	-188.8097	2.952917	-188.8116	2.983899
-187.7805	-1.552618	-187.7637	-1.154791	-187.7493	-1.878868	-187.7987	0.481712	-187.8188	3.032894	-187.801	3.055598
-186.7958	-1.536397	-186.7519	-1.136867	-186.74	-1.870432	-186.7753	0.500625	-186.7819	3.111844	-186.7962	3.129175
-185.8135	-1.521998	-185.7786	-1.118794	-185.7434	-1.86154	-185.8192	0.518593	-185.7921	3.181527	-185.7964	3.194617
-184.8219	-1.504434	-184.7694	-1.09909	-184.7438	-1.854268	-184.8069	0.537666	-184.7822	3.259713	-184.785	3.274402
-183.8034	-1.489922	-183.7591	-1.082764	-183.7285	-1.847918	-183.8096	0.557245	-183.7668	3.339884	-183.7809	3.354357
-182.8053	-1.474624	-182.7741	-1.066403	-182.7286	-1.842379	-182.806	0.577086	-182.7898	3.413723	-182.769	3.425198
-181.8013	-1.458766	-181.7532	-1.051418	-181.726	-1.836781	-181.7779	0.598206	-181.7689	3.496871	-181.7742	3.496826
-180.8085	-1.443031	-180.7581	-1.04003	-180.72	-1.830106	-180.7744	0.618631	-180.7697	3.568615	-180.7584	3.559287
-179.8175	-1.429234	-179.759	-1.026453	-179.7432	-1.822725	-179.7917	0.638565	-179.7741	3.63613	-179.788	3.615435
-178.8237	-1.415023	-178.7611	-1.014708	-178.7444	-1.815143	-178.8026	0.657728	-178.7828	3.703995	-178.7943	3.674352
-177.8284	-1.401026	-177.7643	-1.00102	-177.739	-1.808417	-177.7982	0.675514	-177.8098	3.764096	-177.7943	3.733883
-176.8192	-1.388675	-176.7576	-0.985759	-176.7702	-1.801531	-176.81	0.694359	-176.8208	3.828396	-176.8044	3.799822
-175.8214	-1.371647	-175.7661	-0.971813	-175.7698	-1.795757	-175.8084	0.713286	-175.8296	3.887523	-175.7885	3.861145
-174.808	-1.359472	-174.7763	-0.956235	-174.8005	-1.789	-174.8205	0.731745	-174.8398	3.946984	-174.8234	3.924903
-173.8377	-1.346015	-173.7755	-0.941586	-173.8132	-1.781976	-173.8347	0.751084	-173.8274	4.010672	-173.8099	3.991993
-172.85	-1.334082	-172.7723	-0.928428	-172.8122	-1.77553	-172.8447	0.769798	-172.8343	4.067417	-172.8101	4.046763
-171.8462	-1.323104	-171.7664	-0.916005	-171.786	-1.76816	-171.847	0.788615	-171.8449	4.135457	-171.8229	4.107149
-170.8569	-1.310062	-170.7618	-0.90373	-170.7704	-1.763168	-170.8196	0.808288	-170.8335	4.203945	-170.7964	4.166173
-169.8174	-1.300947	-169.774	-0.890049	-169.7472	-1.758064	-169.8259	0.827955	-169.8406	4.259728	-169.8108	4.211483
-168.7958	-1.28792	-168.7746	-0.87709	-168.7341	-1.752617	-168.8194	0.847691	-168.8342	4.317559	-168.8006	4.257331
-167.7862	-1.278116	-167.7639	-0.864787	-167.747	-1.747682	-167.7871	0.866373	-167.8125	4.363618	-167.8116	4.301048
-166.7845	-1.267075	-166.7629	-0.855333	-166.7441	-1.741079	-166.7847	0.884921	-166.8309	4.399776	-166.8175	4.337496
-165.8061	-1.256165	-165.7545	-0.847419	-165.7714	-1.734952	-165.7811	0.902452	-165.8308	4.442602	-165.8196	4.380569
-164.8232	-1.247121	-164.7574	-0.836908	-164.7585	-1.728041	-164.7715	0.920144	-164.8291	4.485624	-164.8484	4.426992
-163.8215	-1.234378	-163.7451	-0.8272	-163.7681	-1.721413	-163.7817	0.939156	-163.8415	4.529334	-163.8478	4.473218
-162.8054	-1.224983	-162.7372	-0.816572	-162.7859	-1.715904	-162.8064	0.958734	-162.8257	4.573628	-162.8379	4.515237
-161.7891	-1.213333	-161.7252	-0.805683	-161.7771	-1.710002	-161.816	0.977604	-161.8298	4.616139	-161.8396	4.552102
-160.7992	-1.201165	-160.7256	-0.795598	-160.7896	-1.704983	-160.8207	0.996353	-160.8196	4.657803	-160.8196	4.587682
-159.7996	-1.192954	-159.752	-0.785322	-159.7891	-1.701064	-159.8115	1.01448	-159.8377	4.693223	-159.8058	4.614119
-158.7933	-1.181153	-158.7519	-0.774546	-158.7588	-1.695986	-158.8011	1.031773	-158.8277	4.730392	-158.8107	4.644764
-157.7706	-1.17059	-157.743	-0.762754	-157.7565	-1.691389	-157.7868	1.050353	-157.8082	4.768219	-157.792	4.679689
-156.7564	-1.162101	-156.7258	-0.751511	-156.7483	-1.686109	-156.7894	1.067446	-156.8145	4.790609	-156.7994	4.700778
-155.7672	-1.151239	-155.716	-0.741337	-155.7465	-1.680472	-155.7938	1.083833	-155.8096	4.813457	-155.8148	4.721276
-154.7616	-1.141597	-154.7069	-0.732282	-154.7582	-1.67456	-154.7883	1.100605	-154.8267	4.834159	-154.806	4.741403
-153.8021	-1.13374	-153.7395	-0.726343	-153.7658	-1.669443	-153.7915	1.117218	-153.8412	4.841508	-153.8304	4.749739
-152.8064	-1.124481	-152.7632	-0.719778	-152.7534	-1.664357	-152.7924	1.134933	-152.8489	4.859716	-152.8238	4.766587
-151.7855	-1.116329	-151.7566	-0.710121	-151.752	-1.657651	-151.7877	1.154425	-151.8505	4.880683	-151.7924	4.78483
-150.8037	-1.108525	-150.7762	-0.700752	-150.755	-1.65262	-150.7904	1.172467	-150.8472	4.895831	-150.7991	4.794209
-149.8017	-1.099451	-149.7499	-0.691314	-149.7274	-1.646374	-149.8047	1.190609	-149.8341	4.911738	-149.7812	4.803584
-148.8136	-1.090578	-148.7661	-0.683013	-148.7512	-1.639321	-148.8036	1.208022	-148.8405	4.923929	-148.7856	4.808091
-147.8297	-1.082328	-147.769	-0.675667	-147.7551	-1.634088	-147.8205	1.224053	-147.8243	4.928687	-147.8038	4.811322
-146.8474	-1.075701	-146.7816	-0.669024	-146.7507	-1.629145	-146.8218	1.240581	-146.8371	4.930257	-146.8193	4.817354
-145.8312	-1.067191	-145.8155	-0.660654	-145.7684	-1.625861	-145.8145	1.256661	-145.8586	4.933072	-145.8188	4.82338
-144.8177	-1.058377	-144.783	-0.650921	-144.754	-1.623617	-144.8104	1.273775	-144.834	4.941276	-144.8092	4.83511
-143.815	-1.048652	-143.7542	-0.642189	-143.7623	-1.620655	-143.7946	1.291092	-143.8391	4.942905	-143.814	4.83652
-142.8064	-1.035758	-142.7296	-0.632821	-142.7714	-1.615169	-142.8006	1.308428	-142.83	4.943648	-142.8019	4.833399
-141.797	-1.026047	-141.7089	-0.623841	-141.7755	-1.60749	-141.7816	1.325856	-141.8145	4.947657	-141.8043	4.832162
-140.804	-1.020452	-140.739	-0.616954	-140.7738	-1.60014	-140.7922	1.342825	-140.8225	4.936238	-140.7953	4.81918
-139.8143	-1.015082	-139.7848	-0.61039	-139.7702	-1.593702	-139.8084	1.358376	-139.8425	4.929796	-139.7978	4.80945
-138.8094	-1.010157	-138.7979	-0.60207	-138.7618	-1.589074	-138.796	1.374477	-138.84	4.927863	-138.7871	4.803713
-137.834	-1.005028	-137.7981	-0.596282	-137.7686	-1.585808	-137.8123	1.390488	-137.8519	4.912379	-137.7929	4.788663
-136.8434	-0.996586	-136.7841	-0.587565	-136.7855	-1.58165	-136.8122	1.406485	-136.8535	4.900741	-136.8046	4.777712
-135.8391	-0.988285	-135.7628	-0.578294	-135.7746	-1.575251	-135.8234	1.422855	-135.8421	4.887772	-135.798	4.767609
-134.8515	-0.980242	-134.7514	-0.571111	-134.7747	-1.569531	-134.8386	1.438274	-134.8422	4.869399	-134.8067	4.753391
-133.8426	-0.970149	-133.7297	-0.562112	-133.7676	-1.563219	-133.8404	1.454308	-133.8491	4.856031	-133.7878	4.743546
-132.8211	-0.961625	-132.7142	-0.553892	-132.7505	-1.558311	-132.84	1.470206	-132.8527	4.844819	-132.7818	4.731569
-131.7984	-0.952147	-131.7137	-0.546533	-131.7325	-1.554385	-131.824	1.487029	-131.8336	4.833524	-131.7817	4.718151
-130.7734	-0.943346	-130.7077	-0.537431	-130.7252	-1.549639	-130.813	1.503748	-130.8206	4.817687	-130.7706	4.698617
-129.7705	-0.937241	-129.7358	-0.529914	-129.7275	-1.545959	-129.8134	1.52009	-129.8058	4.795836	-129.8013	4.673313
-128.7758	-0.931339	-128.7541	-0.524782	-128.7292	-1.541273	-128.8105	1.53595	-128.8033	4.774602	-128.8328	4.65015
-127.7924	-0.926674	-127.7888	-0.518719	-127.7537	-1.536741	-127.8216	1.550751	-127.8188	4.747333	-127.8252	4.625683
-126.8079	-0.921999	-126.8007	-0.512882	-126.7716	-1.531741	-126.8463	1.566274	-126.8361	4.722141	-126.8487	4.605425
-125.7953	-0.914671	-125.8041	-0.506343	-125.7782	-1.526036	-125.8467	1.582745	-125.8534	4.703883	-125.8214	4.591343
-124.8138	-0.908043	-124.8116	-0.498437	-124.7961	-1.521318	-124.8611	1.598858	-124.8745	4.678151	-124.8148	4.56962
-123.8243	-0.900724	-123.7892	-0.49139	-123.7912	-1.515751	-123.8792	1.615	-123.8845	4.653902	-123.815	4.548121
-122.8221	-0.892312	-122.7821	-0.483605	-122.7776	-1.510885	-122.8752	1.631012	-122.8662	4.633321	-122.8132	4.525702
-121.8215	-0.884674	-121.784	-0.476675	-121.7802	-1.507695	-121.895	1.645921	-121.8568	4.607986	-121.8258	4.495219
-120.7879	-0.875536	-120.7806	-0.47232	-120.7783	-1.503325	-120.893	1.66154	-120.8304	4.587307	-120.8202	4.471273
-119.7793	-0.868651	-119.7895	-0.463849	-119.7984	-1.499651	-119.8716	1.678334	-119.8264	4.566614	-119.8329	4.445417
-118.7424	-0.861902	-118.7978	-0.458055	-118.7962	-1.494672	-118.8393	1.695021	-118.8385	4.541758	-118.8289	4.418609
-117.7571	-0.855778	-117.7898	-0.451163	-117.7753	-1.487883	-117.8174	1.709679	-117.8301	4.514116	-117.8294	4.39296
-116.7675	-0.849919	-116.7693	-0.443897	-116.7686	-1.482908	-116.8194	1.723584	-116.8314	4.482575	-116.8152	4.36455
-115.7729	-0.843156	-115.766	-0.440223	-115.7457	-1.478167	-115.8299	1.73641	-115.8331	4.451354	-115.8097	4.337901
-114.8089	-0.837094	-114.7748	-0.435108	-114.7538	-1.475016	-114.8589	1.749018	-114.8282	4.421171	-114.8025	4.312629
-113.8116	-0.831636	-113.7799	-0.429488	-113.7796	-1.471548	-113.852	1.762912	-113.8253	4.391767	-113.8093	4.288656
-112.8192	-0.82435	-112.778	-0.421493	-112.7884	-1.467174	-112.84	1.77997	-112.8176	4.368788	-112.7939	4.267351
-111.8049	-0.816461	-111.7584	-0.414146	-111.7884	-1.4633	-111.8244	1.794679	-111.8045	4.343057	-111.7757	4.241919
-110.7936	-0.810418	-110.7369	-0.408259	-110.7939	-1.458515	-110.8125	1.809309	-110.8057	4.317039	-110.7825	4.215038
-109.7849	-0.802361	-109.7093	-0.403279	-109.7678	-1.453833	-109.8101	1.825416	-109.7971	4.293073	-109.7703	4.189727
-108.7836	-0.796142	-108.7138	-0.399829	-108.7558	-1.449725	-108.8067	1.838465	-108.8112	4.262855	-108.8027	4.161347
-107.7695	-0.790008	-107.7164	-0.394513	-107.7562	-1.445656	-107.8204	1.854321	-107.7986	4.235962	-107.8204	4.136949
-106.7663	-0.782056	-106.7249	-0.385324	-106.7354	-1.441564	-106.8247	1.870047	-106.7673	4.210785	-106.8063	4.113104
-105.7582	-0.773593	-105.7368	-0.37863	-105.7212	-1.437728	-105.8383	1.88457	-105.7754	4.181664	-105.7984	4.085154
-104.7337	-0.766242	-104.7193	-0.37159	-104.7001	-1.432746	-104.8341	1.899208	-104.7638	4.154171	-104.7621	4.059133
-103.7413	-0.760448	-103.7078	-0.367163	-103.6905	-1.428766	-103.8151	1.913538	-103.7733	4.123547	-103.7599	4.031524
-102.7387	-0.756173	-102.7014	-0.366329	-102.6861	-1.423721	-102.8028	1.928158	-102.8102	4.089791	-102.7469	4.002511
-101.7469	-0.753789	-101.6927	-0.36283	-101.7171	-1.418855	-101.8105	1.942762	-101.8059	4.061008	-101.7523	3.97713
-100.7573	-0.75012	-100.7114	-0.360063	-100.7425	-1.414357	-100.8193	1.957392	-100.8113	4.033088	-100.7712	3.95121
-99.76833	-0.744847	-99.73606	-0.354913	-99.7463	-1.407857	-99.82556	1.972683	-99.80552	4.00606	-99.76311	3.925124
-98.77246	-0.737698	-98.72647	-0.348832	-98.75179	-1.403297	-98.83804	1.986586	-98.80642	3.980533	-98.78071	3.898825
-97.78107	-0.731894	-97.74715	-0.342288	-97.73814	-1.398336	-97.82535	1.999771	-97.81205	3.950168	-97.78976	3.871668
-96.78391	-0.725848	-96.75482	-0.335099	-96.72333	-1.3953	-96.83035	2.01333	-96.81968	3.921881	-96.78893	3.847427
-95.79474	-0.720206	-95.75554	-0.327764	-95.73622	-1.392887	-95.84888	2.025925	-95.84519	3.893751	-95.80175	3.824457
-94.80261	-0.714535	-94.78398	-0.318896	-94.73963	-1.389012	-94.84792	2.039689	-94.8553	3.868853	-94.8463	3.80245
-93.79549	-0.704725	-93.76616	-0.311999	-93.75746	-1.38538	-93.83668	2.054574	-93.84949	3.848795	-93.84012	3.782217
-92.80283	-0.695996	-92.76879	-0.308043	-92.76076	-1.380459	-92.85335	2.068471	-92.85587	3.825413	-92.83891	3.758607
-91.78889	-0.689939	-91.76861	-0.304313	-91.75058	-1.375823	-91.84828	2.082554	-91.83038	3.80228	-91.81398	3.73677
-90.76787	-0.68472	-90.74822	-0.30195	-90.75345	-1.371757	-90.85168	2.097889	-90.81661	3.777167	-90.76753	3.715061
-89.77286	-0.682805	-89.7624	-0.299939	-89.75414	-1.366638	-89.85732	2.111109	-89.83224	3.747979	-89.76682	3.688782
-88.76258	-0.678544	-88.74897	-0.294491	-88.76808	-1.361677	-88.84483	2.124247	-88.83624	3.724273	-88.78755	3.664683
-87.75954	-0.672329	-87.74101	-0.289424	-87.76962	-1.355699	-87.83558	2.136743	-87.83708	3.70056	-87.80182	3.639684
-86.78876	-0.666486	-86.75455	-0.285679	-86.77402	-1.34962	-86.83286	2.146936	-86.85063	3.675214	-86.81336	3.614411
-85.78918	-0.660607	-85.74995	-0.278893	-85.75529	-1.343799	-85.83376	2.157922	-85.8527	3.652998	-85.83211	3.59266
-84.80678	-0.655504	-84.75788	-0.272253	-84.75201	-1.338313	-84.84628	2.16862	-84.86018	3.628249	-84.81526	3.571859
-83.82968	-0.650296	-83.75282	-0.266419	-83.75513	-1.33465	-83.84967	2.180426	-83.8662	3.605722	-83.82257	3.550967
-82.81564	-0.644771	-82.74689	-0.258343	-82.76137	-1.331003	-82.84151	2.193595	-82.85871	3.585473	-82.80423	3.530552
-81.81393	-0.637386	-81.73302	-0.251873	-81.78099	-1.328702	-81.84351	2.207312	-81.86342	3.565703	-81.78078	3.509908
-80.79035	-0.629954	-80.73362	-0.246037	-80.75842	-1.3255	-80.80074	2.221272	-80.83992	3.548132	-80.75962	3.49077
-79.78139	-0.624952	-79.74777	-0.24205	-79.74345	-1.321208	-79.79424	2.233771	-79.84562	3.526078	-79.75872	3.468161
-78.79272	-0.62019	-78.74983	-0.238792	-78.74606	-1.316152	-78.81821	2.245127	-78.8521	3.504119	-78.79038	3.447868
-77.78145	-0.616938	-77.76526	-0.235167	-77.73179	-1.310622	-77.83141	2.25712	-77.84525	3.48146	-77.80082	3.429479
-76.81732	-0.615568	-76.77169	-0.231913	-76.74316	-1.30521	-76.8756	2.268631	-76.86425	3.455161	-76.84557	3.407454
-75.8185	-0.609641	-75.78683	-0.226622	-75.76956	-1.30049	-75.89479	2.281241	-75.87096	3.434089	-75.87387	3.391477
-74.80814	-0.603981	-74.79887	-0.220163	-74.77548	-1.296486	-74.8699	2.293564	-74.85988	3.415592	-74.86187	3.376189
-73.83789	-0.59941	-73.78136	-0.214814	-73.78485	-1.29155	-73.8578	2.304344	-73.85522	3.395733	-73.87129	3.359085
-72.81087	-0.592302	-72.78167	-0.208467	-72.81222	-1.286727	-72.86139	2.314659	-72.85416	3.381547	-72.86219	3.34456
-71.80801	-0.587021	-71.75684	-0.202201	-71.78835	-1.282134	-71.85345	2.324761	-71.85928	3.367887	-71.84538	3.326463
-70.79971	-0.581338	-70.74184	-0.199265	-70.77496	-1.27735	-70.87373	2.334662	-70.86284	3.351455	-70.86112	3.309518
-69.77618	-0.57413	-69.76144	-0.192669	-69.76403	-1.273339	-69.88824	2.345008	-69.86697	3.337539	-69.86461	3.296031
-68.78289	-0.569144	-68.77148	-0.186352	-68.73534	-1.268317	-68.86172	2.35602	-68.84155	3.320752	-68.85328	3.281913
-67.76938	-0.563507	-67.76482	-0.180891	-67.74686	-1.263128	-67.84439	2.366118	-67.82799	3.302959	-67.85053	3.269116
-66.79093	-0.55749	-66.77583	-0.176144	-66.73814	-1.258451	-66.82157	2.37616	-66.82997	3.284984	-66.82521	3.253445
-65.81835	-0.553737	-65.78694	-0.173793	-65.75113	-1.254994	-65.82584	2.385418	-65.84504	3.265872	-65.8168	3.234686
-64.80891	-0.549461	-64.77647	-0.1708	-64.75389	-1.252385	-64.83339	2.394917	-64.84873	3.24941	-64.83968	3.216433
-63.8292	-0.547689	-63.77777	-0.167565	-63.77638	-1.248747	-63.84447	2.404107	-63.85737	3.231503	-63.83401	3.199224
-62.83276	-0.545073	-62.78239	-0.161333	-62.79881	-1.244723	-62.87991	2.414128	-62.85895	3.2172	-62.83752	3.1837
-61.81579	-0.538886	-61.76387	-0.154527	-61.77853	-1.239343	-61.8643	2.424236	-61.83104	3.206346	-61.83083	3.174132
-60.83035	-0.53353	-60.75216	-0.148708	-60.78342	-1.234457	-60.86893	2.432772	-60.83475	3.191639	-60.80999	3.164581
-59.81641	-0.526266	-59.74284	-0.144315	-59.7632	-1.230707	-59.85511	2.4412	-59.83282	3.179938	-59.81612	3.152862
-58.78349	-0.520174	-58.73804	-0.139757	-58.74378	-1.226849	-58.82257	2.448128	-58.81546	3.168271	-58.81936	3.139401
-57.77731	-0.516457	-57.73978	-0.135804	-57.76042	-1.22464	-57.83577	2.454606	-57.83286	3.151748	-57.83257	3.119308
-56.75914	-0.510688	-56.73882	-0.129453	-56.75449	-1.220951	-56.82855	2.462247	-56.8344	3.142199	-56.8414	3.103736
-55.75605	-0.502571	-55.74281	-0.122389	-55.74594	-1.215829	-55.83229	2.469702	-55.83211	3.133005	-55.83847	3.090715
-54.77252	-0.49666	-54.71279	-0.118085	-54.74048	-1.211272	-54.83274	2.477732	-54.83037	3.120777	-54.83478	3.075758
-53.78177	-0.491513	-53.70044	-0.115716	-53.74176	-1.204984	-53.8403	2.485111	-53.8233	3.110287	-53.82287	3.063517
-52.79277	-0.488649	-52.70757	-0.113948	-52.75302	-1.200458	-52.83762	2.491876	-52.82199	3.09637	-52.8288	3.047845
-51.8025	-0.488376	-51.71643	-0.110624	-51.75583	-1.196922	-51.83977	2.498125	-51.81285	3.082538	-51.84457	3.03159
-50.80581	-0.485446	-50.73692	-0.10635	-50.77905	-1.193261	-50.85307	2.50354	-50.80756	3.070586	-50.84371	3.020193
-49.79153	-0.480808	-49.75595	-0.101311	-49.78204	-1.192353	-49.84412	2.509265	-49.81157	3.058507	-49.84811	3.008572
-48.78535	-0.473153	-48.74615	-0.096708	-48.78712	-1.187549	-48.83448	2.513865	-48.82337	3.046697	-48.83352	2.998162
-47.7904	-0.467872	-47.74271	-0.0930960000000001	-47.79974	-1.182184	-47.85006	2.517681	-47.83643	3.034989	-47.80898	2.986811
-46.80808	-0.463744	-46.74089	-0.0886629999999999	-46.7976	-1.177861	-46.85173	2.520863	-46.86284	3.023525	-46.82844	2.97604
-45.81709	-0.459384	-45.71258	-0.0828160000000002	-45.79013	-1.170831	-45.84394	2.524587	-45.84677	3.015366	-45.82788	2.966604
-44.81637	-0.458515	-44.73795	-0.077588	-44.79061	-1.168026	-44.85815	2.527966	-44.84723	3.005845	-44.82309	2.955811
-43.81687	-0.452756	-43.74909	-0.071123	-43.79193	-1.164897	-43.86132	2.531921	-43.84172	2.998621	-43.83216	2.947206
-42.78806	-0.445186	-42.74259	-0.0644610000000001	-42.79975	-1.161863	-42.85546	2.536716	-42.82457	2.99282	-42.82938	2.939449
-41.76848	-0.440875	-41.75972	-0.0599959999999999	-41.79863	-1.159033	-41.86755	2.53987	-41.8382	2.982859	-41.84991	2.929131
-40.77394	-0.436366	-40.74271	-0.0562860000000001	-40.77986	-1.154397	-40.85986	2.544017	-40.8414	2.975852	-40.85886	2.920348
-39.76846	-0.432574	-39.74984	-0.0535480000000002	-39.77985	-1.1498	-39.84341	2.546715	-39.85017	2.966541	-39.8525	2.911953
-38.7798	-0.430401	-38.7495	-0.0510929999999998	-38.78284	-1.14463	-38.85483	2.548415	-38.854	2.954698	-38.81768	2.901028
-37.78613	-0.42612	-37.76823	-0.0461	-37.78717	-1.138681	-37.84005	2.550824	-37.86333	2.945887	-37.78727	2.891253
-36.79308	-0.420198	-36.76913	-0.0407389999999999	-36.78806	-1.13328	-36.85754	2.552228	-36.86736	2.936944	-36.78548	2.881064
-35.78877	-0.415883	-35.76648	-0.035355	-35.77134	-1.127635	-35.85996	2.553401	-35.85258	2.927773	-35.794	2.869151
-34.79901	-0.411313	-34.80077	-0.0288490000000001	-34.74375	-1.123124	-34.85723	2.554306	-34.8717	2.919477	-34.81543	2.857765
-33.8082	-0.405854	-33.77451	-0.0236169999999998	-33.75261	-1.120592	-33.87244	2.553758	-33.87645	2.912344	-33.82435	2.848803
-32.80045	-0.400854	-32.78724	-0.0189159999999999	-32.74205	-1.117784	-32.84299	2.553561	-32.8646	2.904136	-32.82501	2.840333
-31.79976	-0.396527	-31.77669	-0.0121720000000001	-31.74445	-1.116461	-31.85642	2.554927	-31.88605	2.894104	-31.83708	2.831909
-30.79263	-0.391013	-30.73961	-0.00749200000000005	-30.7541	-1.113207	-30.85773	2.555603	-30.87059	2.884306	-30.83186	2.825277
-29.75587	-0.384041	-29.73853	-0.00231100000000017	-29.74508	-1.109442	-29.81285	2.557198	-29.84632	2.875968	-29.83541	2.81883
-28.76477	-0.381698	-28.71505	0.00129800000000002	-28.76899	-1.105732	-28.81868	2.556914	-28.85313	2.867175	-28.83754	2.810976
-27.76196	-0.377748	-27.73724	0.00310900000000003	-27.76943	-1.100661	-27.81366	2.555143	-27.84442	2.859632	-27.80952	2.804708
