Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
161.2604	-3.710527	161.2343	-3.984955	161.2161	-0.604372	-561.5496	-2.583332	-561.5784	-3.894976	-561.5306	-5.14394
160.283	-3.772787	160.231	-4.05654	160.2238	-0.611683	-560.565	-2.578448	-560.5671	-3.878097	-560.549	-5.121543
159.2837	-3.835357	159.2346	-4.124328	159.2309	-0.620452	-559.5579	-2.572947	-559.5704	-3.86333	-559.5663	-5.098258
158.2852	-3.900497	158.2356	-4.193666	158.2318	-0.6269	-558.5734	-2.567834	-558.5665	-3.848331	-558.5475	-5.076171
157.2999	-3.96113	157.2592	-4.261478	157.2476	-0.632833	-557.5944	-2.561814	-557.5658	-3.833018	-557.5582	-5.055116
156.2847	-4.024139	156.262	-4.33188	156.2489	-0.641591	-556.6024	-2.556448	-556.5901	-3.820826	-556.5701	-5.036599
155.2771	-4.085593	155.2921	-4.403186	155.2302	-0.648172	-555.6031	-2.551381	-555.6003	-3.807078	-555.5626	-5.015985
154.2724	-4.145905	154.2988	-4.473831	154.2298	-0.655444	-554.5861	-2.545986	-554.5967	-3.792973	-554.5736	-4.994939
153.2629	-4.206408	153.2771	-4.54284	153.2508	-0.662803	-553.5859	-2.540804	-553.6116	-3.781182	-553.5581	-4.975209
152.2878	-4.26253	152.3065	-4.608873	152.27	-0.667716	-552.5747	-2.535918	-552.6031	-3.76714	-552.5593	-4.953928
151.2895	-4.321345	151.2888	-4.675902	151.2951	-0.674066	-551.5861	-2.531265	-551.5986	-3.753094	-551.567	-4.933506
150.3104	-4.377758	150.2836	-4.74052	150.2959	-0.680157	-550.6199	-2.527304	-550.6064	-3.73892	-550.5749	-4.913935
