Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Calcinado CIclo 5 RU 1mM	Au F127 INTI Calcinado CIclo 5 RU 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM
-472.525	-1.550616	-473.5846	-2.207726
-471.5047	-1.542352	-472.6005	-2.204746
-470.4907	-1.53297	-471.6022	-2.200274
-469.4896	-1.523329	-470.5963	-2.196201
-468.4698	-1.513434	-469.592	-2.191296
-467.4722	-1.504272	-468.6168	-2.186621
-466.487	-1.49577	-467.6387	-2.183262
-465.4901	-1.486633	-466.6349	-2.178771
-464.4774	-1.477901	-465.636	-2.174475
-463.4805	-1.46928	-464.5888	-2.170206
-462.5013	-1.460191	-463.5558	-2.166225
-461.5079	-1.45182	-462.5575	-2.163166
-460.5241	-1.443896	-461.5479	-2.159496
-459.5174	-1.435268	-460.5588	-2.156629
-458.4825	-1.426319	-459.5628	-2.152971
-457.4671	-1.417247	-458.5831	-2.148618
-456.4757	-1.407562	-457.6012	-2.144866
-455.4911	-1.398187	-456.6098	-2.140318
-454.5107	-1.390389	-455.6182	-2.135949
-453.5316	-1.382784	-454.601	-2.131908
-452.5331	-1.374857	-453.6039	-2.127558
-451.5283	-1.366525	-452.6083	-2.123577
-450.5199	-1.357461	-451.6211	-2.119515
-449.5112	-1.348391	-450.6296	-2.115967
-448.4824	-1.339886	-449.6351	-2.113187
-447.4877	-1.331061	-448.6482	-2.110583
-446.4993	-1.321944	-447.6577	-2.107872
-445.4715	-1.312764	-446.6317	-2.103954
-444.4873	-1.304167	-445.6198	-2.099314
-443.4843	-1.296646	-444.6129	-2.094435
-442.4659	-1.289073	-443.6084	-2.089871
-441.492	-1.281835	-442.6201	-2.08637
-440.4975	-1.273086	-441.6433	-2.083254
-439.4921	-1.26406	-440.6431	-2.079101
-438.5005	-1.254633	-439.6298	-2.074406
-437.4749	-1.24536	-438.6418	-2.06902
-436.4589	-1.236658	-437.6564	-2.06471
-435.4755	-1.227726	-436.6426	-2.0612
-434.4769	-1.219382	-435.6533	-2.057716
-433.5153	-1.210544	-434.6497	-2.054443
-432.5273	-1.201898	-433.6288	-2.049525
-431.5253	-1.193625	-432.6315	-2.044622
-430.5469	-1.184872	-431.6278	-2.041278
-429.5216	-1.176692	-430.6317	-2.037376
-428.536	-1.168662	-429.6292	-2.033283
-427.5361	-1.161037	-428.6495	-2.029731
-426.5007	-1.153057	-427.6417	-2.024959
-425.5123	-1.145187	-426.621	-2.020162
-424.4972	-1.137116	-425.6139	-2.015827
-423.495	-1.128392	-424.6005	-2.011641
-422.5143	-1.120385	-423.5976	-2.007012
-421.5344	-1.111934	-422.6109	-2.003345
-420.5392	-1.10383	-421.6016	-2.000097
-419.5422	-1.095915	-420.5847	-1.996063
-418.5411	-1.088012	-419.5922	-1.991678
-417.5241	-1.080119	-418.5872	-1.987628
-416.5197	-1.072045	-417.61	-1.982451
-415.5139	-1.063813	-416.6296	-1.977123
-414.4953	-1.055226	-415.6373	-1.972379
-413.4563	-1.04665	-414.6258	-1.966318
-412.442	-1.03835	-413.5706	-1.960706
-411.4358	-1.02999	-412.5503	-1.956208
-410.4541	-1.021919	-411.5563	-1.952505
-409.5005	-1.01427	-410.5634	-1.949102
-408.5137	-1.006382	-409.5864	-1.946236
-407.5064	-0.99857	-408.6164	-1.942343
