Tension	Intensidad
mV	uA
CNEA	Calcinado
-79.49558	-2.227322
-80.50901	-2.213672
-81.50357	-2.202866
-82.49161	-2.193201
-83.50471	-2.184305
-84.50227	-2.176019
-85.5283	-2.166562
-86.54897	-2.156017
-87.54552	-2.145073
-88.5553	-2.133065
-89.52603	-2.120428
-90.49522	-2.106555
-91.49151	-2.094131
-92.50248	-2.083224
-93.50107	-2.073591
-94.53456	-2.065482
-95.54514	-2.057043
-96.53024	-2.046831
-97.5112	-2.035586
-98.4759	-2.023369
-99.44613	-2.012292
-100.445	-2.003248
-101.4667	-1.995419
-102.4721	-1.988526
-103.4861	-1.980713
-104.4577	-1.971613
-105.4465	-1.963459
-106.445	-1.954826
-107.46	-1.947069
-108.4914	-1.938982
-109.4997	-1.928233
-110.5214	-1.918864
-111.5138	-1.906939
-112.5168	-1.897947
-113.5416	-1.889217
-114.551	-1.879512
-115.5589	-1.872677
-116.547	-1.863019
-117.5552	-1.856221
-118.5474	-1.850573
-119.5446	-1.842456
-120.5512	-1.837984
-121.547	-1.829855
-122.5465	-1.818141
-123.5414	-1.811183
-124.5508	-1.803206
-125.5467	-1.795444
-126.5467	-1.791325
-127.5581	-1.781656
-128.548	-1.773435
-129.5179	-1.76714
-130.5114	-1.761222
-131.4832	-1.75718
-132.4809	-1.749803
-133.4919	-1.741828
-134.4884	-1.731835
-135.5106	-1.7234
-136.5064	-1.716712
-137.513	-1.712221
-138.516	-1.708763
-139.5152	-1.705338
-140.527	-1.70104
-141.5279	-1.694841
-142.5327	-1.689533
-143.5396	-1.683058
-144.5297	-1.676629
-145.5458	-1.669847
-146.5494	-1.662972
-147.5412	-1.655626
-148.5503	-1.647913
-149.5182	-1.640974
-150.5091	-1.636128
-151.4939	-1.631447
-152.4899	-1.625855
-153.4801	-1.619612
-154.4483	-1.612215
-155.4441	-1.607484
-156.4368	-1.605281
-157.4575	-1.603338
-158.5111	-1.600707
-159.5394	-1.595867
-160.5309	-1.591825
-161.5373	-1.588673
-162.5159	-1.585631
-163.5055	-1.582797
-164.5266	-1.578736
-165.5237	-1.574862
-166.5004	-1.570472
-167.4772	-1.566692
-168.4627	-1.563018
-169.4792	-1.55908
-170.5134	-1.556201
-171.5484	-1.551316
-172.565	-1.54588
-173.5499	-1.543045
-174.5507	-1.540992
-175.5339	-1.540906
-176.5315	-1.542231
-177.5136	-1.541201
-178.49	-1.539088
-179.4845	-1.536374
-180.4461	-1.534549
-181.4518	-1.533793
-182.4552	-1.532687
-183.4491	-1.531707
-184.4675	-1.530521
-185.4762	-1.5284
-186.465	-1.526413
-187.4699	-1.526648
-188.4685	-1.524999
-189.4768	-1.523402
-190.5014	-1.52151
-191.5226	-1.518074
-192.5294	-1.516792
-193.5051	-1.517571
-194.4907	-1.52005
-195.468	-1.522732
-196.4541	-1.524408
-197.4682	-1.524979
-198.4552	-1.525668
-199.0226	-1.500354
-199.1047	-1.467552
-198.6605	-1.427197
-197.7429	-1.377986
-196.7369	-1.348858
-195.7323	-1.319214
-194.7215	-1.292117
-193.7252	-1.268465
-192.7392	-1.246394
-191.7309	-1.228106
-190.7471	-1.209093
-189.7365	-1.191096
-188.7412	-1.173762
-187.7637	-1.154791
-186.7519	-1.136867
-185.7786	-1.118794
-184.7694	-1.09909
-183.7591	-1.082764
-182.7741	-1.066403
-181.7532	-1.051418
-180.7581	-1.04003
-179.759	-1.026453
-178.7611	-1.014708
-177.7643	-1.00102
-176.7576	-0.985759
-175.7661	-0.971813
-174.7763	-0.956235
-173.7755	-0.941586
-172.7723	-0.928428
-171.7664	-0.916005
-170.7618	-0.90373
-169.774	-0.890049
-168.7746	-0.87709
-167.7639	-0.864787
-166.7629	-0.855333
-165.7545	-0.847419
-164.7574	-0.836908
-163.7451	-0.8272
-162.7372	-0.816572
-161.7252	-0.805683
-160.7256	-0.795598
-159.752	-0.785322
-158.7519	-0.774546
-157.743	-0.762754
-156.7258	-0.751511
-155.716	-0.741337
-154.7069	-0.732282
-153.7395	-0.726343
-152.7632	-0.719778
-151.7566	-0.710121
-150.7762	-0.700752
-149.7499	-0.691314
-148.7661	-0.683013
-147.769	-0.675667
-146.7816	-0.669024
-145.8155	-0.660654
-144.783	-0.650921
-143.7542	-0.642189
-142.7296	-0.632821
-141.7089	-0.623841
-140.739	-0.616954
-139.7848	-0.61039
-138.7979	-0.60207
-137.7981	-0.596282
-136.7841	-0.587565
-135.7628	-0.578294
-134.7514	-0.571111
-133.7297	-0.562112
-132.7142	-0.553892
-131.7137	-0.546533
-130.7077	-0.537431
-129.7358	-0.529914
-128.7541	-0.524782
-127.7888	-0.518719
-126.8007	-0.512882
-125.8041	-0.506343
-124.8116	-0.498437
-123.7892	-0.49139
-122.7821	-0.483605
-121.784	-0.476675
-120.7806	-0.47232
-119.7895	-0.463849
-118.7978	-0.458055
-117.7898	-0.451163
-116.7693	-0.443897
-115.766	-0.440223
-114.7748	-0.435108
-113.7799	-0.429488
-112.778	-0.421493
-111.7584	-0.414146
-110.7369	-0.408259
-109.7093	-0.403279
-108.7138	-0.399829
-107.7164	-0.394513
-106.7249	-0.385324
-105.7368	-0.37863
-104.7193	-0.37159
-103.7078	-0.367163
-102.7014	-0.366329
-101.6927	-0.36283
-100.7114	-0.360063
-99.73606	-0.354913
-98.72647	-0.348832
-97.74715	-0.342288
-96.75482	-0.335099
-95.75554	-0.327764
-94.78398	-0.318896
-93.76616	-0.311999
-92.76879	-0.308043
-91.76861	-0.304313
-90.74822	-0.30195
-89.7624	-0.299939
-88.74897	-0.294491
-87.74101	-0.289424
-86.75455	-0.285679
-85.74995	-0.278893
-84.75788	-0.272253
-83.75282	-0.266419
-82.74689	-0.258343
-81.73302	-0.251873
-80.73362	-0.246037
-79.74777	-0.24205
-78.74983	-0.238792
-77.76526	-0.235167
-76.77169	-0.231913
-75.78683	-0.226622
-74.79887	-0.220163
-73.78136	-0.214814
-72.78167	-0.208467
-71.75684	-0.202201
-70.74184	-0.199265
-69.76144	-0.192669
-68.77148	-0.186352
-67.76482	-0.180891
-66.77583	-0.176144
-65.78694	-0.173793
-64.77647	-0.1708
-63.77777	-0.167565
-62.78239	-0.161333
-61.76387	-0.154527
-60.75216	-0.148708
-59.74284	-0.144315
-58.73804	-0.139757
-57.73978	-0.135804
-56.73882	-0.129453
-55.74281	-0.122389
-54.71279	-0.118085
-53.70044	-0.115716
-52.70757	-0.113948
-51.71643	-0.110624
-50.73692	-0.10635
-49.75595	-0.101311
-48.74615	-0.096708
-47.74271	-0.093096
-46.74089	-0.088663
-45.71258	-0.082816
-44.73795	-0.077588
-43.74909	-0.071123
-42.74259	-0.064461
-41.75972	-0.059996
-40.74271	-0.056286
-39.74984	-0.053548
-38.7495	-0.051093
-37.76823	-0.0461
-36.76913	-0.040739
-35.76648	-0.035355
-34.80077	-0.028849
-33.77451	-0.023617
-32.78724	-0.018916
-31.77669	-0.012172
-30.73961	-0.007492
-29.73853	-0.002311
-28.71505	0.001298
-27.73724	0.003109
-26.74204	0.006822
-25.77037	0.011349
-24.78769	0.018031
-23.76795	0.025327
-22.77926	0.030595
-21.75601	0.035796
-20.73852	0.04121
-19.76376	0.046435
-18.76516	0.054286
-17.7837	0.059067
-16.78372	0.064294
-15.7546	0.068559
-14.75266	0.071322
-13.74134	0.077184
-12.75176	0.081169
-11.75012	0.086388
-10.73383	0.090229
-9.728812	0.092897
-8.726319	0.097451
-7.735194	0.103227
-6.734512	0.111687
-5.725904	0.120087
-4.726403	0.127048
-3.724575	0.130303
-2.746244	0.132331
-1.786343	0.134934
-0.814062	0.138672
0.151821	0.143503
1.128257	0.149737
2.127277	0.155421
3.120879	0.159303
4.11488	0.165539
5.116525	0.172023
6.099791	0.176242
7.085167	0.183011
8.095586	0.188089
9.104427	0.190906
10.11574	0.196952
11.11862	0.201621
12.11166	0.206998
13.07172	0.211564
14.06237	0.216982
15.06252	0.223558
16.0618	0.229014
17.09778	0.23639
18.09675	0.245216
19.10365	0.250713
20.09956	0.257588
21.10157	0.26568
22.08859	0.26786
23.07594	0.272992
24.07393	0.280093
25.05318	0.283008
26.05997	0.291972
27.058	0.298251
28.07611	0.302567
29.06486	0.310081
30.04941	0.313098
31.04848	0.320256
32.03151	0.328588
33.03269	0.334165
34.05141	0.343247
35.05979	0.34915
36.05759	0.353181
37.07523	0.361544
38.07325	0.366807
39.06243	0.373795
40.06273	0.381517
41.05552	0.38768
42.06567	0.396706
43.07909	0.406413
44.09993	0.414696
45.10539	0.422224
46.11849	0.429486
47.14699	0.436469
48.13058	0.443831
49.11766	0.451813
50.11501	0.461414
51.08434	0.468075
52.08121	0.476888
53.09491	0.486839
54.0682	0.494332
55.05389	0.504549
56.03613	0.514051
57.02199	0.52284
58.03415	0.532005
59.04548	0.541467
60.06783	0.550776
61.09318	0.559636
62.07867	0.569095
63.07269	0.580554
64.05399	0.592668
65.04169	0.605377
66.05274	0.618641
67.05983	0.628867
68.07069	0.642126
69.06792	0.654601
70.04763	0.665857
71.058	0.67889
72.06074	0.689027
73.05338	0.702477
74.0567	0.718735
75.04675	0.733709
76.04964	0.751037
77.04442	0.765803
78.0512	0.778856
79.05199	0.794929
80.03738	0.811215
81.01746	0.828882
82.02486	0.847048
83.00237	0.864131
84.00906	0.880996
85.03197	0.900305
86.02045	0.921264
87.03018	0.942408
88.03782	0.962518
89.03546	0.980843
90.04897	1.000412
91.04826	1.021525
92.03825	1.046416
93.04292	1.073699
94.02147	1.099638
95.02488	1.125664
96.03399	1.150602
97.04667	1.174212
98.08801	1.200687
99.0993	1.226945
100.0952	1.254764
101.0976	1.284901
102.0819	1.314446
103.0729	1.347988
104.0825	1.381941
105.0741	1.415772
106.0682	1.450472
107.0766	1.484688
108.0727	1.517418
109.0767	1.552011
110.078	1.589374
111.0773	1.628984
112.0692	1.67038
113.0536	1.713998
114.047	1.758789
115.0348	1.800158
116.0242	1.844949
117.0448	1.890828
118.0353	1.936211
119.0263	1.984294
120.0356	2.033037
121.0157	2.080589
122.0156	2.131225
123.045	2.185323
124.0598	2.242256
125.0697	2.299863
126.0822	2.357249
127.072	2.414919
128.0402	2.467713
129.0416	2.525558
130.0427	2.590394
131.0237	2.653178
132.0217	2.720639
133.0137	2.789389
133.9987	2.853318
135.0149	2.92308
136.0262	2.997007
137.0116	3.069604
138.0066	3.143091
138.9906	3.215575
139.9975	3.288025
140.9969	3.362022
142.0024	3.441931
143.015	3.527011
144.0154	3.610251
145.0464	3.694899
146.0527	3.779812
147.0476	3.862278
148.0352	3.947751
149.0237	4.03846
150.0318	4.127944
151.0373	4.218036
152.0488	4.310155
153.0407	4.402228
154.0442	4.497257
155.047	4.59352
156.0535	4.691917
157.0582	4.786863
158.0465	4.879164
159.0434	4.974425
160.0298	5.069533
161.024	5.167472
162.0437	5.274102
163.0402	5.381761
164.0606	5.487832
165.0763	5.595413
166.0495	5.696611
167.0464	5.797173
168.0312	5.899025
169.02	5.99888
170.0096	6.102606
171.0072	6.206552
171.9809	6.311716
172.9595	6.419423
173.9667	6.527026
174.9768	6.636271
175.9955	6.745618
177.0161	6.852314
178.0151	6.957794
179.0009	7.057558
179.9978	7.159166
180.9928	7.26287
182.0024	7.362985
183.012	7.468442
184.0077	7.572345
184.9987	7.673126
185.9899	7.775668
186.9728	7.877535
187.9832	7.980171
188.9897	8.081622
190.0036	8.180041
191.0153	8.276305
192.014	8.369827
193.014	8.466497
193.9991	8.567132
195.0028	8.661681
196.0136	8.754261
197.0114	8.843245
198.0383	8.924722
199.0317	9.007265
200.047	9.090233
201.0714	9.170123
202.0671	9.250782
203.069	9.331145
204.0511	9.40744
205.0258	9.482152
206.0176	9.55509
207.0456	9.627561
208.0345	9.692503
209.0351	9.75436
210.0369	9.817327
211.0065	9.873137
212.0029	9.93374
213.0198	9.998312
214.0236	10.05733
215.0436	10.116262
216.0474	10.171172
217.0483	10.218507
218.0207	10.262673
218.9954	10.303706
220.0034	10.342777
220.99	10.378597
221.9932	10.413454
223.0013	10.452127
223.9993	10.488221
224.9963	10.52506
226.0197	10.563099
227.0277	10.590384
228.0067	10.610925
229.0235	10.629889
230.0086	10.643364
230.9982	10.658411
232.011	10.675508
232.9956	10.688886
233.9981	10.700294
234.9968	10.708683
235.9861	10.714971
236.9799	10.719206
237.9518	10.718408
238.9735	10.71911
239.9891	10.716288
240.9931	10.710318
242.0172	10.709551
243.0152	10.703187
244.024	10.696091
245.0307	10.688579
246.0291	10.672794
247.0092	10.657061
247.9804	10.638252
248.9558	10.617046
249.9581	10.597012
250.9604	10.575541
251.9842	10.556878
252.9972	10.537008
253.999	10.513658
255.0098	10.489347
255.9837	10.458189
256.9868	10.426127
257.9969	10.3942
258.9902	10.357943
259.9977	10.323756
261.0031	10.289954
261.9915	10.254316
262.9873	10.223684
264.0112	10.192216
265.0124	10.157337
266.0251	10.122105
267.0301	10.082412
268.0114	10.042568
268.9837	10.001945
269.9786	9.960601
270.9731	9.920004
271.9702	9.877662
272.9913	9.838294
273.9947	9.799408
274.989	9.760027
276.0051	9.720705
277.0126	9.679765
278.0113	9.634538
279.0163	9.590852
280.0076	9.549281
281.003	9.504648
281.9786	9.46209
282.9769	9.419888
283.973	9.375455
284.9759	9.33387
285.9859	9.29299
286.9732	9.250888
287.9615	9.208138
288.9308	9.16524
