Tension	Intensidad
mV	uA
SOlucion	Fe
-79.48833	-1.649737
-80.48332	-1.653529
-81.47662	-1.658558
-82.46028	-1.661513
-83.45516	-1.664526
-84.47343	-1.666475
-85.47007	-1.669177
-86.49176	-1.671942
-87.4984	-1.675144
-88.49693	-1.67803
-89.49957	-1.6798
-90.4734	-1.682294
-91.48043	-1.684402
-92.48107	-1.686865
-93.49219	-1.690483
-94.52765	-1.694184
-95.52199	-1.698087
-96.5145	-1.702059
-97.51708	-1.704664
-98.49832	-1.708194
-99.49889	-1.712022
-100.4988	-1.715289
-101.464	-1.718869
-102.4569	-1.721175
-103.4515	-1.722682
-104.4309	-1.725023
-105.4571	-1.727189
-106.4537	-1.729282
-107.4668	-1.732763
-108.4864	-1.7371
-109.4879	-1.739873
-110.4933	-1.741801
-111.4927	-1.743601
-112.5124	-1.745088
-113.5252	-1.748616
-114.5336	-1.75255
-115.5232	-1.755542
-116.5241	-1.75854
-117.5006	-1.760983
-118.5126	-1.764873
-119.538	-1.769182
-120.5348	-1.77273
-121.566	-1.776687
-122.5535	-1.780037
-123.5513	-1.78289
-124.5377	-1.786073
-125.5175	-1.789424
-126.513	-1.792451
-127.489	-1.79426
-128.4855	-1.796138
-129.4781	-1.797774
-130.493	-1.799392
-131.515	-1.803102
-132.5219	-1.807709
-133.5318	-1.811335
-134.5282	-1.815006
-135.5162	-1.818187
-136.5204	-1.819885
-137.5203	-1.822511
-138.511	-1.825517
-139.5161	-1.828019
-140.5087	-1.830672
-141.5125	-1.834594
-142.5159	-1.838018
-143.5027	-1.840365
-144.4892	-1.843451
-145.4884	-1.845029
-146.4688	-1.847077
-147.4688	-1.850671
-148.4741	-1.852684
-149.4561	-1.855647
-150.4774	-1.859123
-151.4867	-1.86208
-152.5011	-1.865827
-153.5045	-1.868674
-154.4856	-1.869954
-155.4666	-1.871299
-156.4525	-1.873402
-157.4391	-1.876717
-158.4648	-1.880042
-159.4661	-1.883989
-160.4831	-1.887679
-161.5015	-1.890172
-162.5005	-1.893219
-163.5098	-1.896056
-164.4967	-1.897941
-165.5034	-1.899844
-166.4891	-1.902665
-167.4813	-1.906567
-168.51	-1.910641
-169.5274	-1.914741
-170.5262	-1.91896
-171.5544	-1.921289
-172.5477	-1.923753
-173.5308	-1.925572
-174.5215	-1.926576
-175.5007	-1.927817
-176.4804	-1.929366
-177.4829	-1.932235
-178.5033	-1.93471
-179.5099	-1.938566
-180.5072	-1.942622
-181.502	-1.945624
-182.4989	-1.948791
-183.4987	-1.951079
-184.4953	-1.952806
-185.4791	-1.955515
-186.4652	-1.958591
-187.4662	-1.962375
-188.4746	-1.966233
-189.4961	-1.969331
-190.5082	-1.972092
-191.5064	-1.974195
-192.5079	-1.976475
-193.5007	-1.977334
-194.4968	-1.980167
-195.4974	-1.982709
-196.4861	-1.98474
-197.4711	-1.988396
-198.4799	-1.990316
-199.0337	-1.987629
-199.1116	-1.980995
-198.6796	-1.971521
-197.7443	-1.959377
-196.7471	-1.950094
-195.7338	-1.942991
-194.7341	-1.936201
-193.7315	-1.928762
-192.7364	-1.920394
-191.7572	-1.911679
-190.7685	-1.903021
-189.764	-1.894808
-188.7612	-1.887188
-187.7493	-1.878868
-186.74	-1.870432
-185.7434	-1.86154
-184.7438	-1.854268
-183.7285	-1.847918
-182.7286	-1.842379
-181.726	-1.836781
-180.72	-1.830106
-179.7432	-1.822725
-178.7444	-1.815143
-177.739	-1.808417
-176.7702	-1.801531
-175.7698	-1.795757
-174.8005	-1.789
