Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM
-474.6507	-1.283493	-474.6011	-0.583617
-473.6458	-1.277686	-473.6152	-0.579682
-472.6336	-1.271282	-472.6331	-0.575347
-471.6273	-1.266774	-471.6137	-0.571362
-470.6425	-1.261605	-470.6025	-0.565516
-469.6575	-1.258021	-469.618	-0.560856
-468.6561	-1.253366	-468.6082	-0.55794
-467.6665	-1.247853	-467.6274	-0.556174
-466.6633	-1.242646	-466.6362	-0.555625
-465.6508	-1.236645	-465.6072	-0.55325
-464.6384	-1.230669	-464.5805	-0.54958
-463.6311	-1.224634	-463.5444	-0.544942
-462.6396	-1.218445	-462.5479	-0.540837
-461.6438	-1.212172	-461.5427	-0.53767
-460.6624	-1.206533	-460.562	-0.535304
-459.673	-1.200904	-459.6024	-0.531938
-458.654	-1.196097	-458.5936	-0.526045
-457.6655	-1.192903	-457.596	-0.519362
-456.671	-1.188966	-456.5952	-0.514653
-455.6615	-1.184962	-455.5865	-0.510048
-454.6913	-1.180957	-454.6013	-0.508517
-453.6976	-1.174779	-453.6179	-0.506829
-452.7087	-1.168289	-452.6039	-0.502341
-451.6984	-1.162049	-451.5919	-0.498638
-450.6554	-1.154956	-450.5826	-0.495341
-449.652	-1.149009	-449.5845	-0.492446
-448.6293	-1.143642	-448.6036	-0.489189
-447.6552	-1.137881	-447.6162	-0.485334
-446.6882	-1.133044	-446.6246	-0.47991
-445.6686	-1.127502	-445.6043	-0.47399
-444.687	-1.123587	-444.6003	-0.470553
-443.6749	-1.119615	-443.5917	-0.467309
-442.6696	-1.113921	-442.571	-0.463818
-441.6671	-1.110732	-441.5715	-0.462153
-440.6349	-1.105402	-440.5535	-0.458267
-439.6144	-1.099086	-439.5395	-0.453326
-438.6082	-1.096511	-438.5381	-0.449077
-437.6197	-1.089437	-437.5471	-0.443219
-436.632	-1.085369	-436.5468	-0.437562
-435.6553	-1.081992	-435.584	-0.432961
-434.674	-1.073921	-434.605	-0.428992
-433.67	-1.068324	-433.6178	-0.424019
-432.667	-1.063323	-432.63	-0.418992
-431.6776	-1.057804	-431.6156	-0.414274
-430.6641	-1.053509	-430.6158	-0.408095
-429.6648	-1.050124	-429.6168	-0.403707
-428.6926	-1.045426	-428.6374	-0.399917
-427.6902	-1.039256	-427.6287	-0.394858
-426.6901	-1.031994	-426.606	-0.388151
-425.6898	-1.025773	-425.5935	-0.381429
-424.6738	-1.01799	-424.5702	-0.373025
-423.6504	-1.012385	-423.5474	-0.364895
-422.6473	-1.008271	-422.5861	-0.359059
-421.6517	-1.002372	-421.5927	-0.352341
-420.6385	-0.998099	-420.612	-0.345507
-419.6453	-0.993687	-419.6325	-0.338618
-418.6418	-0.991141	-418.593	-0.332585
-417.6356	-0.987048	-417.5813	-0.326672
-416.6415	-0.981292	-416.5633	-0.32043
-415.6231	-0.975668	-415.5541	-0.314549
-414.6095	-0.96852	-414.5339	-0.306578
-413.5865	-0.962159	-413.5092	-0.29662
-412.5839	-0.957631	-412.4955	-0.290498
-411.5862	-0.953111	-411.4822	-0.283489
-410.595	-0.94735	-410.4853	-0.275954
-409.6262	-0.943011	-409.5357	-0.270227
-408.6335	-0.937235	-408.5457	-0.25986
-407.6305	-0.93294	-407.5505	-0.247955
-406.6232	-0.931238	-406.5717	-0.238621
-405.6133	-0.927996	-405.5415	-0.229265
-404.6179	-0.923498	-404.5427	-0.222054
-403.6281	-0.91762	-403.5604	-0.216276
-402.6468	-0.910988	-402.5594	-0.207754
-401.6531	-0.904729	-401.5744	-0.199131
-400.6484	-0.899773	-400.5774	-0.188519
-399.657	-0.894951	-399.5724	-0.178492
-398.6619	-0.888939	-398.5832	-0.169547
-397.6621	-0.882074	-397.5711	-0.15752
-396.6499	-0.877139	-396.5996	-0.146799
-395.6612	-0.871872	-395.5807	-0.133986
-394.6559	-0.867548	-394.5449	-0.119682
-393.6523	-0.864855	-393.5492	-0.108957
-392.6694	-0.860506	-392.527	-0.096323
-391.6733	-0.855745	-391.5342	-0.086081
-390.6769	-0.850701	-390.5866	-0.075798
-389.68	-0.844864	-389.5782	-0.062002
-388.6734	-0.83895	-388.5729	-0.049308
-387.6529	-0.83263	-387.5909	-0.033584
-386.6397	-0.827081	-386.573	-0.016991
-385.6583	-0.821169	-385.5959	-0.001548
-384.6723	-0.815484	-384.5986	0.01389
-383.6902	-0.811969	-383.5919	0.028389
-382.7151	-0.808408	-382.593	0.042862
-381.6935	-0.805003	-381.5885	0.058438
-380.6952	-0.801692	-380.6222	0.072128
-379.7083	-0.796615	-379.6328	0.087132
-378.7025	-0.790907	-378.6555	0.102477
-377.7081	-0.785727	-377.6763	0.117405
-376.7	-0.780127	-376.6422	0.138227
-375.6947	-0.774577	-375.6369	0.158442
-374.6943	-0.77081	-374.6065	0.178845
-373.7024	-0.766001	-373.5839	0.199368
-372.6959	-0.759281	-372.6086	0.216719
-371.6901	-0.75322	-371.6216	0.233734
-370.7086	-0.747145	-370.6488	0.253356
-369.7015	-0.742289	-369.666	0.274904
-368.7109	-0.739026	-368.6714	0.296565
-367.7184	-0.735382	-367.6779	0.317512
-366.7018	-0.730147	-366.6655	0.338119
-365.6959	-0.723379	-365.6648	0.35869
-364.6874	-0.717266	-364.6556	0.378427
-363.6702	-0.711071	-363.6488	0.402376
