Funcionalizado APTES 10mM	Funcionalizado APTES 10mM
mv	uA
Primeros 45	Primeros 45
172.1355	0.1582093
173.1089	0.1590204
174.105	0.1602586
175.1246	0.1617186
176.1414	0.1635235
177.1576	0.1651981
178.1575	0.16672
179.1372	0.1664798
180.1242	0.1672438
181.1442	0.168174
182.1376	0.1678954
183.144	0.1694358
184.1689	0.1706352
185.1494	0.1711585
186.1687	0.1733007
187.1726	0.1753998
188.1701	0.1771976
189.1745	0.1786669
190.1447	0.1790119
191.1399	0.1790554
192.1378	0.1786244
193.1434	0.1793216
194.1765	0.1813693
195.1851	0.1818919
196.1871	0.1834324
197.2024	0.1859635
198.1926	0.1866682
199.2013	0.1891281
200.2104	0.1911451
201.2023	0.1912725
202.205	0.1921133
203.2021	0.192318
204.1817	0.1924316
205.1747	0.1927063
206.1681	0.1934465
207.1703	0.1952033
208.1799	0.1962598
209.178	0.1976491
210.2056	0.1996139
211.185	0.1993533
212.1602	0.2003215
213.1628	0.2024702
214.1401	0.2033639
215.144	0.2053578
216.1659	0.2067059
217.1491	0.2069407
218.1347	0.2074671
219.1442	0.2081287
220.1423	0.2091103
221.1499	0.2095626
222.135	0.2093856
223.1336	0.2102264
224.1055	0.2108812
225.1064	0.2124398
226.1359	0.2160732
227.1166	0.2168202
228.1455	0.2178472
229.1551	0.2181394
230.1479	0.2168194
231.1687	0.2175666
232.145	0.2178582
233.1374	0.2182691
234.1301	0.2193095
235.1147	0.2200149
236.1149	0.221785
237.1275	0.2234702
238.1214	0.2248695
239.1373	0.2270877
240.159	0.227379
241.1424	0.2273587
242.1328	0.2278143
243.117	0.226621
244.1028	0.2274832
245.1021	0.2290704
246.1214	0.2296683
247.1287	0.2321368
248.1456	0.2334248
249.1494	0.2336898
250.1363	0.2352269
251.152	0.2356013
252.1537	0.2365466
253.1493	0.2371792
254.1598	0.2368183
255.1386	0.2367622
256.1252	0.2364042
257.1188	0.2376013
258.1402	0.2396629
259.1459	0.2403511
260.1363	0.2412192
261.1352	0.241105
262.103	0.2404355
263.0872	0.2418423
264.0754	0.2430543
265.088	0.2441314
266.1015	0.2450633
267.1103	0.2451655
268.1243	0.2450167
269.1291	0.2457007
270.1263	0.246324
271.1415	0.2479161
272.144	0.2488116
273.1412	0.2493306
274.1438	0.2502791
275.1293	0.2496637
276.1317	0.2501523
277.1155	0.2522035
278.1071	0.2519244
279.1049	0.2529671
280.1245	0.2535083
281.1273	0.2527686
282.1265	0.253695
283.1294	0.2540922
284.1013	0.2548014
285.0927	0.2548736
286.0896	0.2555352
287.0829	0.2570673
288.0984	0.2578602
289.1078	0.2594539
290.1075	0.2613227
291.1292	0.260574
292.1338	0.2605207
293.1324	0.2602868
294.14	0.2593743
295.1205	0.2604344
296.1051	0.2616706
297.1051	0.2627718
298.1227	0.2642571
299.1354	0.2649075
300.1465	0.2655883
301.1671	0.2665235
302.1376	0.2670562
303.1372	0.2687236
304.1407	0.2687122
305.13	0.2682263
306.1494	0.2685461
307.1545	0.2677718
308.1548	0.269029
309.1651	0.2707199
310.15	0.2710853
311.1506	0.2720838
312.1345	0.2720411
313.128	0.2723647
314.1506	0.273935
315.144	0.2748156
316.1406	0.2762568
317.1372	0.2764744
318.1279	0.275762
319.1298	0.2763813
320.125	0.2763338
321.1253	0.2770929
322.1116	0.2786976
323.0866	0.2783028
324.1045	0.2789882
325.1233	0.2800935
326.1403	0.2805849
327.176	0.2821789
328.1599	0.2834521
329.1464	0.2834603
330.1327	0.2835989
331.1299	0.2837807
332.141	0.2833413
333.1306	0.2839111
334.1474	0.2843965
335.1467	0.2856719
336.1483	0.2864918
337.1406	0.2877478
338.1346	0.2893791
339.1126	0.2893081
340.1143	0.2906448
341.1319	0.2912381
342.1117	0.2904216
343.1066	0.2910981
344.1115	0.2913487
345.0904	0.291235
346.1172	0.2929334
347.1291	0.2945901
348.1268	0.295911
349.1445	0.2971252
350.1229	0.2977301
351.1231	0.2984118
352.1334	0.298699
353.1392	0.2997946
354.1652	0.3013198
355.1738	0.3008486
356.1617	0.3012564
357.1642	0.3019546
358.1459	0.3013001
359.1618	0.3026202
360.1777	0.3040017
361.1792	0.3041226
362.1795	0.3052026
363.1529	0.3062384
364.1217	0.3072951
365.1	0.3085488
366.0997	0.3096309
367.1265	0.3110289
368.1443	0.3106849
369.1493	0.3110722
370.1704	0.3122569
371.1565	0.3115488
372.1459	0.312523
373.1486	0.3133735
374.1329	0.3133221
375.1316	0.3150913
376.1376	0.3171948
377.124	0.3188024
378.1255	0.3203156
379.1239	0.3208334
380.1465	0.3208852
381.1597	0.320713
382.1407	0.3204832
383.1271	0.3211231
384.1061	0.3211758
385.1046	0.3221479
386.1315	0.3241654
387.1479	0.3249779
388.1493	0.3266388
389.1292	0.3280054
390.1143	0.3279272
391.1017	0.3288453
392.1089	0.3292318
393.1433	0.329448
394.1525	0.3305596
395.1685	0.3311748
396.1599	0.3323489
397.131	0.3341599
398.1262	0.3350022
399.1246	0.3369367
400.1271	0.3380415
401.1414	0.338689
402.1418	0.3401087
403.1322	0.3403606
404.1453	0.3411796
405.1545	0.3425053
406.164	0.3435163
407.1776	0.34487
408.1953	0.3459759
409.1993	0.3463162
410.2088	0.3473797
411.1953	0.3484804
412.1721	0.3491917
413.1544	0.3501999
414.1329	0.3510889
415.1493	0.3522144
416.1282	0.352832
417.1335	0.354839
418.1539	0.3560768
419.1445	0.3562911
420.1513	0.3577171
421.1319	0.3580338
422.1064	0.3588005
423.0933	0.3606017
424.1093	0.3621802
425.1259	0.3631084
426.1356	0.3649951
427.1451	0.3664016
428.132	0.3672414
429.1208	0.3684277
430.1251	0.3693762
431.1257	0.3699372
432.1388	0.3702813
433.1583	0.3711955
434.1464	0.3717627
435.129	0.3718863
436.1072	0.3736575
437.0829	0.3754516
438.0754	0.3766263
439.0813	0.3792427
440.0845	0.3808969
441.1077	0.3810894
442.101	0.3824216
443.1035	0.3834034
444.1057	0.3848524
445.104	0.3865293
446.1263	0.3878145
447.1233	0.3888797
448.1017	0.3890087
449.1012	0.3900924
450.1073	0.3921499
451.125	0.3936797
452.1526	0.3963928
453.1686	0.397952
454.1582	0.3979891
455.1484	0.3992625
456.166	0.4002352
457.1578	0.4014122
458.1685	0.4028457
459.1632	0.403165
460.1421	0.4041517
