Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
	
165.1534	0.1519431
166.1182	0.1537565
167.1012	0.1567074
168.0971	0.1589556
169.1105	0.1615773
170.1257	0.1636136
171.1461	0.1663558
172.1594	0.1681948
173.1382	0.1699421
174.1336	0.1719753
175.1453	0.1743642
176.1245	0.1761951
177.1228	0.1783948
178.1322	0.1810244
179.1131	0.1828679
180.1335	0.1852738
181.1467	0.1879226
182.1399	0.1898449
183.1388	0.1909471
184.1199	0.1932839
185.1102	0.1951216
186.0977	0.1975643
187.115	0.1998349
188.1362	0.202187
189.1557	0.2038694
190.1652	0.2051906
191.1606	0.2071061
192.1624	0.2090476
193.1554	0.2112084
194.1927	0.2136332
195.1767	0.2146584
196.1677	0.2160363
197.146	0.2176677
198.1274	0.2186096
199.1485	0.2212359
200.1941	0.2236019
201.2447	0.2254105
202.2509	0.2271051
203.2312	0.2289424
204.1972	0.2309063
205.1682	0.232759
206.1432	0.2348849
207.1632	0.2367945
208.1364	0.2372206
209.1277	0.2380272
210.1455	0.2395926
211.1199	0.2402718
212.1432	0.2418853
213.1657	0.244143
214.1512	0.2454443
215.1583	0.2474519
216.15	0.2505595
217.1376	0.2527171
218.1213	0.2543583
219.129	0.2554151
220.1348	0.2556421
221.1387	0.2560018
222.1409	0.2570039
223.1396	0.2583905
224.1244	0.2599974
225.1205	0.2617764
226.1443	0.2645629
227.1393	0.2665237
228.163	0.2685267
229.1586	0.2709129
230.1259	0.2714399
231.1091	0.2730044
232.0914	0.2735564
233.072	0.2734292
234.0822	0.2747107
235.1054	0.2755658
236.1039	0.2775266
237.1145	0.2800106
238.1296	0.2825762
239.1327	0.285686
240.1392	0.287974
241.1405	0.289856
242.1399	0.291815
243.1232	0.2929228
244.1102	0.2939253
245.1106	0.2953382
246.111	0.2954999
247.1127	0.2971159
248.1279	0.299134
249.1238	0.3010408
250.1336	0.3041673
251.157	0.3064259
252.1578	0.3086146
253.162	0.3112755
254.143	0.3140112
255.1317	0.3162355
256.1305	0.3174827
257.124	0.3183381
258.1489	0.3190694
259.1374	0.3199763
260.1584	0.3220107
261.1568	0.3246922
262.1197	0.3263821
263.1075	0.3284091
264.087	0.3307067
265.0968	0.3326667
266.1087	0.33625
267.1414	0.3391277
268.1385	0.3412377
269.1496	0.3426215
270.1433	0.3435271
271.1451	0.3457066
272.1389	0.3475923
273.14	0.3499604
274.1566	0.3528635
275.1365	0.3546863
276.1376	0.357911
277.1376	0.3617463
278.1242	0.3641035
