-543.3503	-2.239335	-443.2679	-1.420564	-543.2889	-2.719367	-443.3107	-1.548683
-542.3229	-2.234669	-442.2689	-1.41502	-542.3037	-2.712608	-442.3088	-1.544885
-541.2979	-2.228035	-441.2969	-1.411976	-541.2841	-2.705131	-441.3316	-1.544214
-540.3	-2.222082	-440.2943	-1.408708	-540.2809	-2.698213	-440.3251	-1.541842
-539.265	-2.215672	-439.273	-1.406095	-539.2701	-2.690654	-439.3122	-1.538533
-538.2742	-2.208416	-438.2592	-1.40545	-538.2601	-2.6829	-438.3068	-1.537305
-537.3142	-2.202805	-437.2445	-1.403189	-537.2795	-2.676059	-437.2797	-1.532914
-536.313	-2.196497	-436.2574	-1.400409	-536.2902	-2.667947	-436.2798	-1.529205
-535.3357	-2.189212	-435.2659	-1.397812	-535.2935	-2.660051	-435.2864	-1.525854
-534.3265	-2.181684	-434.2701	-1.395476	-534.3013	-2.652802	-434.2956	-1.520496
-533.3134	-2.17401	-433.2696	-1.392163	-533.314	-2.645554	-433.2907	-1.516057
-532.311	-2.168048	-432.2601	-1.388664	-532.3209	-2.639441	-432.281	-1.511873
-531.3212	-2.162425	-431.2586	-1.384952	-531.3328	-2.633799	-431.291	-1.507378
-530.3496	-2.159048	-430.2619	-1.380859	-530.3286	-2.627882	-430.2932	-1.504682
-529.3375	-2.153521	-429.2629	-1.377668	-529.3311	-2.621051	-429.3016	-1.50198
-528.3169	-2.146835	-428.2791	-1.375165	-528.3061	-2.61326	-428.3128	-1.500084
-527.3107	-2.141537	-427.2926	-1.372741	-527.2963	-2.606653	-427.3102	-1.498099
-526.3102	-2.135092	-426.2945	-1.370201	-526.3026	-2.598107	-426.3015	-1.49532
-525.3068	-2.129551	-425.2916	-1.368808	-525.2732	-2.590779	-425.3075	-1.491916
-524.3122	-2.124465	-424.2789	-1.366295	-524.2766	-2.583945	-424.293	-1.487926
-523.3068	-2.118589	-423.2884	-1.363138	-523.2683	-2.575579	-423.2916	-1.484453
-522.2952	-2.111389	-422.3113	-1.36055	-522.2549	-2.56935	-422.2933	-1.481502
-521.3049	-2.106204	-421.3215	-1.355862	-521.2674	-2.561788	-421.2872	-1.478665
-520.3046	-2.100219	-420.3216	-1.352393	-520.2699	-2.554135	-420.2952	-1.476029
-519.3063	-2.094201	-419.2983	-1.349915	-519.2646	-2.54843	-419.284	-1.471426
-518.2964	-2.090932	-418.2855	-1.346709	-518.2877	-2.543038	-418.2782	-1.467251
-517.2834	-2.085088	-417.2708	-1.343953	-517.2635	-2.538759	-417.278	-1.463564
-516.2773	-2.080127	-416.2643	-1.340828	-516.2556	-2.533712	-416.2621	-1.460258
-515.2537	-2.0753	-415.2646	-1.337448	-515.2467	-2.527099	-415.2686	-1.459091
-514.2302	-2.06993	-414.2453	-1.33481	-514.2264	-2.519439	-414.2639	-1.456627
-513.2482	-2.064572	-413.2462	-1.332335	-513.2355	-2.512768	-413.241	-1.453671
-512.2506	-2.058983	-412.2353	-1.330098	-512.2416	-2.506891	-412.2453	-1.45148
-511.2726	-2.052693	-411.2332	-1.327341	-511.2615	-2.501183	-411.2406	-1.448012
-510.3078	-2.046804	-410.2232	-1.324369	-510.2653	-2.496013	-410.248	-1.444947
-509.2768	-2.041901	-409.2221	-1.321882	-509.27	-2.488307	-409.2769	-1.442443
