-100.1024	-0.3241527	-195.2438	-5.830523
-99.8576	-0.3153497	-196.2508	-4.680254
-99.36812	-0.3038122	-196.9974	-3.455004
-98.64999	-0.2909296	-197.4948	-2.194344
-97.66107	-0.276742	-197.7536	-0.9107949
-96.65373	-0.2712001	-196.7393	-0.7633756
-95.65227	-0.2667487	-195.7552	-0.6775035
-94.62646	-0.2629092	-194.762	-0.6182282
-93.61125	-0.2585474	-193.7738	-0.5730418
-92.62407	-0.2551221	-192.7698	-0.5334899
-91.62706	-0.2519186	-191.7545	-0.5033928
-90.61711	-0.2491768	-190.7574	-0.476452
-89.62332	-0.2475442	-189.7452	-0.4522114
-88.61645	-0.2450763	-188.7654	-0.4342207
-87.61253	-0.2431151	-187.7805	-0.4155548
-86.60741	-0.2414957	-186.7811	-0.3991366
-85.62965	-0.2388002	-185.801	-0.3841089
-84.6337	-0.2371143	-184.7878	-0.3687552
-83.63967	-0.2349357	-183.7735	-0.3538427
-82.66097	-0.2325846	-182.7728	-0.3407152
-81.64459	-0.230499	-181.7584	-0.3286269
-80.63994	-0.2270913	-180.7846	-0.317201
-79.62798	-0.2255228	-179.792	-0.3078632
-78.62012	-0.2232432	-178.785	-0.2983478
-77.61543	-0.2212506	-177.777	-0.2901421
-76.64001	-0.2204619	-176.764	-0.2825269
-75.64986	-0.2186145	-175.7746	-0.2748942
-74.66936	-0.2176244	-174.7943	-0.2674324
-73.67894	-0.2172666	-173.7945	-0.2587231
-72.67592	-0.2164267	-172.7995	-0.251432
-71.68314	-0.21405	-171.8064	-0.242409
-70.68118	-0.2116528	-170.7992	-0.2340803
-69.67046	-0.209346	-169.7981	-0.2277774
-68.65034	-0.2064277	-168.8054	-0.2202514
-67.64388	-0.2050969	-167.7898	-0.2151326
-66.65498	-0.2041989	-166.7839	-0.2096827
-65.66939	-0.2016262	-165.773	-0.2038766
-64.69162	-0.1996718	-164.7706	-0.1990655
-63.69594	-0.1988265	-163.7706	-0.1940126
-62.681	-0.197787	-162.7749	-0.1890361
-61.64865	-0.1969806	-161.7795	-0.1846455
-60.63963	-0.1968488	-160.7837	-0.1793525
-59.65167	-0.1955012	-159.7994	-0.17444
-58.6522	-0.1937123	-158.795	-0.169043
-57.68124	-0.193671	-157.7702	-0.1634535
-56.67008	-0.1919718	-156.7478	-0.1603831
-55.63103	-0.1906485	-155.7411	-0.1552115
-54.61154	-0.1891271	-154.7301	-0.1501725
-53.59238	-0.1869024	-153.7712	-0.1471723
-52.60539	-0.1845841	-152.7695	-0.1423682
-51.6123	-0.1833412	-151.7774	-0.1397816
-50.63049	-0.1828738	-150.7876	-0.1385255
-49.65054	-0.1825336	-149.7879	-0.1353702
-48.6382	-0.1822539	-148.7876	-0.1324367
-47.65237	-0.1812945	-147.7677	-0.1292493
-46.65662	-0.1801935	-146.7656	-0.1253649
-45.64491	-0.1781922	-145.7682	-0.1219114
-44.6466	-0.1778786	-144.7751	-0.1181068
-43.63358	-0.1765947	-143.7797	-0.1147607
-42.62384	-0.1745909	-142.8082	-0.1106354
-41.61501	-0.1731091	-141.8046	-0.1073561
-40.61378	-0.1715076	-140.802	-0.1053944
-39.61992	-0.1700118	-139.8085	-0.1029958
-38.61015	-0.169472	-138.7837	-0.1012864
-37.61299	-0.1697588	-137.7601	-0.09930132
-36.61913	-0.1688923	-136.7807	-0.09700676
-35.6204	-0.1685403	-135.7813	-0.09469573
-34.63068	-0.1673115	-134.7946	-0.09320302
-33.64476	-0.1657353	-133.8058	-0.09064494
-32.64665	-0.1639448	-132.8104	-0.08788748
-31.66016	-0.1619474	-131.7799	-0.08523838
-30.65195	-0.1599169	-130.7758	-0.08242111
-29.62811	-0.1578442	-129.7652	-0.08054005
-28.618	-0.1569649	-128.7664	-0.07810853
-27.61784	-0.1561743	-127.8063	-0.07714373
-26.61518	-0.1552898	-126.805	-0.07567094
-25.62869	-0.1551594	-125.8299	-0.07385749
-24.62679	-0.1544164	-124.8006	-0.07249653
-23.60574	-0.153395	-123.7807	-0.07042822
-22.62713	-0.1526271	-122.7641	-0.06824289
-21.62781	-0.1504198	-121.7599	-0.06582351
-20.63065	-0.1486519	-120.7758	-0.0629421
-19.64295	-0.1467003	-119.7726	-0.05946515
-18.62865	-0.1449522	-118.7839	-0.05710211
-17.63627	-0.1441194	-117.7544	-0.05564667
-16.63522	-0.1421121	-116.7591	-0.05397625
-15.62439	-0.140343	-115.7654	-0.05319782
-14.61967	-0.1382739	-114.7816	-0.0524948
-13.6118	-0.1375317	-113.8052	-0.05133495
-12.62708	-0.1372661	-112.782	-0.05038054
-11.63356	-0.1381718	-111.7845	-0.04880287
-10.62354	-0.1375648	-110.7652	-0.0470501
-9.61689	-0.1360546	-109.761	-0.04470007
-8.594025	-0.1347485	-108.7758	-0.04312413
-7.592895	-0.1322097	-107.7689	-0.04171029
-6.602067	-0.1315649	-106.7598	-0.03982923
-5.611773	-0.1299301	-105.7618	-0.03811286
-4.629437	-0.128286	-104.7517	-0.03497226
-3.654231	-0.1276273	-103.7394	-0.03321862
-2.685273	-0.1256269	-102.7454	-0.03221134
-1.706445	-0.1249998	-101.7457	-0.03192614
-0.7124103	-0.1239597	-100.7349	-0.03279126
0.2684625	-0.122319	-99.75621	-0.0318828
1.254919	-0.1213027	-98.7618	-0.03054438
2.249186	-0.1192523	-97.77263	-0.02957611
3.219988	-0.1186691	-96.7831	-0.02850468
4.234046	-0.1175709	-95.79266	-0.02709951
5.240511	-0.1159759	-94.7846	-0.02586772
6.220071	-0.1147671	-93.76302	-0.02336339
