Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA
Ru T4 50mv/seg	Ru T4 50mv/seg	Ru T9 50mv/seg - Adsorbido	Ru T9 50mv/seg - Adsorbido	au Control	
-515.3394	-15.94369	-515.3027	-0.428274	-515.5848	-17.53616
-514.3457	-15.84727	-514.2982	-0.407652	-514.5579	-17.47651
-513.3475	-15.75201	-513.277	-0.391725	-513.5719	-17.41974
-512.3203	-15.65628	-512.2665	-0.378309	-512.5912	-17.36463
-511.3153	-15.56649	-511.2938	-0.368215	-511.6099	-17.31475
-510.3273	-15.47508	-510.2996	-0.355781	-510.6385	-17.25864
-509.3136	-15.37798	-509.304	-0.340062	-509.6185	-17.20594
-508.3348	-15.28771	-508.3326	-0.326471	-508.608	-17.15935
-507.3502	-15.19892	-507.3204	-0.312533	-507.6056	-17.11168
-506.334	-15.10752	-506.3245	-0.298927	-506.5978	-17.06547
-505.3609	-15.02337	-505.357	-0.290587	-505.6161	-17.01719
-504.3605	-14.93188	-504.3279	-0.278682	-504.6308	-16.96482
-503.3766	-14.83523	-503.34	-0.265402	-503.6308	-16.91353
-502.3605	-14.73776	-502.3549	-0.255774	-502.6359	-16.86388
-501.3529	-14.6389	-501.3585	-0.245044	-501.6299	-16.81744
-500.3528	-14.5456	-500.3605	-0.237946	-500.6176	-16.77682
-499.3251	-14.45565	-499.366	-0.232451	-499.6324	-16.73652
-498.3525	-14.37028	-498.3823	-0.226085	-498.6291	-16.69457
-497.3705	-14.28746	-497.3566	-0.217988	-497.6109	-16.65259
-496.3685	-14.19929	-496.3522	-0.2068	-496.6276	-16.60812
-495.391	-14.11355	-495.3479	-0.199848	-495.6289	-16.56669
-494.3961	-14.02852	-494.327	-0.193581	-494.63	-16.53041
-493.3796	-13.93642	-493.3603	-0.187568	-493.6372	-16.49304
-492.3873	-13.84895	-492.3888	-0.187581	-492.6187	-16.45672
-491.3807	-13.75881	-491.3823	-0.183028	-491.5947	-16.42137
-490.3688	-13.6652	-490.3713	-0.175666	-490.5906	-16.38433
-489.3811	-13.5813	-489.3511	-0.17436	-489.591	-16.3511
-488.3759	-13.49956	-488.3401	-0.170665	-488.5844	-16.31726
-487.3902	-13.4222	-487.3459	-0.165905	-487.6135	-16.2832
-486.411	-13.35143	-486.3667	-0.166096	-486.6163	-16.25123
-485.4139	-13.2773	-485.3671	-0.162976	-485.6116	-16.21875
-484.4293	-13.20354	-484.3677	-0.160204	-484.6218	-16.18954
-483.4284	-13.12844	-483.3845	-0.16045	-483.6038	-16.16171
-482.4182	-13.05052	-482.372	-0.160225	-482.6141	-16.13366
-481.4058	-12.97625	-481.3766	-0.161924	-481.6333	-16.10841
-480.4137	-12.90176	-480.3705	-0.162108	-480.6542	-16.08203
-479.4052	-12.83053	-479.3462	-0.162555	-479.6705	-16.05478
-478.4121	-12.76379	-478.3524	-0.161895	-478.6813	-16.02945
-477.4016	-12.69561	-477.3404	-0.155489	-477.6711	-15.99932
-476.3785	-12.63315	-476.3461	-0.152808	-476.6575	-15.97114
-475.3843	-12.57265	-475.364	-0.152113	-475.6578	-15.9414
-474.3748	-12.51359	-474.3539	-0.150941	-474.6327	-15.91504
-473.3904	-12.463	-473.3746	-0.156601	-473.6509	-15.89273
-472.405	-12.4088	-472.3924	-0.159349	-472.6409	-15.86904
-471.3885	-12.35522	-471.3887	-0.16027	-471.6312	-15.85037
-470.3889	-12.30554	-470.4047	-0.162112	-470.6429	-15.82934
-469.4011	-12.25495	-469.4075	-0.162409	-469.6354	-15.80957
-468.4014	-12.21531	-468.4015	-0.16364	-468.647	-15.79053
-467.4187	-12.17756	-467.4048	-0.164227	-467.6655	-15.7679
-466.4186	-12.14128	-466.3954	-0.163184	-466.6579	-15.74344
-465.4095	-12.10627	-465.3747	-0.161026	-465.6551	-15.71542
-464.3784	-12.06453	-464.3515	-0.155811	-464.6334	-15.68581
-463.3621	-12.03324	-463.3162	-0.153771	-463.6008	-15.66057
-462.3553	-12.00624	-462.3004	-0.154673	-462.5968	-15.64105
-461.3425	-11.98302	-461.2857	-0.155387	-461.5968	-15.62218
-460.3793	-11.97164	-460.2753	-0.16024	-460.6395	-15.6045
-459.3795	-11.95725	-459.2896	-0.161774	-459.657	-15.58879
-458.3806	-11.94057	-458.2851	-0.160428	-458.6628	-15.5715
-457.385	-11.93325	-457.3092	-0.161386	-457.6736	-15.5597
-456.3953	-11.92615	-456.3465	-0.160648	-456.6572	-15.54589
-455.4163	-11.92194	-455.3641	-0.159542	-455.6613	-15.52711
-454.4464	-11.92448	-454.3776	-0.159361	-454.6765	-15.51127
-453.4705	-11.92416	-453.3606	-0.155884	-453.6613	-15.49056
-452.4572	-11.92508	-452.3424	-0.152289	-452.6428	-15.47378
-451.4462	-11.9285	-451.3327	-0.148406	-451.6337	-15.45759
-450.4061	-11.93888	-450.3262	-0.144859	-450.6198	-15.44163
-449.3866	-11.95369	-449.3469	-0.142877	-449.6338	-15.4286
-448.3746	-11.96855	-448.3582	-0.137957	-448.6462	-15.41036
-447.3612	-11.9884	-447.3638	-0.133243	-447.636	-15.39365
-446.389	-12.00648	-446.3962	-0.126442	-446.644	-15.37605
-445.3746	-12.02122	-445.3832	-0.115752	-445.6241	-15.35832
-444.4055	-12.04543	-444.385	-0.110239	-444.6183	-15.34653
-443.4179	-12.0691	-443.3897	-0.103724	-443.6132	-15.3343
-442.4031	-12.09468	-442.3737	-0.096798	-442.5854	-15.3199
-441.4463	-12.1282	-441.3878	-0.092713	-441.6017	-15.30623
-440.4243	-12.15555	-440.3713	-0.082814	-440.6124	-15.29138
-439.4159	-12.18146	-439.363	-0.071088	-439.6011	-15.27641
-438.4174	-12.21	-438.3579	-0.060053	-438.6197	-15.26304
-437.399	-12.23765	-437.3728	-0.047063	-437.6293	-15.2483
-436.3991	-12.26929	-436.3867	-0.035009	-436.6175	-15.2329
-435.3998	-12.30476	-435.3892	-0.023315	-435.6394	-15.21922
-434.4031	-12.33876	-434.3938	-0.010481	-434.6415	-15.2039
-433.3958	-12.37121	-433.3526	0.002758	-433.625	-15.1911
-432.3929	-12.40076	-432.3512	0.017443	-432.6183	-15.17835
-431.4046	-12.4335	-431.3824	0.029362	-431.6235	-15.16578
-430.4134	-12.46364	-430.3979	0.042059	-430.619	-15.15283
-429.4285	-12.48837	-429.412	0.058606	-429.6246	-15.13826
-428.4288	-12.51784	-428.4232	0.071836	-428.6326	-15.12278
-427.4196	-12.53651	-427.4076	0.092529	-427.6223	-15.10709
-426.3905	-12.55143	-426.3911	0.11729	-426.6149	-15.08877
-425.3571	-12.5709	-425.3854	0.13759	-425.6172	-15.07168
-424.359	-12.5852	-424.3539	0.161898	-424.6146	-15.05634
-423.3757	-12.60209	-423.3373	0.182535	-423.6128	-15.04056
-422.3976	-12.62442	-422.3367	0.1987	-422.6254	-15.03126
-421.4216	-12.64006	-421.3636	0.220298	-421.6274	-15.01816
-420.434	-12.65197	-420.3697	0.242165	-420.6444	-15.00533
-419.4321	-12.65907	-419.384	0.267046	-419.6425	-14.99179
-418.4182	-12.66173	-418.3802	0.293755	-418.6396	-14.97442
-417.4043	-12.66203	-417.3602	0.32095	-417.6318	-14.95961
-416.3781	-12.65595	-416.3687	0.351653	-416.6068	-14.9451
-415.351	-12.65127	-415.3466	0.379071	-415.6153	-14.9282
-414.3543	-12.64115	-414.3247	0.410452	-414.6138	-14.9137
-413.3256	-12.62372	-413.3017	0.445573	-413.5801	-14.89675
-412.3306	-12.61581	-412.2881	0.47027	-412.5792	-14.88099
-411.3322	-12.60365	-411.2944	0.498549	-411.5734	-14.86783
-410.343	-12.58897	-410.3187	0.526965	-410.5511	-14.84975
-409.3861	-12.58087	-409.3405	0.549697	-409.5847	-14.83611
-408.3938	-12.5614	-408.3307	0.582341	-408.5963	-14.82242
-407.4015	-12.53316	-407.3312	0.618945	-407.5987	-14.80746
-406.3947	-12.50445	-406.3486	0.653933	-406.6117	-14.79612
-405.3655	-12.46825	-405.3494	0.690778	-405.6109	-14.78441
-404.3609	-12.43159	-404.3856	0.726465	-404.6184	-14.76796
-403.3518	-12.39582	-403.401	0.760241	-403.6266	-14.75281
-402.3757	-12.35741	-402.3969	0.794515	-402.6401	-14.73404
-401.4045	-12.31489	-401.4066	0.830851	-401.6519	-14.71685
-400.3835	-12.26066	-400.3917	0.875018	-400.639	-14.69968
-399.4193	-12.21117	-399.385	0.914656	-399.6269	-14.68355
-398.3941	-12.15869	-398.371	0.956531	-398.6109	-14.66677
-397.3715	-12.09791	-397.3706	1.006254	-397.5902	-14.64435
-396.4088	-12.04805	-396.3925	1.045053	-396.6144	-14.62985
-395.4019	-11.98598	-395.3911	1.092923	-395.6177	-14.61321
-394.4023	-11.9141	-394.3849	1.143493	-394.6137	-14.59949
-393.4226	-11.85064	-393.3788	1.186136	-393.631	-14.58824
-392.4273	-11.78006	-392.3604	1.232429	-392.595	-14.57101
-391.4124	-11.70794	-391.3701	1.278721	-391.6043	-14.55333
-390.4351	-11.63736	-390.3744	1.323855	-390.622	-14.53631
-389.4428	-11.55382	-389.3911	1.375852	-389.6276	-14.51921
-388.4355	-11.46491	-388.4014	1.431496	-388.6432	-14.50189
-387.43	-11.36807	-387.3818	1.491286	-387.6263	-14.48372
-386.4231	-11.27381	-386.3771	1.549755	-386.6392	-14.46553
-385.4254	-11.18415	-385.3749	1.603592	-385.6336	-14.44554
-384.3996	-11.09106	-384.3734	1.659859	-384.639	-14.42612
-383.4232	-11.00328	-383.393	1.709441	-383.6519	-14.40959
-382.4359	-10.91077	-382.4205	1.761392	-382.6576	-14.39182
-381.4368	-10.80352	-381.4141	1.823043	-381.633	-14.3742
-380.4734	-10.70391	-380.4254	1.876577	-380.6437	-14.35837
-379.4777	-10.59725	-379.4286	1.935101	-379.6627	-14.33998
-378.4825	-10.4803	-378.4336	1.998976	-378.651	-14.32026
-377.4886	-10.36816	-377.4367	2.058495	-377.6844	-14.30212
-376.4966	-10.23978	-376.4285	2.129498	-376.6851	-14.28103
