Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 4 - 0.315mM	Adsorbido 4 - 0.315mM	Ru 0.315mM - Au Desnudo	Ru 0.315mM - Au Desnudo
-568.6913	-1.344598	-568.6744	-1.589677	-568.6271	-3.103969	-568.6671	-1.932488	-568.6686	-1.271974	-568.6388	-1.618192	-568.7161	-1.368607
-567.6708	-1.337184	-567.6406	-1.581529	-567.6294	-3.088976	-567.6715	-1.918977	-567.639	-1.259904	-567.6351	-1.602472	-567.7131	-1.363135
-566.6478	-1.329826	-566.639	-1.573874	-566.6158	-3.074408	-566.6599	-1.904979	-566.6412	-1.251539	-566.6221	-1.587314	-566.6835	-1.357459
-565.6331	-1.322943	-565.6332	-1.566008	-565.5996	-3.058803	-565.6369	-1.890226	-565.6373	-1.240178	-565.624	-1.571061	-565.6808	-1.350617
-564.638	-1.316426	-564.649	-1.558298	-564.6104	-3.044033	-564.6184	-1.875944	-564.6344	-1.226934	-564.6139	-1.55529	-564.6837	-1.344334
-563.6478	-1.309968	-563.6638	-1.551402	-563.6165	-3.028923	-563.6299	-1.860828	-563.6604	-1.215106	-563.6163	-1.540639	-563.6921	-1.33594
-562.663	-1.304031	-562.6638	-1.543992	-562.6282	-3.013475	-562.6408	-1.844922	-562.662	-1.203288	-562.65	-1.526223	-562.7051	-1.329277
-561.6738	-1.297489	-561.6717	-1.536581	-561.6357	-2.998313	-561.6473	-1.828357	-561.6629	-1.191471	-561.6425	-1.511121	-561.701	-1.323443
-560.6829	-1.28997	-560.6556	-1.529539	-560.6356	-2.982439	-560.6536	-1.811502	-560.6495	-1.179037	-560.655	-1.494807	-560.7097	-1.318343
-559.6718	-1.282776	-559.6518	-1.522495	-559.6442	-2.967157	-559.6451	-1.795632	-559.6545	-1.165522	-559.6726	-1.480035	-559.7166	-1.313445
-558.6848	-1.275132	-558.6716	-1.515272	-558.6431	-2.953289	-558.6486	-1.78079	-558.654	-1.151281	-558.6787	-1.464897	-558.7231	-1.306883
-557.686	-1.267452	-557.6824	-1.507553	-557.6552	-2.938769	-557.647	-1.765602	-557.6594	-1.135759	-557.6749	-1.449537	-557.7222	-1.29942
-556.7037	-1.26188	-556.6972	-1.500065	-556.6709	-2.925065	-556.662	-1.750914	-556.6867	-1.12116	-556.6816	-1.43732	-556.7243	-1.292582
-555.718	-1.255139	-555.7256	-1.492168	-555.6884	-2.91048	-555.6592	-1.735953	-555.6679	-1.105061	-555.6816	-1.422143	-555.7327	-1.285592
-554.7109	-1.248003	-554.7194	-1.48484	-554.6786	-2.893208	-554.6483	-1.720457	-554.6476	-1.089047	-554.649	-1.406034	-554.7432	-1.278914
-553.7241	-1.241431	-553.7166	-1.477632	-553.6544	-2.877371	-553.6578	-1.705953	-553.634	-1.074175	-553.6794	-1.391134	-553.7477	-1.271663
-552.6946	-1.233417	-552.699	-1.470998	-552.6375	-2.860546	-552.6454	-1.690568	-552.6166	-1.058991	-552.6872	-1.374637	-552.7546	-1.263546
-551.6818	-1.226327	-551.6868	-1.463245	-551.6183	-2.844315	-551.655	-1.673779	-551.6145	-1.044988	-551.6837	-1.35904	-551.7441	-1.25629
-550.6967	-1.219978	-550.6836	-1.456089	-550.6192	-2.829254	-550.6649	-1.657179	-550.6343	-1.030887	-550.6967	-1.344281	-550.7419	-1.250552
-549.6809	-1.21313	-549.6984	-1.448758	-549.6347	-2.813203	-549.6611	-1.639499	-549.6554	-1.016148	-549.6772	-1.327705	-549.7465	-1.245844
-548.6936	-1.207039	-548.7186	-1.440624	-548.6581	-2.797583	-548.6511	-1.622155	-548.6704	-1.000894	-548.6637	-1.310401	-548.7424	-1.23966
-547.7017	-1.201156	-547.7092	-1.433439	-547.6612	-2.781128	-547.6451	-1.604945	-547.6881	-0.984638	-547.6641	-1.292546	-547.7378	-1.233459
-546.6778	-1.195654	-546.7035	-1.42542	-546.6734	-2.76479	-546.6453	-1.58676	-546.6738	-0.968678	-546.6713	-1.275059	-546.7457	-1.226524
-545.6896	-1.189996	-545.6869	-1.418348	-545.6676	-2.749241	-545.6676	-1.56968	-545.6741	-0.95275	-545.6833	-1.259122	-545.7578	-1.220426
-544.6635	-1.183126	-544.6688	-1.411154	-544.6646	-2.733155	-544.6873	-1.552554	-544.6882	-0.937	-544.6735	-1.242491	-544.7547	-1.215229
-543.6538	-1.176259	-543.6833	-1.404021	-543.6569	-2.71835	-543.6907	-1.536855	-543.6788	-0.922353	-543.6681	-1.227242	-543.7644	-1.208276
-542.6702	-1.169245	-542.6991	-1.396819	-542.6433	-2.702892	-542.707	-1.5203	-542.691	-0.907135	-542.6691	-1.211598	-542.735	-1.201511
-541.6689	-1.162199	-541.7002	-1.388758	-541.6207	-2.686041	-541.668	-1.501986	-541.6686	-0.891294	-541.656	-1.193832	-541.6818	-1.193483
-540.6884	-1.156753	-540.712	-1.38219	-540.6046	-2.670376	-540.6462	-1.484615	-540.6391	-0.87663	-540.6626	-1.178593	-540.6802	-1.187498
-539.7097	-1.150848	-539.7216	-1.3751	-539.6126	-2.654645	-539.656	-1.466557	-539.6481	-0.860861	-539.681	-1.16256	-539.66	-1.182495
-538.6974	-1.145245	-538.7112	-1.367637	-538.6225	-2.638709	-538.619	-1.448972	-538.6417	-0.845353	-538.6842	-1.145742	-538.6577	-1.175974
-537.6851	-1.140034	-537.7136	-1.360922	-537.6599	-2.623414	-537.6747	-1.434057	-537.6796	-0.831873	-537.7129	-1.130147	-537.6985	-1.170615
-536.6954	-1.133324	-536.7065	-1.35247	-536.6628	-2.607017	-536.7009	-1.417192	-536.6954	-0.81722	-536.722	-1.112097	-536.7218	-1.163017
-535.675	-1.126727	-535.6855	-1.344736	-535.6733	-2.589561	-535.688	-1.399167	-535.6887	-0.80414	-535.7231	-1.094002	-535.7371	-1.156407
-534.6877	-1.119657	-534.6732	-1.337487	-534.6609	-2.572582	-534.7162	-1.381649	-534.7051	-0.792049	-534.7279	-1.077205	-534.7789	-1.15107
-533.722	-1.113686	-533.6901	-1.329593	-533.6533	-2.556242	-533.6971	-1.36236	-533.6971	-0.778344	-533.729	-1.060282	-533.7668	-1.145158
-532.7297	-1.107695	-532.6984	-1.322208	-532.661	-2.5409	-532.6793	-1.344992	-532.6848	-0.764901	-532.7206	-1.045646	-532.7565	-1.141118
-531.7422	-1.102236	-531.7133	-1.314442	-531.6666	-2.525376	-531.687	-1.327954	-531.7109	-0.751365	-531.7136	-1.030938	-531.7715	-1.136808
-530.752	-1.096474	-530.7224	-1.306636	-530.6768	-2.509837	-530.6744	-1.31165	-530.6856	-0.736867	-530.7025	-1.015198	-530.7466	-1.131248
-529.7365	-1.091022	-529.7079	-1.299029	-529.682	-2.493424	-529.6757	-1.294065	-529.6637	-0.721959	-529.6913	-0.999605	-529.754	-1.123724
-528.7115	-1.08522	-528.6971	-1.291218	-528.6871	-2.475419	-528.6718	-1.275087	-528.6683	-0.705455	-528.7006	-0.981131	-528.7429	-1.11624
-527.7268	-1.080145	-527.6984	-1.283604	-527.6833	-2.458596	-527.6703	-1.25696	-527.6563	-0.688604	-527.6861	-0.963203	-527.7238	-1.108644
-526.7137	-1.07524	-526.6934	-1.276152	-526.6794	-2.441369	-526.6737	-1.23925	-526.6712	-0.671587	-526.6844	-0.94593	-526.7209	-1.102425
-525.7147	-1.068204	-525.6808	-1.26842	-525.6667	-2.423431	-525.6673	-1.221663	-525.679	-0.654187	-525.6763	-0.927862	-525.7045	-1.096932
-524.7408	-1.063403	-524.7063	-1.26128	-524.677	-2.406234	-524.6846	-1.205294	-524.6866	-0.639981	-524.6577	-0.912849	-524.7039	-1.090716
-523.7275	-1.056727	-523.7151	-1.253423	-523.6733	-2.38774	-523.6818	-1.187651	-523.6709	-0.624691	-523.6659	-0.897194	-523.7044	-1.084847
-522.7406	-1.050142	-522.7347	-1.245384	-522.6562	-2.36889	-522.6787	-1.165974	-522.6804	-0.608898	-522.6619	-0.880401	-522.7057	-1.078051
-521.7408	-1.044956	-521.7469	-1.237594	-521.6613	-2.351802	-521.6803	-1.145154	-521.6808	-0.595547	-521.6671	-0.865362	-521.7167	-1.073379
-520.7383	-1.038702	-520.738	-1.228938	-520.657	-2.334771	-520.665	-1.11989	-520.6676	-0.580073	-520.6757	-0.84888	-520.7241	-1.068259
-519.7377	-1.032853	-519.7147	-1.220842	-519.648	-2.31822	-519.6448	-1.090905	-519.6713	-0.565024	-519.675	-0.833203	-519.7286	-1.061723
-518.7278	-1.027639	-518.6989	-1.213024	-518.6545	-2.302113	-518.6517	-1.079345	-518.6785	-0.550636	-518.694	-0.818358	-518.7361	-1.056328
-517.7296	-1.021934	-517.6696	-1.204919	-517.6571	-2.284558	-517.6519	-1.070685	-517.676	-0.534124	-517.6694	-0.801525	-517.7251	-1.050489
-516.7054	-1.015796	-516.6477	-1.196965	-516.6377	-2.266423	-516.6668	-1.07084	-516.6764	-0.51726	-516.6647	-0.784848	-516.7158	-1.044568
-515.6826	-1.010286	-515.627	-1.188756	-515.6238	-2.247872	-515.6774	-1.065147	-515.6732	-0.500189	-515.6548	-0.767267	-515.6976	-1.038955
-514.6699	-1.004331	-514.6048	-1.180808	-514.6371	-2.229681	-514.6743	-1.051175	-514.6492	-0.484786	-514.637	-0.750548	-514.6875	-1.033477
-513.6591	-0.998624	-513.6208	-1.172822	-513.618	-2.21129	-513.6706	-1.028902	-513.6633	-0.470537	-513.6438	-0.735899	-513.696	-1.027781
