Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 1 - 31.5uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 2 -31.5 uM	Ciclado - 20 ciclos 3 - 31.5uM	Ciclado - 20 ciclos 3 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 1 - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 2  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 3  - 31.5uM	Adsorbido 4  - 31.5uM	Adsorbido 4  - 31.5uM	Ru 31.5uM - Au Desnudo	Ru 31.5uM - Au Desnudo
-573.6302	-1.721714	-573.6729	-1.267373	-573.6174	-1.454818	-573.6631	-2.613126	-573.6813	-2.341376	-573.6441	-2.366924	-573.6364	-2.167054	-573.6144	-1.322603
-572.6442	-1.713682	-572.6649	-1.262963	-572.6059	-1.448441	-572.6566	-2.602617	-572.683	-2.331382	-572.6475	-2.357706	-572.6379	-2.157567	-572.6194	-1.317712
-571.6475	-1.705787	-571.6326	-1.258015	-571.61	-1.441311	-571.6589	-2.592355	-571.6774	-2.322026	-571.6481	-2.347286	-571.6226	-2.148664	-571.6107	-1.313246
-570.6573	-1.696742	-570.6391	-1.252312	-570.5933	-1.434797	-570.6552	-2.58298	-570.6541	-2.312673	-570.6317	-2.338149	-570.6094	-2.139659	-570.6118	-1.308126
-569.6674	-1.688655	-569.6445	-1.246898	-569.6136	-1.429312	-569.6611	-2.57416	-569.6642	-2.303663	-569.6558	-2.329445	-569.6155	-2.132996	-569.6409	-1.302352
-568.6547	-1.680241	-568.6429	-1.240883	-568.6495	-1.423315	-568.6476	-2.563559	-568.6722	-2.295367	-568.6405	-2.320128	-568.6179	-2.124684	-568.6436	-1.296089
-567.6608	-1.671367	-567.6595	-1.235823	-567.6307	-1.417919	-567.6334	-2.552413	-567.6676	-2.286284	-567.6367	-2.310846	-567.6196	-2.116009	-567.6284	-1.289201
-566.6481	-1.663137	-566.6451	-1.231611	-566.6051	-1.412322	-566.6198	-2.541885	-566.6466	-2.277831	-566.645	-2.301408	-566.6184	-2.107672	-566.6346	-1.2794
-565.6316	-1.655768	-565.6295	-1.22706	-565.5872	-1.406228	-565.5991	-2.530973	-565.6464	-2.269172	-565.6348	-2.291548	-565.6194	-2.098083	-565.6186	-1.268911
-564.6716	-1.647976	-564.641	-1.223921	-564.5754	-1.400846	-564.6169	-2.519981	-564.6348	-2.259811	-564.6362	-2.281515	-564.6315	-2.089422	-564.6274	-1.261675
-563.6557	-1.640395	-563.632	-1.218862	-563.5654	-1.394951	-563.609	-2.509889	-563.6414	-2.250766	-563.6395	-2.272072	-563.6569	-2.080166	-563.6362	-1.257621
-562.6694	-1.633535	-562.6549	-1.213583	-562.5889	-1.388305	-562.6359	-2.498713	-562.6478	-2.241766	-562.6453	-2.262485	-562.6605	-2.070407	-562.6377	-1.257985
-561.6918	-1.626083	-561.6835	-1.209935	-561.5905	-1.382634	-561.6525	-2.487398	-561.6309	-2.231818	-561.6521	-2.252883	-561.6731	-2.06149	-561.6638	-1.258536
-560.6564	-1.618507	-560.6714	-1.203923	-560.6014	-1.375779	-560.6431	-2.47695	-560.6177	-2.220785	-560.6603	-2.242881	-560.6639	-2.05194	-560.6488	-1.256022
-559.651	-1.611892	-559.6853	-1.200017	-559.6313	-1.369612	-559.6501	-2.467131	-559.6108	-2.210956	-559.6661	-2.233977	-559.6594	-2.042884	-559.6628	-1.251112
-558.645	-1.603795	-558.6756	-1.196152	-558.644	-1.364535	-558.6494	-2.457606	-558.6239	-2.20089	-558.6683	-2.225557	-558.6815	-2.034944	-558.6704	-1.245492
-557.6158	-1.5946	-557.6503	-1.190624	-557.6455	-1.357739	-557.6486	-2.448351	-557.625	-2.192106	-557.6781	-2.217061	-557.6766	-2.026766	-557.6523	-1.240282
-556.6042	-1.586689	-556.6589	-1.185402	-556.6507	-1.352013	-556.6475	-2.440166	-556.6482	-2.185364	-556.6885	-2.210001	-556.6833	-2.018941	-556.6676	-1.236131
-555.6192	-1.578079	-555.6541	-1.180457	-555.6553	-1.346793	-555.6642	-2.430432	-555.6494	-2.177423	-555.6846	-2.20184	-555.7006	-2.010988	-555.6526	-1.231336
-554.6134	-1.569842	-554.6473	-1.176097	-554.6437	-1.340813	-554.6483	-2.420189	-554.6631	-2.16961	-554.6725	-2.19269	-554.6862	-2.002036	-554.6647	-1.225585
-553.6377	-1.563336	-553.6608	-1.172909	-553.6447	-1.33651	-553.6307	-2.410717	-553.653	-2.161673	-553.67	-2.184452	-553.6891	-1.993086	-553.6764	-1.220174
-552.6613	-1.556203	-552.6611	-1.169511	-552.6376	-1.331299	-552.6478	-2.399922	-552.6525	-2.152724	-552.6649	-2.175686	-552.6722	-1.984065	-552.6588	-1.213582
-551.6835	-1.549273	-551.6719	-1.164317	-551.6361	-1.324814	-551.6286	-2.389266	-551.6454	-2.144295	-551.6664	-2.166667	-551.6544	-1.975114	-551.6686	-1.208039
-550.6993	-1.542919	-550.6899	-1.159946	-550.6436	-1.319332	-550.6359	-2.379033	-550.6516	-2.135356	-550.6874	-2.158582	-550.6601	-1.966522	-550.6514	-1.203607
-549.6925	-1.535398	-549.6875	-1.155163	-549.6429	-1.312816	-549.6498	-2.368431	-549.6875	-2.12563	-549.6853	-2.148872	-549.659	-1.958319	-549.6576	-1.199091
-548.6833	-1.527913	-548.6765	-1.15072	-548.6464	-1.30713	-548.6172	-2.358151	-548.6851	-2.115373	-548.6913	-2.138849	-548.6586	-1.949826	-548.6852	-1.195502
