Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-561.8033	-2.956092	-561.7794	-1.496933	-561.7808	-2.678838	-561.7263	-2.12486	-561.7291	-2.350086	-561.9432	-2.231074
-560.8016	-2.949557	-560.7697	-1.493849	-560.7885	-2.67199	-560.724	-2.117248	-560.7485	-2.343122	-560.9525	-2.218818
-559.7984	-2.942243	-559.7693	-1.48865	-559.7975	-2.664678	-559.7279	-2.11145	-559.7488	-2.334925	-559.9572	-2.206088
-558.8093	-2.935428	-558.7431	-1.481409	-558.7811	-2.659863	-558.734	-2.104131	-558.7522	-2.326239	-558.9547	-2.195633
-557.7943	-2.927104	-557.7291	-1.478659	-557.7633	-2.65078	-557.7761	-2.096624	-557.7655	-2.31914	-557.9267	-2.185176
-556.808	-2.91685	-556.7463	-1.475269	-556.7667	-2.644161	-556.7997	-2.091355	-556.773	-2.311898	-556.9271	-2.174461
-555.8147	-2.908237	-555.7592	-1.472012	-555.7601	-2.638917	-555.8019	-2.08499	-555.7891	-2.304538	-555.9258	-2.165885
-554.7886	-2.89914	-554.7823	-1.46972	-554.7515	-2.63025	-554.7928	-2.079812	-554.7781	-2.295953	-554.9212	-2.15073
-553.7897	-2.893918	-553.7922	-1.464576	-553.7738	-2.62275	-553.7866	-2.074411	-553.752	-2.287777	-553.9366	-2.14012
-552.7907	-2.888928	-552.7929	-1.460011	-552.7443	-2.615141	-552.7881	-2.067217	-552.7444	-2.280249	-552.9396	-2.128841
-551.7831	-2.882029	-551.7941	-1.456109	-551.7527	-2.607173	-551.7834	-2.060438	-551.7556	-2.273292	-551.9387	-2.119124
