Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 0.63mM	Ciclado - 20 ciclos 1 - 0.63mM	Ciclado - 6 ciclos 2 - 0.63mM	Ciclado - 6 ciclos 2 - 0.63mM	Adsorbido 1 - 0.63mM	Adsorbido 1 - 0.63mM	Adsorbido 2 - 0.63mM	Adsorbido 2 - 0.63mM	Adsorbido 3 - 0.63mM	Adsorbido 3 - 0.63mM	Adsorbido 4 - 0.63mM	Adsorbido 4 - 0.63mM	Adsorbido 5 - 0.63mM	Adsorbido 5 - 0.63mM	Ru 0.63mM - Au Desnudo	Ru 0.63mM - Au Desnudo
-600.1087	-1.791518	-600.1184	-4.238458	-600.112	-2.557536	-600.1287	-1.697051	-600.0679	-2.469695	-600.0634	-2.718032	-600.173	-2.618586	-600.1305	-3.45725
-599.8706	-1.782507	-599.8886	-4.225186	-599.8772	-2.546455	-599.8942	-1.686584	-599.8394	-2.457101	-599.8481	-2.703676	-599.9332	-2.603241	-599.8912	-3.437242
-599.379	-1.770703	-599.3997	-4.204481	-599.3849	-2.530841	-599.3993	-1.672092	-599.3728	-2.438785	-599.37	-2.683306	-599.4161	-2.580664	-599.4092	-3.410272
-598.6494	-1.757143	-598.668	-4.178094	-598.6533	-2.511539	-598.6619	-1.65502	-598.631	-2.416346	-598.657	-2.658399	-598.6575	-2.553568	-598.6927	-3.378489
-597.6642	-1.740258	-597.6733	-4.145407	-597.6572	-2.489025	-597.6557	-1.635051	-597.6592	-2.389419	-597.6825	-2.62852	-597.6537	-2.520302	-597.7291	-3.339713
-596.6687	-1.730536	-596.6637	-4.120848	-596.6609	-2.473902	-596.6511	-1.622554	-596.6782	-2.371566	-596.6702	-2.608535	-596.6493	-2.498696	-596.7393	-3.317746
-595.674	-1.722162	-595.6556	-4.098188	-595.6647	-2.459561	-595.6538	-1.610941	-595.6901	-2.355534	-595.6795	-2.589921	-595.6835	-2.478321	-595.7437	-3.296666
-594.6702	-1.712845	-594.6447	-4.075701	-594.6546	-2.446589	-594.6662	-1.598929	-594.7129	-2.339409	-594.6597	-2.572066	-594.7035	-2.458926	-594.7499	-3.275172
-593.6605	-1.704781	-593.6567	-4.052999	-593.657	-2.433057	-593.6694	-1.586724	-593.7153	-2.323245	-593.6538	-2.553804	-593.7036	-2.440475	-593.7494	-3.255012
-592.6507	-1.696747	-592.6353	-4.030716	-592.6284	-2.420742	-592.6571	-1.575044	-592.6866	-2.3077	-592.6358	-2.536376	-592.6854	-2.42133	-592.7483	-3.234654
-591.6543	-1.688831	-591.6417	-4.009107	-591.6295	-2.408996	-591.6588	-1.564552	-591.6602	-2.293095	-591.6425	-2.519628	-591.6696	-2.403883	-591.7422	-3.215416
-590.66	-1.682092	-590.6647	-3.988048	-590.6494	-2.395836	-590.6413	-1.553591	-590.6621	-2.279949	-590.6614	-2.502861	-590.6489	-2.385777	-590.7221	-3.198085
-589.6564	-1.675203	-589.6495	-3.968076	-589.6379	-2.382696	-589.6479	-1.543158	-589.6468	-2.266342	-589.6678	-2.48703	-589.6462	-2.368249	-589.7084	-3.180593
