Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Adsorbido 1 - 15uM	Adsorbido 1 - 15uM	Adsorbido 2 - 15uM	Adsorbido 2 - 15uM	Adsorbido 3 - 15uM	Adsorbido 3 - 15uM	Adsorbido 4 - 15uM	Adsorbido 4 - 15uM	Adsorbido 5 - 15uM	Adsorbido 5 - 15uM	Ciclado - 11 ciclos 2 - 15uM	Ciclado - 11 ciclos 2 - 15uM	Ciclado - 20 ciclos 1 - 15uM	Ciclado - 20 ciclos 1 - 15uM	Ru 15uM - Au Desnudo	Ru 15uM - Au Desnudo
-600.3268	-3.631207	-600.3587	-3.35362	-600.2441	-3.615652	-600.31	-3.175714	-600.3649	-3.720003	-600.2714	-2.191592	-600.3519	-2.085901	-600.3958	-2.291952
-600.1028	-3.619406	-600.1158	-3.34151	-600.036	-3.600644	-600.0891	-3.164053	-600.1159	-3.708416	-600.0538	-2.183149	-600.1307	-2.074261	-600.1472	-2.282237
-599.6046	-3.599549	-599.6082	-3.322229	-599.5574	-3.579266	-599.6097	-3.145165	-599.6188	-3.690835	-599.5963	-2.170158	-599.6451	-2.060231	-599.642	-2.268964
-598.8787	-3.574143	-598.8715	-3.298703	-598.8486	-3.551421	-598.8768	-3.1213	-598.8675	-3.66572	-598.8878	-2.152825	-598.9044	-2.041348	-598.8953	-2.251169
-597.8643	-3.543073	-597.8862	-3.268101	-597.8586	-3.51849	-597.9001	-3.090712	-597.8681	-3.632725	-597.9089	-2.131715	-597.915	-2.018438	-597.886	-2.229231
-596.8533	-3.51973	-596.8956	-3.24415	-596.8414	-3.495754	-596.8868	-3.067353	-596.8748	-3.607776	-596.9116	-2.11752	-596.9182	-2.006781	-596.8859	-2.214437
-595.8677	-3.497346	-595.9003	-3.221116	-595.8474	-3.473043	-595.8896	-3.043946	-595.8797	-3.582022	-595.8986	-2.101916	-595.9076	-1.990848	-595.8966	-2.198299
-594.8611	-3.475312	-594.8898	-3.198315	-594.838	-3.451868	-594.8925	-3.022725	-594.9063	-3.558021	-594.8972	-2.088142	-594.9196	-1.978082	-594.9017	-2.181937
-593.8569	-3.45296	-593.8844	-3.176721	-593.8412	-3.429964	-593.8779	-3.004233	-593.9147	-3.535444	-593.901	-2.074862	-593.9065	-1.967074	-593.9214	-2.164932
-592.8405	-3.42841	-592.8557	-3.154297	-592.8382	-3.407956	-592.8636	-2.986086	-592.9147	-3.510697	-592.8904	-2.06006	-592.8732	-1.951711	-592.9145	-2.147678
-591.8227	-3.407636	-591.8612	-3.1358	-591.8582	-3.386843	-591.8431	-2.970172	-591.9096	-3.485694	-591.9026	-2.04919	-591.8561	-1.940855	-591.8887	-2.130803
-590.8068	-3.385423	-590.8722	-3.116626	-590.87	-3.365185	-590.8547	-2.951089	-590.9012	-3.464046	-590.8901	-2.037045	-590.8584	-1.928496	-590.8832	-2.117687
-589.8234	-3.363117	-589.8499	-3.097713	-589.8727	-3.344015	-589.853	-2.93253	-589.8887	-3.443761	-589.8734	-2.024021	-589.8683	-1.915782	-589.8581	-2.103952
-588.8398	-3.344142	-588.8724	-3.080157	-588.8973	-3.324015	-588.8846	-2.913134	-588.897	-3.4238	-588.8923	-2.012149	-588.8956	-1.905758	-588.8719	-2.090535
-587.8649	-3.323056	-587.8761	-3.059319	-587.8858	-3.304424	-587.9148	-2.895154	-587.9069	-3.404197	-587.8903	-1.998076	-587.9269	-1.894502	-587.8981	-2.078027
-586.8984	-3.301882	-586.8683	-3.0375	-586.8684	-3.286263	-586.9108	-2.878395	-586.9059	-3.384867	-586.9065	-1.984092	-586.9208	-1.88235	-586.8952	-2.063495
-585.9082	-3.282554	-585.8918	-3.017327	-585.8745	-3.2669	-585.9229	-2.861312	-585.928	-3.367134	-585.9146	-1.971741	-585.9246	-1.871593	-585.9131	-2.05201
-584.9161	-3.262262	-584.89	-2.999132	-584.8649	-3.247134	-584.9089	-2.843634	-584.931	-3.350145	-584.9193	-1.957139	-584.9004	-1.858998	-584.9084	-2.038676
-583.9092	-3.241846	-583.9045	-2.98067	-583.8822	-3.228207	-583.9147	-2.822902	-583.9374	-3.33552	-583.9172	-1.944609	-583.8966	-1.847598	-583.916	-2.027222
-582.9008	-3.224225	-582.915	-2.963053	-582.9067	-3.209404	-582.9326	-2.806223	-582.9578	-3.317822	-582.9075	-1.934085	-582.9082	-1.838473	-582.9445	-2.015249
-581.8904	-3.20546	-581.9054	-2.946305	-581.9171	-3.191544	-581.9349	-2.789625	-581.9433	-3.299	-581.9434	-1.922805	-581.8987	-1.826884	-581.9314	-2.001383
-580.8733	-3.185403	-580.9169	-2.930025	-580.9159	-3.174032	-580.9411	-2.775355	-580.9304	-3.281626	-580.9286	-1.911845	-580.9115	-1.816312	-580.9522	-1.990059
-579.8542	-3.16633	-579.9018	-2.914956	-579.9074	-3.156516	-579.92	-2.76333	-579.9117	-3.263352	-579.9397	-1.902621	-579.9224	-1.804647	-579.9225	-1.975782
-578.8426	-3.146937	-578.8906	-2.900198	-578.8953	-3.139742	-578.9022	-2.748886	-578.8958	-3.244828	-578.9523	-1.891823	-578.9124	-1.793643	-578.8834	-1.96138
-577.8618	-3.128472	-577.9059	-2.885532	-577.9125	-3.123088	-577.8925	-2.735118	-577.9011	-3.225637	-577.9432	-1.879565	-577.9283	-1.783472	-577.8817	-1.948621
-576.8821	-3.109944	-576.8956	-2.867966	-576.9244	-3.106975	-576.8997	-2.720621	-576.9014	-3.208382	-576.9519	-1.870063	-576.9423	-1.772919	-576.8409	-1.935394
-575.9053	-3.092713	-575.9102	-2.852559	-575.9207	-3.09028	-575.9174	-2.706568	-575.9001	-3.192004	-575.9467	-1.857529	-575.9435	-1.763626	-575.8655	-1.923172
-574.9087	-3.07595	-574.9204	-2.837877	-574.9171	-3.071308	-574.936	-2.69266	-574.8987	-3.176301	-574.9395	-1.846923	-574.9549	-1.751762	-574.8771	-1.912884
-573.8918	-3.060021	-573.8888	-2.820422	-573.9052	-3.053916	-573.9265	-2.676948	-573.8925	-3.160711	-573.9254	-1.835329	-573.9398	-1.739423	-573.8683	-1.903016
-572.8861	-3.045789	-572.8984	-2.80567	-572.904	-3.035559	-572.9458	-2.662563	-572.9103	-3.143971	-572.9066	-1.822666	-572.9146	-1.729387	-572.8927	-1.895109
-571.9037	-3.030194	-571.9074	-2.788774	-571.9097	-3.019759	-571.949	-2.649099	-571.9285	-3.126332	-571.8926	-1.813231	-571.9094	-1.718771	-571.8942	-1.886683
-570.899	-3.013373	-570.9042	-2.771677	-570.9299	-3.005473	-570.923	-2.63243	-570.9288	-3.10973	-570.8942	-1.801224	-570.9074	-1.708411	-570.91	-1.876697
-569.9212	-2.996896	-569.9394	-2.757247	-569.9268	-2.993161	-569.9357	-2.61974	-569.936	-3.095221	-569.8898	-1.793803	-569.9359	-1.699939	-569.9307	-1.865015
-568.9193	-2.980415	-568.9301	-2.742315	-568.9268	-2.981471	-568.8946	-2.606325	-568.9051	-3.077868	-568.9091	-1.785791	-568.9401	-1.689001	-568.9276	-1.852301
-567.8836	-2.96456	-567.8882	-2.728957	-567.9019	-2.966756	-567.866	-2.593095	-567.8939	-3.060906	-567.9026	-1.775244	-567.9097	-1.678457	-567.9095	-1.84075
-566.8739	-2.951318	-566.8652	-2.716136	-566.877	-2.953922	-566.8864	-2.582464	-566.8757	-3.042826	-566.8904	-1.766826	-566.9081	-1.669412	-566.9028	-1.831146
-565.8559	-2.935981	-565.8419	-2.70447	-565.8666	-2.937375	-565.8838	-2.570384	-565.8658	-3.024496	-565.8679	-1.756312	-565.885	-1.659731	-565.9102	-1.822363
-564.8522	-2.918324	-564.8474	-2.690964	-564.8542	-2.923453	-564.8928	-2.557931	-564.8976	-3.009789	-564.8717	-1.747457	-564.8889	-1.651386	-564.9005	-1.813703
-563.8493	-2.901259	-563.8677	-2.677412	-563.8624	-2.909949	-563.9096	-2.545309	-563.9114	-2.99645	-563.8877	-1.736677	-563.9025	-1.640735	-563.9146	-1.803018
-562.8558	-2.885767	-562.888	-2.664888	-562.8726	-2.896338	-562.8947	-2.533935	-562.9217	-2.983266	-562.8922	-1.729313	-562.9049	-1.631743	-562.9156	-1.790003
-561.8485	-2.87161	-561.8983	-2.651546	-561.9	-2.883721	-561.9131	-2.520171	-561.9271	-2.969178	-561.9219	-1.721436	-561.9125	-1.621717	-561.9161	-1.780875
-560.8325	-2.860828	-560.8848	-2.639276	-560.9069	-2.865626	-560.9114	-2.506454	-560.9093	-2.95292	-560.9198	-1.711938	-560.9246	-1.611385	-560.9054	-1.770593
-559.844	-2.850753	-559.898	-2.627255	-559.9267	-2.849653	-559.9216	-2.4936	-559.9115	-2.93728	-559.9058	-1.703773	-559.9288	-1.602122	-559.9151	-1.762683
-558.8614	-2.838651	-558.9142	-2.612443	-558.9312	-2.833838	-558.9097	-2.480483	-558.9246	-2.922411	-558.9164	-1.692624	-558.915	-1.59261	-558.9142	-1.756854
-557.8719	-2.82616	-557.928	-2.594771	-557.9031	-2.820254	-557.899	-2.46909	-557.9241	-2.909503	-557.9155	-1.682464	-557.9119	-1.582322	-557.902	-1.747566
-556.9046	-2.81182	-556.9556	-2.581404	-556.9166	-2.80953	-556.9167	-2.457911	-556.9406	-2.899884	-556.9308	-1.676481	-556.9045	-1.574847	-556.9304	-1.739422
-555.8984	-2.796677	-555.9572	-2.568693	-555.8846	-2.799408	-555.8887	-2.447211	-555.9564	-2.88869	-555.944	-1.66779	-555.9064	-1.566272	-555.9269	-1.730578
-554.8977	-2.780065	-554.9403	-2.557509	-554.8543	-2.787457	-554.9059	-2.436189	-554.9523	-2.876169	-554.9307	-1.659563	-554.9205	-1.55686	-554.9153	-1.720857
-553.8992	-2.765354	-553.9297	-2.547711	-553.8739	-2.775775	-553.9125	-2.425643	-553.958	-2.859413	-553.9415	-1.654122	-553.9225	-1.548119	-553.9298	-1.711298
-552.8726	-2.750551	-552.9268	-2.535882	-552.8614	-2.763743	-552.9095	-2.41511	-552.9489	-2.843711	-552.9166	-1.641336	-552.9178	-1.537542	-552.9066	-1.701453
-551.8914	-2.73586	-551.9279	-2.523862	-551.897	-2.750562	-551.9321	-2.402515	-551.9303	-2.829373	-551.918	-1.632839	-551.9296	-1.530017	-551.8916	-1.692654
-550.8786	-2.723727	-550.9413	-2.51337	-550.9374	-2.738174	-550.9349	-2.391336	-550.9467	-2.819856	-550.9184	-1.623731	-550.9207	-1.52004	-550.8984	-1.682353
-549.8742	-2.711358	-549.9431	-2.502875	-549.9496	-2.725242	-549.9241	-2.378266	-549.9611	-2.81198	-549.8994	-1.612601	-549.9252	-1.510421	-549.9113	-1.672621
-548.8804	-2.701194	-548.9464	-2.491835	-548.9395	-2.710835	-548.9203	-2.366563	-548.9622	-2.800086	-548.9155	-1.60427	-548.9419	-1.501595	-548.9315	-1.663485
-547.8798	-2.689231	-547.9394	-2.47982	-547.9174	-2.697717	-547.9168	-2.357476	-547.9413	-2.788981	-547.9069	-1.597348	-547.9409	-1.492719	-547.91	-1.654099
-546.8749	-2.67738	-546.947	-2.466266	-546.912	-2.684573	-546.9252	-2.344117	-546.9258	-2.776243	-546.9265	-1.588317	-546.9494	-1.48452	-546.9058	-1.646984
-545.8846	-2.663927	-545.9413	-2.454896	-545.8804	-2.67178	-545.9332	-2.331165	-545.8997	-2.763655	-545.9557	-1.576939	-545.9583	-1.477341	-545.8972	-1.638641
-544.9119	-2.650726	-544.9404	-2.442251	-544.8888	-2.662166	-544.9381	-2.320138	-544.9044	-2.751763	-544.9391	-1.569698	-544.9528	-1.468737	-544.8889	-1.630594
-543.9109	-2.639472	-543.9324	-2.430637	-543.9038	-2.6519	-543.9558	-2.309586	-543.9459	-2.738308	-543.965	-1.561707	-543.9413	-1.457952	-543.9216	-1.621268
-542.9114	-2.626276	-542.9251	-2.421539	-542.8855	-2.641838	-542.9393	-2.301762	-542.9473	-2.722218	-542.9545	-1.556038	-542.9165	-1.44951	-542.9286	-1.611468
-541.9016	-2.611331	-541.9199	-2.409973	-541.8787	-2.629639	-541.9187	-2.293397	-541.9406	-2.707297	-541.941	-1.548876	-541.8776	-1.43885	-541.9099	-1.603737
-540.8631	-2.596717	-540.9103	-2.399247	-540.8704	-2.61865	-540.9366	-2.28459	-540.9286	-2.695069	-540.9254	-1.541749	-540.8541	-1.430017	-540.9055	-1.594171
-539.8579	-2.58228	-539.9415	-2.389042	-539.8745	-2.607134	-539.911	-2.273116	-539.8914	-2.682922	-539.8955	-1.532955	-539.8511	-1.421601	-539.8972	-1.583965
-538.8611	-2.569262	-538.9373	-2.376874	-538.9068	-2.596124	-538.9155	-2.262598	-538.8842	-2.673837	-538.8942	-1.52333	-538.8626	-1.413268	-538.8957	-1.574335
-537.8906	-2.561028	-537.9552	-2.367373	-537.935	-2.585208	-537.9489	-2.254617	-537.92	-2.666907	-537.9004	-1.518829	-537.8976	-1.406296	-537.9066	-1.566679
-536.919	-2.550334	-536.9641	-2.358324	-536.9403	-2.570889	-536.9446	-2.244377	-536.9421	-2.657252	-536.9467	-1.509895	-536.9297	-1.398163	-536.9353	-1.558503
-535.9233	-2.541513	-535.9556	-2.348421	-535.9255	-2.557914	-535.9622	-2.23536	-535.9684	-2.647503	-535.9578	-1.503408	-535.9442	-1.389808	-535.9438	-1.552661
-534.9349	-2.532017	-534.9539	-2.339941	-534.9136	-2.544407	-534.9709	-2.225079	-534.9882	-2.634289	-534.967	-1.495437	-534.9608	-1.380228	-534.9528	-1.546204
-533.9244	-2.521475	-533.9708	-2.32766	-533.9139	-2.534619	-533.9816	-2.214296	-533.9732	-2.619332	-533.9753	-1.485576	-533.9608	-1.371151	-533.9494	-1.536157
-532.928	-2.511086	-532.9549	-2.317235	-532.9383	-2.525962	-532.9588	-2.204427	-532.9771	-2.601837	-532.9616	-1.478994	-532.9421	-1.362461	-532.9331	-1.529728
-531.9182	-2.497447	-531.9484	-2.308796	-531.9537	-2.516339	-531.9624	-2.194228	-531.9788	-2.58007	-531.9595	-1.470603	-531.9308	-1.355612	-531.9374	-1.520345
-530.915	-2.485415	-530.9474	-2.299833	-530.9666	-2.508596	-530.9562	-2.185514	-530.966	-2.564206	-530.9408	-1.465868	-530.9043	-1.347795	-530.9509	-1.513253
-529.9142	-2.472599	-529.9257	-2.294197	-529.965	-2.499326	-529.9296	-2.177662	-529.9655	-2.548627	-529.9202	-1.461746	-529.8951	-1.338421	-529.9677	-1.508374
-528.9066	-2.462076	-528.9191	-2.285871	-528.9335	-2.489545	-528.9444	-2.169234	-528.9479	-2.538235	-528.8929	-1.455999	-528.8947	-1.328692	-528.9675	-1.498172
-527.8895	-2.452434	-527.9043	-2.276375	-527.9241	-2.479938	-527.9382	-2.15985	-527.9359	-2.534212	-527.9102	-1.448947	-527.9011	-1.321136	-527.9597	-1.492193
-526.9074	-2.440145	-526.9119	-2.264943	-526.8988	-2.469193	-526.9434	-2.152768	-526.9497	-2.530225	-526.9279	-1.441767	-526.9246	-1.312264	-526.9525	-1.486279
-525.8929	-2.428337	-525.9052	-2.253593	-525.8743	-2.456733	-525.9496	-2.143087	-525.9447	-2.526213	-525.9178	-1.433596	-525.921	-1.30513	-525.9376	-1.477631
-524.895	-2.418817	-524.9263	-2.243206	-524.8841	-2.446916	-524.9542	-2.134098	-524.9523	-2.520725	-524.9235	-1.426583	-524.9314	-1.299285	-524.9525	-1.472812
-523.9393	-2.410084	-523.9308	-2.232593	-523.8915	-2.438284	-523.9619	-2.12563	-523.9517	-2.515074	-523.9193	-1.421258	-523.9453	-1.291526	-523.9457	-1.465093
-522.9327	-2.402555	-522.9087	-2.22106	-522.8784	-2.425994	-522.9401	-2.114083	-522.9172	-2.505149	-522.907	-1.414001	-522.9489	-1.28515	-522.9333	-1.45779
-521.9289	-2.392566	-521.8995	-2.210875	-521.9011	-2.413874	-521.9258	-2.102025	-521.937	-2.495216	-521.9092	-1.405907	-521.9517	-1.27858	-521.9435	-1.449281
-520.9166	-2.381318	-520.8862	-2.201176	-520.9252	-2.402453	-520.9066	-2.092831	-520.936	-2.484334	-520.9114	-1.398123	-520.9361	-1.269688	-520.927	-1.440166
-519.8943	-2.370117	-519.8687	-2.188555	-519.9177	-2.391087	-519.888	-2.08251	-519.926	-2.471731	-519.8983	-1.39036	-519.9341	-1.260422	-519.9318	-1.433176
-518.8832	-2.358213	-518.8642	-2.180639	-518.9108	-2.383201	-518.904	-2.0749	-518.9411	-2.460761	-518.9078	-1.38302	-518.9028	-1.252197	-518.9417	-1.423406
-517.8929	-2.349775	-517.8644	-2.171793	-517.8868	-2.374899	-517.921	-2.068098	-517.9196	-2.450308	-517.9052	-1.376071	-517.8978	-1.244756	-517.9181	-1.417783
