Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-576.6831	-5.512938	-576.6445	-1.564907	-576.656	-4.304012	-576.674	-2.56469	-576.6902	-3.55956	-576.689	-3.155303	-576.7025	-2.473747	-576.7192	-3.045178	-576.7108	-3.130543
-575.6907	-5.500829	-575.6255	-1.533138	-575.6487	-4.280879	-575.6949	-2.539384	-575.7159	-3.530626	-575.6872	-3.124328	-575.7086	-2.447029	-575.7048	-3.01895	-575.7161	-3.118155
-574.6911	-5.487893	-574.6616	-1.505858	-574.6636	-4.257285	-574.7062	-2.513222	-574.717	-3.50078	-574.6958	-3.093954	-574.7096	-2.4188	-574.7045	-2.991459	-574.7474	-3.104833
-573.6785	-5.474474	-573.6527	-1.481629	-573.666	-4.230412	-573.6759	-2.48474	-573.7096	-3.468555	-573.6824	-3.05896	-573.7045	-2.388932	-573.7151	-2.961693	-573.7578	-3.090669
-572.6713	-5.462646	-572.6484	-1.457875	-572.6694	-4.205798	-572.6659	-2.457126	-572.6997	-3.439156	-572.6897	-3.028736	-572.6951	-2.361441	-572.6964	-2.933804	-572.7889	-3.077718
-571.6757	-5.449574	-571.6594	-1.436904	-571.6793	-4.179414	-571.6434	-2.428951	-571.6685	-3.408931	-571.7087	-2.998345	-571.7089	-2.333257	-571.7209	-2.905798	-571.7904	-3.063678
-570.6511	-5.436993	-570.6401	-1.411466	-570.6495	-4.153825	-570.6428	-2.401075	-570.6409	-3.377285	-570.7034	-2.967723	-570.7	-2.304389	-570.7186	-2.87819	-570.7658	-3.047736
-569.6643	-5.425037	-569.6447	-1.383064	-569.6622	-4.130364	-569.6562	-2.375685	-569.6378	-3.348507	-569.7092	-2.942099	-569.7061	-2.277882	-569.7115	-2.852965	-569.7416	-3.032097
-568.6338	-5.411856	-568.6412	-1.353818	-568.6478	-4.10503	-568.6213	-2.347624	-568.6409	-3.317348	-568.6886	-2.912067	-568.7135	-2.248592	-568.7037	-2.82476	-568.7461	-3.014248
-567.6083	-5.398834	-567.63	-1.324392	-567.6422	-4.082346	-567.619	-2.319942	-567.6537	-3.28579	-567.6679	-2.88214	-567.6803	-2.219184	-567.6719	-2.797276	-567.7172	-2.996747
-566.605	-5.386365	-566.6178	-1.294876	-566.6531	-4.058846	-566.5922	-2.293484	-566.6665	-3.25549	-566.6655	-2.852681	-566.6976	-2.191223	-566.6675	-2.769666	-566.7065	-2.981102
-565.5986	-5.373463	-565.6073	-1.265769	-565.6307	-4.035043	-565.5911	-2.266551	-565.6677	-3.2248	-565.6615	-2.822951	-565.7105	-2.163267	-565.661	-2.740235	-565.7194	-2.967232
-564.6216	-5.360881	-564.6036	-1.238929	-564.6311	-4.012802	-564.6202	-2.240924	-564.6552	-3.194967	-564.672	-2.794492	-564.6946	-2.136567	-564.658	-2.712999	-564.7254	-2.952795
-563.6284	-5.349071	-563.6102	-1.210178	-563.6375	-3.988169	-563.6356	-2.214598	-563.6615	-3.165589	-563.673	-2.765334	-563.6945	-2.10966	-563.6848	-2.68515	-563.7548	-2.937445
-562.6542	-5.336691	-562.6127	-1.182698	-562.6492	-3.964149	-562.6487	-2.187585	-562.6714	-3.135929	-562.6659	-2.735533	-562.674	-2.082715	-562.6933	-2.658248	-562.7646	-2.92289
-561.6742	-5.324276	-561.6227	-1.15364	-561.6515	-3.9396	-561.6562	-2.160128	-561.6591	-3.105394	-561.6658	-2.703882	-561.6804	-2.055338	-561.7124	-2.632982	-561.7783	-2.907874
-560.6779	-5.311397	-560.6395	-1.123377	-560.6486	-3.91394	-560.6596	-2.132808	-560.665	-3.074018	-560.6578	-2.671252	-560.6742	-2.027256	-560.7104	-2.605367	-560.7582	-2.892286
-559.6727	-5.299367	-559.649	-1.094505	-559.6285	-3.890016	-559.6493	-2.105407	-559.6886	-3.044414	-559.6724	-2.641218	-559.6813	-2.000417	-559.6956	-2.578994	-559.7365	-2.878796
