Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 2 - 6.3mM	Adsorbido 2 - 6.3mM	Ru 6.3mM Au Desnudo	Ru 6.3mM Au Desnudo
-553.8512	-4.37512	-553.8229	-8.036121	-553.8275	-6.059157	-553.8375	-4.11737	-553.8428	-10.98201
-552.8496	-4.360322	-552.8081	-8.006004	-552.8152	-6.024943	-552.8262	-4.088082	-552.836	-10.93788
-551.8596	-4.345431	-551.7903	-7.980481	-551.8098	-5.993871	-551.8403	-4.057752	-551.8047	-10.89139
-550.8699	-4.33222	-550.7789	-7.955492	-550.8028	-5.964707	-550.8481	-4.029773	-550.8207	-10.85119
-549.8514	-4.317878	-549.7917	-7.931339	-549.793	-5.936411	-549.8243	-4.001688	-549.8268	-10.80889
-548.8683	-4.306281	-548.7827	-7.911626	-548.7816	-5.909246	-548.8064	-3.973518	-548.8356	-10.7631
-547.8275	-4.293753	-547.8043	-7.894189	-547.7855	-5.88261	-547.7742	-3.948297	-547.8348	-10.72337
-546.829	-4.282455	-546.8083	-7.877841	-546.8158	-5.855517	-546.7815	-3.923098	-546.8209	-10.68262
-545.8518	-4.276179	-545.8128	-7.861047	-545.8264	-5.827939	-545.7961	-3.898586	-545.8224	-10.6437
-544.8437	-4.269977	-544.8444	-7.839899	-544.8484	-5.800655	-544.8004	-3.875554	-544.8204	-10.60627
-543.8814	-4.264539	-543.86	-7.813991	-543.8483	-5.772024	-543.8087	-3.85228	-543.8364	-10.56886
-542.8851	-4.256049	-542.8744	-7.783562	-542.8234	-5.741428	-542.8009	-3.827615	-542.8282	-10.52768
-541.8784	-4.2401	-541.8433	-7.752473	-541.8036	-5.711254	-541.8019	-3.797533	-541.8034	-10.47953
-540.8729	-4.226942	-540.8236	-7.72314	-540.7807	-5.683246	-540.8115	-3.770042	-540.7798	-10.43837
-539.8534	-4.2135	-539.8264	-7.701091	-539.7777	-5.654946	-539.8221	-3.74119	-539.7867	-10.39466
-538.859	-4.203798	-538.8302	-7.672535	-538.7823	-5.628169	-538.8059	-3.711912	-538.7836	-10.34835
-537.8828	-4.19796	-537.8668	-7.644228	-537.8104	-5.604375	-537.8215	-3.687778	-537.7999	-10.31012
-536.9119	-4.188314	-536.9003	-7.616663	-536.8297	-5.577878	-536.821	-3.657485	-536.8217	-10.26829
-535.9351	-4.177458	-535.8893	-7.586528	-535.8317	-5.551451	-535.8121	-3.624055	-535.8113	-10.22451
-534.9703	-4.167993	-534.8827	-7.570007	-534.8503	-5.526339	-534.8408	-3.593955	-534.8169	-10.18869
-533.9504	-4.15977	-533.8658	-7.552056	-533.8368	-5.497413	-533.8394	-3.564675	-533.8314	-10.14863
-532.9617	-4.148551	-532.8457	-7.534882	-532.8343	-5.467347	-532.8439	-3.539454	-532.834	-10.10931
-531.9449	-4.147563	-531.8425	-7.517098	-531.8427	-5.437917	-531.8514	-3.516428	-531.8289	-10.07175
-530.9161	-4.138489	-530.848	-7.492474	-530.8378	-5.406767	-530.8171	-3.491749	-530.8247	-10.03163
-529.9269	-4.130812	-529.8548	-7.461978	-529.8297	-5.37741	-529.8145	-3.463544	-529.8231	-9.992547
-528.8906	-4.117193	-528.8478	-7.42956	-528.8112	-5.350182	-528.8043	-3.43189	-528.8017	-9.947554
-527.883	-4.10557	-527.8347	-7.390512	-527.8015	-5.32118	-527.7994	-3.402339	-527.7864	-9.907508
-526.9067	-4.10027	-526.8391	-7.357983	-526.7791	-5.293847	-526.8182	-3.376056	-526.7925	-9.870121
-525.9221	-4.086064	-525.8456	-7.322886	-525.785	-5.267515	-525.8154	-3.348292	-525.7759	-9.830114
-524.9495	-4.082241	-524.8496	-7.301205	-524.8138	-5.244316	-524.8313	-3.322842	-524.7946	-9.794885
-523.9685	-4.065	-523.8843	-7.283019	-523.8201	-5.222265	-523.8251	-3.292561	-523.7999	-9.753755
-522.9476	-4.047564	-522.8678	-7.259687	-522.8367	-5.198167	-522.8143	-3.257006	-522.7793	-9.706095
-521.9234	-4.040261	-521.8698	-7.243487	-521.8369	-5.172281	-521.8201	-3.227432	-521.777	-9.665212
-520.8933	-4.036514	-520.8774	-7.215425	-520.8216	-5.143632	-520.8029	-3.200024	-520.7838	-9.626087
-519.8864	-4.035283	-519.851	-7.187865	-519.8138	-5.113791	-519.7983	-3.175386	-519.7888	-9.586968
-518.915	-4.02492	-518.8639	-7.160584	-518.7921	-5.086144	-518.7963	-3.152573	-518.816	-9.552493
-517.9048	-4.010693	-517.841	-7.125424	-517.7839	-5.060691	-517.7844	-3.12553	-517.8019	-9.51355
-516.9146	-3.998295	-516.814	-7.092773	-516.7668	-5.03566	-516.7834	-3.098501	-516.7798	-9.477347
-515.9035	-3.98211	-515.7993	-7.056124	-515.7695	-5.007525	-515.7598	-3.071298	-515.7798	-9.441729
-514.8674	-3.980466	-514.7689	-7.020252	-514.7843	-4.977541	-514.7544	-3.043915	-514.7558	-9.406096
-513.8851	-3.975721	-513.7783	-6.995575	-513.8075	-4.948603	-513.7508	-3.016858	-513.7999	-9.374489
-512.8542	-3.962425	-512.787	-6.959615	-512.8176	-4.921008	-512.7467	-2.988152	-512.8021	-9.336135
-511.8463	-3.954148	-511.8061	-6.92962	-511.8256	-4.900527	-511.7896	-2.958356	-511.7909	-9.300933
-510.8451	-3.937171	-510.8203	-6.902007	-510.8139	-4.881179	-510.7943	-2.928138	-510.7967	-9.266747
-509.8136	-3.925412	-509.819	-6.874413	-509.7793	-4.858383	-509.8103	-2.899303	-509.7712	-9.225822
-508.8271	-3.914584	-508.8354	-6.855396	-508.7877	-4.834994	-508.8022	-2.87313	-508.776	-9.192596
-507.8285	-3.910193	-507.8177	-6.827958	-507.7836	-4.809527	-507.7999	-2.849506	-507.7877	-9.160835
-506.8292	-3.907581	-506.8242	-6.795028	-506.7943	-4.782901	-506.8304	-2.828166	-506.7883	-9.13088
-505.8613	-3.898373	-505.8195	-6.758454	-505.8207	-4.757378	-505.848	-2.805586	-505.787	-9.105534
-504.8874	-3.897219	-504.8152	-6.721998	-504.8228	-4.73079	-504.8823	-2.779281	-504.7859	-9.075367
-503.8977	-3.881797	-503.812	-6.68775	-503.8139	-4.701345	-503.8823	-2.753304	-503.7751	-9.044162
-502.8953	-3.871118	-502.8142	-6.659831	-502.8071	-4.67218	-502.857	-2.725196	-502.7803	-9.010773
-501.8866	-3.86182	-501.8268	-6.630597	-501.8039	-4.644154	-501.8193	-2.694326	-501.7862	-8.977461
-500.8737	-3.847894	-500.8297	-6.593656	-500.8116	-4.617691	-500.8	-2.66645	-500.7851	-8.946626
-499.8625	-3.839804	-499.843	-6.554546	-499.8133	-4.594395	-499.7817	-2.638074	-499.8119	-8.917206
-498.9019	-3.824925	-498.8489	-6.519281	-498.8167	-4.571837	-498.7915	-2.609619	-498.806	-8.886633
-497.9028	-3.8087	-497.834	-6.487178	-497.807	-4.550488	-497.8213	-2.584963	-497.8178	-8.860216
-496.9118	-3.792555	-496.8282	-6.463927	-496.8042	-4.525275	-496.8367	-2.559214	-496.8204	-8.833896
-495.9428	-3.78794	-495.8262	-6.441401	-495.8201	-4.500672	-495.8703	-2.535517	-495.8268	-8.807644
-494.918	-3.784784	-494.8269	-6.408523	-494.827	-4.475514	-494.8832	-2.512972	-494.8441	-8.783424
-493.9219	-3.790232	-493.8157	-6.372686	-493.8511	-4.446303	-493.8638	-2.489907	-493.8316	-8.756679
-492.9173	-3.790814	-492.8246	-6.33641	-492.8469	-4.41883	-492.8643	-2.467539	-492.8352	-8.732164
-491.8977	-3.780624	-491.843	-6.30085	-491.8343	-4.389413	-491.8336	-2.440363	-491.8232	-8.706185
-490.8614	-3.773166	-490.8284	-6.263828	-490.8163	-4.359995	-490.8275	-2.411652	-490.8049	-8.677364
-489.8503	-3.7624	-489.8378	-6.228861	-489.8014	-4.332869	-489.8292	-2.385019	-489.7924	-8.653396
-488.8426	-3.755009	-488.8271	-6.188657	-488.8002	-4.307519	-488.796	-2.357926	-488.7926	-8.626569
-487.8709	-3.748791	-487.8306	-6.146754	-487.8039	-4.285104	-487.8178	-2.336028	-487.7975	-8.604834
-486.8945	-3.740294	-486.8598	-6.111986	-486.8621	-4.263803	-486.818	-2.315807	-486.8237	-8.588665
-485.9089	-3.720693	-485.8546	-6.075387	-485.8713	-4.241743	-485.8397	-2.29553	-485.8444	-8.565098
-484.9136	-3.704182	-484.8606	-6.041677	-484.8823	-4.218657	-484.8716	-2.273624	-484.8522	-8.542444
-483.9013	-3.692646	-483.8383	-6.009468	-483.911	-4.19318	-483.8769	-2.249842	-483.8501	-8.520468
-482.9091	-3.684739	-482.8247	-5.979296	-482.8747	-4.164011	-482.8859	-2.228277	-482.8343	-8.497331
-481.9077	-3.685561	-481.8583	-5.944508	-481.8691	-4.136076	-481.9074	-2.208968	-481.8552	-8.480276
-480.9182	-3.680275	-480.8762	-5.907682	-480.8576	-4.10664	-480.9184	-2.183968	-480.8644	-8.460754
-479.9032	-3.667665	-479.8974	-5.871383	-479.8323	-4.07896	-479.9293	-2.163618	-479.8619	-8.441235
-478.8934	-3.652164	-478.8977	-5.827559	-478.8289	-4.054914	-478.8928	-2.137175	-478.8601	-8.421448
-477.889	-3.638978	-477.8614	-5.779899	-477.8367	-4.027836	-477.8589	-2.106419	-477.8276	-8.401751
-476.8826	-3.629313	-476.8258	-5.737116	-476.8461	-4.001847	-476.8383	-2.088399	-476.8237	-8.389247
-475.8978	-3.620572	-475.7983	-5.694641	-475.8672	-3.977524	-475.8296	-2.067619	-475.8337	-8.374234
-474.9308	-3.610154	-474.7908	-5.651835	-474.872	-3.954095	-474.8683	-2.049531	-474.8534	-8.35914
-473.934	-3.595831	-473.8094	-5.621938	-473.8677	-3.93419	-473.8777	-2.035806	-473.879	-8.343865
-472.9338	-3.580554	-472.8224	-5.588842	-472.8497	-3.913591	-472.9311	-2.013826	-472.8566	-8.3235
-471.9107	-3.568717	-471.8593	-5.555973	-471.8232	-3.889836	-471.9233	-1.990927	-471.8427	-8.306534
-470.8776	-3.562014	-470.8624	-5.524829	-470.8161	-3.863199	-470.9033	-1.974253	-470.8267	-8.290332
-469.8503	-3.556922	-469.8789	-5.488812	-469.8134	-3.835193	-469.9133	-1.95494	-469.8139	-8.277998
-468.8516	-3.551142	-468.8915	-5.448835	-468.8033	-3.808398	-468.8715	-1.935537	-468.8199	-8.268867
-467.8703	-3.548571	-467.8732	-5.401697	-467.8256	-3.784065	-467.8691	-1.913442	-467.8244	-8.260449
-466.8911	-3.540856	-466.8585	-5.352014	-466.8277	-3.761228	-466.878	-1.890597	-466.8273	-8.248528
-465.9029	-3.533051	-465.8187	-5.306532	-465.8278	-3.734462	-465.8602	-1.864344	-465.8352	-8.238519
-464.8924	-3.524736	-464.7923	-5.263832	-464.8407	-3.704963	-464.8391	-1.841728	-464.8087	-8.223495
-463.8753	-3.511316	-463.7711	-5.229166	-463.8168	-3.676877	-463.8306	-1.82422	-463.8108	-8.207608
-462.85	-3.50053	-462.7763	-5.192605	-462.8135	-3.651222	-462.8364	-1.803168	-462.8202	-8.199378
-461.8629	-3.489839	-461.7988	-5.15127	-461.7941	-3.629103	-461.8115	-1.78025	-461.814	-8.188623
-460.8637	-3.481845	-460.8205	-5.117068	-460.816	-3.611486	-460.8216	-1.760099	-460.8546	-8.179732
-459.8718	-3.470349	-459.8336	-5.082997	-459.8303	-3.589575	-459.8193	-1.738409	-459.8532	-8.170621
-458.8544	-3.463864	-458.8217	-5.052392	-458.8291	-3.564292	-458.8002	-1.716919	-458.8411	-8.155146
-457.8619	-3.458903	-457.8177	-5.01734	-457.8639	-3.542088	-457.8091	-1.702349	-457.8493	-8.14293
-456.8679	-3.454926	-456.8118	-4.976264	-456.8601	-3.518337	-456.8245	-1.687622	-456.8585	-8.133016
-455.8831	-3.456709	-455.8246	-4.93265	-455.8724	-3.493543	-455.8329	-1.670166	-455.8559	-8.120945
-454.9288	-3.448458	-454.8335	-4.888281	-454.891	-3.471388	-454.8588	-1.653662	-454.8705	-8.117419
-453.9221	-3.443381	-453.841	-4.849196	-453.8951	-3.444421	-453.8785	-1.632689	-453.8657	-8.106535
-452.9193	-3.432508	-452.8303	-4.814623	-452.8849	-3.414286	-452.8811	-1.608657	-452.847	-8.093931
-451.9002	-3.418255	-451.7926	-4.779886	-451.8658	-3.386252	-451.8567	-1.582139	-451.8455	-8.085752
-450.8716	-3.409777	-450.7972	-4.741722	-450.8462	-3.358722	-450.824	-1.556727	-450.8333	-8.071685
-449.8697	-3.397054	-449.815	-4.701018	-449.8337	-3.33357	-449.8214	-1.533159	-449.8324	-8.064106
-448.8848	-3.388721	-448.8105	-4.657672	-448.8195	-3.312381	-448.7958	-1.509683	-448.8345	-8.056953
-447.8897	-3.376995	-447.8356	-4.622022	-447.8315	-3.293304	-447.8135	-1.491469	-447.8369	-8.047157
-446.9236	-3.366186	-446.8329	-4.591995	-446.84	-3.27123	-446.8326	-1.471773	-446.825	-8.041171
