Ciclos	Mínimo	Máximo		
145	-5.40689	4.52623	-6.77	4.01
146	-5.38642	4.51618	-6.77	4.01
147	-5.37031	4.51981	-6.77	4.01
148	-5.37653	4.52094	-6.77	4.01
149	-5.33285	4.51417	-6.77	4.01
150	-5.31945	4.51184	-6.77	4.01
151	-5.30102	4.50244	-6.77	4.01
152	-5.29401	4.49818	-6.77	4.01
153	-5.2736	4.49458	-6.77	4.01
154	-5.25969	4.49108	-6.77	4.01
155	-5.24974	4.47635	-6.77	4.01
156	-5.23404	4.48379	-6.77	4.01
157	-5.23113	4.47274	-6.77	4.01
158	-5.22353	4.46861	-6.77	4.01
159	-5.19613	4.46608	-6.77	4.01
160	-5.18144	4.46266	-6.77	4.01
161	-5.17165	4.44987	-6.77	4.01
162	-5.15956	4.44979	-6.77	4.01
163	-5.14977	4.44643	-6.77	4.01
164	-5.14973	4.44059	-6.77	4.01
165	-5.12746	4.43586	-6.77	4.01
166	-5.12453	4.43029	-6.77	4.01
167	-5.12224	4.42465	-6.77	4.01
168	-5.13247	4.42884	-6.77	4.01
169	-5.10511	4.42252	-6.77	4.01
170	-5.09793	4.41506	-6.77	4.01
171	-5.08425	4.41307	-6.77	4.01
172	-5.08073	4.41641	-6.77	4.01
173	-5.0754	4.40728	-6.77	4.01
174	-5.06565	4.40674	-6.77	4.01
175	-5.05842	4.39812	-6.77	4.01
176	-5.05333	4.40039	-6.77	4.01
177	-5.0471	4.40175	-6.77	4.01
178	-5.06464	4.39968	-6.77	4.01
179	-5.04051	4.38965	-6.77	4.01
180	-5.03754	4.39313	-6.77	4.01
181	-5.02974	4.39004	-6.77	4.01
182	-5.01326	4.37628	-6.77	4.01
183	-5.01598	4.38419	-6.77	4.01
184	-5.01146	4.38488	-6.77	4.01
