Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 7 - 3.15mM	Adsorbido 7 - 3.15mM	Ru 3.15mM - Au Desnudo	Ru 3.15mM - Au Desnudo
-579.7685	-2.913337	-579.7379	-4.877681	-579.6111	-4.568948	-579.6606	-2.84005	-579.6404	-3.080367	-579.6328	-2.891454	-579.6393	-3.346004	-579.6641	-2.815278	-579.6859	-3.008952	-579.8124	-5.422944
-578.7716	-2.904981	-578.7258	-4.856472	-578.6315	-4.546561	-578.6522	-2.814632	-578.6326	-3.05115	-578.6151	-2.861456	-578.6288	-3.316198	-578.6385	-2.785357	-578.6537	-2.980325	-578.7993	-5.403152
-577.7946	-2.898153	-577.7263	-4.834658	-577.6318	-4.524576	-577.64	-2.78959	-577.6433	-3.022682	-577.6254	-2.831262	-577.6536	-3.285394	-577.6162	-2.756167	-577.6426	-2.95237	-577.7803	-5.380659
-576.7853	-2.890748	-576.7088	-4.812787	-576.6431	-4.503072	-576.6196	-2.763917	-576.6458	-2.994421	-576.6255	-2.801701	-576.6674	-3.254574	-576.6139	-2.72654	-576.6416	-2.92436	-576.7721	-5.356432
-575.7753	-2.884068	-575.7076	-4.793381	-575.6511	-4.481405	-575.6067	-2.73997	-575.6454	-2.966038	-575.6168	-2.772814	-575.6909	-3.226032	-575.6259	-2.69843	-575.6418	-2.897691	-575.7878	-5.338207
-574.7679	-2.877085	-574.7047	-4.774217	-574.6387	-4.459046	-574.6152	-2.714785	-574.6503	-2.938526	-574.636	-2.743042	-574.702	-3.195407	-574.6385	-2.669385	-574.6436	-2.869288	-574.822	-5.319896
-573.7348	-2.869564	-573.6804	-4.754043	-573.6277	-4.436491	-573.5878	-2.689109	-573.6294	-2.909193	-573.623	-2.711689	-573.6835	-3.164569	-573.6403	-2.638865	-573.6505	-2.840532	-573.7969	-5.301924
-572.7444	-2.862961	-572.6951	-4.735065	-572.605	-4.41442	-572.6186	-2.665444	-572.6143	-2.881294	-572.6307	-2.682823	-572.6884	-3.13496	-572.6456	-2.61177	-572.6467	-2.813176	-572.8066	-5.287026
-571.7601	-2.857282	-571.7011	-4.714971	-571.5775	-4.392371	-571.63	-2.640981	-571.6166	-2.853434	-571.6379	-2.652956	-571.6825	-3.103486	-571.6452	-2.583577	-571.664	-2.784103	-571.7963	-5.267937
-570.7539	-2.850498	-570.6921	-4.695926	-570.5637	-4.370719	-570.6322	-2.615832	-570.6251	-2.823946	-570.6189	-2.621779	-570.6769	-3.074116	-570.6471	-2.554528	-570.6694	-2.755493	-570.7896	-5.25152
-569.7542	-2.844591	-569.714	-4.677545	-569.58	-4.348553	-569.6581	-2.592311	-569.6334	-2.797267	-569.6323	-2.593401	-569.6885	-3.043285	-569.6641	-2.52718	-569.6831	-2.727974	-569.7861	-5.232965
-568.7525	-2.837207	-568.7216	-4.656405	-568.5809	-4.3251	-568.6277	-2.566618	-568.6501	-2.768233	-568.6207	-2.562348	-568.6824	-3.012752	-568.6747	-2.496518	-568.6824	-2.697795	-568.7692	-5.213491
-567.7324	-2.830521	-567.6917	-4.634901	-567.5807	-4.301257	-567.6261	-2.53953	-567.6445	-2.739379	-567.6097	-2.532099	-567.6461	-2.982042	-567.6608	-2.466549	-567.6375	-2.668073	-567.7587	-5.195659
-566.7123	-2.824176	-566.6632	-4.611328	-566.5803	-4.27804	-566.6165	-2.513901	-566.6147	-2.711172	-566.5928	-2.503371	-566.6326	-2.949974	-566.6536	-2.437549	-566.6215	-2.639168	-566.7494	-5.17541
-565.7151	-2.817197	-565.6562	-4.589811	-565.5597	-4.255527	-565.6152	-2.488117	-565.5944	-2.682053	-565.573	-2.473751	-565.6207	-2.920871	-565.6524	-2.409462	-565.5953	-2.609937	-565.785	-5.155924
-564.7217	-2.81154	-564.6577	-4.571079	-564.5626	-4.234187	-564.6355	-2.46293	-564.5857	-2.653785	-564.5698	-2.445091	-564.6151	-2.889887	-564.6549	-2.38178	-564.6104	-2.582998	-564.7782	-5.134266
-563.7184	-2.805959	-563.6703	-4.551932	-563.5499	-4.21293	-563.6348	-2.43908	-563.5923	-2.62509	-563.5844	-2.415765	-563.6251	-2.859435	-563.6566	-2.353365	-563.6457	-2.556427	-563.8006	-5.114099
-562.743	-2.798604	-562.7117	-4.533572	-562.5672	-4.191468	-562.6384	-2.413813	-562.6107	-2.597312	-562.5968	-2.386596	-562.6408	-2.829962	-562.663	-2.326071	-562.6678	-2.52944	-562.8113	-5.092601
-561.76	-2.792686	-561.7214	-4.51479	-561.5825	-4.169945	-561.6343	-2.387608	-561.6413	-2.568623	-561.6348	-2.356403	-561.6445	-2.799149	-561.6637	-2.296725	-561.6797	-2.501847	-561.8033	-5.067697
-560.7389	-2.786947	-560.7037	-4.495223	-560.5863	-4.146988	-560.6124	-2.361243	-560.6442	-2.53898	-560.6266	-2.324926	-560.6361	-2.768125	-560.6642	-2.267154	-560.6655	-2.472094	-560.8054	-5.045399
-559.7579	-2.779918	-559.7203	-4.476136	-559.617	-4.124848	-559.6184	-2.335177	-559.6543	-2.510604	-559.615	-2.294557	-559.6439	-2.738324	-559.6766	-2.239009	-559.6694	-2.444111	-559.7861	-5.018175
-558.771	-2.77313	-558.7148	-4.457517	-558.6237	-4.102613	-558.6157	-2.309833	-558.642	-2.481694	-558.6403	-2.263672	-558.6417	-2.707905	-558.6964	-2.210175	-558.666	-2.416232	-558.7708	-4.993477
-557.7518	-2.766867	-557.7108	-4.436572	-557.6333	-4.079067	-557.5997	-2.284001	-557.6207	-2.45238	-557.6323	-2.232793	-557.6425	-2.676626	-557.6954	-2.180275	-557.6724	-2.387264	-557.7469	-4.971006
-556.7707	-2.760094	-556.7372	-4.416207	-556.629	-4.057498	-556.6281	-2.259051	-556.6324	-2.425147	-556.6458	-2.203685	-556.646	-2.647363	-556.7091	-2.152625	-556.6715	-2.360738	-556.7572	-4.951488
-555.7684	-2.753891	-555.7451	-4.396179	-555.6403	-4.034465	-555.6136	-2.232405	-555.6359	-2.396036	-555.6722	-2.172743	-555.6583	-2.61644	-555.7179	-2.123329	-555.671	-2.332484	-555.7903	-4.933538
-554.7405	-2.748236	-554.7516	-4.375749	-554.6305	-4.010641	-554.611	-2.204711	-554.6501	-2.36552	-554.679	-2.141721	-554.6553	-2.584836	-554.7046	-2.092691	-554.6799	-2.302971	-554.7994	-4.915707
-553.7667	-2.742294	-553.7724	-4.356744	-553.6203	-3.988518	-553.6472	-2.177783	-553.6626	-2.336456	-553.6671	-2.111561	-553.6543	-2.554768	-553.7045	-2.065437	-553.6702	-2.275478	-553.817	-4.900753
-552.7596	-2.735922	-552.7639	-4.337396	-552.6329	-3.96488	-552.642	-2.150213	-552.6605	-2.305855	-552.6724	-2.080858	-552.6761	-2.523212	-552.705	-2.03621	-552.6754	-2.247083	-552.8078	-4.881267
-551.7479	-2.72877	-551.7606	-4.316648	-551.6199	-3.942761	-551.6471	-2.123938	-551.6376	-2.276139	-551.6647	-2.050666	-551.688	-2.492786	-551.6791	-2.007128	-551.6688	-2.218608	-551.803	-4.86033
-550.7729	-2.72142	-550.7716	-4.298693	-550.635	-3.92098	-550.6515	-2.098621	-550.6245	-2.247705	-550.6511	-2.021007	-550.6917	-2.462567	-550.6757	-1.980076	-550.697	-2.191974	-550.7967	-4.836247
-549.7618	-2.715323	-549.758	-4.278501	-549.6401	-3.898464	-549.6414	-2.072109	-549.6285	-2.2179	-549.6473	-1.990243	-549.6929	-2.430483	-549.6874	-1.951015	-549.7084	-2.163445	-549.7856	-4.809365
