Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
176.1895	0.2195667
177.2019	0.2223919
178.1955	0.2254238
179.1781	0.2270608
180.1632	0.2290072
181.155	0.2317248
182.1507	0.2337648
183.154	0.236747
184.1385	0.2400775
185.1452	0.2425123
186.1489	0.2464074
187.1351	0.2499702
188.1557	0.2528012
189.1557	0.2558891
190.1514	0.2577823
191.1718	0.2597587
192.1591	0.2613335
193.153	0.2633936
194.1551	0.2658711
195.1471	0.2680925
196.1664	0.2706986
197.1863	0.2733355
198.1846	0.2755935
199.2029	0.2782364
200.2055	0.2813253
201.2139	0.2833399
202.225	0.2862039
203.2189	0.2880433
204.1936	0.2889757
205.1676	0.2898768
206.1613	0.2910673
207.1652	0.2932896
208.1788	0.295417
209.1728	0.297653
210.1686	0.2992134
211.173	0.3000314
212.1517	0.3012295
213.1576	0.3033017
214.151	0.3051213
215.1423	0.306285
216.18	0.3071987
217.1713	0.3069854
218.1808	0.3067914
219.1776	0.307575
220.1766	0.3085137
221.1892	0.3095242
222.1783	0.3097825
223.1723	0.3102459
224.155	0.3102256
225.1493	0.3110067
226.1723	0.313167
227.183	0.3133844
228.1777	0.3130727
229.1757	0.3124034
230.1387	0.3103234
231.1144	0.3092555
232.0979	0.31003
233.0791	0.3100389
234.0918	0.310564
235.1001	0.3108843
236.1077	0.3107064
237.1169	0.3105407
238.1117	0.3113159
239.1151	0.3124683
240.1353	0.3119155
241.1467	0.3114718
242.157	0.3102899
243.1276	0.3087714
244.1223	0.3085248
245.1158	0.3085822
246.0978	0.3075508
247.1265	0.3077608
248.1296	0.3075118
249.1245	0.3070893
250.1519	0.308322
251.1722	0.3078038
252.1853	0.3073688
253.2169	0.306603
254.2005	0.3043599
255.1838	0.3030307
256.1723	0.301714
257.1402	0.3013511
258.1605	0.3013865
259.1346	0.3011551
260.1067	0.3006925
261.1069	0.3000296
262.1035	0.2991086
263.1277	0.2992566
264.1392	0.2999763
265.1565	0.2996953
266.1503	0.299311
267.1386	0.2980502
268.141	0.2962726
269.1296	0.2951976
270.1276	0.2948119
271.1342	0.2948691
272.1425	0.2942392
273.1479	0.2937515
274.1606	0.2930696
275.1712	0.2922041
276.1594	0.2925965
277.1615	0.2929619
278.1489	0.2920029
279.1462	0.2906692
280.1457	0.2891435
281.1349	0.287531
282.1216	0.2870716
283.1109	0.2866379
284.1275	0.2864853
285.1153	0.2857448
286.1054	0.2855953
287.1008	0.285675
288.0758	0.2854793
289.0858	0.2855023
