Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Primeros 45	Primeros 45
177.1335	0.2330635
178.1388	0.2350974
179.1082	0.234381
180.1111	0.2364146
181.1301	0.2385213
182.154	0.2389543
183.1639	0.2412299
184.163	0.2427157
185.1431	0.2441271
186.1255	0.2468871
187.1129	0.2489935
188.136	0.2511002
189.1563	0.2525478
190.1533	0.2525901
191.1679	0.2536058
192.1575	0.2538991
193.1587	0.2545407
194.1801	0.2571559
195.1768	0.2578478
196.1961	0.2596474
197.215	0.2623154
198.1972	0.2635109
199.2089	0.266353
200.2181	0.2686443
201.2048	0.2695751
202.2203	0.2704566
203.2139	0.2697632
204.1909	0.2697331
205.1796	0.2702571
206.1634	0.2707556
207.1722	0.2740725
208.1734	0.2754863
209.1723	0.2776598
210.153	0.2805598
211.1278	0.2807004
212.1404	0.2833115
213.1514	0.2839277
214.1786	0.283667
215.1692	0.2849517
216.1482	0.2852197
217.1532	0.286296
218.1306	0.2883028
219.1618	0.2902055
220.1713	0.2917819
221.1539	0.2935917
222.1634	0.2944495
223.1536	0.2954387
224.1411	0.2962643
225.1406	0.297406
226.1606	0.2996065
227.1723	0.299008
228.1666	0.2992957
229.1884	0.2995088
230.1398	0.2989317
231.1074	0.3006272
232.1265	0.3024938
233.1052	0.3031886
234.1151	0.3039973
235.1314	0.3047615
236.1289	0.3056585
237.1273	0.3072732
238.1337	0.3089883
239.1318	0.3108466
240.1354	0.3104985
241.1299	0.3102859
242.1242	0.3116897
243.1227	0.3104357
244.11	0.3126963
245.1116	0.3148459
246.1198	0.3136889
247.1224	0.3157489
248.1203	0.3156804
249.1141	0.3159592
250.1165	0.3171156
251.1052	0.3186134
252.1245	0.3199373
253.1418	0.3192425
254.1581	0.3193529
255.1768	0.3200975
256.1505	0.3190993
257.1484	0.3200782
258.1416	0.3218563
259.1351	0.3204576
260.1439	0.321606
261.1516	0.3229502
262.1456	0.3225574
263.1456	0.3241459
264.1467	0.3245822
265.1271	0.3245509
266.1339	0.3243372
267.1216	0.3240885
268.121	0.3237862
269.1194	0.3234415
270.1049	0.3240111
271.1185	0.3250741
272.1195	0.3256195
273.1344	0.3274967
274.147	0.3292032
275.1321	0.3285614
276.1322	0.3293191
277.138	0.3295881
278.153	0.3279322
279.1679	0.3283039
280.1786	0.3281643
281.1676	0.3272844
282.1368	0.3286873
283.127	0.3299252
284.1132	0.3310381
285.0889	0.3319805
286.0787	0.3323251
287.0805	0.3324223
288.0887	0.3318233
289.1074	0.3317547
290.1389	0.3328657
291.1418	0.3329057
292.1376	0.3336698
293.1371	0.3344086
294.1203	0.3342597
295.1043	0.3356663
296.114	0.3369286
297.1235	0.3373447
298.1248	0.337473
299.1464	0.337235
300.1217	0.3375423
301.1425	0.3383932
302.1649	0.3391493
303.1599	0.3410217
304.1926	0.3413057
305.1667	0.3413116
306.1859	0.3425615
307.1926	0.3412404
308.1805	0.3411562
309.1862	0.3420054
310.1576	0.3415071
311.153	0.3427389
312.146	0.3440889
313.1204	0.3445928
314.1252	0.344804
315.1158	0.3450018
316.1138	0.3453676
317.1401	0.345249
318.119	0.3455321
319.1239	0.345499
320.1236	0.3448882
321.1323	0.3453644
322.1527	0.3474999
323.1648	0.3482575
324.1675	0.3498709
325.1505	0.3510363
326.1273	0.3499569
327.1265	0.3509099
328.1388	0.3510319
329.1495	0.3507824
330.1632	0.3515527
331.1588	0.3512548
332.1549	0.3513597
333.151	0.3530693
334.1511	0.3541698
335.1523	0.3561066
336.1168	0.3572167
337.1153	0.35704
338.1118	0.3575895
339.1055	0.3568713
340.1289	0.3573855
341.1273	0.3588274
342.122	0.3589969
343.1212	0.3603231
344.1355	0.3613225
345.1308	0.3615995
346.1314	0.3627597
347.1378	0.36354
348.1247	0.3643353
349.1377	0.3651037
350.1224	0.3655707
351.1173	0.3668327
352.1163	0.3669859
353.0996	0.3680174
354.1297	0.3703945
355.1367	0.3702797
356.1439	0.3712007
357.1671	0.3720105
358.1455	0.3706645
359.1366	0.3716183
360.1376	0.3731737
361.1308	0.3734414
362.1414	0.3748528
363.1394	0.3759218
364.1243	0.3759846
365.1171	0.3765523
366.1058	0.3777684
367.1241	0.3794976
368.126	0.3799611
369.1188	0.3805051
370.1467	0.3813431
371.1358	0.3803607
372.1337	0.3819342
373.1434	0.3842526
374.1159	0.3841701
375.1234	0.3854289
376.1319	0.3854068
377.1164	0.3849864
378.1327	0.3858855
379.1202	0.3870897
380.1161	0.388844
381.1357	0.389704
382.1117	0.39068
383.104	0.3919612
384.1136	0.3926505
385.1113	0.3940112
386.1279	0.3963261
387.1327	0.3965026
388.1334	0.3968855
389.1272	0.3981374
390.122	0.3976123
391.1304	0.39903
392.1138	0.4010531
393.1245	0.4015578
394.145	0.403372
395.1488	0.404642
396.173	0.4053631
397.1604	0.4067337
398.1357	0.4079514
399.1279	0.4094359
400.1195	0.4106836
401.1124	0.4118602
402.1164	0.4134319
403.1186	0.413615
404.1326	0.4148768
405.1658	0.4165071
406.1857	0.4167475
407.1787	0.417981
408.1828	0.4190901
409.1785	0.4193842
410.1539	0.42119
411.167	0.4236208
412.1436	0.4244569
413.1424	0.4257234
414.1482	0.4258403
415.1541	0.4263135
416.1577	0.4273379
